rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss
-192.11627104761905,96.95238095238095,2672,0,1,2048,,,,,,,,,,
-182.92789241463416,99.3170731707317,1918,2,2,4096,10,570.3096313476562,-1.3842597857117653,0.0005767941474914551,-0.006894915334123652,0.2,0.004095821,0.0134765625,0.0003,1739.001852607727
-176.56074191803282,99.52459016393442,1780,3,3,6144,20,419.7605895996094,-1.373497184738517,-0.042160868644714355,-0.014245402721280697,0.2,0.012592254,0.0826171875,0.0003,1300.143837928772
-163.84793757831326,98.36144578313252,1718,4,4,8192,30,789.1087646484375,-1.3586055893450975,-0.023051023483276367,-0.010400433428731048,0.2,0.009779515,0.0474609375,0.0003,1045.0905910015106
-149.82960388999996,98.05,1680,6,5,10240,40,265.91217041015625,-1.3485942907631396,-0.0005263090133666992,-0.008375046247965656,0.2,0.0071112127,0.055615234375,0.0003,574.8877385616303
-100.02897924999999,101.4,2362,0,1,2048,50,156.86090087890625,-1.342015590518713,-0.00019681453704833984,-0.009083134890533983,0.2,0.010561126,0.11044921875,0.0003,345.97728366851806
-105.25486115384615,99.56410256410257,1761,2,2,4096,60,89.27433776855469,-1.3451781418174504,-0.0017992258071899414,-0.006262220496137161,0.2,0.010257402,0.07333984375,0.0003,283.9596688270569
-105.25486115384615,99.56410256410257,846,7,3,6144,70,54.91695022583008,-1.3327719628810883,0.1833438277244568,-0.001820307903108187,0.2,0.0023605116,0.0,0.0003,188.17068920135497
-105.25486115384615,99.56410256410257,557,14,4,8192,80,0.2644270360469818,-1.3063352666795254,-8.235127449035645,-0.004760358440398705,0.2,0.012826258,0.084765625,0.0003,1.482997565669939
-105.25486115384615,99.56410256410257,426,24,5,10240,90,0.03863293677568436,-1.2834041133522986,-0.30320000648498535,-0.026371632600785233,0.2,0.013953439,0.229296875,0.0003,1.8621006801957265
-105.25486115384615,99.56410256410257,348,35,6,12288,100,0.011955223977565765,-1.2613272931426764,-0.02736520767211914,-0.02387943093563081,0.2,0.019569885,0.196484375,0.0003,1.4948813157505356
-117.39876464912281,249.3684210526316,381,37,7,14336,110,0.0047897957265377045,-1.1710634909570217,-0.02347731590270996,-0.022918340157048078,0.2,0.037318528,0.16728515625,0.0003,1.0475024365237915
-115.89196822368424,215.21052631578948,419,39,8,16384,120,43.5331916809082,-1.308498489484191,0.0863463282585144,-0.001111999630666105,0.2,0.00288991,4.8828125e-05,0.0003,216.2766726255417
-115.26472672043015,196.8279569892473,455,40,9,18432,130,38.835182189941406,-1.3055559176951648,0.6815934777259827,-0.0014440141007071362,0.2,0.0067833913,0.0052734375,0.0003,132.58365819454193
-117.63500000000002,192.59,488,41,10,20480,140,30.536178588867188,-1.2860484894365072,0.8115260750055313,-0.006146546031959588,0.2,0.011522159,0.07373046875,0.0003,73.78098031282425
-119.2793,198.33,518,43,11,22528,150,8.107097625732422,-1.2727515023201703,0.8848479390144348,-0.003717725744354539,0.2,0.010547603,0.05009765625,0.0003,49.721956023573874
-121.73539999999998,208.68,544,45,12,24576,160,23.924280166625977,-1.1553661167621612,0.7405815720558167,-0.003078148244821932,0.2,0.0073240767,0.031201171875,0.0003,92.5362106114626
-117.9058,133.07,569,46,13,26624,170,15.7523193359375,-1.1245997436344624,0.7757913172245026,-0.0017835147475125269,0.2,0.0024846336,0.004150390625,0.0003,83.25815080106258
