time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/entropy_loss,train/loss
2048,0,2671,-198.21878847619047,95.85714285714286,1,,,,,,,,,,
4096,2,1921,-174.75187839024392,98.29268292682927,2,1849.346079826355,0.005368326,-0.009302377700805664,-0.00588434536693967,0.0003,0.002978515625,0.2,10,-1.3841869425028563,329.32080078125
6144,3,1777,-168.01480429032264,98.90322580645162,3,880.116582775116,0.006372415,-0.021391630172729492,-0.006396284104994265,0.0003,0.0248046875,0.2,20,-1.3741762153804302,324.49578857421875
8192,4,1724,-157.2197488674699,98.28915662650603,4,749.1701892852783,0.0044235485,-0.008268117904663086,-0.0054957868414931,0.0003,0.012890625,0.2,30,-1.367551762610674,146.98170471191406
10240,6,1688,-154.07470587,99.38,5,594.3603687763214,0.009863902,-0.0025213956832885742,-0.007209384125599172,0.0003,0.061279296875,0.2,40,-1.3453961212188006,305.8279724121094
2048,0,2354,0.0,107.72222222222223,1,643.5008657455444,0.011038132,-0.012169957160949707,-0.010311311085388297,0.0003,0.109619140625,0.2,50,-1.3392429884523154,376.5260314941406
4096,2,1772,0.0,107.94594594594595,2,132.661363697052,0.011263261,0.005779623985290527,-0.005246742075541988,0.0003,0.07783203125,0.2,60,-1.3267575897276402,49.20262908935547
6144,3,1638,0.0,105.8103448275862,3,77.95865953862668,0.005658679,0.1287093162536621,-0.005905874757445417,0.0003,0.03994140625,0.2,70,-1.3095361456274985,5.044721603393555
8192,5,1582,0.0,102.0875,4,6.844649478513747,0.013138233,0.7093712091445923,-0.007072595547651872,0.0003,0.13310546875,0.2,80,-1.293148034438491,0.9066380262374878
10240,6,1552,0.0,97.0,5,2.6205595125211403,0.013160238,0.8890871629118919,-0.007835673595400295,0.0003,0.147802734375,0.2,90,-1.2595128003507852,0.17018049955368042
12288,8,1526,0.0,94.86,6,0.9803735197172501,0.012432462,0.7541662156581879,-0.008185989345656708,0.0003,0.121484375,0.2,100,-1.1982990998774767,0.028938699513673782
14336,9,1513,0.0,87.37,7,0.5326507529825903,0.017638946,0.6220369935035706,-0.010115402020892362,0.0003,0.20908203125,0.2,110,-1.2153777960687875,0.04067163169384003
16384,10,1505,0.0,82.08,8,0.16341491794009927,0.01626215,0.21703416109085083,-0.0066835202567745,0.0003,0.13349609375,0.2,120,-1.1659474343061447,-0.009953833185136318
18432,12,1499,0.0,77.54,9,0.04893228370565339,0.015109783,-0.3902137279510498,-0.010773723064630758,0.0003,0.145556640625,0.2,130,-1.1015681568533182,0.0192851759493351
20480,13,1494,0.0,74.77,10,0.008707090697498643,0.013248691,-1.409682273864746,-0.005444037111010403,0.0003,0.1171875,0.2,140,-1.0021402779966593,0.011062934063374996
22528,15,1490,0.0,73.59,11,0.0023581981627103232,0.0054495893,-1.704087257385254,-0.0009975337568903341,0.0003,0.02880859375,0.2,150,-1.0362958988174795,-0.003844283288344741
24576,16,1487,0.0,72.38,12,0.0007242613090511441,0.008024306,-3.1977381706237793,-0.004392318484315183,0.0003,0.062841796875,0.2,160,-1.0513874618336558,-0.016036055982112885
26624,17,1484,0.0,73.56,13,0.0004479092780911742,0.010727547,-4.44158411026001,-0.004813371332420502,0.0003,0.086962890625,0.2,170,-1.005740618146956,0.01710466295480728
