rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_range,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction
-109.54093276470587,1874,1,119.70588235294117,1,2048,,,,,,,,,,,
-136.2103605294118,1477,2,119.94117647058823,2,4096,0.0038967496,0.2,1689.822434425354,0.0023642778396606445,0.9937703013420105,-0.004211919177032541,0.0003,-2.8298438638448715,445.7345275878906,10,0.022021484375
-126.54296214285714,1395,3,123.0,4,6144,0.0059792907,0.2,1627.1611600875854,-0.013574957847595215,0.9974095821380615,-0.008432872567209416,0.0003,-2.8280219212174416,501.4205322265625,20,0.046337890625
-121.73207566101696,1120,4,137.4915254237288,7,8192,0.0062244353,0.2,903.4246822357178,0.0008401274681091309,1.0126837491989136,-0.0073548029467929155,0.0003,-2.849332468956709,398.7342224121094,30,0.04970703125
-121.38721069117646,968,5,150.16176470588235,10,10240,0.004826082,0.2,561.9486166954041,0.15143299102783203,1.0308037996292114,-0.0054945710930041965,0.0003,-2.880528263002634,182.76437377929688,40,0.033544921875
-122.8143889390244,1004,6,147.9390243902439,12,12288,0.008422944,0.2,420.6255660533905,0.17949646711349487,1.037609338760376,-0.009991670682939002,0.0003,-2.9057551816105844,94.8270263671875,50,0.0787109375
-121.67608011578947,1027,7,149.54736842105262,13,14336,0.009696877,0.2,388.1897560596466,-0.0823439359664917,1.0239250659942627,-0.00676694862486329,0.0003,-2.8977346807718276,242.8794708251953,60,0.095849609375
-122.06522695,1048,8,150.66,15,16384,0.006440525,0.2,892.5253568649292,-0.018978357315063477,1.0229237079620361,-0.0033647465141257273,0.0003,-2.8884328573942186,405.4170837402344,70,0.05478515625
-119.91982382,992,9,163.13,18,18432,0.0059577534,0.2,699.6269045829773,-0.001015305519104004,1.0348831415176392,-0.0030179159868566783,0.0003,-2.8963271379470825,326.78607177734375,80,0.025244140625
-118.25363962000003,1009,10,169.46,20,20480,0.0073331064,0.2,375.91501250267027,0.00015228986740112305,1.028780460357666,-0.002536707360559376,0.0003,-2.899756905436516,320.0821838378906,90,0.031494140625
-116.25827554,921,11,182.65,24,22528,0.0048830207,0.2,496.00933465957644,-0.0005033016204833984,1.020340919494629,-0.004119343297497835,0.0003,-2.885926426202059,229.29908752441406,100,0.068701171875
-114.01490921999999,852,12,191.44,28,24576,0.0036893156,0.2,553.7739972114563,-0.00043320655822753906,1.0215036869049072,-0.0025475539798208045,0.0003,-2.876715528964996,186.33274841308594,110,0.016552734375
-112.09369427,856,13,205.93,31,26624,0.008181888,0.2,227.86844902038575,0.0001881718635559082,1.018466830253601,-0.005588711973541649,0.0003,-2.877000343054533,117.0213623046875,120,0.046875
-110.06451520999997,843,14,199.49,33,28672,0.007956216,0.2,732.9161749839783,-0.00045359134674072266,1.0102795362472534,-0.004338869080675068,0.0003,-2.864301025867462,237.732421875,130,0.093603515625
-111.01382927,843,15,204.89,36,30720,0.006989994,0.2,928.8646636962891,0.00010573863983154297,1.0058602094650269,-0.0020775397068064196,0.0003,-2.850342840701342,739.8973388671875,140,0.06728515625
-109.23154425000003,821,16,214.89,39,32768,0.005635428,0.2,526.435710811615,-0.0005800724029541016,0.991863489151001,-0.004649309255182743,0.0003,-2.8349595181643963,645.7732543945312,150,0.064599609375
-105.63721707999999,816,17,217.13,42,34816,0.00533117,0.2,655.9703589439392,-1.4066696166992188e-05,0.9933184385299683,-0.004259617619391065,0.0003,-2.8228111676871777,199.5640106201172,160,0.03173828125
-107.90419859,791,18,226.65,46,36864,0.0060554817,0.2,535.3264809131622,-0.0010151863098144531,0.994521975517273,-0.004851571210019756,0.0003,-2.8264396861195564,390.71759033203125,170,0.03681640625
-105.94077168999998,796,19,240.15,48,38912,0.005971281,0.2,427.0863883495331,0.008889555931091309,0.9929611682891846,-0.004775748475367436,0.0003,-2.8241999678313734,321.20709228515625,180,0.0275390625
-100.71456840999997,790,20,253.89,51,40960,0.0063597215,0.2,923.9235883235931,-0.08725714683532715,0.9885976314544678,-0.005253238947989303,0.0003,-2.820482488721609,434.8461608886719,190,0.038623046875
-101.79336097999997,777,21,265.46,55,43008,0.0058141416,0.2,304.4774397134781,0.0007091164588928223,0.9889193773269653,-0.004949360912723933,0.0003,-2.814555402100086,93.01652526855469,200,0.039208984375
-100.08741330999999,756,22,267.17,59,45056,0.0064551346,0.2,323.56260256767274,-0.22062456607818604,0.9926127791404724,-0.005287855367350857,0.0003,-2.8186062395572664,140.2000274658203,210,0.042919921875
-99.69797439,762,23,279.22,61,47104,0.007655225,0.2,159.37459907531738,0.14257264137268066,0.9860970377922058,-0.005970307820825837,0.0003,-2.817491398006678,116.50802612304688,220,0.08466796875
-100.99931529999999,761,24,285.8,64,49152,0.003760306,0.2,533.5540733814239,0.0312732458114624,0.9821473956108093,-0.003492374908819329,0.0003,-2.805294282734394,170.6955108642578,230,0.020654296875
-95.31214221000002,745,25,304.45,68,51200,0.0074857445,0.2,517.5042655944824,0.1667535901069641,0.9854557514190674,-0.007631577660504263,0.0003,-2.8044098198413847,240.44483947753906,240,0.04814453125
-95.35635395,722,26,320.59,73,53248,0.008755186,0.2,101.83027104735375,0.5030083060264587,0.9861021041870117,-0.0050202507081849035,0.0003,-2.8097678773105144,112.73889923095703,250,0.06025390625
-88.68200248000001,711,27,327.96,77,55296,0.0069997367,0.2,305.047670674324,0.1600624918937683,0.9836727380752563,-0.0034983200603164732,0.0003,-2.8074823938310147,89.49588775634766,260,0.0607421875
-93.30357946,695,28,333.66,82,57344,0.005646714,0.2,70.22046592831612,0.5833327770233154,0.9698656797409058,-0.005636767302348744,0.0003,-2.791468019038439,20.118785858154297,270,0.04736328125
-88.84559015,683,29,351.45,86,59392,0.004985435,0.2,95.5228293478489,0.46814489364624023,0.9617313146591187,-0.0031301221199100835,0.0003,-2.767424365133047,26.690874099731445,280,0.0435546875
-85.51695059,676,30,359.32,90,61440,0.008904608,0.2,56.320085150003436,0.5920038521289825,0.960850715637207,-0.006663478860718897,0.0003,-2.7590185567736625,21.41164779663086,290,0.06865234375
-84.80719375999999,659,31,376.12,96,63488,0.010668208,0.2,38.59870437085628,0.5941131114959717,0.9446206092834473,-0.0060093137377407405,0.0003,-2.7410024970769884,9.105354309082031,300,0.089697265625
-83.66567774,651,32,392.84,100,65536,0.0134054525,0.2,42.031799900531766,0.49890148639678955,0.9062126278877258,-0.008164512903022114,0.0003,-2.6760469913482665,18.81560707092285,310,0.09189453125
-79.97971901000001,641,33,408.77,105,67584,0.0077321045,0.2,35.415350458025934,0.08912396430969238,0.8964989185333252,-0.005699050612747669,0.0003,-2.626621875166893,10.210022926330566,320,0.06259765625
-80.01572034,626,34,424.54,111,69632,0.0058139833,0.2,34.72773875296116,0.20450174808502197,0.9015938639640808,-0.006868240470066666,0.0003,-2.626871358603239,11.950758934020996,330,0.05283203125
-78.3630484,619,35,447.09,115,71680,0.010258648,0.2,40.28672289699316,0.268276572227478,0.8877502679824829,-0.005079233602737076,0.0003,-2.614269642531872,9.457304000854492,340,0.07177734375
-74.46648843,618,36,461.83,119,73728,0.0048738634,0.2,86.53361920714379,0.2856319546699524,0.8813446164131165,-0.005537206449662335,0.0003,-2.591271921992302,5.395461559295654,350,0.075390625
-74.45847796999999,618,37,477.62,122,75776,0.0064908927,0.2,149.70468648076059,0.0976683497428894,0.8783890008926392,-0.003914404329407262,0.0003,-2.5809246458113195,27.614641189575195,360,0.0466796875
-71.41118377,614,38,494.49,126,77824,0.004950561,0.2,57.71499899327755,0.5907000005245209,0.8717993497848511,-0.0050127509777667,0.0003,-2.571927638351917,7.457446575164795,370,0.053662109375
-69.93894723999999,608,39,502.88,131,79872,0.0073652025,0.2,70.73272925913334,0.5045414566993713,0.8711174726486206,-0.0044117445337178655,0.0003,-2.5622054606676103,17.35235023498535,380,0.0765625
-67.11028476999999,604,40,520.08,135,81920,0.006079899,0.2,30.743916073441504,0.7829540967941284,0.8488105535507202,-0.0027128456327773164,0.0003,-2.5371446825563906,14.212686538696289,390,0.053271484375
-64.04434401999998,596,41,535.73,140,83968,0.007504826,0.2,41.17494836896658,0.6963703334331512,0.8399475812911987,-0.0036969706990930716,0.0003,-2.497707364708185,4.9240922927856445,400,0.059423828125
-63.86179184,590,42,552.0,145,86016,0.0059641907,0.2,40.43326400965452,0.6664421260356903,0.8328332901000977,-0.004374395423656097,0.0003,-2.4802202224731444,7.494456768035889,410,0.0615234375
-60.992177810000015,586,43,568.41,150,88064,0.006318818,0.2,30.9189306281507,0.8024705052375793,0.8299335241317749,-0.002368320141977165,0.0003,-2.469713141024113,6.567535400390625,420,0.062744140625
-57.291800120000005,579,44,584.53,155,90112,0.003724548,0.2,48.86278462782502,0.6435171067714691,0.8206664323806763,-0.00035950718011008577,0.0003,-2.4533812567591666,4.850729465484619,430,0.047265625
-57.86420949,574,45,601.55,160,92160,0.0064631915,0.2,33.213570116460325,0.7661091089248657,0.809442400932312,-0.005107165382651146,0.0003,-2.4290773078799246,4.930100917816162,440,0.096826171875
-52.60498252,570,46,617.98,165,94208,0.0065293447,0.2,32.67211005017161,0.7386745512485504,0.802690863609314,-0.004116485016857041,0.0003,-2.4071813225746155,2.399494171142578,450,0.0662109375
-52.36267804,566,47,626.4,169,96256,0.0066152676,0.2,37.06062370315194,0.8195581287145615,0.7910318374633789,-0.0018358628509304253,0.0003,-2.3839995421469213,4.538601398468018,460,0.08505859375
-50.783723519999995,565,48,642.05,173,98304,0.00763619,0.2,37.92447561845184,0.8435616791248322,0.7819156646728516,-0.007404720892373007,0.0003,-2.353329859673977,4.149941444396973,470,0.098291015625
-48.57320049,565,49,667.05,177,100352,0.006544077,0.2,36.1361800827086,0.8604316413402557,0.7751476764678955,-0.006324071159178856,0.0003,-2.3345636501908302,3.2716777324676514,480,0.074755859375
-45.84535101,560,50,684.48,182,102400,0.010524171,0.2,60.231288343667984,0.7646991014480591,0.7682691812515259,-0.007914810258080251,0.0003,-2.317930284142494,5.666841983795166,490,0.09609375
-45.94530015000001,553,51,692.85,188,104448,0.005847155,0.2,47.948428973555565,0.8232574760913849,0.7741786241531372,-0.0022957933993893675,0.0003,-2.322167457640171,3.1858649253845215,500,0.06044921875
-40.70466388,550,52,709.51,193,106496,0.006236999,0.2,46.072449219971894,0.8089669495820999,0.763224720954895,-0.0029496738061425276,0.0003,-2.3105198837816716,3.740535020828247,510,0.0640625
-40.33934764,548,53,725.77,197,108544,0.0066158995,0.2,35.396307019144295,0.8710423111915588,0.7469054460525513,-0.003372678857704159,0.0003,-2.2767786376178263,2.137399435043335,520,0.069189453125
-39.48907421,549,54,734.17,201,110592,0.008693793,0.2,49.32670570462942,0.8304071724414825,0.7371244430541992,-0.004931460447187419,0.0003,-2.2413240328431128,3.99052095413208,530,0.124560546875
-35.91624658,545,55,749.87,206,112640,0.005557146,0.2,34.18370576798916,0.8958458080887794,0.7335212230682373,-0.001118473968381295,0.0003,-2.221116901934147,305.96966552734375,540,0.073779296875
-36.04298344,541,56,766.19,211,114688,0.008507995,0.2,39.149677561968566,0.8663507997989655,0.7285100221633911,-0.002440356296574464,0.0003,-2.210265137255192,2.947270393371582,550,0.085595703125
-32.88847359,538,57,776.32,216,116736,0.0100084515,0.2,43.8694344855845,0.8550607413053513,0.7164498567581177,-0.0068580388877308,0.0003,-2.1863096587359907,1.220071792602539,560,0.128515625
-31.52655029,534,58,798.14,222,118784,0.0040849713,0.2,100.62345746457576,0.7109314501285553,0.7131316661834717,-0.0014966612970965798,0.0003,-2.165141609311104,427.2811584472656,570,0.029150390625
-30.229360100000005,534,59,814.61,225,120832,0.007859917,0.2,58.99432744309306,0.8539704531431198,0.7054874300956726,-0.004318596862140112,0.0003,-2.150973106920719,2.26359224319458,580,0.083251953125
