time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
1,-125.36884633333332,107.72222222222223,1880,2048,1,,,,,,,,,,,
2,-152.49684894594594,110.02702702702703,1493,4096,2,-2.8400595262646675,0.0003,10,1.0040736198425293,0.2,647.2694702148438,2115.0648399353026,0.045458984375,-0.006565704836975783,0.005844809,6.955862045288086e-05
3,-138.00188745454543,111.0,1415,6144,4,-2.8346833534538747,0.0003,20,0.9956245422363281,0.2,962.1297607421875,2636.966185760498,0.035791015625,-0.005521655260236002,0.004977299,-0.010861396789550781
4,-135.03612382089554,112.70149253731343,1222,8192,6,-2.8541033774614335,0.0003,30,1.0152475833892822,0.2,184.76162719726562,658.2047991275788,0.11103515625,-0.011726426173117943,0.010504171,-0.006268024444580078
5,-132.68030418072286,123.26506024096386,1103,10240,9,-2.875233346223831,0.0003,40,1.0215773582458496,0.2,182.31024169921875,661.7241613864899,0.040966796875,-0.00548734902695287,0.0040179705,0.023210763931274414
6,-130.00512003092783,126.30927835051547,1117,12288,10,-2.880300785601139,0.0003,50,1.0204955339431763,0.2,192.91180419921875,714.3829756736756,0.051025390625,-0.006401531753363087,0.005249361,0.07311153411865234
7,-129.44604832,131.84,1129,14336,12,-2.8735969446599485,0.0003,60,1.0181375741958618,0.2,85.11741638183594,356.3059460163116,0.084716796875,-0.0027755931543651967,0.005928717,-0.009728193283081055
8,-128.72869230999999,135.4,1139,16384,14,-2.8767439939081667,0.0003,70,1.0183948278427124,0.2,309.7085876464844,424.0230100631714,0.067578125,-0.005537059737253003,0.0062491093,-0.00020432472229003906
9,-125.1854418,147.53,996,18432,18,-2.8717796206474304,0.0003,80,1.0162649154663086,0.2,119.42759704589844,357.1168826818466,0.05087890625,-0.00602329428147641,0.006446686,-0.0015946626663208008
10,-121.49029195000001,154.06,1008,20480,20,-2.864573536068201,0.0003,90,1.0110163688659668,0.2,170.31326293945312,260.03558871746066,0.00859375,-0.002213596602814505,0.0027625242,0.026142239570617676
11,-121.23612363999999,163.71,1017,22528,22,-2.860035992413759,0.0003,100,1.010853886604309,0.2,299.7596740722656,427.8971082925797,0.0248046875,-0.005147943132033106,0.0047318796,-0.03666543960571289
12,-120.06447757,171.41,1020,24576,24,-2.8559260673820974,0.0003,110,1.0071097612380981,0.2,125.03087615966797,368.0027230739594,0.022216796875,-0.005027144008636242,0.0040722955,0.014765441417694092
13,-114.95414040999998,189.39,926,26624,28,-2.8512872621417045,0.0003,120,1.0065128803253174,0.2,162.27621459960938,378.4427199840546,0.033642578125,-0.0042770393789396625,0.005511592,0.014469623565673828
14,-118.38830448,195.74,866,28672,33,-2.8501370579004286,0.0003,130,1.0061976909637451,0.2,75.17929077148438,179.05874655246734,0.035986328125,-0.004777195201313589,0.00691495,0.03540521860122681
15,-116.36050228999999,210.44,860,30720,35,-2.851998568326235,0.0003,140,1.0080645084381104,0.2,101.72260284423828,320.81067526340485,0.032177734375,-0.005796541852032533,0.005289062,-0.0022735595703125
16,-113.36505116000001,226.2,834,32768,39,-2.855150692909956,0.0003,150,1.0079636573791504,0.2,369.59478759765625,404.81279640197755,0.024072265625,-0.002879253403079929,0.0039116405,-0.014140009880065918
17,-108.94719334000001,242.2,801,34816,43,-2.8526625715196134,0.0003,160,1.0059618949890137,0.2,239.8798065185547,295.9117411613464,0.059423828125,-0.006801242944493424,0.008125156,0.032143235206604004
18,-109.25054410999999,256.88,764,36864,48,-2.8363725140690805,0.0003,170,0.9888274073600769,0.2,54.54826736450195,145.38601772785188,0.053759765625,-0.005128037990652956,0.008921351,0.10332298278808594
19,-105.57349479999999,274.44,719,38912,54,-2.8162971675395965,0.0003,180,0.9879924058914185,0.2,32.28538513183594,142.8670973777771,0.080224609375,-0.00723019498254871,0.008603165,0.06760597229003906
20,-102.61697498,293.15,696,40960,58,-2.811569508165121,0.0003,190,0.9870448112487793,0.2,13.437248229980469,68.47609010934829,0.0890625,-0.006948135963466484,0.009041871,0.3987441062927246
