time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss
2048,-133.8642609,1,1961,100.5,1,,,,,,,,,,,
4096,-140.3826452105263,2,1472,106.76315789473684,2,2117.3902057647706,0.0003,0.2,-2.8391597285866736,0.0046598,1.002276062965393,0.0007933974266052246,0.033935546875,10,-0.005351528445316944,810.3787231445312
6144,-131.3493898727273,3,1371,109.69090909090909,4,1427.249942588806,0.0003,0.2,-2.8358164079487325,0.005133369,0.9950165748596191,-0.007393479347229004,0.025390625,20,-0.0044593081664061176,636.497314453125
8192,-134.857351875,4,1317,113.23611111111111,6,1273.4815882682801,0.0003,0.2,-2.825932765007019,0.0049706846,0.994893491268158,-0.03305840492248535,0.038427734375,30,-0.005807035329053178,405.21148681640625
10240,-130.76903743209877,5,1079,125.39506172839506,9,1021.5308065414429,0.0003,0.2,-2.8312023632228374,0.0032987073,0.994382381439209,-0.0011898279190063477,0.057421875,40,-0.0008461899284156971,490.7630615234375
12288,-132.20412347959183,6,1096,124.85714285714286,11,427.3286139011383,0.0003,0.2,-2.818017742782831,0.0041095437,0.9906019568443298,0.013378024101257324,0.025146484375,50,-0.003411505628901068,179.7157440185547
14336,-131.98692158999998,7,1112,126.5,12,384.36952500343324,0.0003,0.2,-2.8251014217734336,0.009328073,0.9943349361419678,-0.009302735328674316,0.10302734375,60,-0.006275258415917051,251.2781524658203
16384,-136.48148185999997,8,1115,130.48,14,420.75487060546874,0.0003,0.2,-2.8330608807504176,0.0059281634,0.9974711537361145,-0.008687734603881836,0.05537109375,70,-0.005048500990960747,545.2257080078125
18432,-134.31672691000003,9,997,141.18,18,380.2082989692688,0.0003,0.2,-2.836948497593403,0.007452273,1.0051088333129883,-0.0003775358200073242,0.064111328125,80,-0.007182354143878911,139.88543701171875
20480,-136.88884894,10,1012,147.01,20,328.3720111131668,0.0003,0.2,-2.8457974694669246,0.0046818564,1.0044851303100586,0.0017762184143066406,0.016552734375,90,-0.004382282667211257,245.83547973632812
22528,-134.48138271,11,1023,153.1,22,475.9894022464752,0.0003,0.2,-2.8485832415521144,0.0137798395,1.0093772411346436,-0.003459453582763672,0.0615234375,100,-0.00543613439440378,259.9177551269531
24576,-133.40688421,12,1027,161.84,23,427.9802011013031,0.0003,0.2,-2.8529437616467477,0.004993453,1.0092122554779053,-0.0007412433624267578,0.0533203125,110,-0.004038625005341601,230.7409210205078
26624,-135.72495987,13,1012,158.45,26,358.664542222023,0.0003,0.2,-2.854824834316969,0.0052207564,1.006169080734253,-0.00045609474182128906,0.025146484375,120,-0.0035486381839291425,170.95379638671875
28672,-133.6392634,14,1001,173.42,28,522.3271298408508,0.0003,0.2,-2.8454534597694874,0.003727829,1.0005167722702026,0.0028181076049804688,0.0177734375,130,-0.00393920678870927,419.3612976074219
30720,-129.10467895999997,15,957,188.24,32,311.53903982639315,0.0003,0.2,-2.8291926264762877,0.004771288,0.9883031249046326,0.033845365047454834,0.0400390625,140,-0.005214121483732015,217.53140258789062
32768,-128.51490778,16,906,199.52,36,262.6759937047958,0.0003,0.2,-2.8033507846295835,0.006192345,0.9774860143661499,0.007915914058685303,0.03701171875,150,-0.0048326463715056885,51.78676986694336
34816,-125.68803111,17,885,211.67,39,227.21062585115433,0.0003,0.2,-2.788221102207899,0.0044911234,0.9719541072845459,0.03610539436340332,0.041162109375,160,-0.0037274644724675453,60.734764099121094
36864,-123.21729779000003,18,887,229.45,41,151.57477656006813,0.0003,0.2,-2.7754300236701965,0.0045089866,0.9654825925827026,0.16699594259262085,0.021484375,170,-0.00523272330792679,41.49222946166992
38912,-120.60044881,19,876,246.06,44,398.1263694524765,0.0003,0.2,-2.7651639595627784,0.005744678,0.962901771068573,0.06585824489593506,0.049462890625,180,-0.005724693719821516,228.42758178710938
40960,-120.18246730000003,20,839,263.36,48,260.1767657160759,0.0003,0.2,-2.7645554140210153,0.006870024,0.9659416675567627,0.1613842248916626,0.032080078125,190,-0.009217044852630352,101.9361572265625
43008,-117.23155163000001,21,821,278.21,52,174.02789570093154,0.0003,0.2,-2.7673320710659026,0.0072552315,0.964033842086792,0.2290496826171875,0.073095703125,200,-0.007451331357151503,91.8021469116211
45056,-112.44873466000001,22,798,298.12,56,103.13600119352341,0.0003,0.2,-2.757474451512098,0.005447489,0.9568439722061157,0.5388655066490173,0.064013671875,210,-0.007401174666301813,119.94161224365234
47104,-108.60009276000001,23,770,313.91,61,107.01850374341011,0.0003,0.2,-2.741982365399599,0.014473392,0.9495092630386353,0.5528767108917236,0.10615234375,220,-0.005847026364062913,44.258636474609375
49152,-108.60180941000003,24,745,324.34,65,52.943048438429834,0.0003,0.2,-2.7007511176168917,0.014513774,0.9239031076431274,0.7200350761413574,0.120361328125,230,-0.007424379850272089,16.984466552734375
51200,-105.30608294,25,728,344.54,70,103.54212492108346,0.0003,0.2,-2.6728958286345006,0.0040783323,0.9193550944328308,0.5407229065895081,0.040185546875,240,-0.004455123002117034,21.27095603942871
53248,-103.17994804999998,26,716,358.17,74,137.56668658852578,0.0003,0.2,-2.6600648552179336,0.01078707,0.9145795106887817,0.24623334407806396,0.1095703125,250,-0.007349559626891278,23.178564071655273
55296,-99.88270912999998,27,705,371.77,78,76.37900572419167,0.0003,0.2,-2.658584176748991,0.008738764,0.9148759841918945,0.5349568724632263,0.0666015625,260,-0.005130350703984732,17.867219924926758
