time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/loss,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/std
1,1,-132.19275985000002,1966,99.75,2048,,,,,,,,,,,
2,2,-131.0166561025641,1523,103.82051282051282,4096,0.2,980.884521484375,10,0.003577427,0.016357421875,-0.003134777413652046,0.00011587142944335938,2171.3390151977537,0.0003,-2.8358207449316977,0.9977420568466187
4,3,-132.15631211538462,1296,108.36538461538461,6144,0.2,726.6508178710938,20,0.0048767156,0.028076171875,-0.003875977185089141,-0.026867389678955078,1207.2358810424805,0.0003,-2.8394183926284313,1.0044482946395874
7,4,-128.5194881076923,1032,124.35384615384615,8192,0.2,438.40789794921875,30,0.0077969367,0.04580078125,-0.0046122127387207,0.0016984343528747559,965.6917464256287,0.0003,-2.832780837267637,0.9915719628334045
9,5,-130.03615682716048,1055,122.67901234567901,10240,0.2,280.4791564941406,40,0.006943696,0.04541015625,-0.004803779028588906,0.03449225425720215,437.39402041435244,0.0003,-2.821173386275768,0.9856016635894775
13,6,-129.64645621505375,937,131.03225806451613,12288,0.2,178.58477783203125,50,0.005600378,0.069189453125,-0.006753861761535518,0.1367056965827942,410.00206842422483,0.0003,-2.8035567723214627,0.9827884435653687
14,7,-131.62837770000002,958,133.44,14336,0.2,265.0666809082031,60,0.005477402,0.02060546875,-0.0035714622616069393,0.30848515033721924,456.695800113678,0.0003,-2.7982338294386864,0.9787846803665161
16,8,-131.61606300999998,980,141.68,16384,0.2,167.79583740234375,70,0.006357119,0.066357421875,-0.00477260519110132,-0.0729529857635498,510.9554224967957,0.0003,-2.797765276581049,0.9772013425827026
18,9,-130.38825911,1001,147.17,18432,0.2,426.0589599609375,80,0.0066084834,0.040771484375,-0.00411838703439571,-0.09517455101013184,710.1743107795716,0.0003,-2.791421961784363,0.9791343212127686
20,10,-126.80872379000002,1011,150.43,20480,0.2,266.1416931152344,90,0.0124318935,0.09794921875,-0.005236498500744346,0.0013131499290466309,430.14558992385867,0.0003,-2.7762966580688953,0.9656628966331482
22,11,-129.03911862999996,996,145.34,22528,0.2,394.6775207519531,100,0.0065657464,0.0306640625,-0.0034755932254483925,-0.0005943775177001953,1176.4917728424073,0.0003,-2.7657708704471586,0.9639647006988525
25,12,-129.31532305000002,967,157.45,24576,0.2,255.5679931640625,110,0.0052768677,0.020849609375,-0.005725195803097449,0.003074049949645996,504.45120644569397,0.0003,-2.76213698387146,0.9632060527801514
28,13,-124.13059921999998,923,176.6,26624,0.2,101.18196868896484,120,0.0066761924,0.047998046875,-0.0062854622992745135,0.007646024227142334,287.44957437515257,0.0003,-2.7594346262514593,0.9587303400039673
30,14,-122.87694024000001,936,174.9,28672,0.2,60.769161224365234,130,0.005689566,0.06318359375,-0.004208202908921521,0.11690419912338257,200.57451411485673,0.0003,-2.753646283596754,0.959892749786377
36,15,-118.57545779,842,192.6,30720,0.2,490.9288330078125,140,0.008403501,0.0712890625,-0.007530922529258533,-0.013667464256286621,506.91424865722655,0.0003,-2.7421585932374,0.946807861328125
