rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/loss
105.10526315789474,2048,1,-148.79427489473687,1954,1,,,,,,,,,,,
102.46153846153847,4096,2,-134.65919761538464,1520,2,0.022314453125,-2.8226213209331035,10,0.9860328435897827,0.0003,0.0042713513,-0.0007541179656982422,-0.0037929786878521552,2383.0448009490965,0.2,1274.283935546875
104.24137931034483,6144,3,-128.88167546551725,1425,4,0.068017578125,-2.8083371497690677,20,0.9874242544174194,0.0003,0.008488842,-0.0017626285552978516,-0.007186710201494861,2025.9324604034423,0.2,820.1298828125
109.28378378378379,8192,4,-140.88522955405406,1361,6,0.035498046875,-2.8015075504779814,30,0.9758250117301941,0.0003,0.005719812,-0.0196073055267334,-0.004627847707888577,862.6488207817077,0.2,637.2633666992188
112.62222222222222,10240,5,-136.51269707777777,1339,7,0.038037109375,-2.791141898185015,40,0.9809097051620483,0.0003,0.0059099942,0.0037270784378051758,-0.004098647175123915,942.3496054649353,0.2,282.36395263671875
115.07,12288,6,-135.48010486,1315,9,0.101513671875,-2.7985210061073302,50,0.9837279319763184,0.0003,0.00828461,-0.0957021713256836,-0.004662189540977124,923.081377029419,0.2,1091.658203125
118.02,14336,7,-134.88046720999998,1307,10,0.029443359375,-2.805736508220434,60,0.9806411266326904,0.0003,0.003928221,-0.0009002685546875,-0.0006643508328124881,1242.6081894874574,0.2,1265.8883056640625
120.93,16384,8,-135.79158865000002,1300,12,0.02421875,-2.8006192982196807,70,0.9830667972564697,0.0003,0.0038847388,-0.002943873405456543,-0.005595050798729062,883.0020451545715,0.2,282.0541076660156
124.29,18432,9,-139.80545786000002,1285,14,0.11298828125,-2.789905696362257,80,0.9740076065063477,0.0003,0.0093303975,-1.6689300537109375e-05,-0.010980599132017233,430.4974935054779,0.2,420.5552673339844
127.95,20480,10,-136.67617954000002,1272,16,0.038671875,-2.78970685377717,90,0.978264570236206,0.0003,0.0048521208,-0.0005232095718383789,-0.0027321262183249927,843.9113285064698,0.2,271.2976989746094
141.46,22528,11,-134.51841824000002,1180,19,0.048828125,-2.7971183352172373,100,0.9799606204032898,0.0003,0.006630934,-0.000586390495300293,-0.00459837078669807,583.3970779418945,0.2,260.7414855957031
146.04,24576,12,-134.39088609,1174,20,0.033837890625,-2.798984218388796,110,0.9813467860221863,0.0003,0.005524288,0.001521766185760498,-0.0074156869326543525,382.90021004676817,0.2,116.36372375488281
152.69,26624,13,-133.57550817,1165,22,0.06298828125,-2.7957464143633843,120,0.9766355752944946,0.0003,0.0059644193,-0.0641794204711914,-0.00680804937146604,272.3591736078262,0.2,196.6132049560547
