time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss
1,1,2048,1944,-124.12112672222221,111.05555555555556,,,,,,,,,,,
4,2,4096,836,-137.62951074999998,143.39285714285714,-0.004814058737247251,1.0143028497695923,0.2,667.40185546875,0.004394429,10,0.005214393138885498,-2.852961114048958,0.02841796875,0.0003,1624.717130279541
6,3,6144,934,-137.2685412653061,122.08163265306122,-0.007250904632383026,1.0261297225952148,0.2,392.5704345703125,0.00650125,20,0.03510439395904541,-2.881221190094948,0.051904296875,0.0003,1082.1476640701294
8,4,8192,993,-132.49653897101453,117.97101449275362,-0.0029774530223221516,1.0244845151901245,0.2,873.4519653320312,0.0042204256,30,-0.0010563135147094727,-2.8884027041494846,0.014013671875,0.0003,3140.931338882446
9,5,10240,1027,-135.2134145764706,120.4235294117647,-0.002533598533773329,1.0221011638641357,0.2,531.0264282226562,0.003650654,40,-0.006742596626281738,-2.885813044756651,0.018701171875,0.0003,1413.8740501403809
11,6,12288,1053,-141.51885357,119.65,-0.005929222422128078,1.0117881298065186,0.2,355.3107604980469,0.0072679454,50,-0.003390789031982422,-2.8714121386408804,0.0552734375,0.0003,1257.4405338287354
13,7,14336,1058,-140.88163846999998,122.61,-0.003979493780934718,1.006224513053894,0.2,615.5564575195312,0.0146119185,60,-0.1627368927001953,-2.862186101824045,0.11279296875,0.0003,739.6787170886994
15,8,16384,1060,-140.86994534000002,119.69,-0.0021547971955442335,1.0113704204559326,0.2,443.9934997558594,0.004412257,70,-0.003984332084655762,-2.855358812958002,0.02041015625,0.0003,1064.3431287765502
17,9,18432,1068,-135.80966933999997,126.89,-0.006913109692686703,1.0174705982208252,0.2,667.4273681640625,0.007324386,80,-0.0005767345428466797,-2.863975305110216,0.0908203125,0.0003,685.6664340496063
19,10,20480,1065,-139.2875834,133.17,-0.002434855149476789,1.018582820892334,0.2,150.0983123779297,0.012564502,90,-0.00015211105346679688,-2.8677824907004834,0.07509765625,0.0003,591.4610938072204
20,11,22528,1073,-130.44776972000003,139.68,-0.006107355445419671,1.0071500539779663,0.2,773.9407348632812,0.0057087587,100,-0.0033763647079467773,-2.859467452764511,0.0546875,0.0003,665.5553134441376
22,12,24576,1072,-132.05483478999997,143.14,-0.007564659372292226,1.0087668895721436,0.2,644.1610107421875,0.0068552103,110,-0.002653956413269043,-2.853344798833132,0.067578125,0.0003,561.6450516700745
26,13,26624,1021,-125.76966991,155.04,-0.002420119145244826,1.0079615116119385,0.2,70.64608001708984,0.0038501194,120,0.08920592069625854,-2.854203462600708,0.0083984375,0.0003,311.92362961769106
28,14,28672,1021,-122.80784317999998,166.22,-0.003517834881495219,1.0057339668273926,0.2,62.959861755371094,0.0038277216,130,0.16350680589675903,-2.850911521911621,0.014306640625,0.0003,244.8747143983841
29,15,30720,1028,-118.37629911999998,170.47,-0.00608975715294946,1.0059280395507812,0.2,135.50794982910156,0.004035821,140,0.2393607497215271,-2.848622601479292,0.024462890625,0.0003,497.0401000022888
31,16,32768,1033,-121.18788142,177.85,-0.0042053503260831345,1.0037598609924316,0.2,122.56713104248047,0.004538578,150,0.1359790563583374,-2.848703374713659,0.023486328125,0.0003,247.36436638832092
34,17,34816,1019,-117.12249759000002,187.66,-0.0022853693313663825,1.0047855377197266,0.2,234.8548583984375,0.0038819113,160,0.31705230474472046,-2.845356620848179,0.012744140625,0.0003,675.8577293634414
36,18,36864,1015,-113.14016317,194.01,-0.004242869628797052,0.9976111650466919,0.2,87.45170593261719,0.0035031585,170,0.4438210129737854,-2.838872230052948,0.02509765625,0.0003,297.4056053161621
40,19,38912,958,-114.78819308,206.84,-0.006557104169041849,1.0024785995483398,0.2,77.01090240478516,0.0050108326,180,0.42077553272247314,-2.83689768910408,0.0396484375,0.0003,274.30849595069884
42,20,40960,959,-113.79507495000001,214.86,-0.007411183294607326,1.004753589630127,0.2,146.8662109375,0.0048954743,190,0.5430887043476105,-2.843249336630106,0.02783203125,0.0003,297.887993144989
46,21,43008,922,-112.03277487999998,226.36,-0.005879885175818345,0.9964685440063477,0.2,159.0970458984375,0.004321453,200,0.5350649058818817,-2.8374465689063073,0.035009765625,0.0003,312.9206192970276
50,22,45056,898,-112.37897785000001,232.71,-0.004597698615543777,0.981337308883667,0.2,24.537940979003906,0.006767272,210,0.7736357301473618,-2.8143295899033545,0.042041015625,0.0003,148.45591615438462
53,23,47104,877,-112.51319297999999,252.44,-0.0068744425472687,0.9809920787811279,0.2,36.55988311767578,0.0059180222,220,0.848910391330719,-2.798743971437216,0.058203125,0.0003,112.66378775835037
