time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
2048,-139.8621563888889,1,112.94444444444444,1,1986,,,,,,,,,,,
4096,-137.1905075277778,2,111.38888888888889,2,1546,-0.004895882254641037,1.0090197324752808,-2.8446516409516334,0.0006413459777832031,785.7813110351562,0.004373963,10,0.030908203125,1990.3484155654908,0.0003,0.2
6144,-139.4245077358491,4,115.75471698113208,3,1431,-0.005565300240050419,1.0200203657150269,-2.8645019486546515,-0.010628223419189453,768.9398193359375,0.0050222804,20,0.0455078125,1803.3327182769776,0.0003,0.2
8192,-133.1849436,5,116.41428571428571,4,1387,-0.006036138797935564,1.0140656232833862,-2.8711342722177506,-0.009777665138244629,344.65313720703125,0.004798283,30,0.041845703125,733.1091065406799,0.0003,0.2
10240,-135.24631072222223,7,112.91111111111111,5,1367,-0.006309618645173032,1.0221096277236938,-2.866219387203455,-0.009920954704284668,232.1307373046875,0.010319043,40,0.0623046875,610.2590612411499,0.0003,0.2
12288,-137.38498011,9,114.87,6,1336,-0.0058770540548721325,1.0204626321792603,-2.879613310098648,-0.0021309852600097656,178.15916442871094,0.015658444,50,0.148193359375,597.0225078105926,0.0003,0.2
14336,-142.46570946000003,10,115.84,7,1324,-0.006207050693046767,1.017593264579773,-2.874464359879494,-8.344650268554688e-07,249.49501037597656,0.005815995,60,0.06494140625,592.6528459072113,0.0003,0.2
16384,-141.04831668,12,119.43,8,1310,-0.013651234343706164,1.0174875259399414,-2.872437338531017,-0.027072429656982422,167.32286071777344,0.00608302,70,0.077978515625,837.6345606803894,0.0003,0.2
18432,-134.89508218999998,14,122.66,9,1296,-0.004115937183087226,1.0277920961380005,-2.8818276450037956,-3.731250762939453e-05,104.1085433959961,0.0061439816,80,0.053662109375,341.47432918548583,0.0003,0.2
20480,-134.71635092,17,134.11,10,1146,-0.009501306469610426,1.0167533159255981,-2.8838854275643824,-0.00019991397857666016,95.89208984375,0.011315702,90,0.09501953125,334.4208505153656,0.0003,0.2
