rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
-156.08146588235297,116.17647058823529,1,2048,1899,1,,,,,,,,,,,
-135.14721616666668,111.47222222222223,2,4096,1473,2,10,2180.47918510437,1.0081799030303955,-0.0031070535362232475,0.0003,0.014697265625,-0.003922581672668457,-2.8472306698560716,0.003055688,0.2,897.6038208007812
-138.73875083018865,114.20754716981132,3,6144,1374,4,20,1600.8488372802735,1.0089218616485596,-0.004093272705358686,0.0003,0.024365234375,-0.014761686325073242,-2.8520660549402237,0.0036457328,0.2,643.0645751953125
-135.25429807042255,113.14084507042253,4,8192,1330,6,30,2180.8311876297,1.0162248611450195,-0.009759809848037548,0.0003,0.050537109375,-0.00386202335357666,-2.862122879177332,0.0064380886,0.2,477.3984680175781
-132.77203920987654,124.92592592592592,5,10240,1166,8,40,1312.1025512695312,1.0196605920791626,-0.004366258619120345,0.0003,0.02978515625,0.0019025802612304688,-2.8727020107209684,0.005040608,0.2,520.711669921875
-132.79648688999998,121.2,6,12288,1182,10,50,339.05637748241423,1.0211718082427979,-0.007472974863776472,0.0003,0.10283203125,0.1492331624031067,-2.8736120596528054,0.010916365,0.2,161.22647094726562
-133.05896176,122.1,7,14336,1193,12,60,356.6955933570862,1.0169358253479004,-0.007376329146791249,0.0003,0.1154296875,-0.002694845199584961,-2.8859295725822447,0.008425262,0.2,235.2532958984375
-135.57588947,125.5,8,16384,1198,13,70,447.05978045463564,1.0272129774093628,-0.01005826806249388,0.0003,0.104345703125,-0.0016402006149291992,-2.879069233685732,0.009500811,0.2,231.19412231445312
-138.3085084,135.22,9,18432,1145,16,80,359.15241918563845,1.027742624282837,-0.006786214591556927,0.0003,0.048388671875,-0.0008668899536132812,-2.8912459671497346,0.0091193095,0.2,94.66584014892578
-135.70146419,138.55,10,20480,1144,17,90,289.6954320669174,1.02940034866333,-0.0020498588375630787,0.0003,0.0080078125,0.001935720443725586,-2.893647249788046,0.0035028886,0.2,192.15936279296875
-136.433958,147.47,11,22528,1143,19,100,398.8664041042328,1.0313060283660889,-0.004463340205256827,0.0003,0.046826171875,-0.0018389225006103516,-2.8969120897352694,0.0067560533,0.2,394.0722351074219
-138.45190756999997,144.01,12,24576,1148,21,110,425.14505524635314,1.026831865310669,-0.008035153420496498,0.0003,0.05,-0.005828142166137695,-2.8953236557543276,0.008497042,0.2,159.73655700683594
-136.37145084,150.46,13,26624,1150,23,120,457.0506100177765,1.0314381122589111,-0.007984450325602665,0.0003,0.0720703125,-0.0003230571746826172,-2.894341666251421,0.009314159,0.2,345.6850280761719
-132.25714498000002,157.74,14,28672,1150,24,130,520.4687992095947,1.031571388244629,-0.0018909744947450235,0.0003,0.04541015625,-0.00021696090698242188,-2.8992466196417808,0.004724745,0.2,485.8619079589844
-131.69002066000002,161.92,15,30720,1145,26,140,530.2359199047089,1.0379087924957275,-0.0077832016191678125,0.0003,0.071435546875,-0.00039196014404296875,-2.908213749527931,0.0068271994,0.2,259.12078857421875
-131.42521492,177.94,16,32768,1087,30,150,525.7953464984894,1.031173825263977,-0.005589026198867942,0.0003,0.082666015625,-9.310245513916016e-05,-2.9047013483941555,0.006454089,0.2,209.07777404785156
-126.17237498,185.63,17,34816,1085,32,160,367.8325928688049,1.0400395393371582,-0.0033170253664138727,0.0003,0.05498046875,0.0003533363342285156,-2.9086852848529814,0.0063334242,0.2,144.64334106445312
-124.46291827,190.43,18,36864,1063,34,170,455.26661055088044,1.034231424331665,-0.005581965611781925,0.0003,0.0919921875,-0.00026404857635498047,-2.9086897268891336,0.007431149,0.2,370.0891418457031
-121.48960625000001,205.27,19,38912,1015,38,180,322.3535889863968,1.0266711711883545,-0.004604563103930559,0.0003,0.053271484375,0.0005747079849243164,-2.8936678424477575,0.006412849,0.2,397.9798583984375
-119.83206853,220.01,20,40960,991,41,190,233.54780963659286,1.0296146869659424,-0.0049055051116738465,0.0003,0.049658203125,0.00942903757095337,-2.889508206397295,0.0053545646,0.2,53.71284866333008
-116.20097561,238.11,21,43008,941,45,200,263.350390458107,1.0270154476165771,-0.00629024509980809,0.0003,0.033154296875,0.1373242735862732,-2.892146611213684,0.004695244,0.2,151.52154541015625
-116.01674001,251.78,22,45056,902,49,210,63.93376707732678,1.0206985473632812,-0.0069877285684924574,0.0003,0.077880859375,0.5387153327465057,-2.887147247046232,0.006419616,0.2,8.820725440979004
-112.98590372999999,264.89,23,47104,881,53,220,179.52656279802324,1.0169532299041748,-0.005128166671056533,0.0003,0.04765625,0.40162062644958496,-2.8733538538217545,0.0054849507,0.2,99.93836212158203
-109.66755873999999,281.81,24,49152,850,57,230,130.03014308810234,1.0178192853927612,-0.0034925918938824908,0.0003,0.02802734375,0.25829213857650757,-2.870871540158987,0.0056110686,0.2,29.933780670166016
-107.58526226999999,301.15,25,51200,819,62,240,51.68402875065804,1.0035176277160645,-0.008093193713284564,0.0003,0.079736328125,0.7506192177534103,-2.8563484109938146,0.010353831,0.2,11.371012687683105
-106.97210376999998,315.93,26,53248,790,67,250,92.22700685858726,1.0065200328826904,-0.005511836674122606,0.0003,0.07646484375,0.6129642426967621,-2.8453802287578585,0.00730027,0.2,205.74586486816406
