time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/entropy_loss
2048,1,1825,125.25,-174.4790094375,1,,,,,,,,,,,
4096,2,1408,113.54285714285714,-138.89791888571426,2,-0.002061009407043457,0.04130859375,0.2,0.0049682194,2260.40266456604,-0.0065303696203045545,0.0003,0.9981958866119385,10,707.6347045898438,-2.8365417614579203
6144,3,1278,116.17307692307692,-146.09123832692308,4,-0.031482696533203125,0.040087890625,0.2,0.005231375,2709.6925933837892,-0.005547466680582147,0.0003,0.9976474642753601,20,1111.09619140625,-2.833886883407831
8192,4,1242,113.70833333333333,-139.33306448611108,6,-0.005935788154602051,0.028125,0.2,0.0043102573,1138.2176075935363,-0.004478342946094926,0.0003,1.000828742980957,30,467.2120056152344,-2.83866026327014
10240,5,1217,113.33707865168539,-138.97772477528088,8,-0.00024569034576416016,0.063818359375,0.2,0.0058324663,1243.2075416564942,-0.007514612389786635,0.0003,0.9937109351158142,40,564.8330688476562,-2.830350408703089
12288,6,1214,113.99,-139.4441151,10,-0.004236102104187012,0.0591796875,0.2,0.0055329907,619.7344359397888,-0.003893494879594073,0.0003,0.9837756156921387,50,394.5523986816406,-2.8231349349021913
14336,7,1136,119.86,-134.86279702,12,0.0021198391914367676,0.0623046875,0.2,0.0053882394,703.857882642746,-0.0062516110512660815,0.0003,0.9803669452667236,60,327.1214599609375,-2.79371946901083
16384,8,1148,118.74,-142.80995973999998,14,0.10540932416915894,0.033447265625,0.2,0.0057336185,292.6949416160584,-0.004740602659148862,0.0003,0.9790303707122803,70,95.23600006103516,-2.7979707829654217
18432,9,1152,118.88,-138.68403645,15,-0.011184096336364746,0.021826171875,0.2,0.0052393265,854.9206376075745,-0.001287049257371109,0.0003,0.9778337478637695,80,515.2738647460938,-2.793528753519058
20480,10,1157,119.14,-145.30978456,17,0.011906862258911133,0.06708984375,0.2,0.007347684,637.9246622085572,-0.00856492103630444,0.0003,0.9782731533050537,90,168.57803344726562,-2.7940425157546995
22528,11,1155,120.63,-147.48554641,19,-0.03238201141357422,0.051904296875,0.2,0.006888925,402.29989194869995,-0.005675114646146539,0.0003,0.9846152067184448,100,95.53962707519531,-2.7986350804567337
24576,12,1157,113.44,-147.40416144,21,-0.043341994285583496,0.05986328125,0.2,0.0071111927,561.3064826011657,-0.0070588741546089295,0.0003,0.9881219863891602,110,301.97222900390625,-2.810339268296957
26624,13,1157,117.36,-141.29267405000002,23,0.027852773666381836,0.062353515625,0.2,0.0075460207,961.0633456230164,-0.005593564052833244,0.0003,0.9795861840248108,120,163.49594116210938,-2.806645863503218
28672,14,1153,126.43,-141.40696264,24,0.09500676393508911,0.05224609375,0.2,0.005542437,584.6732875347137,-0.0051379549739067444,0.0003,0.9758015275001526,130,257.2204284667969,-2.7916311331093313
30720,15,1148,134.17,-137.45979751000002,26,0.13167864084243774,0.0572265625,0.2,0.008870484,879.3209198951721,-0.00451357108031516,0.0003,0.9659683704376221,140,603.0018920898438,-2.778816021233797
32768,16,1079,147.34,-135.77378418,30,0.23449206352233887,0.04033203125,0.2,0.0060333265,429.3299154758453,-0.005703377751342486,0.0003,0.9718860387802124,150,185.33078002929688,-2.7739031597971917
34816,17,1062,153.86,-129.93969571,32,0.23030787706375122,0.039794921875,0.2,0.0072205337,311.77811379432677,-0.005448414992133621,0.0003,0.9756280183792114,160,172.74156188964844,-2.7850892946124075
36864,18,983,172.79,-127.09638411999997,37,0.06714886426925659,0.02587890625,0.2,0.0053425906,807.099097108841,-0.004356542497771443,0.0003,0.9700751304626465,170,400.3091735839844,-2.7826618939638137
38912,19,976,182.88,-124.97964685000001,39,0.3298836350440979,0.034423828125,0.2,0.0048045698,229.32436401844024,-0.0038985436603979906,0.0003,0.9589114189147949,180,17.05013084411621,-2.767131841182709
40960,20,975,191.68,-120.3303285,41,0.09925645589828491,0.044189453125,0.2,0.006665281,698.2080374717713,-0.005839717468916206,0.0003,0.9536234140396118,190,278.8750915527344,-2.7476150043308736
43008,21,919,204.08,-119.03849403999999,46,0.09144610166549683,0.065966796875,0.2,0.0073383558,537.6716025829315,-0.007652207787032239,0.0003,0.9531530141830444,200,243.9733428955078,-2.740376649796963
45056,22,861,225.4,-114.25463006,52,0.19322848320007324,0.028369140625,0.2,0.002768024,279.5740834951401,-0.0009208232921082526,0.0003,0.9453057050704956,210,92.87113189697266,-2.7352305956184866
