time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/std
1837,-140.46334322222225,112.94444444444444,2048,1,1,,,,,,,,,,,
1474,-126.14563679999999,114.17142857142858,4096,2,2,-0.002598285675048828,2706.3692672729494,0.006077512,0.0003,0.048193359375,-2.859769806265831,-0.007465061949915253,0.2,1130.01171875,10,1.019836187362671
1386,-137.1945516851852,113.0,6144,3,4,-0.004057645797729492,1271.3501356124877,0.0057636,0.0003,0.03955078125,-2.8774658255279064,-0.007175384741276503,0.2,508.1489562988281,20,1.0207009315490723
1342,-134.60200454166664,112.73611111111111,8192,4,6,-0.006094574928283691,698.7508975028992,0.0055300314,0.0003,0.0541015625,-2.8880386486649514,-0.005792219055001624,0.2,261.7789001464844,30,1.0285420417785645
1318,-136.76270914285712,112.45054945054945,10240,5,7,-0.0049304962158203125,587.0649925231934,0.010266607,0.0003,0.1064453125,-2.890011104941368,-0.013644468867278192,0.2,233.56980895996094,40,1.0239696502685547
1291,-139.54428086,115.16,12288,6,9,-0.000942230224609375,515.0162460327149,0.004697398,0.0003,0.05712890625,-2.9009774781763555,-0.004190213863330428,0.2,185.5409698486328,50,1.0402274131774902
1279,-139.78044185,118.64,14336,7,11,-0.00033342838287353516,377.9702425479889,0.008015517,0.0003,0.07412109375,-2.911910840123892,-0.0056964933624840345,0.2,210.7871551513672,60,1.034019947052002
1149,-138.92059819,131.04,16384,8,14,-0.0007359981536865234,436.83740463256834,0.0108863115,0.0003,0.075,-2.9069420859217643,-0.0038179776405740996,0.2,702.8055419921875,70,1.0371546745300293
1142,-136.54552433,134.59,18432,9,16,0.015192508697509766,251.658744263649,0.0051499484,0.0003,0.01552734375,-2.911948026716709,-0.004653004695137497,0.2,89.48910522460938,80,1.0379693508148193
1120,-130.851809,140.64,20480,10,18,-0.03748750686645508,399.9670177936554,0.0066458522,0.0003,0.05234375,-2.8979582324624062,-0.004905814027733868,0.2,303.09649658203125,90,1.0251877307891846
1038,-130.33825766,154.45,22528,11,21,0.0014297962188720703,372.3900571346283,0.002651099,0.0003,0.03408203125,-2.882281569391489,-0.003031136206845986,0.2,100.68052673339844,100,1.017386794090271
1044,-125.64881034999999,161.4,24576,12,23,0.010460972785949707,300.8003001451492,0.0038087862,0.0003,0.01376953125,-2.8690272442996503,-0.0030247226983192376,0.2,193.19081115722656,110,1.0145738124847412
1043,-124.11381506999999,170.3,26624,13,25,-0.0393681526184082,509.00599761009215,0.007794049,0.0003,0.043505859375,-2.872811730951071,-0.004352980000840034,0.2,260.2413635253906,120,1.0197412967681885
964,-119.60800823000001,185.65,28672,14,29,-0.0033178329467773438,498.79940309524534,0.0073543517,0.0003,0.060400390625,-2.872531085461378,-0.007628221667619073,0.2,279.7552490234375,130,1.0171607732772827
902,-116.70494903000001,200.27,30720,15,34,-0.0005280971527099609,283.6483536243439,0.005724242,0.0003,0.06376953125,-2.870975363254547,-0.005215622374089434,0.2,58.40900802612305,140,1.0173701047897339
840,-113.58334731999999,218.27,32768,16,38,0.0012640953063964844,255.18783431053163,0.00412108,0.0003,0.036474609375,-2.8661189913749694,-0.0035238133677921724,0.2,79.9034423828125,150,1.0114527940750122
