time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss
1,128.86666666666667,2048,1,1892,-140.76465793333335,,,,,,,,,,,
2,128.03225806451613,4096,2,1463,-154.760004483871,0.9983793497085571,0.0045868675,-0.0008459091186523438,-2.8368221297860146,10,1357.8776396751405,0.0337890625,0.0003,0.2,518.1989135742188,-0.004535444689099677
4,124.83673469387755,6144,3,1371,-142.1761306122449,1.0111169815063477,0.0037845958,-0.001773834228515625,-2.8449626229703426,20,1779.1064615249634,0.017138671875,0.0003,0.2,972.2366333007812,-0.004518703920621192
6,123.01515151515152,8192,4,1334,-133.64404075757577,1.0096585750579834,0.0041696476,-0.0009826421737670898,-2.85979043841362,30,2026.9130392074585,0.0234375,0.0003,0.2,796.2951049804688,-0.0036712054628878833
7,120.05882352941177,10240,5,1311,-135.62239535294114,1.0214390754699707,0.0059880447,-0.0219724178314209,-2.86588601693511,40,1008.8315298080445,0.031787109375,0.0003,0.2,250.6373291015625,-0.004064106164878467
9,123.9090909090909,12288,6,1274,-136.4601739090909,1.013505458831787,0.005868342,0.000340878963470459,-2.8651575349271297,50,677.6870456695557,0.08291015625,0.0003,0.2,234.15676879882812,-0.0022435821025283075
11,129.75,14336,7,1250,-137.78160603000003,1.0098347663879395,0.008095771,-0.026395559310913086,-2.8610639967024327,60,587.7052564144135,0.09951171875,0.0003,0.2,226.7152862548828,-0.009511692247906467
13,133.65,16384,8,1225,-135.31554269999998,1.002619981765747,0.008675119,-0.004580497741699219,-2.8500053726136683,70,584.2460171222687,0.065478515625,0.0003,0.2,258.8148193359375,-0.005567894939304097
15,135.35,18432,9,1218,-132.64707106000003,1.0094783306121826,0.0067125484,-0.004477977752685547,-2.8514137506484984,80,1173.9692980766297,0.0578125,0.0003,0.2,345.5675354003906,-0.006622967557632364
16,140.16,20480,10,1209,-133.21434292,0.9935200214385986,0.002294234,-0.06772422790527344,-2.8463482052087783,90,490.4749795436859,0.0525390625,0.0003,0.2,111.59590148925781,-0.005032794467115309
18,145.36,22528,11,1197,-129.08295935,0.9985389113426208,0.006713209,-3.921985626220703e-05,-2.8374709360301495,100,310.70785200595856,0.06708984375,0.0003,0.2,82.94513702392578,-0.006998071635462111
20,153.92,24576,12,1176,-128.65369904,1.0028437376022339,0.004262787,-0.00032138824462890625,-2.839022994041443,110,431.4119737625122,0.043115234375,0.0003,0.2,357.5500793457031,-0.003118545723555144
24,164.76,26624,13,1082,-129.26621572,1.0088789463043213,0.0057746656,-0.0008761882781982422,-2.8483343802392485,120,535.999711227417,0.03818359375,0.0003,0.2,181.24937438964844,-0.005180948998167878
26,166.11,28672,14,1087,-123.91414427,1.010880708694458,0.0069758072,3.719329833984375e-05,-2.859105685353279,130,558.8041482448577,0.048486328125,0.0003,0.2,273.3934326171875,-0.005026444384566275
28,168.8,30720,15,1085,-124.24398160000001,1.0025635957717896,0.006747694,-0.016475915908813477,-2.8507320754230023,140,588.8562017917633,0.052099609375,0.0003,0.2,264.0367431640625,-0.004694335082604084
30,173.38,32768,16,1069,-122.91317104000001,1.0116808414459229,0.011202769,-1.5616416931152344e-05,-2.851361907273531,150,420.7232584476471,0.074462890625,0.0003,0.2,117.59904479980469,-0.009362639093887992
34,186.71,34816,17,1011,-119.49724514000002,1.0133081674575806,0.007470525,-2.193450927734375e-05,-2.861874444782734,160,397.95621819496154,0.06455078125,0.0003,0.2,120.875732421875,-0.005249110943259439
37,198.26,36864,18,989,-120.21511857000002,1.0086536407470703,0.0065359576,5.781650543212891e-06,-2.8629394590854647,170,315.8119714975357,0.050439453125,0.0003,0.2,395.1653747558594,-0.0038357853292836806
40,209.6,38912,19,957,-119.19457267999998,1.0122206211090088,0.0048835184,7.808208465576172e-06,-2.8565570443868635,180,782.850700712204,0.061328125,0.0003,0.2,343.5007629394531,-0.0035301523574162276
44,228.24,40960,20,910,-116.38342377,1.0102137327194214,0.009341288,8.26120376586914e-05,-2.8587006740272045,190,297.64040422439575,0.088330078125,0.0003,0.2,232.05157470703125,-0.005729166489618365
50,237.7,43008,21,859,-115.20974423,1.0090065002441406,0.006727961,0.00035309791564941406,-2.856039871275425,200,192.7616063117981,0.089013671875,0.0003,0.2,213.7480010986328,-0.0063396139368705915
55,254.58,45056,22,814,-112.50033980999999,1.011772632598877,0.0054061604,0.10118812322616577,-2.8578946612775327,210,131.3170975327492,0.025439453125,0.0003,0.2,34.20327377319336,-0.004848680505529046
57,268.62,47104,23,818,-108.32445374,1.0095713138580322,0.008245394,0.4744764566421509,-2.859497743099928,220,65.46848806738853,0.052734375,0.0003,0.2,17.84550666809082,-0.005542296044586692
62,278.96,49152,24,790,-108.32321250999999,1.0094537734985352,0.0029654272,0.17253386974334717,-2.856710307300091,230,436.75035252571104,0.010791015625,0.0003,0.2,165.60101318359375,-0.0025916190963471307
66,301.08,51200,25,771,-105.41840938000001,1.0058162212371826,0.004553089,0.48049628734588623,-2.853781717270613,240,180.04894371032714,0.028271484375,0.0003,0.2,156.5927734375,-0.006119519581261557
70,310.93,53248,26,750,-103.24411264000003,1.0043604373931885,0.0062460657,0.6259968876838684,-2.8483130156993868,250,154.26419565081596,0.046923828125,0.0003,0.2,21.549142837524414,-0.003948492008203175
74,334.1,55296,27,737,-98.84374233000004,0.99208003282547,0.007839963,0.767570823431015,-2.8327851220965385,260,72.23585749268531,0.067724609375,0.0003,0.2,118.68441009521484,-0.005751114814484026
78,350.56,57344,28,730,-97.21047695000001,0.9806680679321289,0.0064389138,0.8072876930236816,-2.810906755179167,270,62.19202207326889,0.077197265625,0.0003,0.2,15.416258811950684,-0.007861186866648495
83,362.29,59392,29,714,-92.30493721000002,0.9747047424316406,0.005672798,0.7359545826911926,-2.7943838238716125,280,57.63156405389309,0.044970703125,0.0003,0.2,7.916244983673096,-0.0026716794309322722
88,379.44,61440,30,691,-92.40341204,0.9719704389572144,0.0046334425,0.7083072662353516,-2.7838643468916415,290,114.26509862542153,0.04609375,0.0003,0.2,28.760784149169922,-0.003096740365435835
93,399.72,63488,31,678,-90.54519218,0.9574201107025146,0.012516275,0.7160508632659912,-2.7620363742113114,300,73.20808679759503,0.096923828125,0.0003,0.2,10.873835563659668,-0.006755230476846919
98,410.98,65536,32,664,-87.91283578000001,0.9499064087867737,0.0072466405,0.6108124256134033,-2.7387915320694445,310,115.78661367595195,0.06376953125,0.0003,0.2,84.8507080078125,-0.002439529234834481
103,424.11,67584,33,652,-87.28112477000002,0.9500159621238708,0.007618775,0.5527976453304291,-2.7341458909213543,320,87.98097587525845,0.03681640625,0.0003,0.2,13.276250839233398,-0.001773398241493851
110,440.98,69632,34,632,-81.85612166000003,0.9520436525344849,0.0034275888,0.7041535675525665,-2.7345868580043318,330,93.22542847394944,0.050927734375,0.0003,0.2,20.43441390991211,-0.00263172117411159
114,456.05,71680,35,626,-84.18256015000001,0.9367010593414307,0.006658516,0.7332650423049927,-2.7203086987137794,340,61.55938892662525,0.0634765625,0.0003,0.2,6.28158712387085,-0.004315933289763052
120,473.23,73728,36,610,-77.46732045,0.9382534027099609,0.0026104895,0.49590152502059937,-2.7059617139399053,350,137.84561789035797,0.04287109375,0.0003,0.2,10.67627239227295,-0.0010817458329256623
125,489.28,75776,37,601,-76.92506528,0.9211238622665405,0.009921017,0.7862869501113892,-2.685536599159241,360,36.892832262814046,0.09208984375,0.0003,0.2,8.496658325195312,-0.0070620906961266884
129,504.92,77824,38,600,-72.51352713,0.92219078540802,0.004901189,0.42034703493118286,-2.669650986045599,370,130.96166343390942,0.036328125,0.0003,0.2,6.7307634353637695,-0.003544324982794933
134,521.08,79872,39,592,-69.52115365000002,0.9228746294975281,0.008608731,0.7998881936073303,-2.6749445386230946,380,47.73121668994427,0.093603515625,0.0003,0.2,7.8324971199035645,-0.00512627662246814
140,538.56,81920,40,581,-69.36621686000001,0.9148006439208984,0.005185566,0.7617905288934708,-2.6647560611367225,390,40.908810359984635,0.064794921875,0.0003,0.2,4.087213516235352,-0.0037599768525979015
144,555.83,83968,41,581,-67.88199797,0.9040204286575317,0.00621166,0.679570347070694,-2.646753776818514,400,43.12391788363457,0.057373046875,0.0003,0.2,9.390385627746582,-0.002738277360185748
148,572.8,86016,42,580,-66.58416901000001,0.8934134840965271,0.012225883,0.9167443737387657,-2.6221199683845042,410,19.003436734527348,0.12099609375,0.0003,0.2,4.880175590515137,-0.010476613651553635
154,584.45,88064,43,569,-63.61006390000001,0.8936816453933716,0.00331855,0.4766920208930969,-2.6112639479339124,420,138.73126783072948,0.04990234375,0.0003,0.2,65.01971435546875,-0.0018693961093958933
158,603.98,90112,44,567,-61.71285068,0.8918831944465637,0.0062753614,0.5979119837284088,-2.6090241678059103,430,77.25619322061539,0.0595703125,0.0003,0.2,15.051042556762695,-0.005390790985984495
164,614.58,92160,45,561,-60.802230000000016,0.8900418877601624,0.0034113694,0.5424165725708008,-2.6044459328055383,440,138.83792814314364,0.036962890625,0.0003,0.2,83.37999725341797,-0.003223712291219272
168,637.34,94208,46,560,-57.73165468,0.8841776251792908,0.0070495675,0.7185004651546478,-2.5929378464818003,450,53.971922390162945,0.07080078125,0.0003,0.2,9.020540237426758,-0.006189207926217933
173,650.17,96256,47,555,-54.176233769999996,0.8850603103637695,0.0069404994,0.6109045743942261,-2.5888893246650695,460,84.81989472508431,0.0888671875,0.0003,0.2,92.18026733398438,-0.0032462407820275986
177,666.57,98304,48,552,-52.902001609999985,0.8770555257797241,0.007618471,0.6332038640975952,-2.5817159421741964,470,68.444455447793,0.094921875,0.0003,0.2,8.224871635437012,-0.003993457619799301
182,672.76,100352,49,550,-49.11052776,0.8792502880096436,0.005969259,0.6071090400218964,-2.5746172085404395,480,136.2622234046459,0.072021484375,0.0003,0.2,43.67971420288086,-0.005431938912079204
185,690.21,102400,50,552,-49.08719832999999,0.875591516494751,0.0061480235,0.6724171936511993,-2.5737909324467183,490,60.065550808608535,0.0478515625,0.0003,0.2,2.8032519817352295,-0.00293548180925427
191,707.8,104448,51,546,-46.63151766999999,0.872768759727478,0.0047889394,0.6283038854598999,-2.566198793798685,500,85.7438879981637,0.056884765625,0.0003,0.2,47.45642852783203,-0.002775270077108871
195,711.32,106496,52,545,-45.21121195,0.871773362159729,0.0070746266,0.8248890191316605,-2.562571883201599,510,34.14940705150366,0.05634765625,0.0003,0.2,6.024631977081299,-0.004679971894074697
200,727.99,108544,53,540,-41.858725559999996,0.8672202825546265,0.008140587,0.7316364943981171,-2.554955310374498,520,151.02345559298993,0.060986328125,0.0003,0.2,79.6288070678711,-0.0045751979530905375
206,735.83,110592,54,534,-39.43581373999999,0.8402799367904663,0.008362907,0.8028724193572998,-2.513928985595703,530,26.09389722496271,0.06787109375,0.0003,0.2,4.6314826011657715,-0.001410586461861385
212,753.31,112640,55,529,-38.374376989999995,0.8368927240371704,0.003957408,0.6817991137504578,-2.483797321468592,540,41.61207773834467,0.07314453125,0.0003,0.2,5.861373424530029,-0.00523813071922632
217,755.0,114688,56,528,-38.49389567000001,0.839893639087677,0.0051736943,0.7406083047389984,-2.4823667593300343,550,72.99969272315502,0.07646484375,0.0003,0.2,9.074853897094727,-0.0051060354096989615
221,766.54,116736,57,527,-35.330766479999994,0.8384034633636475,0.0031402984,0.5944247543811798,-2.4834052808582783,560,57.75687722712755,0.056640625,0.0003,0.2,6.800174713134766,-0.0014798105046793352
227,774.61,118784,58,522,-35.50327929,0.8389843702316284,0.007747162,0.7764472961425781,-2.4806293420493604,570,56.55124970525503,0.074609375,0.0003,0.2,3.2068722248077393,-0.008295973457279615
233,766.89,120832,59,518,-38.77741261,0.8357104063034058,0.0039846003,0.889678955078125,-2.4735519990324972,580,34.96682157851755,0.0517578125,0.0003,0.2,231.7716522216797,-0.0007237149373395368
236,770.87,122880,60,519,-34.22860767,0.8285437822341919,0.006193433,0.5891714990139008,-2.463455857336521,590,65.99899269491434,0.0685546875,0.0003,0.2,3.972689390182495,-0.0020877627073787155
