rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/loss,train/explained_variance,train/clip_range,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss
-133.85419437500002,1,123.8125,1924,1,2048,,,,,,,,,,,
-134.4377766,2,114.91428571428571,1498,2,4096,1206.7052001953125,0.000807642936706543,0.2,0.9919729232788086,0.032421875,0.0003,10,0.004016895,-2.8283269010484218,-0.004513793236401398,2341.804170036316
-130.88710224528305,4,115.16981132075472,1397,3,6144,844.0908813476562,-0.010064244270324707,0.2,0.9883684515953064,0.03974609375,0.0003,20,0.005676246,-2.8177378453314303,-0.004788770916638896,1923.8856882095338
-129.08050887323944,6,114.11267605633803,1363,4,8192,754.1370239257812,-0.011102557182312012,0.2,0.9843758940696716,0.0521484375,0.0003,30,0.0058134664,-2.808139201998711,-0.0072402800295094496,1688.7635951995849
-126.87781257777777,7,113.44444444444444,1338,5,10240,1803.79833984375,-0.0019228458404541016,0.2,0.9746320247650146,0.068310546875,0.0003,40,0.010855321,-2.7934695951640607,-0.004252760448434856,1016.6466272354126
-125.08495583,9,116.76,1303,6,12288,253.0746612548828,-0.00695955753326416,0.2,0.9723555445671082,0.0541015625,0.0003,50,0.009846144,-2.782321943342686,-0.004889805638231337,805.6934807777404
-126.34832192000002,11,116.98,1289,7,14336,1398.6038818359375,-0.025574803352355957,0.2,0.975395917892456,0.03515625,0.0003,60,0.0055067316,-2.7883681051433085,-0.006463886824349174,1150.9973625183106
-124.81987570999999,12,121.15,1274,8,16384,151.04263305664062,-0.00011610984802246094,0.2,0.9742247462272644,0.113720703125,0.0003,70,0.00789522,-2.7885806530714037,-0.005736556871852372,347.7312680721283
-125.28222154999999,14,125.9,1254,9,18432,324.0799865722656,-0.00217437744140625,0.2,0.9763838052749634,0.05654296875,0.0003,80,0.0074603297,-2.787330999970436,-0.005502031810465269,549.1359203338623
-127.3301225,17,137.25,1147,10,20480,376.5739440917969,-0.007050275802612305,0.2,0.9813993573188782,0.03798828125,0.0003,90,0.005190676,-2.7924113154411314,-0.005723485934140626,823.5814633369446
-125.54635763,20,149.17,1083,11,22528,60.255245208740234,0.0005993843078613281,0.2,0.9822323322296143,0.00263671875,0.0003,100,0.0020114272,-2.800434222817421,-0.002342980180401355,354.8505578756332
-127.48635583,22,157.96,1079,12,24576,130.75872802734375,0.0015685558319091797,0.2,0.9768708944320679,0.034814453125,0.0003,110,0.0060192756,-2.7963746756315233,-0.005522174239740707,410.84987888336184
-123.54281989,26,170.08,995,13,26624,533.927490234375,-0.002927064895629883,0.2,1.0000689029693604,0.05615234375,0.0003,120,0.008224057,-2.814236334711313,-0.005479198120883666,416.743231678009
-122.56016522999998,29,179.12,988,14,28672,95.79237365722656,0.03052729368209839,0.2,1.0020846128463745,0.02724609375,0.0003,130,0.004685034,-2.8398005813360214,-0.005972895141894696,315.5231063365936
-121.32665784999999,31,182.85,978,15,30720,163.49119567871094,0.001478433609008789,0.2,1.0059711933135986,0.054345703125,0.0003,140,0.0053836303,-2.8469712056219576,-0.006078607574454509,616.0336575984954
-119.96111138,35,198.23,926,16,32768,111.45344543457031,0.17220300436019897,0.2,1.0039516687393188,0.032958984375,0.0003,150,0.0055201463,-2.8484825931489466,-0.00581627205829136,299.3317750453949
-117.81150272000001,40,212.88,854,17,34816,88.44769287109375,0.31519943475723267,0.2,0.9953867197036743,0.014794921875,0.0003,160,0.0035383056,-2.8375579677522182,-0.003557539769462892,198.28317120075226
-115.43146884,46,230.46,797,18,36864,66.98009490966797,0.406399130821228,0.2,0.9980119466781616,0.04619140625,0.0003,170,0.0059808353,-2.8312580972909926,-0.006555459795345086,169.26738567352294
-109.66160531999998,50,251.45,770,19,38912,25.382850646972656,0.5561234951019287,0.2,0.9918005466461182,0.03857421875,0.0003,180,0.0069048055,-2.8269503198564054,-0.003988024925638456,76.07280322909355
-107.02099709,56,265.79,726,20,40960,60.65534591674805,0.3816314935684204,0.2,0.9874986410140991,0.02890625,0.0003,190,0.0047693895,-2.8162458539009094,-0.005855190198053606,170.46459687948226
-104.69499117,62,284.35,691,21,43008,19.03070831298828,0.6884438991546631,0.2,0.9810534715652466,0.05322265625,0.0003,200,0.003925585,-2.8066832445561887,-0.005060765959206038,78.62995218634606
-103.98499296000001,67,302.15,663,22,45056,51.13232421875,0.43965452909469604,0.2,0.9744224548339844,0.041162109375,0.0003,210,0.005678721,-2.7937063075602055,-0.004540024008019827,148.511441218853
-99.33560756999998,71,320.14,656,23,47104,18.84103775024414,0.6437152624130249,0.2,0.9697728753089905,0.1083984375,0.0003,220,0.008364905,-2.781078313291073,-0.007981648616987514,63.47646894454956
-98.34385844999998,76,338.88,639,24,49152,31.069076538085938,0.4031170606613159,0.2,0.9580051898956299,0.0728515625,0.0003,230,0.007218688,-2.7630609922111034,-0.007819828214269364,147.83048028945922
-97.12192571,81,348.98,624,25,51200,53.9505500793457,0.45369845628738403,0.2,0.9456204175949097,0.09599609375,0.0003,240,0.0101743275,-2.7400453232228754,-0.007179608226579148,159.89094863533973
-94.61330217999999,85,371.18,622,26,53248,21.857547760009766,0.6007028222084045,0.2,0.9366745948791504,0.05185546875,0.0003,250,0.007640889,-2.716896643489599,-0.0029615349136292934,97.48195653855801
-92.04202034000002,88,388.75,625,27,55296,26.27959442138672,0.4553692936897278,0.2,0.9364137649536133,0.1048828125,0.0003,260,0.0072552757,-2.704593790322542,-0.00874175248463871,102.57171498537063
-90.60077713000001,93,405.91,615,28,57344,57.34018325805664,0.517770379781723,0.2,0.9240061640739441,0.06953125,0.0003,270,0.0066568013,-2.6922162532806397,-0.007877770789491478,149.97915145158768
-86.43939419,97,422.93,607,29,59392,10.511244773864746,0.7596045732498169,0.2,0.9041316509246826,0.092138671875,0.0003,280,0.0102040535,-2.654379080235958,-0.007813447213266045,56.70812554061413
-85.42511433,102,434.48,598,30,61440,10.224102020263672,0.7729995846748352,0.2,0.8955198526382446,0.10400390625,0.0003,290,0.009359438,-2.6254823610186575,-0.008416815820964985,51.60093996822834
-82.19157389,107,451.59,588,31,63488,9.217278480529785,0.5632086098194122,0.2,0.8865144848823547,0.06123046875,0.0003,300,0.0074262246,-2.6050612404942513,-0.006715876136877341,81.13016795516015
-81.74029376,113,469.15,576,32,65536,6.263213157653809,0.8181848675012589,0.2,0.8954740762710571,0.13173828125,0.0003,310,0.009189332,-2.6054126933217048,-0.006757938531518448,57.170870524644855
-79.31298055,117,495.48,573,33,67584,8.32558822631836,0.8061203062534332,0.2,0.8844835758209229,0.047998046875,0.0003,320,0.0044976445,-2.6059799753129482,-0.0028760039465851152,57.42138839662075
-77.17508583,122,510.75,568,34,69632,299.34307861328125,0.8022737950086594,0.2,0.8699231147766113,0.0912109375,0.0003,330,0.0074427784,-2.5730355717241764,-0.005789571177592734,56.586440448462966
-73.52756263,126,527.64,565,35,71680,6.553178787231445,0.8189546167850494,0.2,0.8639823198318481,0.06474609375,0.0003,340,0.005941823,-2.552773816138506,-0.0028847193090768995,45.15615209043026
-72.8251807,131,535.85,561,36,73728,3.7453720569610596,0.8192757368087769,0.2,0.8583508729934692,0.054150390625,0.0003,350,0.006367293,-2.539791878312826,-0.002541986601863755,43.641644161939624
-69.78779192,136,553.75,553,37,75776,1.361480951309204,0.8432547897100449,0.2,0.8438199758529663,0.080224609375,0.0003,360,0.0062025627,-2.5145407803356647,-0.005998324627580587,35.09050633534789
-68.34606136000001,141,562.52,549,38,77824,3.469843864440918,0.8188353329896927,0.2,0.8510855436325073,0.053466796875,0.0003,370,0.006409156,-2.506037736684084,-0.004818847707065288,40.86640128567815
-65.731378,146,579.01,544,39,79872,107.01497650146484,0.8557813912630081,0.2,0.8451980352401733,0.06416015625,0.0003,380,0.0076550804,-2.5090803623199465,-0.003211659021326341,33.264926828816535
-61.47623382,150,591.22,543,40,81920,1.8339378833770752,0.8156957477331161,0.2,0.8412896990776062,0.072216796875,0.0003,390,0.0075248294,-2.4964766569435595,-0.0036477222929534037,41.25866588130593
-59.57033538,153,608.38,546,41,83968,5.1713972091674805,0.6507682502269745,0.2,0.8367524147033691,0.069384765625,0.0003,400,0.005258238,-2.485857967287302,-0.0037999932806997093,57.81984057575464
-53.73808475,157,629.49,544,42,86016,4.3436784744262695,0.7621919810771942,0.2,0.8315413594245911,0.063037109375,0.0003,410,0.006782224,-2.4763272322714327,-0.004958824592176825,48.79540708139539
-49.952850070000004,161,644.07,544,43,88064,6.450564861297607,0.7028639912605286,0.2,0.8219279050827026,0.04169921875,0.0003,420,0.007452934,-2.4577154502272607,-0.0038640978586045095,81.24660606533288
-46.57906190999999,165,659.61,544,44,90112,20.611656188964844,0.6115067005157471,0.2,0.8199847936630249,0.0490234375,0.0003,430,0.004436686,-2.4432985104620455,-0.0019889205250365194,116.00891034007073
-41.98339039,169,671.04,544,45,92160,5.859556674957275,0.7539530396461487,0.2,0.8217302560806274,0.067724609375,0.0003,440,0.0060761035,-2.4401594430208204,-0.0008294621526147239,40.84820957928896
-39.66344987,172,690.69,546,46,94208,34.93753433227539,0.8191594332456589,0.2,0.8172971606254578,0.04248046875,0.0003,450,0.0069139916,-2.440322922170162,-0.0005220645834924653,55.9214008435607
-36.47712604,177,707.23,542,47,96256,24.262563705444336,0.7890417128801346,0.2,0.8128856420516968,0.073486328125,0.0003,460,0.004909969,-2.4297135546803474,-0.007318711093103047,94.02929147332907
-34.01341869,181,724.77,541,48,98304,257.2200927734375,0.7899204343557358,0.2,0.8084812164306641,0.06328125,0.0003,470,0.005572568,-2.4223063848912716,0.00038718928408343345,36.77939489297569
-33.06990332,185,732.27,541,49,100352,2.549311876296997,0.8060869127511978,0.2,0.8010514974594116,0.0716796875,0.0003,480,0.0072885174,-2.4045832842588424,-0.006058739029685967,47.44399266839027
-26.76487028,190,755.4,538,50,102400,5.079098224639893,0.8417502790689468,0.2,0.8050947189331055,0.06923828125,0.0003,490,0.005122249,-2.4008224003016947,-0.0005905718091526069,45.82979024350643
-24.524630460000004,194,770.46,537,51,104448,286.98919677734375,0.689894825220108,0.2,0.8014596700668335,0.047314453125,0.0003,500,0.0036164734,-2.4018662445247174,-0.0014674606416519964,78.14235251173378
-22.369042240000002,199,784.41,533,52,106496,2.810537815093994,0.8363535106182098,0.2,0.8043546676635742,0.0669921875,0.0003,510,0.00515572,-2.3994217924773693,-0.006271229629055597,49.9905742816627
-22.715470340000007,203,800.91,533,53,108544,173.07098388671875,0.8581709712743759,0.2,0.8070511817932129,0.08759765625,0.0003,520,0.0064722775,-2.4061396427452566,-0.0035705312744539696,38.262948682159184
-16.882648930000002,207,817.63,533,54,110592,3.4594950675964355,0.8174647092819214,0.2,0.8018725514411926,0.055859375,0.0003,530,0.005411269,-2.4030731208622456,-0.0032605320993752684,40.240257907658815
-16.866965089999997,212,832.14,530,55,112640,1.8901569843292236,0.8272966295480728,0.2,0.7982981204986572,0.047216796875,0.0003,540,0.0042132563,-2.3906458139419557,-0.0017061525126337075,38.08303459174931
-11.636907500000001,216,847.25,528,56,114688,3.6160333156585693,0.847832977771759,0.2,0.7894659042358398,0.117431640625,0.0003,550,0.008276646,-2.373524771630764,-0.007637881995469798,38.48940115980804
-7.45475815,222,862.39,525,57,116736,30.825435638427734,0.5735621154308319,0.2,0.7849061489105225,0.035107421875,0.0003,560,0.0041822563,-2.359563048183918,-0.001213172292773379,114.01354254186154
-4.5613550599999995,226,865.91,524,58,118784,8.034934997558594,0.7027229070663452,0.2,0.7850353717803955,0.0349609375,0.0003,570,0.005325278,-2.3541952103376387,-0.0012098906474420801,61.729006020724775
-1.0524772699999998,231,881.62,521,59,120832,30.876821517944336,0.5953406393527985,0.2,0.7839107513427734,0.03369140625,0.0003,580,0.006394998,-2.3523894123733045,-0.0012826452089939266,119.56150165647269
-0.7900043300000013,234,876.46,523,60,122880,0.675620973110199,0.759131446480751,0.2,0.7834378480911255,0.088916015625,0.0003,590,0.0063131237,-2.3528264999389648,-0.00011248263399465941,35.38194544110447
0.386417329999999,239,870.82,520,61,124928,185.72105407714844,0.4913213849067688,0.2,0.7848762273788452,0.05625,0.0003,600,0.0043324577,-2.3506199277937414,-0.004992806186783128,119.02259785830975
3.442302380000001,243,883.11,521,62,126976,5.106936931610107,0.6703447699546814,0.2,0.7784777879714966,0.05546875,0.0003,610,0.0060217814,-2.3442628636956213,-0.0018864293313527014,62.42297015786171
4.631933940000001,247,880.28,521,63,129024,12.235665321350098,0.7516969293355942,0.2,0.7794162034988403,0.10224609375,0.0003,620,0.00734888,-2.3379325561225412,-0.006328760411997791,71.2463272422552
7.239200350000002,251,884.0,521,64,131072,12.641794204711914,0.7600122392177582,0.2,0.7777280807495117,0.0736328125,0.0003,630,0.008398425,-2.3367361947894096,-0.00018492512026568875,54.46877830177546
9.645411379999999,254,871.06,522,65,133120,5.951160430908203,0.720281720161438,0.2,0.7745912671089172,0.0458984375,0.0003,640,0.0041035623,-2.3297358855605124,-0.0023061975720338524,85.1038475573063
10.27344025,259,872.48,520,66,135168,12.338807106018066,0.5614925622940063,0.2,0.767890453338623,0.029541015625,0.0003,650,0.005380315,-2.3178867548704147,-0.0015648277210857486,127.50099234580993
12.24733743,264,877.39,519,67,137216,22.98785400390625,0.6141950786113739,0.2,0.7553781867027283,0.051953125,0.0003,660,0.0062309285,-2.293442306667566,-0.0019087574801233131,86.4929014287889
15.674779910000002,269,881.46,516,68,139264,2.2722158432006836,0.6039600372314453,0.2,0.745269238948822,0.054541015625,0.0003,670,0.004302714,-2.2618342474102975,-0.002653930271480931,49.387758639454844
15.630483610000004,274,881.46,514,69,141312,8.245291709899902,0.5738843083381653,0.2,0.7450002431869507,0.0630859375,0.0003,680,0.005225514,-2.248497489094734,-0.0009522317526716506,63.558396036550405
