time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/loss
0,1,91.54545454545455,2048,-151.6120219090909,2291,,,,,,,,,,
2,2,90.77777777777777,4096,-160.57368331111113,1731,1754.7063474655151,10,0.0003,0.0015562772750854492,-1.3818077031522988,-0.007021398005599621,0.02626953125,0.2,0.008500599,525.2630004882812
3,3,95.046875,6144,-157.310888703125,1617,899.303664302826,20,0.0003,-0.011219978332519531,-1.3656712274998426,-0.007320419563620817,0.068310546875,0.2,0.010604814,200.9285430908203
5,4,98.09638554216868,8192,-155.65638039759034,1563,1232.3509621620178,30,0.0003,-0.002743959426879883,-1.346547320485115,-0.007071505388739752,0.060302734375,0.2,0.009101117,1645.9974365234375
6,5,100.33,10240,-156.09446411000002,1534,625.4553672790528,40,0.0003,-0.0018976926803588867,-1.3498711660504341,-0.007378618234361057,0.055419921875,0.2,0.0069988323,212.86924743652344
8,6,112.12,12288,-159.42210172,1420,492.4591962814331,50,0.0003,-0.0016202926635742188,-1.3235771894454955,-0.005405189004522981,0.1017578125,0.2,0.0076224366,261.6756286621094
10,7,115.62,14336,-154.56106169,1419,277.3762345314026,60,0.0003,0.0968010425567627,-1.337701416388154,-0.005611528168083168,0.02666015625,0.2,0.007339152,95.94786071777344
11,8,118.81,16384,-147.29797922,1418,706.5283941268921,70,0.0003,-0.24568688869476318,-1.313804567977786,-0.0005834406496433075,0.037353515625,0.2,0.0065288576,222.43458557128906
13,9,121.83,18432,-151.26102713999998,1414,692.044974565506,80,0.0003,-0.019851088523864746,-1.3059989847242832,-0.007092140087479493,0.0794921875,0.2,0.009465506,297.78143310546875
14,10,124.73,20480,-151.11573736,1411,433.30553832054136,90,0.0003,-0.013826966285705566,-1.2897721495479346,-0.004420123335148673,0.03232421875,0.2,0.0073388214,199.54403686523438
16,11,131.91,22528,-149.00249545,1406,345.47194411754606,100,0.0003,-0.0009419918060302734,-1.2534091278910637,-0.011593934323173016,0.2091796875,0.2,0.01056486,129.65957641601562
17,12,125.99,24576,-147.1032482,1404,410.0033080101013,110,0.0003,-0.0002269744873046875,-1.1858601585030555,-0.005858702497789636,0.11748046875,0.2,0.0061392337,152.7191925048828
19,13,132.7,26624,-144.46806924,1398,394.71578006744386,120,0.0003,-7.021427154541016e-05,-1.2155782040208578,-0.0061332304976531304,0.05107421875,0.2,0.008690544,141.18223571777344
20,14,140.2,28672,-140.94429446,1389,382.58168253898623,130,0.0003,-0.003457784652709961,-1.1490510310977697,-0.009470832932856865,0.1,0.2,0.009926719,189.0424041748047
22,15,149.88,30720,-137.79646128000002,1380,688.4208293914795,140,0.0003,-4.76837158203125e-05,-1.1302895452827215,-0.011439238466846292,0.154736328125,0.2,0.010151236,203.29359436035156
23,16,158.68,32768,-134.51556183,1372,421.4897562980652,150,0.0003,-2.1219253540039062e-05,-1.1503197606652975,-0.008975544034910854,0.109619140625,0.2,0.010469228,363.3380432128906
26,17,174.11,34816,-129.62611720999996,1323,417.01079030036925,160,0.0003,-0.0001652240753173828,-1.110582200437784,-0.00739773190653068,0.078515625,0.2,0.008881133,156.58709716796875
28,18,186.49,36864,-123.64757775,1300,249.60361850261688,170,0.0003,0.00040727853775024414,-1.1454309120774269,-0.003335900625825161,0.030322265625,0.2,0.00514282,109.83350372314453
30,19,198.64,38912,-125.66136855,1281,316.1536767244339,180,0.0003,0.000889897346496582,-1.0455828251317143,-0.004163389751920476,0.02099609375,0.2,0.007111399,94.42560577392578
32,20,210.66,40960,-122.12530484000001,1271,327.9447597026825,190,0.0003,0.0019036531448364258,-1.0450773909687996,-0.003487792196392547,0.01787109375,0.2,0.0045077056,170.79588317871094
34,21,223.5,43008,-116.86606074999997,1241,382.16388268470763,200,0.0003,-0.15845882892608643,-1.0513213559985162,-0.005873770619655261,0.048681640625,0.2,0.0047474075,145.88092041015625
36,22,231.46,45056,-114.25639798000002,1236,242.45667431354522,210,0.0003,-0.01675891876220703,-0.9639888986945152,-0.009055020911910105,0.104248046875,0.2,0.009011388,49.96730041503906
38,23,242.16,47104,-114.90112197,1232,509.83042392730715,220,0.0003,-0.01713883876800537,-1.014118235744536,-0.003610463924269425,0.018798828125,0.2,0.004744146,344.9114074707031
40,24,253.22,49152,-112.13887093999998,1221,354.2401948928833,230,0.0003,0.05461961030960083,-1.0238414304330945,-0.009270745680260007,0.048046875,0.2,0.0068741078,160.85877990722656
42,25,269.07,51200,-107.74022975000001,1208,324.53435809612273,240,0.0003,0.03909468650817871,-1.0402059415355325,-0.007169855869142339,0.06220703125,0.2,0.008087872,167.7523956298828
44,26,282.18,53248,-101.9203928,1196,201.7237719297409,250,0.0003,0.0477634072303772,-1.046295864507556,-0.004610150978260208,0.057421875,0.2,0.006363701,141.00765991210938
46,27,297.03,55296,-102.67432554000001,1181,447.32417187690737,260,0.0003,0.022540032863616943,-0.8890688059851527,-0.00468638082020334,0.03994140625,0.2,0.007007811,294.6910705566406
49,28,308.29,57344,-99.18536002,1164,275.1617084026337,270,0.0003,0.04660451412200928,-1.024267131090164,-0.006153417437599273,0.040234375,0.2,0.010295674,153.96026611328125
51,29,321.67,59392,-99.03245805,1153,135.50556154251097,280,0.0003,0.06550818681716919,-1.0784834936261176,-0.008188195366528817,0.099658203125,0.2,0.007698511,32.544986724853516
54,30,338.4,61440,-96.59331740000002,1121,320.55312089920045,290,0.0003,-0.10609495639801025,-0.9780651262030006,-0.0050688306684605776,0.0568359375,0.2,0.010029413,136.6582489013672
58,31,358.08,63488,-91.46993087999999,1092,71.64222497940064,300,0.0003,0.13807308673858643,-0.9861864743754267,-0.009792288331664168,0.118798828125,0.2,0.008660548,19.064842224121094
61,32,373.89,65536,-88.57678358999999,1072,124.88164467811585,310,0.0003,0.10821634531021118,-0.9923151606693864,-0.005026645967154764,0.06767578125,0.2,0.0066909986,121.60909271240234
64,33,390.02,67584,-87.54994199999999,1049,142.70818420648575,320,0.0003,0.1802254319190979,-1.0048473721370101,-0.00878094550644164,0.10302734375,0.2,0.013184841,39.08043670654297
66,34,407.61,69632,-87.10797203,1043,75.39423350691796,330,0.0003,0.2561391592025757,-0.9524634616449476,-0.007330298554734327,0.076171875,0.2,0.00818098,20.435129165649414
69,35,419.55,71680,-83.73237983000001,1032,153.76196690797806,340,0.0003,-0.022765159606933594,-0.9868345765396953,-0.004247556868358515,0.102294921875,0.2,0.009711544,19.28453254699707
72,36,435.9,73728,-83.23296886999998,1013,170.6656403660774,350,0.0003,0.08829087018966675,-0.8819832187145948,-0.007274448996031424,0.044091796875,0.2,0.007920416,295.1845703125
77,37,450.16,75776,-80.29523376,979,46.29331429600715,360,0.0003,0.35307812690734863,-0.9680268933996559,-0.0059757617564173415,0.088037109375,0.2,0.0073087774,8.288413047790527
