time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss
2048,1,93.61904761904762,2238,-157.6735117142857,0,,,,,,,,,,
4096,2,98.2439024390244,1694,-150.82097397560975,2,0.008615976,-0.011427777897915803,341.7720947265625,0.0328125,10,1449.3137922286987,0.0041348934173583984,0.0003,0.2,-1.3809881795197725
6144,3,96.33333333333333,1597,-153.5230672698413,3,0.009013763,-0.011196277476847172,377.5371398925781,0.0513671875,20,1086.7885152816773,-0.002519965171813965,0.0003,0.2,-1.3708093341439962
8192,4,96.70238095238095,1546,-152.34570360714287,5,0.008617031,-0.007116137575940229,229.61888122558594,0.037451171875,30,697.0686900138855,-0.003475785255432129,0.0003,0.2,-1.3520792365074157
10240,5,98.68,1515,-157.47657823,6,0.015860729,-0.009708007841254584,244.11337280273438,0.11845703125,40,432.794460105896,-0.004693269729614258,0.0003,0.2,-1.3110036380589007
12288,6,103.05,1487,-149.95746514,8,0.011999861,-0.009042270378267858,232.91519165039062,0.07763671875,50,778.0663922309875,0.006304740905761719,0.0003,0.2,-1.27660509981215
14336,7,105.07,1471,-150.91441346,9,0.011322401,-0.005151877506432356,389.0995178222656,0.097509765625,60,431.48637132644654,-0.0019148588180541992,0.0003,0.2,-1.2471821494400501
16384,8,110.4,1415,-148.53603969,11,0.008513006,-0.010139387971139512,103.78948211669922,0.109033203125,70,460.88454246520996,-0.0362396240234375,0.0003,0.2,-1.1881793353706598
18432,9,127.73,1342,-143.68842315,13,0.007130376,-0.003967956168344245,130.64137268066406,0.014208984375,80,429.0815673351288,0.0005140304565429688,0.0003,0.2,-1.2097351279109716
20480,10,138.46,1326,-142.52921982,15,0.0061330316,-0.006208008920657449,226.35336303710938,0.050048828125,90,445.4643449783325,0.0040361881256103516,0.0003,0.2,-1.1848433502018452
22528,11,154.25,1273,-137.39944071999997,17,0.006796236,-0.005420946570666274,353.5621337890625,0.038525390625,100,509.18421320915223,-0.10295975208282471,0.0003,0.2,-1.1013709515333177
24576,12,168.28,1253,-135.34895249000002,19,0.012352895,-0.0069432268144737465,86.35308837890625,0.1060546875,110,277.8480050086975,0.05933886766433716,0.0003,0.2,-1.1508055999875069
26624,13,182.16,1185,-133.73127473000002,22,0.005313885,-0.005607530974884867,144.22637939453125,0.047998046875,120,317.38955092430115,-0.013619780540466309,0.0003,0.2,-1.1484451320022344
28672,14,196.72,1171,-133.53177158,24,0.009225974,-0.007523361885978375,163.9583740234375,0.051904296875,130,301.07064094543455,0.017301738262176514,0.0003,0.2,-1.1344580084085465
30720,15,211.18,1146,-125.66088071,26,0.008724749,-0.004753598372190027,202.24002075195312,0.078955078125,140,371.32442026138307,-0.005129218101501465,0.0003,0.2,-1.073691451177001
32768,16,224.75,1122,-122.68934818,29,0.00490544,-0.00753762320309761,183.9095001220703,0.038671875,150,308.4426884412766,0.0030493736267089844,0.0003,0.2,-1.1532413564622401
34816,17,243.61,1076,-118.91105438999999,32,0.0059354394,-0.004804329313628841,36.355350494384766,0.02373046875,160,271.2042438745499,0.21415817737579346,0.0003,0.2,-1.1211619768291712
36864,18,260.56,1027,-114.56677656,35,0.0072695212,-0.008620604369934882,38.35235595703125,0.076708984375,170,105.37492213249206,0.4783371090888977,0.0003,0.2,-1.196941700205207
38912,19,274.05,1013,-113.09425826,38,0.018959612,-0.010662255460920278,325.9521484375,0.1408203125,180,75.1232226729393,0.6430623233318329,0.0003,0.2,-1.272633682191372
40960,20,284.68,1000,-110.04010674999999,40,0.005547124,-0.005203712889488088,247.6427764892578,0.03388671875,190,305.8360575795174,0.22921013832092285,0.0003,0.2,-1.1154004514217377
43008,21,305.92,989,-107.78690729000002,43,0.005179791,-0.005829901825927663,186.80453491210938,0.014453125,200,300.88923637866975,0.4104762673377991,0.0003,0.2,-1.1870844468474389
45056,22,314.06,991,-105.29270799,45,0.008548308,-0.006217711526551284,246.20350646972656,0.062255859375,210,153.99271169304848,0.5198115110397339,0.0003,0.2,-1.2252169594168663
47104,23,333.47,978,-100.77338934000001,48,0.0059922934,-0.007235709377710009,52.580894470214844,0.0380859375,220,287.5873154044151,0.3391578793525696,0.0003,0.2,-1.0386088019236923
49152,24,349.43,976,-100.80893581000001,50,0.008910243,-0.005284173819381977,23.363134384155273,0.06376953125,230,207.37545009851456,0.42111676931381226,0.0003,0.2,-1.1189646147191525
51200,25,358.41,983,-96.92120372999997,52,0.008589389,-0.009115851180104073,117.68859100341797,0.04697265625,240,214.00886551141738,0.4800962805747986,0.0003,0.2,-1.061920427158475
53248,26,374.31,969,-96.21297771000002,54,0.007579236,-0.005181071284459904,241.63436889648438,0.052294921875,250,311.67690711021424,0.3512204885482788,0.0003,0.2,-0.9270933270454407
55296,27,376.66,958,-93.72573888,57,0.003381132,-0.003367334029462654,193.1806182861328,0.019482421875,260,144.2206434726715,0.745323896408081,0.0003,0.2,-1.0370117465034128
57344,28,392.75,943,-90.04145037999999,60,0.005382271,-0.004189742167363874,147.81898498535156,0.010791015625,270,215.21695603132247,0.5859057903289795,0.0003,0.2,-0.9714721916243434
59392,29,403.4,943,-91.81374171999998,62,0.009736093,-0.004650152971589705,142.08889770507812,0.067529296875,280,176.08503735661506,0.5961834788322449,0.0003,0.2,-1.0995372287929057
61440,30,413.98,939,-87.24029551999998,65,0.006068171,-0.005782886113593122,99.82376098632812,0.04150390625,290,187.15253658294677,0.5383691787719727,0.0003,0.2,-1.0218865556642414
63488,31,425.75,937,-87.64258416000001,67,0.0074633076,-0.007769209951220546,28.521656036376953,0.091064453125,300,110.33727687597275,0.7971338331699371,0.0003,0.2,-1.0512164827436208
65536,32,442.21,926,-85.78115162,70,0.008242428,-0.005367994110565632,44.16646194458008,0.039111328125,310,229.6389775156975,0.5897637903690338,0.0003,0.2,-1.0003891790285706
67584,33,450.23,912,-84.91108023999999,74,0.010371895,-0.008447769017948303,292.44830322265625,0.1267578125,320,69.70238056778908,0.8580629378557205,0.0003,0.2,-1.0554281938821077
69632,34,457.82,898,-82.49867827,77,0.014953948,-0.011126113466161769,10.516264915466309,0.099169921875,330,53.33978069424629,0.8396924436092377,0.0003,0.2,-0.9738064540550113
