time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate
2048,2358,90.04545454545455,-164.69459663636366,0,1,,,,,,,,,,
4096,1771,92.76744186046511,-153.01490823255816,2,2,0.007604763,1449.8196197509765,-1.3815534710884094,644.6005249023438,0.037548828125,-0.007395338847709354,0.2,-0.004599809646606445,10,0.0003
6144,1634,95.375,-155.254928203125,3,3,0.010158445,1325.9872821807862,-1.3784231968224048,387.4626770019531,0.030810546875,-0.006285825766099151,0.2,-0.0028280019760131836,20,0.0003
8192,1576,96.9047619047619,-159.8023872380952,5,4,0.012120653,1029.2117328643799,-1.367811569198966,497.0771179199219,0.09453125,-0.01182769593433477,0.2,-0.01294255256652832,30,0.0003
10240,1546,97.41,-164.49301207999997,6,5,0.0072111953,541.3409704208374,-1.3484476264566183,96.13858032226562,0.080615234375,-0.0077673876359767744,0.2,-0.006560325622558594,40,0.0003
12288,1523,101.21,-161.41705506,8,6,0.012231726,518.6642253875732,-1.3258938770741224,379.94573974609375,0.133544921875,-0.009169932166696527,0.2,-0.0041997432708740234,50,0.0003
14336,1506,104.47,-160.77582674,9,7,0.0055329422,727.1976967811585,-1.3196485560387372,342.6894836425781,0.008740234375,-0.0019170445026247761,0.2,-0.005083322525024414,60,0.0003
16384,1488,105.63,-158.65891895999997,11,8,0.007576976,1001.211026763916,-1.3107002858072518,520.5128173828125,0.0064453125,-0.004345906837261282,0.2,-0.0012197494506835938,70,0.0003
18432,1477,108.98,-153.62660471000004,12,9,0.011345182,502.1886553287506,-1.2894770380109548,198.47454833984375,0.08408203125,-0.0055950436973944305,0.2,-0.0003794431686401367,80,0.0003
20480,1465,115.17,-151.40608706,13,10,0.0072000995,623.6699512958527,-1.2192342977970838,274.40478515625,0.08603515625,-0.008056576052331366,0.2,-0.00011777877807617188,90,0.0003
22528,1415,127.01,-146.34612656000002,15,11,0.0103909485,512.7858118057251,-1.2392238795757293,223.4623565673828,0.045556640625,-0.004444967307063052,0.2,-0.00013494491577148438,100,0.0003
24576,1412,130.2,-143.88225114999997,17,12,0.0050198743,385.0337618112564,-1.3068774461746215,147.24606323242188,0.00078125,-0.003646188228594838,0.2,0.000604093074798584,110,0.0003
26624,1407,135.06,-141.98432278,18,13,0.011512186,620.1396507740021,-1.1669329579919576,290.5652770996094,0.086669921875,-0.00792810529092094,0.2,-0.009340286254882812,120,0.0003
28672,1396,144.15,-140.57019481,20,14,0.0049403445,605.221302986145,-1.15608443133533,228.7850799560547,0.019189453125,-0.004253923947544536,0.2,-0.026862621307373047,130,0.0003
30720,1393,147.62,-137.74038939,22,15,0.00925089,586.755710554123,-1.193856419622898,177.1670684814453,0.067578125,-0.0065579270594753325,0.2,-0.007848262786865234,140,0.0003
32768,1387,155.76,-134.86719032000002,23,16,0.00933344,336.6599101066589,-1.158506603911519,156.0217742919922,0.11171875,-0.01056537461190601,0.2,0.010661005973815918,150,0.0003
34816,1358,159.86,-136.13132258,25,17,0.008011159,511.2447247028351,-1.1223522961139678,123.39822387695312,0.05126953125,-0.01174455685686553,0.2,0.020640671253204346,160,0.0003
36864,1329,180.07,-133.71107284,27,18,0.0062947823,524.4581062316895,-1.14546723626554,242.82960510253906,0.0208984375,-0.005941615888150409,0.2,0.02359062433242798,170,0.0003
38912,1297,194.54,-130.90403362,29,19,0.0027516624,452.2672915458679,-1.174032349511981,206.23997497558594,0.001708984375,-0.0036256804269214626,0.2,0.019394397735595703,180,0.0003
40960,1277,205.42,-125.04003781000002,32,20,0.004482635,292.4816352844238,-1.1449407622218133,167.56549072265625,0.024267578125,-0.006059474468929693,0.2,-0.022090673446655273,190,0.0003
43008,1245,211.48,-127.05691208,34,21,0.009346181,199.02433236837388,-1.1016785606741906,39.710079193115234,0.0572265625,-0.006499789407826029,0.2,0.2072109580039978,200,0.0003
45056,1231,224.95,-121.55977561,36,22,0.0083497,231.18444710969925,-1.0943593006581067,116.86626434326172,0.03203125,-0.0063927572075044735,0.2,0.2630329132080078,210,0.0003
47104,1224,234.9,-118.8721486,38,23,0.00538876,318.51942508220674,-1.0946163509041071,57.67401123046875,0.010693359375,-0.002288825950381579,0.2,0.13661456108093262,220,0.0003
49152,1202,249.68,-116.50349627000001,40,24,0.007982139,361.62849793434145,-1.0216725818812846,169.64183044433594,0.04658203125,-0.006687725317897275,0.2,0.04864734411239624,230,0.0003
51200,1177,266.82,-115.79290673999998,43,25,0.0065688863,146.99011667966843,-1.0065931215882302,163.89837646484375,0.047119140625,-0.0060114054969744755,0.2,0.39857393503189087,240,0.0003
53248,1142,275.54,-115.76829703000001,46,26,0.0054402263,187.02391828298568,-1.0151864951476455,47.37922286987305,0.05224609375,-0.005404586943041067,0.2,0.34279680252075195,250,0.0003
55296,1128,297.3,-110.03803676,49,27,0.008759158,172.484401345253,-1.0474960731342435,78.19136047363281,0.142236328125,-0.008360579784493893,0.2,0.06829631328582764,260,0.0003
57344,1108,308.23,-111.7988288,51,28,0.008952052,134.70862925052643,-1.102585606649518,37.56741714477539,0.089111328125,-0.009318387645907932,0.2,0.34613752365112305,270,0.0003
59392,1081,333.21,-108.61077046,54,29,0.0077025923,101.83009223937988,-0.8608850743621588,49.05210876464844,0.06533203125,-0.005560927322221687,0.2,0.6074276566505432,280,0.0003
61440,1050,350.08,-104.96883177999999,58,30,0.00923921,78.37902376651763,-0.968531396239996,12.170511245727539,0.104248046875,-0.00757233924960019,0.2,0.6688239276409149,290,0.0003
63488,1041,366.66,-104.12200735,60,31,0.010377444,76.34390700161457,-1.049313331581652,13.022587776184082,0.100244140625,-0.005662395002582343,0.2,0.688293993473053,300,0.0003
65536,1026,381.41,-97.81552583000001,63,32,0.009183323,40.59650146216154,-0.832503741234541,18.977598190307617,0.11259765625,-0.0069126575072004925,0.2,0.7730599790811539,310,0.0003
67584,1006,392.95,-97.27246373999998,67,33,0.0069232313,64.13611083328723,-1.0418940478935839,22.118005752563477,0.04453125,-0.003015102857898455,0.2,0.7596599012613297,320,0.0003
69632,981,413.83,-98.11735709999999,70,34,0.0065734815,105.80460477471351,-0.9830090472474694,11.897195816040039,0.0330078125,-0.0029430139205942397,0.2,0.5110075771808624,330,0.0003
71680,969,429.42,-94.06312016,73,35,0.0065425304,82.13305151164532,-1.013670501485467,6.4847493171691895,0.068115234375,-0.004018026257108431,0.2,0.6941418647766113,340,0.0003
73728,959,446.52,-93.27266923999997,76,36,0.0046174107,71.12188661694526,-1.0642998872324825,22.327484130859375,0.036181640625,-0.004245472229376901,0.2,0.7525778263807297,350,0.0003
75776,939,460.61,-92.05747452,80,37,0.0070418646,65.59495157599449,-1.0065984951332212,20.294164657592773,0.082421875,-0.0076117310003610324,0.2,0.7412183880805969,360,0.0003
77824,916,478.06,-89.72824179,84,38,0.008890059,66.34907533824443,-1.0611387517303228,51.25545883178711,0.100439453125,-0.009467608470004052,0.2,0.581810861825943,370,0.0003
79872,898,495.25,-86.59017696999997,88,39,0.012283615,85.83740063905717,-0.9834050321951509,7.724380970001221,0.079736328125,-0.006194814736227272,0.2,0.7447673678398132,380,0.0003
81920,887,512.79,-84.98846237,92,40,0.0057582036,32.099351823329926,-0.9836136596277356,4.175680160522461,0.058203125,-0.0043902841513045136,0.2,0.7238665521144867,390,0.0003
83968,883,529.05,-81.54779571,95,41,0.009186487,54.57383116781712,-1.0636948747560382,8.153921127319336,0.1314453125,-0.005655813122575637,0.2,0.6192887127399445,400,0.0003
86016,876,548.83,-77.45111326,98,42,0.0047183577,38.50851349979639,-1.0095651095733047,2.7716546058654785,0.07265625,-0.004234789153269958,0.2,0.6317555606365204,410,0.0003
88064,872,560.48,-74.32331504,100,43,0.0049067093,165.16723356842994,-1.0018077235668899,92.08577728271484,0.03017578125,-0.003198774437623797,0.2,0.525842547416687,420,0.0003
90112,858,577.32,-74.29313683000001,104,44,0.005983139,76.28678547143936,-1.0557915380224585,4.77873420715332,0.062548828125,-0.0048961211687128525,0.2,0.7304544448852539,430,0.0003
92160,857,593.1,-70.77972627,107,45,0.01133987,41.43615193814039,-1.038327826745808,4.1502685546875,0.212841796875,-0.008924890944035724,0.2,0.8194173276424408,440,0.0003
94208,848,605.22,-67.75454081999999,111,46,0.00629371,64.73976705223322,-0.8855036834254861,9.389965057373047,0.06416015625,-0.00607795385440113,0.2,0.8291617929935455,450,0.0003
96256,849,627.5,-62.310019809999986,113,47,0.0062169526,92.42961769551039,-0.8184108700603246,13.279706001281738,0.056884765625,-0.003590150276068016,0.2,0.6975641548633575,460,0.0003
98304,843,643.89,-58.136713500000006,116,48,0.006115038,151.86874569058418,-0.930586357600987,6.850935459136963,0.0615234375,-0.003278279482401558,0.2,0.40932947397232056,470,0.0003
100352,838,651.98,-58.24710165999999,119,49,0.010289075,50.53410641178489,-0.9978586630895734,5.1655707359313965,0.13115234375,-0.007554647368669976,0.2,0.6997285783290863,480,0.0003
102400,837,662.93,-53.84243706999999,122,50,0.007948706,67.56021148115397,-0.8778943344950676,10.700834274291992,0.05009765625,-0.003132467802061001,0.2,0.5105661153793335,490,0.0003
104448,832,669.05,-51.883926379999984,125,51,0.0048388946,129.5750849634409,-0.8769602486863732,9.78221607208252,0.055517578125,-0.002616959578881506,0.2,0.5112309157848358,500,0.0003
106496,825,686.39,-45.955127940000004,129,52,0.0050855502,113.69941169917584,-0.7960718551650643,11.441791534423828,0.0529296875,-0.005780251325268182,0.2,0.5470623672008514,510,0.0003
108544,820,694.43,-47.64110168,132,53,0.0070191156,109.66587300151586,-0.9551022985950113,43.55060958862305,0.04677734375,-0.0015160145398112946,0.2,0.6673812866210938,520,0.0003
110592,814,703.83,-46.10670252999999,135,54,0.008107279,40.66059763506055,-0.9888795522972942,7.116450786590576,0.0955078125,-0.006111095908272546,0.2,0.7976225018501282,530,0.0003
112640,807,720.74,-43.85583009,139,55,0.0083776135,76.65764125064015,-0.9668864123523235,6.765292167663574,0.090283203125,-0.004012426681583747,0.2,0.628685474395752,540,0.0003
114688,800,737.23,-42.21245789999999,143,56,0.006433985,37.193070591241124,-0.889445755071938,1.5823711156845093,0.05556640625,-0.004889865926816128,0.2,0.815073624253273,550,0.0003
116736,799,750.66,-38.40266437,145,57,0.013862519,46.814987897872925,-1.042836027033627,2.939149856567383,0.155126953125,-0.007064337778865592,0.2,0.7832750082015991,560,0.0003
118784,796,754.55,-35.964739439999995,149,58,0.007813509,81.71589720994234,-0.9194397469982505,48.961708068847656,0.14970703125,-0.006652096543257357,0.2,0.5512062609195709,570,0.0003
120832,794,771.88,-34.48565685999999,152,59,0.0058895415,78.2107128188014,-0.9926218846812844,23.796592712402344,0.079150390625,-0.0031402925589645745,0.2,0.533818781375885,580,0.0003
122880,792,788.22,-30.539505959999996,155,60,0.0013444731,111.42407011091709,-0.8969959653913975,9.529642105102539,0.017578125,-0.0010166328233026435,0.2,0.6795862913131714,590,0.0003
124928,789,792.42,-30.21800905,158,61,0.0048495475,34.09618489220738,-0.9265614250674844,2.5183582305908203,0.076953125,-0.003958627532119863,0.2,0.8859312385320663,600,0.0003
126976,785,807.41,-28.611432910000005,161,62,0.0044903886,169.71301013231277,-0.8692658854648471,99.22351837158203,0.0326171875,-0.0020938338071573525,0.2,0.5921107232570648,610,0.0003
129024,781,815.67,-27.295529170000005,165,63,0.015316334,34.9307128880173,-1.013396529480815,6.871466159820557,0.126171875,-0.004491908705676906,0.2,0.8894675672054291,620,0.0003
131072,781,820.36,-25.894490500000003,167,64,0.005083625,52.53408609554172,-0.7996244821697474,3.1741206645965576,0.065576171875,-0.0015658531869121362,0.2,0.8092977702617645,630,0.0003
133120,777,823.59,-23.286816740000003,171,65,0.00353627,118.60296497046947,-0.7483290921896696,32.304534912109375,0.025341796875,-0.002059477990405867,0.2,0.7787979543209076,640,0.0003
135168,775,842.44,-18.84615223,174,66,0.006991777,73.58022133186459,-0.8724015429615974,12.00460147857666,0.110693359375,-0.004552663666254375,0.2,0.5934050679206848,650,0.0003
137216,773,849.01,-14.848885210000002,177,67,0.0046705427,54.35865418277681,-0.9917122358456254,2.2831623554229736,0.061083984375,-0.003881340705265757,0.2,0.7319075763225555,660,0.0003
139264,768,848.69,-14.632473619999999,181,68,0.0026949146,131.62281571924686,-0.9322024658322334,75.902587890625,0.0216796875,-0.0011972765547398011,0.2,0.6070523262023926,670,0.0003
141312,766,854.47,-14.039729109999998,184,69,0.0123449415,50.6298062749207,-0.9268968164920807,2.050520896911621,0.08271484375,-0.0018458573023963254,0.2,0.6855030953884125,680,0.0003
143360,764,858.36,-12.776346139999998,187,70,0.007899286,43.57309133000672,-0.9707308743149042,5.589827537536621,0.0619140625,-0.0023916795529657976,0.2,0.8758448734879494,690,0.0003
145408,764,852.16,-11.04334948,190,71,0.0050232285,74.31997924745083,-0.811107132025063,28.073036193847656,0.033447265625,-0.0014908233963069506,0.2,0.8396269977092743,700,0.0003
147456,760,852.16,-10.566545559999998,193,72,0.006976523,114.46461639404296,-0.8947011975571513,44.74394226074219,0.10595703125,-0.005279791971406667,0.2,0.750211164355278,710,0.0003
149504,761,846.81,-10.218285670000002,196,73,0.00927645,47.598657465726134,-1.0206954788416625,3.0075137615203857,0.094140625,-0.004722512419903069,0.2,0.8531153947114944,720,0.0003
151552,761,843.12,-7.117264090000001,199,74,0.006174137,118.02845449596643,-0.8215307492762804,22.39887237548828,0.057958984375,-0.0023921605290524893,0.2,0.8196000307798386,730,0.0003
153600,757,846.26,-4.68970671,202,75,0.0020901035,151.39858373254538,-0.836429581977427,16.65976905822754,0.034619140625,-0.0006919613904756261,0.2,0.7073433995246887,740,0.0003
155648,757,839.94,-4.004682949999999,205,76,0.0055623874,31.85729481317103,-0.9685882776975632,0.9103472828865051,0.09775390625,-0.0008652724922285415,0.2,0.8898342549800873,750,0.0003
157696,759,828.04,-5.430186909999999,207,77,0.026914611,134.90146470814943,-0.8123319191858173,22.16726303100586,0.128173828125,-0.0051873174161300994,0.2,0.6845010817050934,760,0.0003
