time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate
2231,2048,1,90.63636363636364,0,-177.8116430909091,,,,,,,,,,
1637,4096,2,90.93181818181819,2,-174.26470881818184,2062.258069229126,0.063232421875,-1.381582723930478,0.2,0.0031011104583740234,10,-0.005584671488031745,0.0069958046,882.183349609375,0.0003
1523,6144,3,91.68656716417911,4,-168.10777822388062,920.4276725769043,0.015869140625,-1.3800728429108857,0.2,-0.08606481552124023,20,-0.005345898920495529,0.0059273066,425.22625732421875,0.0003
1496,8192,4,93.11494252873563,5,-168.6695756321839,1305.5566617965699,0.016943359375,-1.3687513377517462,0.2,-0.004966259002685547,30,-0.0054345668031601235,0.006070321,419.9707336425781,0.0003
1481,10240,5,94.73,6,-164.81956199,999.66293258667,0.0376953125,-1.365415534749627,0.2,-0.003039121627807617,40,-0.0068666476348880675,0.006731458,356.906494140625,0.0003
1471,12288,6,96.45,8,-158.96568226,626.083953332901,0.08193359375,-1.3397598333656788,0.2,0.0008403658866882324,50,-0.006521495447668712,0.007172774,527.1734008789062,0.0003
1347,14336,7,106.24,10,-154.95942186,862.5691120147706,0.008203125,-1.32543127797544,0.2,-0.009395718574523926,60,-0.0041518416888720825,0.006013142,331.3001403808594,0.0003
1356,16384,8,108.01,12,-151.93744814,432.96253962516784,0.06875,-1.326330830901861,0.2,0.07788336277008057,70,-0.008219360682414845,0.00784401,107.13411712646484,0.0003
1360,18432,9,111.21,13,-146.03714442,381.16792397499086,0.18427734375,-1.2499499835073948,0.2,-0.05623042583465576,80,-0.013727157795801758,0.013099637,368.7409362792969,0.0003
1362,20480,10,117.38,15,-143.00762361,417.1845048904419,0.103857421875,-1.2110457181930543,0.2,-0.003580808639526367,90,-0.008814128083758987,0.012598785,158.6586151123047,0.0003
1313,22528,11,130.63,17,-137.98252435999999,300.251575922966,0.090771484375,-1.1831409156322479,0.2,0.04079395532608032,100,-0.010425527886400231,0.009330608,101.61991882324219,0.0003
1313,24576,12,138.44,18,-132.76020369,402.2472355127335,0.08017578125,-1.2308432050049305,0.2,0.027395188808441162,110,-0.010423473920673132,0.009925937,166.46897888183594,0.0003
1254,26624,13,152.81,21,-132.06499284,358.93647422790525,0.063818359375,-1.1026404961943626,0.2,0.017818868160247803,120,-0.007782719758688472,0.010729197,166.38111877441406,0.0003
1223,28672,14,166.42,23,-125.27273339,299.90275807380675,0.089697265625,-1.2115094650536775,0.2,0.03626275062561035,130,-0.005576035320700612,0.009494003,133.7436065673828,0.0003
1197,30720,15,180.46,25,-123.18087724000002,401.65436868667604,0.059326171875,-1.1272144868969918,0.2,0.04166454076766968,140,-0.005313849479716737,0.008888781,227.05075073242188,0.0003
1184,32768,16,187.07,27,-121.04589170999998,221.00141686201096,0.021533203125,-1.13042361587286,0.2,0.23885774612426758,150,-0.005609582395845791,0.005784504,35.109291076660156,0.0003
1186,34816,17,197.89,29,-118.72646492999998,357.4281997680664,0.03203125,-1.1095074128359557,0.2,0.13322192430496216,160,-0.006423976254882291,0.0068813264,152.23960876464844,0.0003
1159,36864,18,213.78,31,-115.34900100999998,352.720707654953,0.09130859375,-1.053833895921707,0.2,0.05506843328475952,170,-0.008692609816353069,0.009830397,104.19984436035156,0.0003
1112,38912,19,227.66,34,-113.57073526999999,487.1042207956314,0.045703125,-1.0472003439441324,0.2,0.14411717653274536,180,-0.008262877636298072,0.009060068,137.58413696289062,0.0003
1098,40960,20,247.19,37,-113.5988224,134.32736532688142,0.106689453125,-0.9750929940491915,0.2,0.46513813734054565,190,-0.009371462397393771,0.008582913,30.972824096679688,0.0003
1079,43008,21,263.18,39,-108.91428594000001,163.82055391073226,0.0556640625,-1.004037152789533,0.2,0.4698089361190796,200,-0.006698422055342235,0.006574736,78.97518920898438,0.0003
1074,45056,22,273.9,41,-109.62071632999998,138.17201301455498,0.08203125,-0.9727512331679463,0.2,0.5350348055362701,210,-0.0057130737055558715,0.01064964,33.486995697021484,0.0003
