time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl
0,2351,-188.50569936363638,2048,1,91.72727272727273,,,,,,,,,,
2,1780,-170.07354111904763,4096,2,96.07142857142857,0.2,1801.1793219566346,-7.939338684082031e-05,600.6988525390625,-1.381556636840105,0.04072265625,-0.010277313907863572,10,0.0003,0.009622577
4,1355,-166.24083124074076,6144,3,113.57407407407408,0.2,976.626761341095,-0.009833216667175293,858.3578491210938,-1.3723156072199345,0.02099609375,-0.006153893553710077,20,0.0003,0.0064265598
5,1375,-166.4243970821918,8192,4,111.4931506849315,0.2,559.9789533615112,0.04310333728790283,164.16525268554688,-1.3612728379666805,0.028515625,-0.006425973736622836,30,0.0003,0.005325269
7,1379,-165.69782056043957,10240,5,112.25274725274726,0.2,879.1264190673828,-0.043622374534606934,352.0129699707031,-1.3557632844895124,0.00126953125,-0.0017903093452332542,40,0.0003,0.0050637573
8,1385,-160.21240015000004,12288,6,115.29,0.2,745.931579208374,-0.06822192668914795,217.82980346679688,-1.3337978661060332,0.092529296875,-0.009610992987290956,50,0.0003,0.012482742
10,1382,-150.48738797999997,14336,7,120.7,0.2,973.6665139198303,-0.007374763488769531,362.136962890625,-1.2732517693191767,0.0408203125,-0.01028606400359422,60,0.0003,0.008985354
11,1375,-150.82038877,16384,8,129.11,0.2,524.8150965690613,-0.00036394596099853516,149.941650390625,-1.234865316748619,0.139501953125,-0.006087550970551092,70,0.0003,0.014211299
13,1372,-148.01107807,18432,9,127.12,0.2,560.2911205291748,-0.00019991397857666016,729.0499267578125,-1.228697996214032,0.110986328125,-0.0067167160908866205,80,0.0003,0.010198729
14,1370,-145.075541,20480,10,132.09,0.2,354.38689801692965,-0.005290508270263672,378.265869140625,-1.2387551710009574,0.092041015625,-0.010520988937059883,90,0.0003,0.012520419
16,1361,-138.62406612000004,22528,11,141.78,0.2,319.48871891498567,0.015994250774383545,70.88462829589844,-1.1888072203844786,0.0521484375,-0.00523116557742469,100,0.0003,0.009859562
18,1357,-139.16083569000003,24576,12,149.88,0.2,372.6341383457184,0.04211997985839844,141.23268127441406,-1.1885767113417387,0.027978515625,-0.0034990948814083824,110,0.0003,0.0070921797
19,1359,-131.18203105,26624,13,152.81,0.2,514.5369606971741,0.04079031944274902,194.88961791992188,-1.207516337558627,0.0431640625,-0.007561122038168833,120,0.0003,0.007339633
21,1357,-131.39946017,28672,14,159.05,0.2,463.7870413303375,0.06710493564605713,205.1157684326172,-1.1715182274580003,0.040087890625,-0.00907526080518437,130,0.0003,0.007559601
22,1358,-133.13562661,30720,15,161.68,0.2,828.1947290897369,-0.00810384750366211,349.4754333496094,-1.1403115566819906,0.06328125,-0.006990784040681319,140,0.0003,0.011101869
24,1354,-130.1705245,32768,16,166.91,0.2,629.1011631965637,0.040468573570251465,196.2425994873047,-1.0940941292792559,0.061083984375,-0.007320626227738103,150,0.0003,0.008685426
26,1321,-126.88049249000001,34816,17,175.47,0.2,537.7168771266937,0.05431365966796875,193.4200439453125,-1.094379248097539,0.04677734375,-0.011596550224930979,160,0.0003,0.0052537564
28,1301,-128.13208003,36864,18,184.69,0.2,236.6525122642517,0.10661506652832031,188.96876525878906,-1.0971933383494616,0.11953125,-0.008934505941579119,170,0.0003,0.015367027
30,1281,-125.95685018999998,38912,19,197.31,0.2,325.18472466468813,0.06918615102767944,104.24282836914062,-1.064864944666624,0.19658203125,-0.015068566420814023,180,0.0003,0.014116647
33,1230,-126.41701521999998,40960,20,211.21,0.2,312.05143468379976,0.1450061798095703,96.60505676269531,-1.1088247776031495,0.04013671875,-0.004676564723922638,190,0.0003,0.009601552
35,1211,-121.26551144000001,43008,21,226.17,0.2,219.34229488372802,0.09498488903045654,46.91721725463867,-1.1449356351047755,0.0619140625,-0.00834407779839239,200,0.0003,0.0086715855
37,1202,-120.13106034999998,45056,22,238.13,0.2,262.60561802387235,0.14321666955947876,65.24068450927734,-1.1152812637388707,0.059033203125,-0.008417937980266289,210,0.0003,0.006628657
39,1194,-117.94099267,47104,23,251.37,0.2,250.1015481233597,0.12361472845077515,164.40670776367188,-1.0374936496838927,0.130615234375,-0.007762396473845001,220,0.0003,0.012512243
41,1171,-118.24872214000001,49152,24,263.08,0.2,183.8005711913109,0.20420360565185547,32.94882583618164,-1.1095271985977888,0.09365234375,-0.008456855532131158,230,0.0003,0.013527535
45,1130,-115.62456782999999,51200,25,282.37,0.2,91.93801714777946,0.34498488903045654,29.908411026000977,-1.0952668506652117,0.072119140625,-0.009623924196057487,240,0.0003,0.0071699605
48,1093,-111.88702081,53248,26,298.77,0.2,149.41130223572253,0.014838218688964844,24.735645294189453,-1.0467241182923317,0.0533203125,-0.006693238831940107,250,0.0003,0.0113974735
51,1083,-108.92887617000001,55296,27,314.08,0.2,62.42774867415428,0.28084731101989746,17.08642578125,-1.1168873596936464,0.0951171875,-0.005215913199208444,260,0.0003,0.0073613054
55,1039,-104.48344012999998,57344,28,329.31,0.2,101.15685446858406,0.11764484643936157,18.462806701660156,-0.9615341341122985,0.09140625,-0.005191201848356286,270,0.0003,0.0068071308
58,1007,-102.02139793000002,59392,29,346.49,0.2,68.78396075963974,0.16258805990219116,22.728656768798828,-1.0225682154297828,0.07216796875,-0.005313335704704514,280,0.0003,0.0077558984
63,974,-100.99522181,61440,30,363.51,0.2,52.90869810879231,0.16453909873962402,17.851688385009766,-1.0414199657738208,0.088818359375,-0.009261233393772272,290,0.0003,0.008376526
67,945,-100.62431484999998,63488,31,377.53,0.2,48.977667453885076,0.0060326457023620605,13.241724014282227,-0.9849597066640854,0.081005859375,-0.005340087620425038,300,0.0003,0.009617011
71,919,-95.08300823999997,65536,32,394.01,0.2,94.01293674707412,0.02687174081802368,34.01945114135742,-1.0338158881291748,0.06318359375,-0.002897104912699433,310,0.0003,0.0057890248
74,911,-94.16021543999999,67584,33,411.69,0.2,23.125855353474616,0.06351429224014282,8.955130577087402,-1.0594875985756516,0.092822265625,-0.00665687849977985,320,0.0003,0.008829948
77,894,-92.10885097,69632,34,428.19,0.2,31.13126131594181,0.06605708599090576,6.657438278198242,-1.0247947681695222,0.082470703125,-0.008987707671622047,330,0.0003,0.009688784
81,881,-90.13878163999999,71680,35,445.7,0.2,15.077046929299831,0.19785702228546143,4.640960693359375,-1.028499790839851,0.106396484375,-0.0076613114069914445,340,0.0003,0.009238359
85,865,-84.86875601000001,73728,36,471.0,0.2,30.338353103399278,0.32298898696899414,13.39124870300293,-0.9726800641044975,0.031494140625,-0.005174837680533529,350,0.0003,0.0026611448
87,865,-83.43363947,75776,37,487.0,0.2,28.33825954198837,0.2118535041809082,5.156691551208496,-0.9889803752303123,0.019580078125,-0.0015637146316294093,360,0.0003,0.0035831507
90,857,-80.10051423,77824,38,502.8,0.2,19.815781605243682,0.7316162586212158,3.7136495113372803,-0.9692160863429308,0.0630859375,-0.00438999180259998,370,0.0003,0.005055273
94,844,-78.09432948,79872,39,519.06,0.2,26.472353529930114,0.5187546610832214,3.236034870147705,-1.0377062868326903,0.040625,-0.0026416718574182596,380,0.0003,0.0025995355
97,836,-73.78196623000001,81920,40,536.42,0.2,56.253208342194554,0.3464124798774719,8.78797435760498,-1.0124794382601976,0.017724609375,-0.0015683347068261356,390,0.0003,0.0039612046
101,829,-73.31485798,83968,41,550.92,0.2,36.42209221422672,0.6278702616691589,5.901721954345703,-1.0491972982883453,0.0638671875,-0.005654566048178822,400,0.0003,0.006982827
104,821,-71.29326492,86016,42,567.77,0.2,73.28241713345051,0.26974987983703613,57.764095306396484,-1.0173158511519431,0.033251953125,-0.00470907944290957,410,0.0003,0.0070024496
107,819,-69.81368825000001,88064,43,581.68,0.2,38.84980948418379,0.7580733001232147,5.027352809906006,-0.9976901680231094,0.05126953125,-0.003188553365180269,420,0.0003,0.00719025
111,810,-64.98737207,90112,44,604.81,0.2,77.80502955764533,0.5486542880535126,6.759307861328125,-0.9830146308988332,0.019775390625,-0.002286696437658975,430,0.0003,0.0048809755
114,806,-63.36772062,92160,45,622.04,0.2,96.08749632537365,0.522739052772522,10.578744888305664,-0.9951924432069064,0.03369140625,-0.001981332299328642,440,0.0003,0.00721436
117,802,-57.61382716999999,94208,46,637.68,0.2,32.888045981526375,0.8092291802167892,4.029529571533203,-0.9272480776533485,0.061376953125,-0.002291578485892387,450,0.0003,0.00875129
120,799,-58.30553616000001,96256,47,654.4,0.2,99.18988171070814,0.47720688581466675,22.46537208557129,-0.9427645787596702,0.05419921875,-0.0015502497684792616,460,0.0003,0.0065850127
123,797,-52.90555026,98304,48,670.03,0.2,22.58213369846344,0.6012865304946899,4.3774590492248535,-0.9468665398657322,0.090625,-0.002222576846543234,470,0.0003,0.0071048
126,790,-50.95226601,100352,49,687.11,0.2,128.76607554256915,0.2942572832107544,33.94797897338867,-0.9120592100545764,0.022900390625,-0.0002366183605772676,480,0.0003,0.003938837
130,786,-48.394462589999996,102400,50,704.76,0.2,49.22143838629127,0.5884533822536469,4.570589065551758,-0.9579590503126383,0.079638671875,-0.003704205892427126,490,0.0003,0.009738361
133,784,-42.826422720000004,104448,51,719.68,0.2,135.5174466237426,0.37447410821914673,29.866735458374023,-0.9239691397175193,0.014111328125,-0.0012477109099563676,500,0.0003,0.0038029854
136,783,-42.58205179000001,106496,52,734.32,0.2,103.09710212796926,0.20559978485107422,17.927806854248047,-0.9088119586929679,0.009521484375,-0.0017394094909832347,510,0.0003,0.0021496809
140,769,-39.78513578,108544,53,751.16,0.2,82.43408916443586,0.42981332540512085,37.30952835083008,-0.9495290953665971,0.02412109375,-0.0005770367053628434,520,0.0003,0.003025698
144,766,-37.272240110000006,110592,54,756.68,0.2,35.34292443245649,0.6188856959342957,11.321922302246094,-0.9747765382751823,0.119091796875,-0.0034629475369001737,530,0.0003,0.009418968
147,762,-36.35140973000001,112640,55,777.94,0.2,73.75205067545176,0.4746611714363098,19.20089340209961,-0.8592770982533693,0.060986328125,-0.0017757554542185972,540,0.0003,0.0065263053
150,761,-36.14399446,114688,56,790.3,0.2,77.68272410184144,0.46510517597198486,6.45910120010376,-0.9725532673299313,0.05205078125,-0.004273518846457591,550,0.0003,0.007036729
153,760,-30.635058960000002,116736,57,801.41,0.2,115.18522563129663,0.43263399600982666,49.69892120361328,-0.9450196705758571,0.05849609375,-0.001679362433787901,560,0.0003,0.0029612554
