time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
2048,2357,0,-185.04694357142859,1,94.04761904761905,,,,,,,,,,
4096,1775,2,-164.6015798372093,2,94.25581395348837,10,1699.9502555847168,0.0003,0.0006725788116455078,0.2,0.0042014504,809.9933471679688,-0.004822001771390205,-1.3844627767801285,0.004541015625
6144,1641,3,-166.30095804918037,3,98.81967213114754,20,1755.651078414917,0.0003,-0.010527491569519043,0.2,0.0073583345,779.4725952148438,-0.007037617608148139,-1.37973224632442,0.039794921875
8192,1583,5,-163.46666375903615,4,97.6987951807229,30,1330.8258786201477,0.0003,-0.07235538959503174,0.2,0.0069494103,655.3153076171875,-0.009166256226308178,-1.3730939652770757,0.040673828125
10240,1551,6,-160.04734738,5,97.47,40,1012.7690813064576,0.0003,-0.029726147651672363,0.2,0.009961567,202.78916931152344,-0.009022176318103448,-1.3611893724650144,0.073046875
12288,1528,8,-159.71283019000003,6,98.75,50,1011.6338081359863,0.0003,0.0002461671829223633,0.2,0.008517366,495.90264892578125,-0.005077681001421297,-1.3361034717410802,0.087646484375
14336,1504,9,-157.27865706,7,101.27,60,473.0718936443329,0.0003,0.00010293722152709961,0.2,0.010538116,230.4496612548828,-0.007938449781795498,-1.313087385892868,0.07890625
16384,1492,10,-152.75470561,8,102.24,70,850.7486629486084,0.0003,-0.006490826606750488,0.2,0.00714889,484.38916015625,-0.005471328002749942,-1.2819861251860858,0.0689453125
18432,1476,12,-148.92236892999998,9,107.27,80,667.1911650180816,0.0003,-0.008859872817993164,0.2,0.005433229,229.6016082763672,-0.006537692676647566,-1.3079619254916905,0.053466796875
20480,1402,14,-147.15495479,10,119.79,90,591.1678626060486,0.0003,0.0018076896667480469,0.2,0.012158817,331.8841247558594,-0.00411228796292562,-1.274919929355383,0.023974609375
22528,1401,16,-140.54302042000003,11,124.94,100,325.4448830604553,0.0003,0.0015121698379516602,0.2,0.010946819,215.58941650390625,-0.006986511746799806,-1.2855255860835313,0.053271484375
24576,1396,17,-136.72692626,12,133.72,110,686.9384105682373,0.0003,-0.12208569049835205,0.2,0.013123176,352.4106750488281,-0.007500787619210314,-1.1689469147473575,0.10078125
