time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss
2322,2048,91.36363636363636,-169.99842654545455,1,0,,,,,,,,,,
1765,4096,93.79069767441861,-163.64401111627907,2,2,452.3699035644531,0.0083053,0.03974609375,10,0.0003,-0.007668382790870965,0.004110991954803467,0.2,-1.3817992843687534,1352.8352298736572
1642,6144,96.47619047619048,-162.73304461904763,3,3,443.6268310546875,0.0063922093,0.020068359375,20,0.0003,-0.005269754856999498,-0.014847517013549805,0.2,-1.3793366484344005,1209.7134335517883
1589,8192,97.0952380952381,-157.60200145238093,4,5,755.1578369140625,0.006355831,0.03251953125,30,0.0003,-0.007694558165167109,-0.06458437442779541,0.2,-1.373189603537321,1573.3936796188354
1555,10240,98.35,-158.05842615000003,5,6,547.7899169921875,0.01029524,0.12177734375,40,0.0003,-0.011667487400700338,-0.0319899320602417,0.2,-1.361080862954259,765.7138178825378
1530,12288,101.97,-156.09652877,6,8,151.30931091308594,0.009993585,0.0857421875,50,0.0003,-0.005199985857325373,-0.009715080261230469,0.2,-1.3366465132683516,553.148493719101
1511,14336,104.68,-155.16359223,7,9,432.1963806152344,0.011673164,0.064990234375,60,0.0003,-0.00948277252027765,-0.014407038688659668,0.2,-1.3364130698144436,1130.4885542869567
1491,16384,109.23,-153.91473454,8,10,354.737548828125,0.008355571,0.050537109375,70,0.0003,-0.003897916706773685,-0.01108241081237793,0.2,-1.3025656387209892,769.3378396511077
1475,18432,117.27,-152.25631468999998,9,12,123.55372619628906,0.009453587,0.124169921875,80,0.0003,-0.012086356172221712,0.0003973841667175293,0.2,-1.2378266867250205,430.93168749809263
1464,20480,121.67,-153.84475419999998,10,13,279.1698303222656,0.0053732637,0.046826171875,90,0.0003,-0.008288727876788471,0.1272847056388855,0.2,-1.2400902446359396,429.0851053476334
1385,22528,133.67,-147.20192620999998,11,16,341.9232177734375,0.008659929,0.041796875,100,0.0003,-0.006796494888840243,-0.06052553653717041,0.2,-1.2264737077057362,339.8879036426544
1381,24576,141.14,-148.73401694,12,17,224.19419860839844,0.0048366813,0.02705078125,110,0.0003,-0.0038003595007467085,0.10379093885421753,0.2,-1.2909455742686986,349.7111600875854
1377,26624,148.26,-146.80132883000002,13,19,247.83700561523438,0.011486959,0.078125,120,0.0003,-0.009716936746553984,-0.08945536613464355,0.2,-1.1711529463529586,439.82214841842654
1374,28672,155.99,-143.06589429000002,14,20,178.37171936035156,0.0060619684,0.05126953125,130,0.0003,-0.009160460573912132,0.11470776796340942,0.2,-1.1474905028939246,480.3871822357178
1368,30720,162.01,-141.37055311,15,22,125.69873046875,0.006628136,0.05517578125,140,0.0003,-0.007408239090727875,0.14680832624435425,0.2,-1.137693390995264,300.52210011482236
1281,32768,180.26,-136.44755632,16,25,208.8103790283203,0.007748603,0.029052734375,150,0.0003,-0.005318950252694776,0.20397567749023438,0.2,-1.0861700709909201,306.71650371551516
1251,34816,194.62,-134.88889438,17,27,30.663604736328125,0.008528411,0.087841796875,160,0.0003,-0.007158065249677747,0.5633315145969391,0.2,-1.2377014465630054,125.12031891942024
1236,36864,203.67,-134.42532032,18,29,89.37843322753906,0.008563012,0.06337890625,170,0.0003,-0.00787922913004877,0.33815449476242065,0.2,-1.1400837771594525,276.1107058763504
1188,38912,223.87,-128.94130841,19,32,60.17542266845703,0.011719447,0.111572265625,180,0.0003,-0.009478951081837295,0.3858485817909241,0.2,-1.0717354141175748,211.8767761349678
1143,40960,235.18,-128.28423109,20,35,26.56711769104004,0.005369658,0.03603515625,190,0.0003,-0.0060495393619930836,0.6822216808795929,0.2,-1.0776315541937946,110.5375881433487
1105,43008,252.08,-123.98425598,21,38,39.61520004272461,0.0077639804,0.05615234375,200,0.0003,-0.010211707287089667,0.7283337712287903,0.2,-1.1387167651206256,120.85525604486466
1091,45056,264.85,-121.94333398,22,41,32.23182678222656,0.012799287,0.1408203125,210,0.0003,-0.008964598228340037,0.7382343113422394,0.2,-1.1615793462842703,114.621232432127
1064,47104,282.31,-120.98237639000001,23,44,74.26679229736328,0.0068309656,0.055517578125,220,0.0003,-0.004755505987122888,0.5856513977050781,0.2,-1.0936818279325962,209.9568410873413
