rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/clip_range
92.23809523809524,2348,1,0,2048,-157.02975561904762,,,,,,,,,,
90.8409090909091,1779,2,2,4096,-153.20463529545455,-0.006513833999633789,0.051904296875,0.0003,10,1843.1284366607665,-0.009104581741848961,0.007238834,-1.3812538012862206,821.845703125,0.2
91.4090909090909,1658,3,3,6144,-155.67574751515153,-0.028293371200561523,0.008056640625,0.0003,20,1437.8507747650146,-0.0042839888104936105,0.0052424856,-1.375614706799388,478.68731689453125,0.2
94.13953488372093,1593,4,5,8192,-155.45351991860463,-0.0036352872848510742,0.08388671875,0.0003,30,1355.6588172912598,-0.010036441645934247,0.012353975,-1.3721232157200576,496.301513671875,0.2
94.04,1560,5,6,10240,-159.64064527,-0.02997446060180664,0.072998046875,0.0003,40,838.2772024154663,-0.005626004870282486,0.010483052,-1.3552530746906997,432.17767333984375,0.2
96.95,1536,6,7,12288,-159.87625075,-0.00012350082397460938,0.173046875,0.0003,50,481.41666145324706,-0.008627436684764688,0.02052109,-1.329629649966955,224.66326904296875,0.2
101.54,1510,7,9,14336,-156.74239804,-0.018781423568725586,0.04072265625,0.0003,60,598.7189015865326,-0.004469505879387725,0.0057883477,-1.3058925699442625,318.69140625,0.2
107.52,1496,8,10,16384,-159.76052151,-0.00022804737091064453,0.14287109375,0.0003,70,356.3977093219757,-0.008635050017619505,0.010684962,-1.3119335185736418,258.7046203613281,0.2
112.51,1485,9,12,18432,-156.68247875,-0.0026247501373291016,0.16162109375,0.0003,80,553.5929107189179,-0.01015826632428798,0.008639545,-1.2638337720185517,104.4593276977539,0.2
114.02,1477,10,13,20480,-151.55370549,-6.830692291259766e-05,0.0625,0.0003,90,453.1102129459381,-0.007577223116823006,0.0056515327,-1.2251632753759623,154.616455078125,0.2
124.21,1464,11,15,22528,-145.54580485999998,-8.07046890258789e-05,0.04521484375,0.0003,100,388.3381910562515,-0.0029544447155785748,0.010610295,-1.2243269503116607,114.86125183105469,0.2
132.73,1449,12,16,24576,-142.87461505,-0.00022470951080322266,0.135400390625,0.0003,110,461.8232973575592,-0.01365313844726188,0.017674515,-1.161776277795434,170.1172637939453,0.2
143.96,1424,13,18,26624,-140.53751490000002,-3.528594970703125e-05,0.05029296875,0.0003,120,535.4224543571472,-0.0050874233005743005,0.009198166,-1.1336899138987064,211.89064025878906,0.2
158.25,1354,14,21,28672,-133.58359233000002,-7.867813110351562e-06,0.033154296875,0.0003,130,519.4054560184479,-0.004222779354313389,0.0046872366,-1.1334342513233424,307.84735107421875,0.2
169.82,1336,15,22,30720,-130.83376841999998,0.0007214546203613281,0.04814453125,0.0003,140,288.2177065849304,-0.008674318651901557,0.00757049,-1.1481502663344145,143.97804260253906,0.2
180.93,1318,16,24,32768,-127.25775571,-0.0017309188842773438,0.001708984375,0.0003,150,386.2741107940674,-0.0030653858571895397,0.0017405283,-1.1013771615922452,340.697998046875,0.2
198.42,1220,17,28,34816,-124.14397103000002,0.11937963962554932,0.005322265625,0.0003,160,342.2461137294769,-0.003090539848199114,0.0065731364,-1.0324506714940072,92.12448120117188,0.2
213.76,1180,18,31,36864,-121.91914035000003,0.3424561023712158,0.037890625,0.0003,170,122.26206848621368,-0.0036683586506114805,0.007898417,-1.159117466583848,28.464780807495117,0.2
231.53,1144,19,34,38912,-117.24417296999998,0.2897542715072632,0.096875,0.0003,180,156.62539598941802,-0.009408874047221617,0.011451868,-1.1307583782821893,53.69636917114258,0.2
