rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance
-173.43905063636365,0,89.54545454545455,2048,1,2215,,,,,,,,,,
-168.29202676744188,2,93.74418604651163,4096,2,1657,617.220947265625,10,-1.3809855941683054,1483.7328826904297,0.010271939,0.2,0.037353515625,-0.0070678662068530684,0.0003,-0.007948517799377441
-167.69683283333336,4,91.57575757575758,6144,3,1470,650.034912109375,20,-1.3732541166245937,1173.5734148025513,0.0087748915,0.2,0.0314453125,-0.005900912056677044,0.0003,-0.008332133293151855
-163.96540593023255,5,93.72093023255815,8192,4,1426,308.9683532714844,30,-1.3624082703143359,757.0442914009094,0.006709713,0.2,0.04130859375,-0.006635125714092282,0.0003,-0.003892660140991211
-158.4469335,7,104.39795918367346,10240,5,1341,247.09933471679688,40,-1.3654514465481042,698.1870379447937,0.011733824,0.2,0.083203125,-0.009720289533288452,0.0003,-0.004604935646057129
-153.61943050999997,9,107.39,12288,6,1339,241.27061462402344,50,-1.3560671240091324,536.6642956733704,0.010271585,0.2,0.05341796875,-0.006560697533859639,0.0003,0.016723275184631348
-151.32690897,10,109.4,14336,7,1336,493.4628601074219,60,-1.3503786899149417,939.360375213623,0.010506442,0.2,0.06376953125,-0.011088858914445155,0.0003,-0.035544753074645996
-147.53308009,12,111.59,16384,8,1338,182.99485778808594,70,-1.3296251878142358,534.5285897254944,0.0066749565,0.2,0.102294921875,-0.004512643580528675,0.0003,-0.006127119064331055
-146.36568178,13,114.71,18432,9,1341,508.48028564453125,80,-1.3071226794272661,626.4144040584564,0.010665167,0.2,0.126318359375,-0.006660659633053001,0.0003,-0.1585235595703125
-150.35495505999998,15,105.68,20480,10,1337,144.80897521972656,90,-1.2955499280244112,450.8490365505219,0.009403675,0.2,0.099755859375,-0.009566248555347556,0.0003,0.0013941526412963867
-148.08521521,16,107.15,22528,11,1337,97.47819519042969,100,-1.2431188430637121,323.52919642925264,0.011693516,0.2,0.183154296875,-0.007336237023264402,0.0003,-0.0014576911926269531
-148.59088048,18,113.36,24576,12,1334,140.27304077148438,110,-1.2052609704434871,437.2708446025848,0.012423015,0.2,0.08916015625,-0.011903808455099352,0.0003,-0.013279557228088379
-145.49246896000002,19,118.22,26624,13,1336,308.1073303222656,120,-1.14021370485425,378.88891048431395,0.011732874,0.2,0.143603515625,-0.006514104999951087,0.0003,-0.0008542537689208984
-141.80390989000003,22,131.46,28672,14,1281,87.02470397949219,130,-1.1050544001162053,408.05194582939146,0.01170091,0.2,0.049951171875,-0.006152591113641392,0.0003,-0.002887129783630371
