time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/n_updates,train/loss,train/entropy_loss,train/approx_kl,train/value_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance
2048,0,2349,87.73913043478261,-167.53172408695656,1,,,,,,,,,,
4096,2,1771,90.72727272727273,-167.27954554545454,2,0.026416015625,10,1242.662841796875,-1.38186977468431,0.009433828,1677.6409656524659,0.2,-0.006269964374951087,0.0003,-0.003106832504272461
6144,4,1371,106.54385964912281,-154.83302887719296,3,0.05185546875,20,935.763671875,-1.3690983787178994,0.007581751,1500.8419588088989,0.2,-0.0055141822369478176,0.0003,0.0034126639366149902
8192,5,1381,103.30379746835443,-154.919262721519,4,0.141748046875,30,171.84747314453125,-1.3569236587733031,0.01253832,524.6277167081832,0.2,-0.012486515863565728,0.0003,0.07398194074630737
10240,7,1382,100.89,-157.77598219,5,0.077294921875,40,197.20175170898438,-1.3310652077198029,0.010461219,662.4604316711426,0.2,-0.008291117212502285,0.0003,-0.01153254508972168
12288,8,1380,103.29,-156.66187281,6,0.141259765625,50,177.28994750976562,-1.3255233727395535,0.011103955,773.4179256439209,0.2,-0.010103974299272522,0.0003,-0.007452726364135742
14336,10,1380,106.8,-152.37152154,7,0.088525390625,60,226.20571899414062,-1.2911550875753164,0.0092721265,504.75766949653627,0.2,-0.004932844405993819,0.0003,-0.0027784109115600586
16384,11,1381,102.89,-155.34086872,8,0.113525390625,70,131.4796600341797,-1.2657931245863439,0.013629599,544.4690864086151,0.2,-0.00785798748547677,0.0003,-0.004116058349609375
18432,13,1375,108.27,-151.55386761,9,0.0537109375,80,265.8867492675781,-1.2330175209790468,0.011509077,595.10173163414,0.2,-0.005859852716093883,0.0003,-0.08446681499481201
20480,14,1371,116.33,-148.41363867,10,0.156689453125,90,123.53392028808594,-1.162699283659458,0.0110406745,615.3239661693573,0.2,-0.008587949148204644,0.0003,-0.008507609367370605
