time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/learning_rate
0,89.9090909090909,-154.95887795454544,2291,1,2048,,,,,,,,,,
2,88.6304347826087,-166.59845756521742,1720,2,4096,0.017578125,-0.005662283872516128,0.2,10,-1.383388601243496,0.006590537,2071.4688297271728,-0.0017186403274536133,988.801025390625,0.0003
3,89.67647058823529,-168.6287873382353,1583,3,6144,0.030908203125,-0.005567276262445376,0.2,20,-1.378874347358942,0.007897675,919.5178306579589,-0.002063751220703125,427.7242126464844,0.0003
5,90.8,-171.94668482222218,1529,4,8192,0.0125,-0.0046395158438826915,0.2,30,-1.3711738735437393,0.009543475,1183.6169591903686,-0.01393747329711914,601.58544921875,0.0003
6,93.77,-165.41520314,1481,5,10240,0.031103515625,-0.00625691116147209,0.2,40,-1.3572671864181758,0.007767598,736.2150494575501,-0.018598198890686035,629.2462768554688,0.0003
8,100.45,-164.52493014,1437,6,12288,0.116064453125,-0.011643939793430036,0.2,50,-1.3287315029650926,0.011229759,713.6886818885803,-0.005168557167053223,244.6853485107422,0.0003
10,107.58,-161.14791247,1422,7,14336,0.0986328125,-0.006101305549964309,0.2,60,-1.2741705235093832,0.0070613865,561.95535531044,-0.008067727088928223,128.77610778808594,0.0003
11,111.48,-160.170281,1411,8,16384,0.106201171875,-0.008827859828306828,0.2,70,-1.256792601943016,0.00507698,606.4745528221131,-0.002427339553833008,177.52154541015625,0.0003
13,118.54,-154.00659012999998,1405,9,18432,0.128857421875,-0.008069470574264414,0.2,80,-1.236681666225195,0.011500152,374.4615587711334,-0.0007281303405761719,169.70355224609375,0.0003
14,127.38,-148.58580402000004,1389,10,20480,0.14072265625,-0.007774502102984115,0.2,90,-1.182116198539734,0.014085548,453.7201316356659,-1.4543533325195312e-05,200.77345275878906,0.0003
16,138.62,-146.51184579,1372,11,22528,0.0826171875,-0.008848671188752632,0.2,100,-1.1730470512062312,0.009663061,681.0929964542389,0.0005396604537963867,164.8136749267578,0.0003
18,145.2,-142.71768052,1362,12,24576,0.0275390625,-0.002975921713368734,0.2,110,-1.1781971830874682,0.013711873,310.53396997451785,-0.08909201622009277,101.46208953857422,0.0003
19,147.86,-138.37254118,1357,13,26624,0.023095703125,-0.0014280651215813124,0.2,120,-1.1450064275413752,0.008340232,488.25434975624086,-0.0027271509170532227,546.4450073242188,0.0003
21,156.7,-139.56775664,1346,14,28672,0.097265625,-0.007922301983489888,0.2,130,-1.1198979601264,0.007391448,491.45629529953004,-5.340576171875e-05,795.3391723632812,0.0003
22,163.83,-134.20620413999998,1337,15,30720,0.050927734375,-0.005216246082272846,0.2,140,-1.108750008791685,0.007673047,477.64961500167846,-1.7642974853515625e-05,256.37890625,0.0003
24,169.05,-127.52825628999999,1334,16,32768,0.06201171875,-0.004595868904289091,0.2,150,-1.1261976771056652,0.013414046,391.80425996780394,-0.0002034902572631836,171.92202758789062,0.0003
26,182.25,-125.86634867,1290,17,34816,0.02783203125,-0.002557515189255355,0.2,160,-1.0992172546684742,0.0066290796,379.4158134460449,-7.939338684082031e-05,296.96490478515625,0.0003
29,192.56,-124.49599546000002,1253,18,36864,0.006298828125,-0.0032216603198321537,0.2,170,-1.19727523624897,0.005555453,303.57531361579896,0.0010184645652770996,107.95950317382812,0.0003
31,198.25,-121.69956180999999,1223,19,38912,0.007861328125,-0.004933294386137277,0.2,180,-1.1528817478567361,0.0048850602,234.75096189975739,0.02106773853302002,103.8085708618164,0.0003
34,216.89,-116.95858607000002,1187,20,40960,0.00703125,-0.0040510122424166186,0.2,190,-1.1163118451833725,0.0051859906,292.1245822906494,0.13643455505371094,157.57630920410156,0.0003
37,233.41,-116.00722671,1139,21,43008,0.0669921875,-0.006912763553555123,0.2,200,-1.1257159195840358,0.007017011,172.27813397645951,0.2610993981361389,74.59379577636719,0.0003
40,244.63,-111.34099823000004,1121,22,45056,0.0931640625,-0.008875980787706794,0.2,210,-1.1047117974609137,0.010909197,173.58433985710144,0.040599524974823,69.64893341064453,0.0003
42,255.77,-110.51896122,1099,23,47104,0.082958984375,-0.008445851986471098,0.2,220,-1.0321857616305352,0.011534232,245.04732676744462,0.21688544750213623,190.97125244140625,0.0003
45,268.84,-107.94208597999999,1075,24,49152,0.010791015625,-0.006164891805747174,0.2,230,-1.0245450085029006,0.004969554,267.9905750513077,0.08410495519638062,102.33744812011719,0.0003
47,282.91,-109.2988996,1066,25,51200,0.02109375,-0.0059545583040744535,0.2,240,-1.00701652020216,0.0060908366,258.9656748056412,0.11640197038650513,47.61750793457031,0.0003
51,293.75,-108.02178977,1042,26,53248,0.111865234375,-0.010615472650533775,0.2,250,-0.9655154161155224,0.007296729,388.3572769165039,-0.007634878158569336,102.86714935302734,0.0003
53,312.92,-104.67291852,1027,27,55296,0.04599609375,-0.007352879807876888,0.2,260,-0.9834628330543638,0.006589351,149.77433570623398,0.1660436987876892,51.2378044128418,0.0003
56,330.25,-108.42445562,1006,28,57344,0.157275390625,-0.01448541319114156,0.2,270,-0.9788545861840248,0.014494417,287.66096448898315,0.012157917022705078,153.32931518554688,0.0003
60,347.68,-101.28362567,988,29,59392,0.202783203125,-0.011547149615944363,0.2,280,-1.0494790079072118,0.013067387,155.73399876356126,0.14431971311569214,87.42279052734375,0.0003
63,361.0,-99.14837653,972,30,61440,0.10791015625,-0.008846708251803647,0.2,290,-1.0427645912393928,0.013625631,70.67633596658706,0.4500446915626526,19.6820125579834,0.0003
66,374.35,-100.24395098999999,949,31,63488,0.042919921875,-0.005751670629979344,0.2,300,-1.0251694899052382,0.0064761396,95.06714059114456,0.5096979439258575,23.379281997680664,0.0003
70,391.16,-97.02762622999998,928,32,65536,0.045556640625,-0.004691109813575167,0.2,310,-1.0405958754941822,0.006736135,113.23929461836815,0.38024044036865234,47.47488021850586,0.0003
73,408.92,-95.14730534000002,918,33,67584,0.072412109375,-0.007786347161163576,0.2,320,-1.0550006100907923,0.007539849,52.83389936685562,0.670717716217041,8.888195037841797,0.0003
77,425.93,-92.541874,899,34,69632,0.05439453125,-0.005848335517657688,0.2,330,-1.020766720175743,0.008332442,119.92867628335952,0.41743868589401245,13.929010391235352,0.0003
80,443.66,-89.43899146,894,35,71680,0.10673828125,-0.0069494842653512025,0.2,340,-0.9692076932638883,0.009905171,87.53082920312882,0.6903091073036194,15.024944305419922,0.0003
83,461.33,-87.16135442,878,36,73728,0.12705078125,-0.011433617754664737,0.2,350,-0.9103891456499695,0.01654603,29.016207528114318,0.9005822390317917,6.80096435546875,0.0003
