time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range,train/value_loss
2048,1,0,-165.51669839130437,2301,88.0,,,,,,,,,,
4096,2,2,-155.66788331818182,1653,92.06818181818181,824.4698486328125,-1.384141768887639,0.00814199447631836,0.004248046875,10,-0.003283666908100713,0.0003,0.0055123814,0.2,2068.755457687378
6144,3,4,-150.7808388548387,1505,96.90322580645162,359.9189147949219,-1.3728169225156308,-0.013275146484375,0.0541015625,20,-0.007904135257558665,0.0003,0.010624788,0.2,1512.7115732192992
8192,4,5,-151.29304426250002,1440,101.6625,544.6359252929688,-1.3599790330976247,-0.0024710893630981445,0.03544921875,30,-0.007935219861246878,0.0003,0.00858169,0.2,1207.161581993103
10240,5,7,-150.15615598,1423,101.85,501.39947509765625,-1.3274216625839472,-0.008417487144470215,0.051708984375,40,-0.0070495644977199845,0.0003,0.008075526,0.2,863.0712619781494
12288,6,8,-147.00170102,1410,108.44,270.0215759277344,-1.3071627125144005,-0.006540060043334961,0.1935546875,50,-0.011234372586477548,0.0003,0.0151711125,0.2,846.5901467323304
14336,7,10,-143.81795327,1399,114.53,170.8209228515625,-1.231027776375413,-0.0006883144378662109,0.178857421875,60,-0.00807913976314012,0.0003,0.013988705,0.2,341.33558502197263
16384,8,11,-139.62897266,1389,121.13,414.7066650390625,-1.2394078262150288,-0.0044640302658081055,0.06494140625,70,-0.00539526244829176,0.0003,0.012567865,0.2,646.3777876377105
18432,9,13,-136.81828246,1382,127.18,161.17803955078125,-1.2325177393853664,-6.115436553955078e-05,0.0091796875,80,-0.0049085020618804265,0.0003,0.003823672,0.2,366.67166409492495
20480,10,15,-132.31785444999997,1345,131.14,58.42380142211914,-1.2122335344552995,0.019397854804992676,0.103466796875,90,-0.011049844951048726,0.0003,0.010110624,0.2,362.3500393390656
22528,11,17,-130.45216658,1279,145.58,78.82797241210938,-1.1574711859226228,0.09060084819793701,0.018603515625,100,-0.005659289895265829,0.0003,0.0064018685,0.2,271.97850584983826
24576,12,19,-123.19683834000001,1278,153.75,70.45838928222656,-1.2013122793287039,0.012790143489837646,0.01689453125,110,-0.0025430606816371436,0.0003,0.00475632,0.2,394.93011088371276
26624,13,20,-120.5577905,1272,165.89,138.52708435058594,-1.1682598795741796,0.15359705686569214,0.00556640625,120,-0.004139868852507789,0.0003,0.0025535442,0.2,453.1031466960907
28672,14,22,-115.99742558000001,1272,174.34,191.08712768554688,-1.1542400944978,0.20449542999267578,0.0548828125,130,-0.009143730791402049,0.0003,0.0067889164,0.2,322.49652767181396
30720,15,24,-117.43808394,1245,187.1,115.31623077392578,-1.0665699996054172,0.3987341523170471,0.099951171875,140,-0.006547464381583268,0.0003,0.01297605,0.2,250.6232480764389
32768,16,26,-111.62289735999998,1241,197.34,83.46561431884766,-1.1397397439926862,0.47958260774612427,0.07001953125,150,-0.006509987116442062,0.0003,0.0064632567,0.2,359.3535243988037
34816,17,28,-112.7258817,1216,210.0,80.8382568359375,-1.110731143131852,0.2746952772140503,0.04521484375,160,-0.0065745233860070584,0.0003,0.0066335844,0.2,314.7410981655121
36864,18,32,-110.99357989,1126,229.03,28.034378051757812,-1.1331933613866567,0.7330799400806427,0.094677734375,170,-0.009228209630236961,0.0003,0.012986912,0.2,142.76751022338868
38912,19,35,-108.82126986000002,1094,236.8,65.9737777709961,-1.2388013496994972,0.6534018516540527,0.06044921875,180,-0.007362141001794953,0.0003,0.008416787,0.2,117.93559917211533
40960,20,38,-104.76097256000001,1062,258.74,67.19745635986328,-1.1612553421407938,0.6507948338985443,0.026513671875,190,-0.0044980912221944894,0.0003,0.004375647,0.2,141.4124619781971
43008,21,41,-106.40576464,1048,267.4,260.820068359375,-1.1395393285900355,0.649231344461441,0.03046875,200,-0.004976841423922451,0.0003,0.005445788,0.2,127.82596802711487
45056,22,44,-101.24525295000001,1017,285.09,72.57782745361328,-1.1197927944362163,0.5684861838817596,0.06318359375,210,-0.006906427473586519,0.0003,0.0075107943,0.2,136.48674048185347
47104,23,47,-98.19980327000002,991,301.7,15.402069091796875,-1.2072175670415164,0.8118115961551666,0.092041015625,220,-0.010687578881334047,0.0003,0.00860987,0.2,77.40096596479415
49152,24,51,-96.40777791000001,955,319.46,13.502827644348145,-1.1925102725625039,0.8453587889671326,0.0681640625,230,-0.006320229078119155,0.0003,0.008357091,0.2,59.55845245718956
51200,25,54,-96.19478866999998,933,336.61,6.322725772857666,-1.2413903076201678,0.8507647514343262,0.104736328125,240,-0.00828270824131323,0.0003,0.010697085,0.2,48.83961411267519
53248,26,57,-92.96002288999998,924,353.88,10.210725784301758,-1.2382369574159384,0.8766139447689056,0.169921875,250,-0.011744141671806574,0.0003,0.01384163,0.2,50.902820985019204
55296,27,60,-89.52435299000001,913,371.75,20.898910522460938,-1.0052403006702662,0.7553834021091461,0.104443359375,260,-0.00699689424582175,0.0003,0.010483419,0.2,151.94486550688742
57344,28,63,-87.03431214,904,389.45,76.16995239257812,-1.143653954565525,0.8464236855506897,0.053271484375,270,-0.007197691977489739,0.0003,0.009469438,0.2,78.09216578751803
59392,29,66,-84.60489955999999,899,406.26,16.959367752075195,-1.1731511063873767,0.7963640987873077,0.042626953125,280,-0.004339127167622791,0.0003,0.00624593,0.2,117.6694792509079
61440,30,69,-81.65823657,880,423.38,5.518996238708496,-1.163920745998621,0.8693927079439163,0.070849609375,290,-0.0056643013696884735,0.0003,0.008844348,0.2,48.34304482340813
63488,31,72,-77.51589741,870,441.1,4.279341697692871,-1.1331002488732338,0.8902173787355423,0.08564453125,300,-0.006112316111830296,0.0003,0.0078753745,0.2,44.06285376176238
65536,32,75,-78.96430529,864,451.25,2.5564932823181152,-1.1295175790786742,0.9006739184260368,0.084228515625,310,-0.007015920567937428,0.0003,0.012610537,0.2,37.108279553055766
67584,33,79,-77.74698276999999,855,462.15,65.49763488769531,-1.0495519800111652,0.6795107126235962,0.017333984375,320,-0.003509835698787356,0.0003,0.0032825225,0.2,162.1565332084894
69632,34,82,-73.72028440999999,843,479.25,48.6119384765625,-1.0302021753042936,0.8210536986589432,0.035546875,330,-0.0034916393095045352,0.0003,0.0057000853,0.2,102.66407154798507
71680,35,85,-72.89450016999999,841,495.55,6.653332710266113,-1.0332902997732163,0.8836114183068275,0.050048828125,340,-0.007011595903895796,0.0003,0.007911487,0.2,42.232527965307234
73728,36,88,-69.32938322,833,512.65,42.8310661315918,-0.9700102442875504,0.7740486264228821,0.032568359375,350,-0.00206332064117305,0.0003,0.009339675,0.2,114.30629994273185
75776,37,91,-66.40258616,824,529.33,2.4449057579040527,-1.0464435718953609,0.8666275590658188,0.085302734375,360,-0.006238250878959661,0.0003,0.008874511,0.2,45.89252109080553
77824,38,95,-64.4733093,817,546.34,5.256049633026123,-0.937684103474021,0.8695820868015289,0.048974609375,370,-0.0034151448198826984,0.0003,0.006642773,0.2,39.42510187625885
