time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates
1,0,2308,-201.27291165217392,2048,87.95652173913044,,,,,,,,,,
2,2,1737,-171.47583058695653,4096,87.3695652173913,0.02314453125,1516.4585927963258,-0.005223046615719795,0.009544315,734.2615966796875,0.2,0.0003,0.0018597245216369629,-1.3823873784393073,10
3,3,1622,-166.88762780303028,6144,91.93939393939394,0.014501953125,1171.3611367225647,-0.0039674408064456655,0.008555803,318.3634033203125,0.2,0.0003,-0.008603572845458984,-1.370104479044676,20
4,5,1570,-165.15706052325578,8192,94.43023255813954,0.014453125,1233.9942665100098,-0.006531692847784143,0.005757076,427.07916259765625,0.2,0.0003,0.005257010459899902,-1.3610860098153352,30
5,6,1541,-164.16668897999998,10240,95.89,0.0974609375,670.2294686794281,-0.009261105227051303,0.010818851,185.85719299316406,0.2,0.0003,-0.005042672157287598,-1.349456223100424,40
6,8,1517,-160.69159646,12288,100.64,0.067236328125,778.4824741363525,-0.008756777778762626,0.010313038,292.7846374511719,0.2,0.0003,0.0005499720573425293,-1.3406272877007723,50
7,9,1498,-154.64084754,14336,106.4,0.151513671875,857.0484521865844,-0.010118237600545399,0.01284828,423.8585205078125,0.2,0.0003,-0.006132960319519043,-1.2889657605439424,60
8,11,1485,-157.56222531,16384,109.68,0.125,414.95345084667207,-0.00800318448455073,0.009618275,132.03257751464844,0.2,0.0003,-0.0002797842025756836,-1.280838106572628,70
9,12,1476,-152.70733902,18432,110.32,0.0611328125,498.6089015007019,-0.008996993612527149,0.006584417,196.4622802734375,0.2,0.0003,-0.0026793479919433594,-1.224688869342208,80
10,13,1463,-146.00128942,20480,114.94,0.00078125,408.69144587516786,-0.002734055509790778,0.0049418863,373.65936279296875,0.2,0.0003,-0.0004469156265258789,-1.2448340825736524,90
11,15,1451,-145.05932556,22528,122.11,0.05087890625,453.1447506904602,-0.00491487369290553,0.009423313,128.832763671875,0.2,0.0003,-0.0002626180648803711,-1.187086995691061,100
12,17,1441,-140.30619467999998,24576,127.71,0.060595703125,448.7730891227722,-0.007409755875414703,0.016194481,366.9019470214844,0.2,0.0003,-0.00027298927307128906,-1.167485348880291,110
13,19,1399,-138.24256011,26624,139.12,0.05927734375,414.9620493173599,-0.006642648104025284,0.0056487042,234.71939086914062,0.2,0.0003,-3.266334533691406e-05,-1.1218601584434509,120
14,20,1381,-135.77227327,28672,151.21,0.0263671875,313.2753762245178,-0.005282397502014646,0.008302968,117.62226867675781,0.2,0.0003,0.0012549161911010742,-1.1976738702505827,130
15,22,1367,-134.00835408999998,30720,159.92,0.060791015625,519.3666184425354,-0.005065094632300315,0.006618695,221.23062133789062,0.2,0.0003,-0.01378178596496582,-1.0685577139258384,140
16,24,1348,-130.86423133999998,32768,172.69,0.029052734375,589.8822496175766,-0.004360303994326386,0.006427562,263.7311096191406,0.2,0.0003,-0.00025403499603271484,-1.0526564866304398,150
17,26,1331,-126.21596007,34816,186.95,0.0482421875,389.8636169433594,-0.005507643979217392,0.0056774067,201.0979766845703,0.2,0.0003,-4.470348358154297e-05,-1.02212468162179,160
18,27,1317,-127.10090854000002,36864,197.5,0.08505859375,293.05530614852904,-0.009009430470177904,0.0070917113,99.5962905883789,0.2,0.0003,-0.0002630949020385742,-1.0705745795741677,170
19,31,1229,-125.09941837000001,38912,212.36,0.1052734375,586.4875029563904,-0.004228459770820337,0.007833257,276.64892578125,0.2,0.0003,-2.47955322265625e-05,-1.0330089980736374,180
20,34,1197,-120.78002257,40960,230.32,0.0671875,408.9082809686661,-0.010646154056303203,0.008569904,184.94224548339844,0.2,0.0003,0.0002161264419555664,-1.1697164449840785,190
21,37,1149,-115.21316175,43008,248.04,0.068115234375,270.61834518909455,-0.0060208402814168945,0.007787461,72.1782455444336,0.2,0.0003,-0.016397953033447266,-1.1033483393490315,200
22,40,1105,-114.54722287000003,45056,261.21,0.002783203125,81.5917557477951,-0.0024788106937194245,0.0050800457,30.41457748413086,0.2,0.0003,0.3325018882751465,-1.1970357473939657,210
23,44,1064,-111.89231711000001,47104,275.22,0.035205078125,101.55784959197044,-0.006681163488246966,0.0071647167,66.46553802490234,0.2,0.0003,0.39687561988830566,-1.1976527694612742,220
24,47,1042,-108.36785872000002,49152,297.93,0.01943359375,151.11615133285522,-0.004641848296887474,0.007660903,26.73806381225586,0.2,0.0003,0.39704954624176025,-1.1197803396731616,230
25,49,1027,-108.30014039,51200,312.1,0.019677734375,133.03970232009888,-0.0034879442955570994,0.0041801445,32.214759826660156,0.2,0.0003,0.43763214349746704,-1.066232605651021,240
26,53,992,-105.01983305999998,53248,329.52,0.079248046875,105.3627201795578,-0.009772441714449086,0.007688701,29.35737419128418,0.2,0.0003,0.5921056568622589,-1.1375458624213934,250
27,56,973,-100.22598252,55296,348.29,0.09775390625,57.99116446971893,-0.009737308693001979,0.010958309,16.365198135375977,0.2,0.0003,0.7788340747356415,-1.205058528482914,260
28,59,964,-99.90640787000001,57344,360.25,0.046435546875,136.64463517665862,-0.0045762529407511465,0.0068523423,20.264841079711914,0.2,0.0003,0.537713497877121,-1.153947291523218,270
29,61,959,-97.94707728000002,59392,380.18,0.1052734375,119.12741813957692,-0.006279632104269695,0.0110157505,20.180397033691406,0.2,0.0003,0.5893426835536957,-1.1273217741400003,280
30,64,946,-94.37359780000001,61440,397.86,0.034033203125,211.93838926553727,-0.00732186944806017,0.0069061867,60.78272247314453,0.2,0.0003,0.311806857585907,-1.027005122974515,290
31,68,928,-92.67570328000002,63488,415.01,0.102294921875,91.20963124632836,-0.005741008841141593,0.011906701,27.10760498046875,0.2,0.0003,0.7851515561342239,-1.105586513876915,300
32,72,908,-90.31319945999999,65536,431.87,0.098974609375,114.38754500746727,-0.010026245923654642,0.008736376,23.253511428833008,0.2,0.0003,0.6890515387058258,-1.0284621801227332,310
33,74,904,-89.51886300999999,67584,449.37,0.077001953125,39.79158902466297,-0.007811460155062377,0.029509038,11.388249397277832,0.2,0.0003,0.8677530139684677,-1.0584083957597614,320
34,77,894,-89.20770774,69632,463.91,0.017041015625,142.87382294535638,-0.0029245866811834277,0.0028656349,33.14415740966797,0.2,0.0003,0.4788205623626709,-1.002164575457573,330
35,80,887,-86.98491169,71680,477.03,0.076611328125,157.10150382518768,-0.005725439474917948,0.0087172445,66.78397369384766,0.2,0.0003,0.5512203574180603,-1.078094834089279,340
36,84,873,-85.20558641,73728,493.32,0.1076171875,59.34582993090153,-0.009723326939274557,0.010022708,14.290918350219727,0.2,0.0003,0.694026917219162,-0.9779946226626635,350
37,87,870,-83.18535386000002,75776,510.29,0.05302734375,135.26753876209258,-0.0035837815987179054,0.0061989557,24.623859405517578,0.2,0.0003,0.626061201095581,-1.022549014724791,360
38,90,862,-80.95124217,77824,527.08,0.062646484375,42.144848889112474,-0.004646200559363933,0.007841364,12.87570858001709,0.2,0.0003,0.7123818397521973,-0.9911510540172458,370
39,94,844,-79.21814836,79872,535.84,0.06240234375,71.99613026678563,-0.003759856331453193,0.0044257487,37.62990188598633,0.2,0.0003,0.49541568756103516,-1.0184152649715543,380
40,98,833,-76.94668817,81920,552.46,0.066162109375,37.90736969560385,-0.009170316756353714,0.01418626,7.998465061187744,0.2,0.0003,0.8838885575532913,-0.9645604755729437,390
41,101,828,-74.73164650000001,83968,567.35,0.063232421875,50.146759185194966,-0.005889295868109911,0.006022427,239.5811004638672,0.2,0.0003,0.8207228183746338,-0.9109948817640543,400
42,104,826,-71.64490819000001,86016,588.06,0.14892578125,30.049760980904104,-0.009753266021289165,0.011771455,3.604297637939453,0.2,0.0003,0.8221151828765869,-0.9900143027305603,410
43,107,816,-70.60700514,88064,603.21,0.05908203125,80.56851904392242,-0.0025257940556912216,0.006898827,12.766142845153809,0.2,0.0003,0.6458909809589386,-0.9671782093122602,420
44,111,806,-68.00456004,90112,615.88,0.01884765625,61.01694045960903,-0.0006621197222557385,0.0044050934,9.029657363891602,0.2,0.0003,0.6954898834228516,-0.8629940463230014,430
45,115,796,-63.90831527000001,92160,632.02,0.06484375,31.50695133805275,-0.002731542833498679,0.00950433,4.166619777679443,0.2,0.0003,0.753830760717392,-0.9060292638838291,440
46,119,788,-63.57239740000002,94208,646.03,0.094140625,37.80554140359163,-0.005272019849508069,0.009679723,5.908559799194336,0.2,0.0003,0.7982996553182602,-0.929782816953957,450
47,122,783,-61.706304830000015,96256,662.02,0.05263671875,71.11818330287933,-0.0018179090744524728,0.0073524606,54.38419723510742,0.2,0.0003,0.49180227518081665,-0.8899226680397987,460
48,126,775,-58.71865159000001,98304,677.03,0.032568359375,25.010819260776042,-0.0025447835527302233,0.006215371,2.4803507328033447,0.2,0.0003,0.8269745707511902,-0.9558015584945678,470
49,129,772,-56.0047078,100352,691.2,0.06142578125,22.890429102629422,-0.0031764745886903255,0.007590141,3.1516342163085938,0.2,0.0003,0.7679146826267242,-0.9454213285818696,480
50,134,761,-52.992677789999995,102400,705.28,0.0455078125,29.127677021920682,-0.003041176517581334,0.004970805,2.534865379333496,0.2,0.0003,0.6088198721408844,-0.9262223646044732,490
51,138,753,-52.908903200000005,104448,718.1,0.0521484375,23.41331229880452,-0.003134460616274737,0.005328464,2.772503137588501,0.2,0.0003,0.7708400934934616,-0.9317419165745378,500
52,142,745,-47.834104190000005,106496,739.77,0.080615234375,29.635650235414506,-0.003479626709304284,0.0076499768,4.677643775939941,0.2,0.0003,0.8608184307813644,-0.9114188419654965,510
53,145,745,-44.19860352999999,108544,754.65,0.04775390625,64.80632777661086,-0.002274119993671775,0.0052178716,3.252655506134033,0.2,0.0003,-0.15748357772827148,-0.9369834261015058,520
54,148,742,-42.137510369999994,110592,766.8,0.033349609375,63.46939292997122,-0.002828895421043853,0.005599711,74.6044921875,0.2,0.0003,0.433618426322937,-0.8783214999362826,530
55,152,738,-41.12400887,112640,782.31,0.04990234375,40.90150822326541,-0.0018615352310007438,0.0046515744,4.8379411697387695,0.2,0.0003,0.7182034254074097,-0.9337536998093128,540
