time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
0,2048,1,2337,89.4090909090909,-164.44644559090912,,,,,,,,,,
2,4096,2,1778,88.30434782608695,-165.65509476086956,760.8157348632812,2292.6907737731935,10,0.009514488,-0.006108147680788534,-1.3818726312369107,0.0003533363342285156,0.2,0.026416015625,0.0003
3,6144,3,1651,89.6029411764706,-158.86382024999997,556.9855346679688,2409.194403076172,20,0.007259384,-0.0058289667547796855,-1.3633071504533292,-0.049896836280822754,0.2,0.040185546875,0.0003
5,8192,4,1588,93.58620689655173,-155.09153627586204,630.7926025390625,1600.9753871917724,30,0.009500641,-0.006115920659794938,-1.3516457438468934,-0.03839111328125,0.2,0.0212890625,0.0003
6,10240,5,1550,96.79,-157.32699679,249.6841278076172,547.1268267631531,40,0.011695922,-0.007620301877614111,-1.3127676155418158,-0.0011529922485351562,0.2,0.07001953125,0.0003
8,12288,6,1528,99.97,-153.39855404,411.76470947265625,603.1687297821045,50,0.0089422185,-0.0016852493223268538,-1.3274721782654524,-0.0031468868255615234,0.2,0.0255859375,0.0003
9,14336,7,1512,104.57,-151.18125251,194.87574768066406,570.4330462455749,60,0.009960348,-0.0074645782500738275,-1.29480445869267,-0.00025844573974609375,0.2,0.075537109375,0.0003
10,16384,8,1495,108.37,-150.97433679,269.1454162597656,689.8511891365051,70,0.006228796,-0.008250591244723183,-1.307102970778942,-0.0032330751419067383,0.2,0.088232421875,0.0003
12,18432,9,1486,111.23,-147.55000325999998,315.2763671875,469.29705958366395,80,0.009643953,-0.010028852154209743,-1.2896081369370223,0.00034880638122558594,0.2,0.07138671875,0.0003
13,20480,10,1473,117.08,-143.0715967,170.9111785888672,621.9954580307007,90,0.005857153,-0.004576714348513633,-1.2593076296150685,0.02210080623626709,0.2,0.015283203125,0.0003
15,22528,11,1463,122.83,-139.28284769,136.7812957763672,324.7827248096466,100,0.013877591,-0.012322603548091138,-1.2086111519485712,0.08489948511123657,0.2,0.16181640625,0.0003
17,24576,12,1437,133.7,-139.60041797999997,88.54552459716797,266.0248888969421,110,0.013862801,-0.010190589310514041,-1.123857206106186,0.14544618129730225,0.2,0.118505859375,0.0003
19,26624,13,1358,148.21,-134.57885217,110.90874481201172,353.45210270881654,120,0.006023456,-0.008260723628336564,-1.1759095560759305,0.14928287267684937,0.2,0.04111328125,0.0003
21,28672,14,1306,164.29,-131.84521442000002,238.85903930664062,451.0476888179779,130,0.0078363,-0.0057341247411386576,-1.2281534310430289,0.12967932224273682,0.2,0.02822265625,0.0003
23,30720,15,1281,177.81,-131.25601552,532.144287109375,503.17077312469485,140,0.0056314305,-0.007262595185602549,-1.1758874978870153,0.0848621129989624,0.2,0.02919921875,0.0003
25,32768,16,1277,187.9,-131.20779945,96.9178466796875,256.64536747932436,150,0.007384708,-0.008666572738729884,-1.1908814810216426,0.20002210140228271,0.2,0.055615234375,0.0003
29,34816,17,1194,205.74,-123.81063992,237.37796020507812,482.8222707748413,160,0.0065267365,-0.010413404509745306,-1.128469004482031,0.16864615678787231,0.2,0.053271484375,0.0003
31,36864,18,1167,215.74,-122.95256513999999,36.11042022705078,163.00596044063568,170,0.008352624,-0.005747806542785838,-1.2192726746201514,0.48843300342559814,0.2,0.031640625,0.0003
34,38912,19,1122,234.08,-118.65141176000002,100.5009994506836,265.24422652721404,180,0.0071332,-0.00601595113548683,-1.1592953652143478,0.18805181980133057,0.2,0.077587890625,0.0003
