rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
81.91666666666667,1,2048,-171.38220929166667,2222,0,,,,,,,,,,
85.1875,2,4096,-177.85926172916666,1696,2,1352.864501953125,0.0015357732772827148,0.0003,0.0736328125,0.2,-0.011010411253664643,2244.5112857818604,-1.3796895384788512,0.01064341,10
85.09722222222223,3,6144,-182.96916118055555,1555,3,481.00982666015625,-0.027233004570007324,0.0003,0.02666015625,0.2,-0.007405768462922424,1602.4063419342042,-1.3746050395071507,0.00652606,20
88.56521739130434,4,8192,-175.92442670652173,1507,5,407.75885009765625,-0.0023546218872070312,0.0003,0.0251953125,0.2,-0.005751466572110076,1118.832528591156,-1.3622517447918654,0.0087373,30
92.04,5,10240,-174.74895651999998,1459,7,1640.55419921875,-0.01327502727508545,0.0003,0.09287109375,0.2,-0.007847032176505309,979.282021522522,-1.3506258882582187,0.008856657,40
93.95,6,12288,-170.62540548,1447,8,543.5497436523438,-0.004904985427856445,0.0003,0.001123046875,0.2,-0.0029936559934867547,897.9720623016358,-1.3575333893299102,0.0022977376,50
96.2,7,14336,-162.40582261,1431,10,173.26283264160156,-0.0004165172576904297,0.0003,0.051220703125,0.2,-0.004736656718159793,560.6026285171508,-1.3350129939615727,0.0078092865,60
98.35,8,16384,-153.76048417,1429,11,466.849365234375,-0.001977205276489258,0.0003,0.001025390625,0.2,-0.0027984409054624846,994.1611062049866,-1.3180144798010587,0.0019716693,70
100.63,9,18432,-152.27155509000002,1421,12,209.11871337890625,-0.0002415180206298828,0.0003,0.11279296875,0.2,-0.007536105549661443,410.7740858078003,-1.3129468698054552,0.009603544,80
103.65,10,20480,-147.30781062000003,1411,14,133.88734436035156,-0.00012791156768798828,0.0003,0.091845703125,0.2,-0.0077643298849579875,391.9825803041458,-1.2691586650907993,0.009007262,90
111.53,11,22528,-147.40911059,1398,16,223.60301208496094,-0.0010052919387817383,0.0003,0.0587890625,0.2,-0.005686447393236449,622.068967628479,-1.2714563462883235,0.013023354,100
116.86,12,24576,-143.14454473,1391,17,261.8807678222656,6.616115570068359e-06,0.0003,0.030712890625,0.2,-0.004069278702081647,535.4507542610169,-1.233133677020669,0.006451048,110
131.15,13,26624,-140.43743518,1354,19,533.0089721679688,-0.00012874603271484375,0.0003,0.132421875,0.2,-0.009671905918730772,585.1386742591858,-1.197325475141406,0.012617709,120
138.63,14,28672,-135.88775637,1350,21,96.03083038330078,0.0005901455879211426,0.0003,0.01435546875,0.2,-0.0037956053849484304,333.0372019290924,-1.2246085476130246,0.004436899,130
151.23,15,30720,-135.3289852,1338,22,202.19378662109375,-0.010361790657043457,0.0003,0.073974609375,0.2,-0.008415951761708129,342.83184776306155,-1.1348711349070073,0.008807409,140
159.72,16,32768,-136.05854655,1303,25,250.3800048828125,-0.005192279815673828,0.0003,0.039990234375,0.2,-0.005771402100799605,446.45737133026125,-1.1337614219635725,0.009118373,150
177.98,17,34816,-129.44896415999995,1288,27,231.14625549316406,0.016704797744750977,0.0003,0.02275390625,0.2,-0.003462483791372506,251.8834164619446,-1.163914357125759,0.003975394,160
192.71,18,36864,-125.40087261,1260,29,111.3523941040039,-0.08186888694763184,0.0003,0.009814453125,0.2,-0.003873461905459408,330.74742634296416,-1.1227441620081664,0.0046716277,170
206.93,19,38912,-121.52939392,1232,31,246.63621520996094,0.19264614582061768,0.0003,0.04814453125,0.2,-0.007715893887507264,188.97925601005554,-1.1249664314091206,0.009280164,180
224.61,20,40960,-119.05589475,1197,34,35.91537094116211,0.21491670608520508,0.0003,0.07216796875,0.2,-0.006003742021857761,170.92131469249725,-1.1712384801357985,0.0075939316,190
238.96,21,43008,-116.18220837999999,1166,36,30.88347053527832,0.4176533818244934,0.0003,0.0666015625,0.2,-0.00431251833870192,105.09742504954338,-1.1960784681141376,0.008252084,200
252.03,22,45056,-113.78385499999999,1140,39,236.74636840820312,0.17082089185714722,0.0003,0.0158203125,0.2,-0.003373346226362628,231.48755432367324,-1.127248878404498,0.00452526,210
263.84,23,47104,-113.40111728,1106,42,52.35386276245117,0.4204143285751343,0.0003,0.058056640625,0.2,-0.00508627209928818,180.04342384934426,-1.144087565690279,0.0085569285,220
283.44,24,49152,-108.18579708000001,1100,44,18.080968856811523,0.4949178695678711,0.0003,0.048046875,0.2,-0.005777105675224448,136.17479535341263,-1.153576333448291,0.0075050723,230
298.78,25,51200,-106.91640312999999,1085,47,249.71401977539062,0.11521631479263306,0.0003,0.01875,0.2,-0.004795731962076388,523.5384358644485,-1.0008797394111753,0.0052281097,240
315.48,26,53248,-104.08059693999999,1057,50,31.685741424560547,0.5690427124500275,0.0003,0.101416015625,0.2,-0.012522531315335072,139.4100502729416,-1.0423394668847323,0.012474075,250
327.81,27,55296,-103.37405045,1048,52,12.935440063476562,0.774957999587059,0.0003,0.07529296875,0.2,-0.011916721025045263,77.32781973183155,-1.031632411852479,0.009057646,260
347.04,28,57344,-98.36122340000001,1022,56,38.84563064575195,0.4700623154640198,0.0003,0.080712890625,0.2,-0.01028026729618432,173.97281737327575,-1.0658790044486524,0.008434067,270
361.82,29,59392,-101.05826888000001,1014,58,53.10423278808594,0.4672461748123169,0.0003,0.0978515625,0.2,-0.009664975263149245,190.93521323800087,-0.9665141081437468,0.010576399,280
378.45,30,61440,-95.76955962999999,995,61,40.54793167114258,0.3415563702583313,0.0003,0.101171875,0.2,-0.006678895182267297,157.93776687383652,-0.9753491705283522,0.011699049,290
395.69,31,63488,-94.00389945,973,65,14.46426773071289,0.7954452037811279,0.0003,0.096728515625,0.2,-0.006723446057003457,47.58887673020363,-1.0488418679684401,0.0126815485,300
412.77,32,65536,-89.89515228000002,957,68,21.65688133239746,0.470836877822876,0.0003,0.11953125,0.2,-0.011145233933348209,32.764619460701944,-1.0283369734883308,0.011348318,310
429.36,33,67584,-85.68310465,949,71,9.498222351074219,0.821747437119484,0.0003,0.083740234375,0.2,-0.007883099203172605,46.823166608810425,-0.9419865947216749,0.018124405,320
438.36,34,69632,-88.40514641,941,73,8.305514335632324,0.4872382879257202,0.0003,0.028271484375,0.2,-0.0034681036711845083,39.440210512280466,-0.975142652541399,0.0045289136,330
454.37,35,71680,-85.28444174,930,77,6.894484519958496,0.7671234011650085,0.0003,0.11943359375,0.2,-0.006133695517200976,44.4128966063261,-0.9461338924244046,0.009714563,340
470.32,36,73728,-81.27623689,911,80,8.642329216003418,0.6002228856086731,0.0003,0.153564453125,0.2,-0.009423916252126218,23.63627660125494,-1.0501435592770576,0.009312936,350
487.5,37,75776,-81.06319651000001,894,84,4.339899063110352,0.5040750205516815,0.0003,0.0630859375,0.2,-0.0057174103509169075,32.84215313792229,-0.9914711253717542,0.0064063594,360
504.11,38,77824,-76.73826764,880,88,4.5205535888671875,0.38277608156204224,0.0003,0.0525390625,0.2,-0.003016642888542265,30.68641579449177,-0.9906311778351664,0.007821436,370
521.58,39,79872,-75.09636929,866,92,8.096917152404785,0.604061633348465,0.0003,0.0669921875,0.2,-0.006972008713637479,34.03054517060518,-0.9980814609676599,0.0055867857,380
537.56,40,81920,-73.67844632,851,96,2.0356690883636475,0.5739642083644867,0.0003,0.044873046875,0.2,-0.004465856056776829,36.48537129834294,-0.9480234917253256,0.005789834,390
552.85,41,83968,-68.86621174,840,99,37.30495071411133,0.5801651179790497,0.0003,0.025634765625,0.2,-0.0026083258340804604,74.82314623817801,-0.8490267463028431,0.006065417,400
573.41,42,86016,-63.74283276999999,832,103,8.960089683532715,0.391187846660614,0.0003,0.030908203125,0.2,-0.005749263625330059,86.49139588847757,-0.8031846545636654,0.0073734084,410
590.33,43,88064,-61.63544776,826,106,22.15278434753418,-0.03220176696777344,0.0003,0.07060546875,0.2,-0.0028366621176246555,134.4752613171935,-0.9106489399448037,0.011512743,420
604.81,44,90112,-57.98596207,819,110,63.75041580200195,0.7056593298912048,0.0003,0.12177734375,0.2,-0.006632377216010355,13.176446000486612,-0.9276125587522983,0.009624425,430
618.73,45,92160,-54.41301186,815,113,14.963377952575684,0.5965147912502289,0.0003,0.12841796875,0.2,-0.004070514834893402,38.83225569501519,-0.8990377580747009,0.009359718,440
638.19,46,94208,-50.14241738,811,116,28.697956085205078,0.6711196303367615,0.0003,0.024267578125,0.2,-0.0024539283978810998,60.634558556228875,-0.8512620037421584,0.0056201303,450
651.31,47,96256,-42.938113860000016,811,118,45.22645950317383,0.5054051280021667,0.0003,0.024462890625,0.2,-0.002258247695863247,74.72041248455643,-0.7672028774395585,0.003926712,460
663.15,48,98304,-38.28773217,803,122,21.12315559387207,0.2750609517097473,0.0003,0.00517578125,0.2,-0.0006497744288935792,169.82789202928544,-0.838184261508286,0.0044179647,470
669.15,49,100352,-36.05426721999999,799,125,32.024085998535156,0.30433332920074463,0.0003,0.073828125,0.2,-0.0027867970655279352,163.6564625605941,-0.8531087335199118,0.010118586,480
686.08,50,102400,-31.5643572,797,128,14.23095703125,0.5500364303588867,0.0003,0.095068359375,0.2,-0.003495101561929914,78.28607267141342,-0.8828388081863523,0.009555936,490
