time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates
2272,0,1,2048,87.95652173913044,-170.87083195652176,,,,,,,,,,
1754,2,2,4096,87.26086956521739,-167.57910232608697,0.009128755,-1.382193823903799,0.0263671875,0.2,1940.9470106124877,521.6376342773438,-0.0021201372146606445,-0.00920037233736366,0.0003,10
1639,3,3,6144,88.55882352941177,-177.5806742794118,0.010827355,-1.3737196397036313,0.04482421875,0.2,954.4588199615479,458.45135498046875,-0.005761504173278809,-0.0061913107754662635,0.0003,20
1572,5,4,8192,90.86666666666666,-176.54077444444448,0.008578809,-1.376660307496786,0.056640625,0.2,964.6077427864075,432.3452453613281,-0.021027565002441406,-0.010023146126331994,0.0003,30
1533,6,5,10240,92.92,-172.61641834999998,0.012956879,-1.3642957851290702,0.075,0.2,804.4186916351318,264.16412353515625,-0.0015368461608886719,-0.010685436435596784,0.0003,40
1507,8,6,12288,95.31,-170.27337564,0.01011543,-1.3357593778520822,0.089453125,0.2,706.0953770160675,312.4347839355469,-0.020362019538879395,-0.0075289996719220655,0.0003,50
1464,9,7,14336,99.99,-165.99014040000003,0.008880096,-1.3107859686017036,0.03291015625,0.2,1146.2570349693299,744.3823852539062,-0.0037232637405395508,-0.005536370181653183,0.0003,60
1437,11,8,16384,108.95,-163.1488077,0.0125298,-1.2671137668192387,0.1677734375,0.2,384.49732608795165,185.56251525878906,-0.00010073184967041016,-0.010358375997748226,0.0003,70
1411,13,9,18432,112.53,-153.027495,0.009797895,-1.2565013565123082,0.08974609375,0.2,680.2885559082031,289.4010925292969,-0.00028133392333984375,-0.009388401173055172,0.0003,80
1396,14,10,20480,118.41,-153.24429533,0.016019417,-1.2600877899676561,0.07666015625,0.2,482.35759291648867,313.11846923828125,-0.0009139776229858398,-0.010518096517625964,0.0003,90
1384,16,11,22528,127.34,-148.18888261,0.012569729,-1.1937503762543202,0.090087890625,0.2,635.1480214595795,382.4285583496094,-2.110004425048828e-05,-0.004930044829961844,0.0003,100
1379,17,12,24576,133.26,-141.07038075999998,0.0073775775,-1.2222463380545379,0.0822265625,0.2,536.5996539592743,686.151611328125,-0.00017178058624267578,-0.007437643484445288,0.0003,110
1359,19,13,26624,144.57,-140.94897773,0.013909172,-1.16418992690742,0.0931640625,0.2,445.85244460105895,136.87400817871094,5.233287811279297e-05,-0.0073706035429495385,0.0003,120
1349,21,14,28672,154.24,-135.80999589,0.00547324,-1.161151747033,0.034912109375,0.2,347.3146978378296,131.7635498046875,-0.00035834312438964844,-0.0061057837199768985,0.0003,130
1337,22,15,30720,163.32,-132.46119778,0.010749299,-1.1326058950275182,0.115185546875,0.2,377.2949508190155,205.74530029296875,0.0001372694969177246,-0.007968142483150586,0.0003,140
1325,24,16,32768,168.97,-127.42557173000002,0.01283823,-1.0827748768031598,0.091162109375,0.2,526.4218154907227,279.1001892089844,-0.01566159725189209,-0.006215540303674061,0.0003,150
1300,26,17,34816,179.94,-127.80399923,0.010037407,-1.0240715501829982,0.09404296875,0.2,967.6695033073426,199.53811645507812,6.729364395141602e-05,-0.002273298946238356,0.0003,160
1270,29,18,36864,192.35,-123.16853126999996,0.008198973,-0.9988996939733624,0.119091796875,0.2,675.8785811424256,353.2484130859375,-0.00010180473327636719,-0.011887215352908242,0.0003,170
1256,30,19,38912,205.43,-120.94667869000001,0.006585474,-1.0442692456766962,0.03935546875,0.2,291.29615688323975,103.82823181152344,0.0004819035530090332,-0.002954449052049313,0.0003,180
1240,33,20,40960,218.94,-119.40003268000001,0.007709134,-1.0312106167897581,0.0537109375,0.2,432.6129951477051,141.49317932128906,0.0021848082542419434,-0.007527192593261134,0.0003,190
1192,36,21,43008,233.43,-116.65074684,0.012344133,-1.111814458668232,0.1240234375,0.2,219.58436448574065,73.71851348876953,0.017236828804016113,-0.01074018117506057,0.0003,200
1144,39,22,45056,246.55,-115.66180948000002,0.009038782,-1.0635953657329082,0.015283203125,0.2,174.53728498220443,69.7966079711914,0.1744418740272522,-0.004141318266192684,0.0003,210
1110,42,23,47104,260.63,-111.3609981,0.013727819,-1.1056710857897998,0.14560546875,0.2,213.84098320007325,60.804344177246094,0.1298174262046814,-0.013681495575292501,0.0003,220
1097,44,24,49152,277.93,-111.55005884000002,0.0061810594,-1.0577634140849113,0.03359375,0.2,142.80108649134635,42.443668365478516,0.28895288705825806,-0.005534998695657123,0.0003,230
1091,46,25,51200,287.62,-108.21632833000001,0.0061497297,-1.0809284135699273,0.03349609375,0.2,268.2324407815933,104.58072662353516,0.1009061336517334,-0.004413037363337935,0.0003,240
1068,49,26,53248,299.41,-107.68907808000003,0.011164192,-0.9761727483943105,0.064208984375,0.2,321.9575100541115,219.9112091064453,0.14803272485733032,-0.008603935200517299,0.0003,250
1047,52,27,55296,312.69,-106.00245761000001,0.0100770295,-1.0511753531172872,0.078466796875,0.2,114.31162619590759,105.49629974365234,0.43134748935699463,-0.008079380842536921,0.0003,260
1030,55,28,57344,333.64,-104.50919492000001,0.008654713,-1.0448539495468139,0.083251953125,0.2,165.73489218950272,31.135643005371094,0.39388126134872437,-0.008341233001556248,0.0003,270
1013,58,29,59392,350.37,-99.87031400999999,0.0066324417,-1.0509268084540964,0.07666015625,0.2,146.1186532318592,73.9514389038086,0.5189284086227417,-0.007663319764833432,0.0003,280
990,62,30,61440,366.96,-94.35125489999999,0.012101648,-0.9487303284928202,0.1353515625,0.2,180.443366086483,74.68331146240234,0.4705383777618408,-0.00782394783309428,0.0003,290
961,66,31,63488,380.38,-94.58099135,0.012666903,-1.0560493426397444,0.1509765625,0.2,51.94751629829407,16.184947967529297,0.7354656755924225,-0.010359605093253777,0.0003,300
945,69,32,65536,395.02,-93.57996210000002,0.0069540367,-1.0443834314122795,0.075341796875,0.2,79.56357884407043,193.6504669189453,0.5756103098392487,-0.008111458663188386,0.0003,310
934,72,33,67584,409.23,-89.61278328000002,0.007770788,-0.989525275118649,0.0546875,0.2,62.88680899441242,14.405343055725098,0.659554660320282,-0.0077797370533517094,0.0003,320
916,76,34,69632,426.08,-84.98688323000002,0.0076863393,-1.0176136197522283,0.0751953125,0.2,81.9711542993784,8.889989852905273,0.39525294303894043,-0.004078702907281695,0.0003,330
892,80,35,71680,448.87,-83.29004833,0.009353025,-1.0050446454435586,0.080078125,0.2,62.15920131504536,9.090136528015137,0.6096927523612976,-0.007453362697560806,0.0003,340
