time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
1,94.85714285714286,0,2048,2297,-166.20173876190478,,,,,,,,,,
2,95.06976744186046,2,4096,1743,-162.82688172093023,0.2,-0.006156605518481228,10,0.0003,0.01474609375,1587.1535873413086,801.6688842773438,0.0019028186798095703,-1.3831382196396589,0.00749388
3,97.59677419354838,3,6144,1624,-166.28466225806454,0.2,-0.007219415757572278,20,0.0003,0.062548828125,1286.4812507629395,507.0603332519531,-0.014411687850952148,-1.3658214397728443,0.009167628
4,99.49382716049382,5,8192,1569,-155.22040327160494,0.2,-0.007081518624909222,30,0.0003,0.05166015625,1019.4456679344178,453.18170166015625,-0.0007939338684082031,-1.3401292577385902,0.010867195
5,103.14141414141415,6,10240,1535,-156.39785808080808,0.2,-0.005809352800133638,40,0.0003,0.05390625,1859.242060279846,1626.0882568359375,0.0009982585906982422,-1.3270828623324633,0.0065799663
6,105.32,8,12288,1519,-152.73389799000003,0.2,-0.007949698298762086,50,0.0003,0.118896484375,905.6043664932251,525.0576171875,-0.11156487464904785,-1.3202207881957293,0.013609221
7,110.32,9,14336,1502,-149.26562434000002,0.2,-0.0050308178571867755,60,0.0003,0.142626953125,431.84248304367065,219.4547576904297,-0.00045299530029296875,-1.296765012666583,0.013603307
8,113.06,10,16384,1492,-147.45637157,0.2,-0.009724581461341586,70,0.0003,0.134228515625,461.15795159339905,203.7055206298828,-0.0002186298370361328,-1.2551289923489093,0.008319914
9,117.81,12,18432,1474,-141.90087499,0.2,-0.010203034248115727,80,0.0003,0.1494140625,709.7168966293335,280.541748046875,-0.008650660514831543,-1.2500249102711678,0.017929928
10,122.55,14,20480,1430,-145.2311271,0.2,-0.007402560666378122,90,0.0003,0.06474609375,441.1403277397156,147.63430786132812,-0.0005230903625488281,-1.225572419911623,0.009066668
11,133.69,16,22528,1334,-142.71885955,0.2,-0.003921412424824666,100,0.0003,0.005126953125,488.5172784805298,241.66757202148438,0.0035335421562194824,-1.1992708403617143,0.0042832335
12,154.67,19,24576,1233,-134.04659709,0.2,-0.0027347619652573485,110,0.0003,0.00078125,219.41454622745513,57.54618453979492,0.16152304410934448,-1.2518148884177207,0.0030367868
13,164.34,21,26624,1233,-138.3932443,0.2,-0.00661853872188658,120,0.0003,0.018505859375,370.93581318855286,192.8092803955078,0.23516327142715454,-1.2124714493751525,0.0068574236
14,173.92,23,28672,1237,-135.03406719,0.2,-0.0029461356483807323,130,0.0003,0.0037109375,538.2186574935913,111.3073959350586,0.2509562373161316,-1.1276925537735223,0.0047335564
15,184.05,24,30720,1238,-131.8046546,0.2,-0.0053493603263632394,140,0.0003,0.0259765625,591.0660690307617,154.5845489501953,0.1779320240020752,-1.1108592391014098,0.0055901706
16,193.57,26,32768,1239,-130.88519325,0.2,-0.0013269146940729116,150,0.0003,0.0,622.769365978241,206.9568634033203,0.09215158224105835,-1.1135950788855553,0.0010199639
17,202.41,28,34816,1241,-125.15275639,0.2,-0.005064392960775876,160,0.0003,0.0171875,666.2442437648773,183.0103759765625,0.2680608630180359,-1.1139473650604486,0.0038444928
18,211.57,29,36864,1242,-128.09174007,0.2,-0.006220268648030469,170,0.0003,0.012109375,379.27993471622466,189.76657104492188,0.4374287724494934,-1.120955378934741,0.0033923239
19,227.04,32,38912,1209,-124.57507885,0.2,-0.0053936414515192155,180,0.0003,0.019970703125,587.8294138908386,104.06768035888672,0.03270846605300903,-1.103777364641428,0.0064877993
20,234.25,33,40960,1212,-123.62801515999999,0.2,-0.007081136903434526,190,0.0003,0.025146484375,313.0877484798431,197.64117431640625,0.25271695852279663,-1.1946922514587641,0.0070017017
21,243.39,35,43008,1209,-122.17558514999999,0.2,-0.004614411834336351,200,0.0003,0.01494140625,426.6793462753296,181.51254272460938,0.22222280502319336,-1.0644931025803088,0.003274737
22,250.03,37,45056,1206,-125.58004946999999,0.2,-0.009496082113764714,210,0.0003,0.098828125,378.9398419857025,171.79458618164062,0.2628132700920105,-1.0952046394348145,0.010493667
23,255.23,39,47104,1178,-122.72590650000001,0.2,-0.0069750659298733805,220,0.0003,0.03427734375,339.81415059566496,157.44732666015625,0.4419293999671936,-1.0544712560251355,0.005901282
24,252.84,42,49152,1161,-126.96778377999999,0.2,-0.006768368437042227,230,0.0003,0.07509765625,182.4115280389786,46.4045524597168,0.4705088138580322,-1.1363724671304225,0.010132913
25,263.78,44,51200,1140,-126.13112836999998,0.2,-0.005870464965119027,240,0.0003,0.044091796875,398.87126710414884,116.71470642089844,0.34674471616744995,-1.1087445095181465,0.008150209
