time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range
1,2385,0,2048,95.71428571428571,-177.76161014285714,,,,,,,,,,
2,1788,2,4096,94.83333333333333,-171.28274723809523,-0.00855898506270023,445.8653564453125,0.039208984375,0.0103073325,0.0003,-0.005976200103759766,10,-1.379943811893463,1109.9052019119263,0.2
3,1661,3,6144,93.98461538461538,-165.38660380000002,-0.007067887234734371,930.245849609375,0.015087890625,0.007844999,0.0003,-0.01780247688293457,20,-1.3720196094363928,2627.6633434295654,0.2
4,1605,5,8192,94.66279069767442,-170.34861154651162,-0.0036495665517577436,398.3001708984375,0.009814453125,0.0059528043,0.0003,-0.003798246383666992,30,-1.3589989714324475,1200.278953933716,0.2
5,1565,6,10240,97.26,-167.69123272000002,-0.00748049473768333,251.42665100097656,0.072998046875,0.012975723,0.0003,-0.005418658256530762,40,-1.3538955699652433,692.5187217712403,0.2
6,1538,7,12288,100.99,-165.97526546999998,-0.006531298509798944,266.5260314941406,0.065576171875,0.009197689,0.0003,-0.003634810447692871,50,-1.3423519119620324,703.0937297821044,0.2
7,1518,9,14336,106.67,-162.71181391,-0.007287515857024118,283.109375,0.079638671875,0.010246602,0.0003,0.0011432766914367676,60,-1.3208378072828055,971.5716705322266,0.2
8,1496,10,16384,114.88,-159.96428726,-0.007556896960886661,113.65174865722656,0.157421875,0.01530505,0.0003,-0.018219709396362305,70,-1.264066430181265,471.597746515274,0.2
9,1478,12,18432,122.42,-158.78654078,-0.010831863185740077,277.1514587402344,0.144482421875,0.0098602595,0.0003,4.470348358154297e-05,80,-1.2216772317886353,582.701936340332,0.2
10,1460,14,20480,129.94,-152.17840159000002,-0.004254020523512736,180.05921936035156,0.036865234375,0.008537588,0.0003,-0.15624785423278809,90,-1.1802669417113065,507.29645709991456,0.2
11,1434,15,22528,141.97,-148.67048205,-0.006956568699388299,223.8423614501953,0.055322265625,0.006552812,0.0003,0.04524219036102295,100,-1.1670657820999621,472.42014985084535,0.2
12,1421,17,24576,150.45,-147.43929118,-0.009970249651814811,137.38478088378906,0.07724609375,0.00766501,0.0003,0.04359060525894165,110,-1.1740405887365342,440.9829045772552,0.2
13,1416,18,26624,156.89,-138.59605951999998,-0.009250763744057621,270.5012512207031,0.08759765625,0.008711103,0.0003,0.034530699253082275,120,-1.186002069711685,451.0224722385407,0.2
14,1409,20,28672,163.03,-134.43498176,-0.006004540201683994,171.71644592285156,0.084228515625,0.015888825,0.0003,0.022113561630249023,130,-1.1380212526768445,383.1304488658905,0.2
15,1366,22,30720,170.71,-129.975991,-0.011062279813631903,297.3863830566406,0.06220703125,0.008883299,0.0003,0.035867273807525635,140,-1.089325825124979,600.2751267433166,0.2
16,1328,24,32768,188.66,-132.86452268,-0.0063971502946515105,63.06197738647461,0.022021484375,0.00498053,0.0003,0.03975021839141846,150,-1.145180070772767,231.25031888484955,0.2
17,1222,28,34816,205.62,-125.58922072000001,-0.005887453517061658,110.94307708740234,0.069921875,0.009202693,0.0003,0.05377054214477539,160,-1.1256379920989275,300.92157728672026,0.2
18,1210,30,36864,219.08,-126.16433125000002,-0.008555378053279128,55.049407958984375,0.080322265625,0.011744325,0.0003,0.14158743619918823,170,-1.2419007658958434,170.6846037864685,0.2
