time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates
0,-151.4899995238095,1,2331,2048,93.71428571428571,,,,,,,,,,
2,-165.86269279069768,2,1742,4096,93.62790697674419,-1.3804707232862712,0.007603824138641357,881.6887817382812,0.0003,0.05283203125,2636.0715515136717,0.2,-0.010288680737721734,0.010024462,10
3,-167.48214010606057,3,1615,6144,92.34848484848484,-1.3764782514423133,-0.03754770755767822,720.2762451171875,0.0003,0.031005859375,1056.1966527938844,0.2,-0.005573340639239177,0.008773617,20
5,-168.6840497241379,4,1560,8192,92.97701149425288,-1.3567120429128408,-0.0019332170486450195,167.50563049316406,0.0003,0.0669921875,599.3124507904053,0.2,-0.009151736844796688,0.0059629963,30
6,-164.02263671999998,5,1526,10240,96.19,-1.3475671634078026,-0.015753626823425293,220.17982482910156,0.0003,0.016552734375,616.195252084732,0.2,-0.004120883600262459,0.009596493,40
8,-166.95593804,6,1503,12288,98.42,-1.3191235199570657,-0.007756710052490234,413.62982177734375,0.0003,0.07509765625,816.9483613491059,0.2,-0.0057557960753911175,0.009958385,50
9,-161.70541318,7,1458,14336,105.01,-1.2815668363124133,-8.034706115722656e-05,127.33551788330078,0.0003,0.172265625,391.4520721435547,0.2,-0.009376934968167916,0.011197586,60
11,-155.87583358,8,1374,16384,117.5,-1.264984080940485,0.0026499032974243164,190.8787384033203,0.0003,0.012451171875,453.43859939575196,0.2,-0.00673854503329494,0.0033358852,70
13,-151.46359152,9,1377,18432,123.04,-1.2977734111249446,0.06735450029373169,321.65142822265625,0.0003,0.023828125,258.13732652664186,0.2,-0.006019969243789091,0.006029325,80
14,-144.06463560999998,10,1371,20480,130.74,-1.2093512468039989,-0.005005598068237305,111.53395080566406,0.0003,0.08037109375,357.4377598762512,0.2,-0.010585364731377922,0.010775741,90
16,-143.55493157,11,1359,22528,140.97,-1.1896172799170017,0.0014910101890563965,77.33189392089844,0.0003,0.016162109375,396.4978203296661,0.2,-0.004438206457416527,0.011542367,100
19,-139.94526011,12,1281,24576,154.82,-1.1721616610884666,0.04393744468688965,202.56280517578125,0.0003,0.0064453125,339.9177891731262,0.2,-0.0036910381968482397,0.0036922144,110
20,-134.15601550999997,13,1282,26624,164.55,-1.2257580310106277,0.03766673803329468,171.88189697265625,0.0003,0.02548828125,613.0522078990937,0.2,-0.004696083004819229,0.00416487,120
23,-130.71937318,14,1234,28672,181.04,-1.1153342716395855,0.06805908679962158,142.8496551513672,0.0003,0.07119140625,392.2914053440094,0.2,-0.006675318146881182,0.011777753,130
26,-128.1500555,15,1174,30720,193.97,-1.2260393384844064,0.11030161380767822,53.37368392944336,0.0003,0.06474609375,214.13607668876648,0.2,-0.008414846503001172,0.008494266,140
28,-124.62161076999999,16,1159,32768,203.22,-1.1866750959306955,0.02934163808822632,195.77294921875,0.0003,0.0982421875,388.60973300933836,0.2,-0.008572685936815105,0.008945516,150
30,-118.67929093000001,17,1130,34816,216.36,-1.1629112541675568,-0.08649134635925293,120.05741882324219,0.0003,0.018408203125,460.3096303462982,0.2,-0.004802220569399651,0.006782678,160
33,-113.29054727999997,18,1111,36864,238.21,-1.188792122900486,0.41053688526153564,35.84208679199219,0.0003,0.0158203125,129.7296735048294,0.2,-0.003594916014117189,0.00400237,170
35,-114.69072600000001,19,1092,38912,250.9,-1.15120744779706,0.19118648767471313,283.1886291503906,0.0003,0.0419921875,260.320617890358,0.2,-0.0040291689016157765,0.0066520106,180
37,-113.73171494,20,1092,40960,251.48,-1.117059998586774,-0.09896612167358398,218.62030029296875,0.0003,0.03466796875,251.26876564025878,0.2,-0.006354525365168229,0.0038272024,190
40,-108.89197411,21,1068,43008,269.47,-1.035822146385908,0.0007179975509643555,145.83497619628906,0.0003,0.095751953125,318.65257301330564,0.2,-0.008792169488151558,0.009845033,200
42,-109.06663908000002,22,1060,45056,278.45,-1.1082804951816798,0.1402214765548706,24.864376068115234,0.0003,0.047412109375,145.45006324648858,0.2,-0.004458734884246951,0.0068253437,210
45,-103.05093828000001,23,1030,47104,304.29,-0.9975152576342226,0.16197073459625244,66.97627258300781,0.0003,0.069580078125,176.95672594308854,0.2,-0.0069818760486668905,0.0070722513,220
48,-102.69066437000004,24,1016,49152,317.88,-1.0945232983678579,0.30455952882766724,29.78007698059082,0.0003,0.05458984375,105.81771996617317,0.2,-0.005243883430375717,0.0069520706,230
