time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss
0,2048,2269,-146.60549205,98.7,1,,,,,,,,,,
2,4096,1715,-168.3741816097561,98.46341463414635,2,0.055029296875,0.0003,10,1588.0951881408691,-0.003930568695068359,-1.3811870835721494,0.010352752,0.2,-0.0074636030891269915,468.2815246582031
3,6144,1564,-162.74597919047622,96.61904761904762,3,0.020849609375,0.0003,20,1030.969012069702,-0.0049517154693603516,-1.3730201307684182,0.0051988997,0.2,-0.005075661436421797,489.324462890625
5,8192,1494,-162.54252902380952,96.8452380952381,4,0.071484375,0.0003,30,848.5793319702149,-0.08653914928436279,-1.3571630477905274,0.011110103,0.2,-0.008374654430372174,438.55987548828125
7,10240,1458,-161.56467891,98.59,5,0.0544921875,0.0003,40,754.3972382545471,-0.001980304718017578,-1.3519695084542036,0.011771757,0.2,-0.007301938075397629,421.5120544433594
8,12288,1432,-157.51333551,101.98,6,0.107763671875,0.0003,50,598.8355005264282,-0.0016150474548339844,-1.3158241380006075,0.014071108,0.2,-0.012502690801193239,195.60430908203125
10,14336,1422,-151.70973694000003,105.73,7,0.103076171875,0.0003,60,555.096877527237,-0.0052471160888671875,-1.2743268575519324,0.0062793363,0.2,-0.006466272435500286,308.2623291015625
11,16384,1399,-152.26421925000002,112.57,8,0.1337890625,0.0003,70,635.9083871364594,0.00013124942779541016,-1.2534952260553838,0.009341529,0.2,-0.00906186201464152,348.184814453125
13,18432,1387,-146.85996149,119.36,9,0.064306640625,0.0003,80,404.01181306838987,-0.004005312919616699,-1.2077023930847646,0.0086010955,0.2,-0.006359550905472133,152.44525146484375
14,20480,1369,-145.80051974,129.56,10,0.062841796875,0.0003,90,520.7043123245239,0.017570316791534424,-1.1770355682820082,0.006934681,0.2,-0.009065414084761868,305.30987548828125
16,22528,1364,-140.77333701999999,135.6,11,0.02265625,0.0003,100,517.738001203537,-0.010751485824584961,-1.1744144782423973,0.006378508,0.2,-0.00525175000730087,167.67205810546875
18,24576,1353,-140.38549449,144.11,12,0.064501953125,0.0003,110,579.5695047855377,0.04645901918411255,-1.1712628688663245,0.008048336,0.2,-0.008861401748436037,389.81951904296875
