rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/clip_range,train/learning_rate,train/n_updates,train/loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss
87.6086956521739,-158.1014060869565,0,2387,1,2048,,,,,,,,,,
86.40425531914893,-165.48367168085105,2,1800,2,4096,0.2,0.0003,10,554.6773071289062,0.0003368854522705078,0.021142578125,0.005289278,-1.382990563288331,-0.004806566821935121,1706.924879837036
88.33333333333333,-163.53563953623186,3,1662,3,6144,0.2,0.0003,20,451.8504333496094,-0.03120410442352295,0.018115234375,0.0059575085,-1.3816111836582423,-0.004152193330082809,1337.0196029663086
88.53260869565217,-166.26137943478258,5,1599,4,8192,0.2,0.0003,30,603.9646606445312,0.001538097858428955,0.1439453125,0.013570957,-1.3684806443750859,-0.011863496623118409,1101.2615772247314
90.96,-164.26593269000006,6,1559,5,10240,0.2,0.0003,40,294.1614685058594,-0.0028074979782104492,0.074853515625,0.010005172,-1.3664235137403011,-0.007803281205997337,568.9592051267624
94.68,-161.45951800999998,8,1530,6,12288,0.2,0.0003,50,279.04693603515625,-0.0017266273498535156,0.10478515625,0.009457778,-1.3472864285111428,-0.008359280305739958,793.676518535614
101.68,-158.66863237,9,1509,7,14336,0.2,0.0003,60,323.2920837402344,-0.004210948944091797,0.0583984375,0.009649093,-1.320602845773101,-0.008714996414346388,708.3680428504944
106.72,-157.14811861,10,1490,8,16384,0.2,0.0003,70,427.321044921875,-0.04072117805480957,0.07841796875,0.009526946,-1.2712420992553235,-0.009379479827475733,677.2563074111938
115.91,-155.37359081,12,1473,9,18432,0.2,0.0003,80,294.28900146484375,4.792213439941406e-05,0.1234375,0.01094904,-1.2534362319856882,-0.0034577901489683425,585.138262462616
126.41,-152.83672064,14,1453,10,20480,0.2,0.0003,90,373.4755554199219,-0.001132965087890625,0.068994140625,0.009158077,-1.220116913318634,-0.005814988013298716,599.3836607456208
134.22,-151.91965308000002,15,1440,11,22528,0.2,0.0003,100,434.1020202636719,-8.14199447631836e-05,0.06474609375,0.006209326,-1.210190737247467,-0.007819959822518286,901.9447689056396
140.43,-152.18759790000001,17,1426,12,24576,0.2,0.0003,110,345.7469787597656,-0.0006008148193359375,0.0755859375,0.009996732,-1.1228517018258573,-0.006013746190001256,557.6756708621979
149.27,-150.82029268999997,18,1414,13,26624,0.2,0.0003,120,242.66940307617188,4.947185516357422e-06,0.07724609375,0.007231472,-1.1058487646281718,-0.008721946461446351,568.9262674331665
157.62,-151.59013497999996,20,1400,14,28672,0.2,0.0003,130,139.10975646972656,-2.7418136596679688e-06,0.1576171875,0.010798892,-1.107696670293808,-0.012540702447586228,489.698403263092
169.8,-143.75439085,22,1361,15,30720,0.2,0.0003,140,224.5233612060547,-5.8650970458984375e-05,0.09384765625,0.008004695,-1.0974812053143979,-0.009727473616658244,605.6211267471314
178.25,-144.50302439,24,1351,16,32768,0.2,0.0003,150,154.27044677734375,0.0019720792770385742,0.0001953125,0.0015959945,-1.164647290110588,-0.0014322940296551678,342.37999882698057
192.71,-140.02430858,26,1308,17,34816,0.2,0.0003,160,156.27304077148438,-0.10142016410827637,0.030908203125,0.0068224734,-1.1008207831531762,-0.005457821108211647,404.0789005756378
197.2,-139.32246175000003,28,1305,18,36864,0.2,0.0003,170,73.6510238647461,0.04598301649093628,0.015087890625,0.00659245,-1.1262120801955462,-0.0044280696260102555,277.82988729476926
202.64,-137.79636757000003,30,1297,19,38912,0.2,0.0003,180,291.8611145019531,0.002587258815765381,0.083251953125,0.00894486,-1.1002416756004094,-0.008595251252700109,359.64366347789763
205.78,-137.62293149,32,1278,20,40960,0.2,0.0003,190,156.63043212890625,0.16855168342590332,0.05654296875,0.006219393,-1.1259427320212125,-0.008505577687174082,240.39795083999633
225.9,-132.24112730000002,34,1247,21,43008,0.2,0.0003,200,74.64591979980469,0.35319268703460693,0.078466796875,0.013367872,-1.0732417162507772,-0.006695660146942828,222.62577123641967
235.49,-130.09587013,36,1241,22,45056,0.2,0.0003,210,111.24059295654297,0.13472598791122437,0.058642578125,0.007525013,-1.0886799957603217,-0.005433160610118648,240.0522634744644
248.27,-127.65977572999998,38,1216,23,47104,0.2,0.0003,220,113.91741180419922,0.1733468770980835,0.049853515625,0.0093263965,-0.9816724408417941,-0.0067766950494842606,369.8440783977509
261.72,-123.79568421999998,41,1180,24,49152,0.2,0.0003,230,28.9091796875,0.2887439727783203,0.0435546875,0.0069187535,-1.0655336879193782,-0.006173047589982161,122.64625881910324
275.05,-120.49768874999998,44,1148,25,51200,0.2,0.0003,240,39.84532165527344,0.3762263059616089,0.063720703125,0.00874798,-1.1124257978051901,-0.005818340427504154,176.3832516670227
284.5,-118.40389924000002,46,1141,26,53248,0.2,0.0003,250,82.5352554321289,0.431443452835083,0.0607421875,0.006368972,-1.0453608576208353,-0.007424759138666559,186.02741578817367
299.85,-116.37562262000002,49,1121,27,55296,0.2,0.0003,260,112.1209487915039,0.08679598569869995,0.0697265625,0.0063370625,-0.9988783795386553,-0.010405676094524096,225.77276136875153
307.34,-118.83177693000002,51,1107,28,57344,0.2,0.0003,270,49.389400482177734,0.6104423403739929,0.063427734375,0.0061038905,-1.014446584880352,-0.00649018486001296,127.60641812086105
330.02,-109.97250929999998,55,1077,29,59392,0.2,0.0003,280,80.94712829589844,0.41021257638931274,0.0806640625,0.010377922,-1.103568321838975,-0.006361624618875794,224.07491418123246
341.24,-111.97802323999998,57,1059,30,61440,0.2,0.0003,290,22.107316970825195,0.7810481041669846,0.066943359375,0.007425356,-0.8586826775223017,-0.00740445885603549,63.94072203636169
362.92,-108.80143266999998,61,1026,31,63488,0.2,0.0003,300,31.840251922607422,0.061659157276153564,0.1623046875,0.011139933,-1.1277463257312774,-0.006685292230395134,113.28729968667031
376.85,-106.58827807999998,64,1011,32,65536,0.2,0.0003,310,24.312641143798828,0.6162114143371582,0.0689453125,0.0071697286,-1.042370169982314,-0.003948405200208072,75.0307646393776
393.71,-102.69211349,67,998,33,67584,0.2,0.0003,320,29.898513793945312,0.48901307582855225,0.09111328125,0.011176588,-0.946744586341083,-0.008187185277347454,89.35591998696327
408.77,-99.66876040999999,70,982,34,69632,0.2,0.0003,330,12.080606460571289,0.15628540515899658,0.206396484375,0.013168653,-1.0951587174087762,-0.009227915684459732,38.74359963834286
424.52,-95.93342500999998,73,973,35,71680,0.2,0.0003,340,14.853546142578125,0.12421542406082153,0.165625,0.02276839,-0.9047592082992196,-0.01270989662662032,90.89392225146294
440.06,-93.04521621000002,77,953,36,73728,0.2,0.0003,350,27.623241424560547,0.4387606978416443,0.10888671875,0.00794012,-1.0263643095269799,-0.009425089793512597,43.61529893875122
452.49,-95.68520563000001,80,939,37,75776,0.2,0.0003,360,7.751644134521484,0.6265034377574921,0.120947265625,0.01020468,-1.0601782811805607,-0.006254376617289381,22.64580148756504
469.31,-92.56617946,84,922,38,77824,0.2,0.0003,370,11.115843772888184,0.1707506775856018,0.0453125,0.0047006,-0.9333410197868943,-0.0057019169456907545,109.93242001533508
483.92,-87.31209991,88,903,39,79872,0.2,0.0003,380,106.3036880493164,0.6298354864120483,0.05498046875,0.007982609,-0.9299414120614529,-0.007398086515604518,42.35082994103432
499.51,-88.07609357000001,92,883,40,81920,0.2,0.0003,390,7.080392360687256,0.2429993748664856,0.1943359375,0.013862964,-1.061521132849157,-0.010165586754010292,16.021956661343573
515.64,-85.21091498,95,876,41,83968,0.2,0.0003,400,10.163021087646484,0.5438406765460968,0.0876953125,0.0068023396,-0.9828615095466375,-0.010436751451925375,59.21471142172813
531.66,-80.8554486,99,864,42,86016,0.2,0.0003,410,18.02842140197754,0.7640248090028763,0.105126953125,0.009127488,-0.9676786476746202,-0.004002742553711869,42.94813840687275
547.04,-78.76104861,102,858,43,88064,0.2,0.0003,420,9.733783721923828,0.4632185101509094,0.101806640625,0.010845535,-1.023129039630294,-0.0069436510777450165,27.151931561529636
562.12,-75.64071301000001,106,842,44,90112,0.2,0.0003,430,9.561158180236816,0.6570445001125336,0.08056640625,0.012401992,-0.9221298836171627,-0.005367614056012826,40.864209255576135
569.29,-76.22150345,110,836,45,92160,0.2,0.0003,440,6.0261688232421875,0.44827747344970703,0.058056640625,0.0053450223,-0.9987840892747044,-0.004399322353310709,43.771635913848876
586.19,-73.20873542,112,833,46,94208,0.2,0.0003,450,245.42662048339844,0.6486874520778656,0.043701171875,0.0062231105,-0.9950578205287457,-0.00344403856433928,58.99221704602242
603.82,-70.61327015,116,823,47,96256,0.2,0.0003,460,6.052369117736816,0.5994207262992859,0.05078125,0.007781387,-0.9866405798122286,-0.0046760643628658725,68.32914370447398
619.61,-68.49751463000001,119,821,48,98304,0.2,0.0003,470,10.542040824890137,0.6599611639976501,0.04345703125,0.0040645283,-0.9154802616685629,-0.0032664578073308805,52.27250501066446
635.61,-65.73377875000001,123,814,49,100352,0.2,0.0003,480,3.828836441040039,0.7441975772380829,0.08095703125,0.007964114,-0.9616534622386098,-0.006164652195730013,33.77574143260718
651.01,-63.49605257000002,126,810,50,102400,0.2,0.0003,490,3.119539260864258,0.6026700437068939,0.090869140625,0.0079042325,-0.9892950797453522,-0.003065943159162998,26.20736545994878
672.42,-59.650425520000006,130,801,51,104448,0.2,0.0003,500,14.941269874572754,0.6281068325042725,0.05771484375,0.007793037,-0.9076184818521142,-0.003306131473800633,85.01075090318918
687.48,-55.94810345,134,793,52,106496,0.2,0.0003,510,8.884742736816406,0.551771342754364,0.02861328125,0.0050721513,-0.8417091166600585,-0.0017435276255127973,108.39546100497246
702.35,-53.52328240000001,138,784,53,108544,0.2,0.0003,520,3.905717372894287,0.6649060845375061,0.04794921875,0.0062948647,-0.8958911929279566,-0.005927370442077517,27.845165841281414
717.21,-52.78864267000001,141,780,54,110592,0.2,0.0003,530,2.7091898918151855,0.767351970076561,0.04951171875,0.005332372,-0.9522742616012693,-0.002162081758433487,25.920746034383775
727.95,-51.06041343999999,144,778,55,112640,0.2,0.0003,540,8.65834903717041,0.755639061331749,0.046044921875,0.0036331262,-0.8976642496883869,-0.00404488369676983,63.35032961070537
746.77,-48.490176199999986,148,774,56,114688,0.2,0.0003,550,39.16544723510742,0.24050360918045044,0.029345703125,0.0033172006,-0.9708280645310878,-0.001357935411579092,120.71240600198507
763.76,-44.36587702,152,765,57,116736,0.2,0.0003,560,84.3370590209961,0.5392325520515442,0.01357421875,0.0029956575,-0.9254661230370402,-0.0013968827013741247,127.99213762879371
771.37,-39.55160403,156,757,58,118784,0.2,0.0003,570,7.499783039093018,0.34056562185287476,0.032861328125,0.002901224,-0.9005099030211567,-0.002464316677651368,61.55022871494293
774.8,-41.52984598,159,756,59,120832,0.2,0.0003,580,52.06132507324219,0.5083181858062744,0.024267578125,0.0041005616,-0.8755243306979537,-0.0018514248258725274,74.25433848798275
