time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss
2357,1,89.81818181818181,0,-149.71619240909092,2048,,,,,,,,,,
1781,2,91.93181818181819,2,-160.30273506818182,4096,0.0003,0.2,-0.006360530853271484,529.9074096679688,0.023193359375,2017.3610181808472,0.006387665,-0.007031340711546363,10,-1.3828294131904841
1648,3,95.671875,3,-157.69371609374997,6144,0.0003,0.2,-0.00608670711517334,365.4557189941406,0.041357421875,872.4310333251954,0.011517302,-0.009804722306580516,20,-1.373167646303773
1587,4,98.3855421686747,5,-157.38949015662652,8192,0.0003,0.2,-0.014577627182006836,537.7429809570312,0.031494140625,974.3895316123962,0.006971053,-0.009117598490411183,30,-1.3616670601069927
1551,5,101.34,6,-156.45003319,10240,0.0003,0.2,-0.0055283308029174805,385.3550109863281,0.139892578125,798.9389844894409,0.010227879,-0.015004712037625722,40,-1.3412415053695441
1524,6,105.76,8,-154.67421244,12288,0.0003,0.2,-0.0004534721374511719,132.84458923339844,0.216162109375,505.20655541419984,0.0121702105,-0.010560070457722759,50,-1.2949358873069285
1499,7,111.64,9,-158.13975209,14336,0.0003,0.2,-0.10100388526916504,167.68203735351562,0.003466796875,748.1837787628174,0.0027900403,-0.0009042518169735559,60,-1.3278435584157706
1472,8,117.74,11,-155.53891388,16384,0.0003,0.2,-4.3392181396484375e-05,167.02166748046875,0.111669921875,466.4445393562317,0.011598567,-0.008629961348196958,70,-1.2883331954479218
1459,9,122.97,12,-153.53590197000003,18432,0.0003,0.2,-8.0108642578125e-05,140.38711547851562,0.04951171875,348.97046971321106,0.00946169,-0.007522992045414867,80,-1.2353408582508565
1446,10,130.18,14,-153.56113105999998,20480,0.0003,0.2,-0.0001748800277709961,154.54806518554688,0.03662109375,536.3134066581727,0.0037618028,-0.00442434468131978,90,-1.1969447888433933
1430,11,137.89,15,-147.29762700999996,22528,0.0003,0.2,-1.621246337890625e-05,167.08438110351562,0.09541015625,492.8906430721283,0.008135729,-0.0061886861301900355,100,-1.2351811680942775
1424,12,141.58,17,-146.03491132000002,24576,0.0003,0.2,-0.00019097328186035156,127.42979431152344,0.030908203125,355.5224645614624,0.0074432045,-0.005617351778346347,110,-1.2320738144218921
1383,13,152.91,19,-142.78178814999998,26624,0.0003,0.2,-1.919269561767578e-05,425.38482666015625,0.002294921875,387.59535827636716,0.0028997844,-0.0026273530900652988,120,-1.2124488927423953
1375,14,159.85,20,-142.16234172,28672,0.0003,0.2,0.0014886856079101562,264.6905822753906,0.003564453125,273.39849028587344,0.0059159426,-0.0041698691456986126,130,-1.2535204101353883
1357,15,170.24,22,-140.90638301,30720,0.0003,0.2,-0.005716681480407715,126.40108489990234,0.1123046875,301.40194861888887,0.01119892,-0.0067988984592375346,140,-1.104335793480277
1344,16,180.2,24,-135.33082332,32768,0.0003,0.2,-0.00046837329864501953,207.10586547851562,0.1158203125,357.83557868003845,0.006846279,-0.009343862341484054,150,-1.1335503604263066
1334,17,191.64,26,-132.19004636,34816,0.0003,0.2,-0.0006473064422607422,98.47297668457031,0.20419921875,385.63074989318847,0.010069615,-0.0115882054073154,160,-1.1009256083518266
1314,18,200.3,28,-126.76407690999999,36864,0.0003,0.2,-3.3736228942871094e-05,324.7763366699219,0.136865234375,457.8698338031769,0.014856321,-0.007776771957287565,170,-1.0502479640766977
1291,19,212.4,30,-124.51872031000002,38912,0.0003,0.2,-1.33514404296875e-05,103.05400085449219,0.06728515625,307.6693647146225,0.005580101,-0.005218102440994699,180,-1.116585049033165
1247,20,225.83,32,-123.10328802,40960,0.0003,0.2,-6.079673767089844e-06,187.79881286621094,0.115771484375,314.44267613887786,0.011127141,-0.007173455393058248,190,-1.1459549777209759
1217,21,236.64,35,-120.78159813,43008,0.0003,0.2,0.0008794069290161133,85.01580047607422,0.06298828125,228.726549577713,0.008215286,-0.0064137084787944335,200,-1.1612944673746823
1200,22,250.34,37,-116.29071296999999,45056,0.0003,0.2,-0.00933539867401123,78.48265075683594,0.035302734375,149.34531543254852,0.0056500947,-0.0045057999304845,210,-1.1535778794437648
1188,23,262.68,39,-116.62818682000001,47104,0.0003,0.2,0.08668380975723267,139.7000732421875,0.00361328125,277.63947582244873,0.0033623492,-0.0029157319127989466,220,-1.1056431621313094
1173,24,270.12,41,-115.31081864000002,49152,0.0003,0.2,0.20339691638946533,128.39695739746094,0.011181640625,267.01564280986787,0.0047792806,-0.007222323723544833,230,-1.1010208081454038
1129,25,293.42,45,-112.33996822999998,51200,0.0003,0.2,0.25901269912719727,75.09042358398438,0.047216796875,125.79078991413117,0.00646083,-0.007017109740991146,240,-1.0414432363584638
1099,26,310.55,48,-108.62075023999999,53248,0.0003,0.2,0.3107379674911499,56.676170349121094,0.01572265625,129.4791756272316,0.0043437835,-0.00429658697466948,250,-1.140963301807642
1084,27,320.13,50,-108.29458958999997,55296,0.0003,0.2,0.536566972732544,32.864112854003906,0.037646484375,86.35426799654961,0.0070983246,-0.005030961016018409,260,-1.0893016066402197
1073,28,337.23,53,-107.83209739999998,57344,0.0003,0.2,0.5592884421348572,19.571189880371094,0.0720703125,109.80322778224945,0.007718,-0.006330907290976029,270,-1.0898889403790235
1037,29,353.0,57,-101.95683438,59392,0.0003,0.2,0.5239289104938507,107.2667465209961,0.0681640625,185.77871911525727,0.008114962,-0.00660870312640327,280,-1.1367198567837478
1016,30,369.93,60,-100.72589994999998,61440,0.0003,0.2,0.6864189803600311,19.66448402404785,0.07333984375,70.83114959001541,0.009892138,-0.007708669007115532,290,-1.1498936604708434
1006,31,391.7,63,-98.35755577,63488,0.0003,0.2,0.6941860318183899,20.867671966552734,0.07041015625,66.04887089133263,0.00646186,-0.004542685441992944,300,-1.1580233238637447
999,32,408.76,65,-95.84559749,65536,0.0003,0.2,0.6261464059352875,62.533348083496094,0.05830078125,102.90300608873368,0.0066464534,-0.0045783839239447845,310,-1.030929261445999
981,33,425.55,68,-92.75678209999998,67584,0.0003,0.2,0.7070843279361725,83.3076400756836,0.1232421875,51.0875835865736,0.009174904,-0.008877053805190372,320,-1.1014472477138042
967,34,441.89,71,-89.87098383,69632,0.0003,0.2,0.009961903095245361,13.440291404724121,0.107568359375,44.592534840106964,0.009506842,-0.0028369835155899635,330,-1.037284017726779
950,35,458.92,75,-85.81164807,71680,0.0003,0.2,0.0459667444229126,20.642730712890625,0.0283203125,48.84618399143219,0.0033725393,-0.003089067369000986,340,-1.0005720630288124
930,36,471.26,79,-85.54095935000001,73728,0.0003,0.2,0.7432671189308167,6.436300277709961,0.0568359375,57.66510591059923,0.008180667,-0.003433039044466568,350,-0.8793166244402528
917,37,482.93,82,-80.92741177,75776,0.0003,0.2,0.6161924302577972,11.48222827911377,0.0615234375,76.92552203536033,0.008945662,-0.004360099584300769,360,-1.0048292113468051
902,38,500.41,86,-78.56931114000001,77824,0.0003,0.2,0.007792830467224121,151.9830322265625,0.0580078125,72.87553741931916,0.008955064,-0.004737522520736092,370,-0.9633629908785224
892,39,516.9,89,-75.81765811,79872,0.0003,0.2,0.4404221773147583,6.359342575073242,0.030419921875,29.2660809725523,0.004202601,-0.0021075218530313576,380,-0.9893357092514634
