time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss
2048,0,89.5,-172.68081640909088,2369,1,,,,,,,,,,
4096,2,91.5909090909091,-162.50044824999998,1788,2,-3.933906555175781e-05,574.0241088867188,0.0053178095,0.0003,10,0.02294921875,-0.010785506927641108,0.2,-1.3835270263254642,1821.9193492889403
6144,3,93.47692307692307,-155.7273515076923,1659,3,-0.009375929832458496,443.1226806640625,0.009552596,0.0003,20,0.0439453125,-0.006662411559955217,0.2,-1.3708931244909763,1156.8549275398254
8192,5,94.01149425287356,-161.61435337931033,1605,4,-0.014494895935058594,410.99444580078125,0.012730236,0.0003,30,0.084130859375,-0.008783151574607472,0.2,-1.338946446403861,1393.3679527282716
10240,6,99.61,-159.8694186,1544,5,-0.0007383823394775391,763.813232421875,0.015086635,0.0003,40,0.10849609375,-0.007932902401080355,0.2,-1.3207862421870231,830.2954620838166
12288,9,102.41,-151.57994073,1364,6,-0.011533498764038086,475.46246337890625,0.0078889495,0.0003,50,0.044921875,-0.004376318225695286,0.2,-1.2846945852041245,1399.3314668655396
14336,10,116.72,-145.66147115,1351,7,0.04917019605636597,160.69007873535156,0.011972525,0.0003,60,0.093017578125,-0.011349301117297728,0.2,-1.3100800022482872,570.6896941661835
16384,12,123.78,-142.05003915,1353,8,0.015761971473693848,217.08375549316406,0.014209367,0.0003,70,0.115234375,-0.007036515214713291,0.2,-1.2199456471949817,415.89020557403563
18432,14,135.94,-134.31414909,1283,9,-0.0019115209579467773,730.2420654296875,0.007257451,0.0003,80,0.0294921875,-0.003232613583531929,0.2,-1.2204578071832657,1096.07857837677
20480,15,142.6,-133.41133204,1289,10,0.06515103578567505,332.0948181152344,0.008843662,0.0003,90,0.034619140625,-0.005320726771606133,0.2,-1.2803270116448402,544.12947473526
22528,17,147.47,-124.69972718000001,1295,11,-0.006757974624633789,317.3264465332031,0.0049355016,0.0003,100,0.040380859375,-0.005003540799225448,0.2,-1.2708647068589927,1001.9088738441467
24576,18,149.91,-124.11668262,1302,12,-0.0012513399124145508,272.54345703125,0.013455261,0.0003,110,0.155029296875,-0.009207375644473359,0.2,-1.2078555647283793,588.0574395656586
26624,20,155.15,-119.66152168999999,1306,13,-0.00018131732940673828,263.3896179199219,0.013463078,0.0003,120,0.12734375,-0.004267034881922882,0.2,-1.1931027621030807,706.1192639350891
28672,21,152.42,-123.19435520000003,1307,14,0.00021183490753173828,119.72349548339844,0.005641729,0.0003,130,0.0091796875,-0.001750333780364599,0.2,-1.2061734151095151,401.2752002716064
30720,23,157.64,-120.49470348999998,1302,15,-0.002332925796508789,186.599853515625,0.007190452,0.0003,140,0.057666015625,-0.008406469537294469,0.2,-1.161628057435155,557.0033051013946
32768,25,167.09,-122.42672761,1286,16,-0.0005984306335449219,138.97821044921875,0.010099102,0.0003,150,0.061865234375,-0.006929069910256658,0.2,-1.1005698386579752,506.659884262085
34816,27,166.33,-123.91855920000003,1279,17,-0.0001119375228881836,188.696044921875,0.0055670124,0.0003,160,0.065576171875,-0.00258256679517217,0.2,-1.1426556196063757,417.9113470077515
36864,28,173.28,-124.06997868999999,1277,18,-4.649162292480469e-05,334.37518310546875,0.013194659,0.0003,170,0.084716796875,-0.0060359685121511575,0.2,-1.117666147276759,456.61792788505556
38912,30,178.08,-122.43826235,1257,19,-1.1444091796875e-05,153.85159301757812,0.010050658,0.0003,180,0.07275390625,-0.00573087724042125,0.2,-1.0629253586754204,589.8258207798004
40960,32,196.39,-125.59101179999999,1245,20,0.0006476044654846191,234.0150909423828,0.0053078653,0.0003,190,0.013671875,-0.004601142212777631,0.2,-1.0704353298991918,341.35094437599184
43008,34,206.73,-123.25417778,1238,21,-0.06287038326263428,312.116455078125,0.0078442395,0.0003,200,0.0634765625,-0.004809886906878091,0.2,-1.087791091017425,387.21407821178434
45056,36,219.67,-118.02390421000001,1224,22,-0.010198831558227539,98.52974700927734,0.0069198366,0.0003,210,0.0744140625,-0.002178367806482129,0.2,-1.0824030090123415,311.6838292121887
47104,38,229.92,-117.21980149000001,1218,23,0.01876586675643921,114.02349090576172,0.0015362274,0.0003,220,0.0001953125,-0.0019060324528254568,0.2,-1.0454534117132426,308.58886148929594
49152,40,246.45,-115.43111142000002,1202,24,-0.00504148006439209,143.3709716796875,0.008586937,0.0003,230,0.03212890625,-0.004632679608766921,0.2,-1.0916783481836319,391.19173607826235
51200,43,260.89,-116.92091046000002,1173,25,0.0065228939056396484,121.41968536376953,0.0042188014,0.0003,240,0.00673828125,-0.0024117038898111786,0.2,-1.0891046080738307,223.95067439079284
53248,45,274.08,-114.18180597000003,1167,26,0.030965030193328857,52.06486129760742,0.007998848,0.0003,250,0.046484375,-0.004281960407388397,0.2,-1.0562540663406252,217.22419675588608
55296,48,279.59,-114.93117557000001,1142,27,-0.011524438858032227,230.17063903808594,0.008542778,0.0003,260,0.073681640625,-0.007046331696619746,0.2,-1.0533240525051952,341.617577791214
57344,50,296.19,-111.65820997,1134,28,0.03500056266784668,186.07823181152344,0.004035692,0.0003,270,0.039013671875,-0.0036038781287061282,0.2,-1.0638088630512357,357.96900672912597
59392,52,306.51,-112.63147886,1120,29,0.026514708995819092,54.803836822509766,0.006744245,0.0003,280,0.05615234375,-0.006036950333509594,0.2,-1.0154082613065838,264.41919870376586
61440,56,322.87,-106.59280616000002,1086,30,0.1322956681251526,146.37171936035156,0.006940076,0.0003,290,0.05224609375,-0.0073752884869463745,0.2,-1.073763570562005,268.7067329406738
63488,59,334.37,-107.00423486,1065,31,0.23998498916625977,41.55958938598633,0.006659535,0.0003,300,0.020556640625,-0.004326538267196156,0.2,-1.0715359181165696,124.5401685833931
65536,63,350.16,-102.33190114000001,1034,32,0.2701612114906311,135.61058044433594,0.008225406,0.0003,310,0.06005859375,-0.00824509426311124,0.2,-1.0680696748197078,157.04682420492173
67584,66,366.9,-102.58077782999999,1015,33,0.28320997953414917,38.36264419555664,0.011821985,0.0003,320,0.047412109375,-0.004131382523337379,0.2,-1.092895697429776,91.63758174180984
69632,69,383.39,-99.71512116999999,996,34,0.22432976961135864,19.080894470214844,0.006683323,0.0003,330,0.03505859375,-0.005649735587940086,0.2,-1.0033915441483259,78.74342387914658
71680,72,405.63,-94.13462639,986,35,0.1259979009628296,11.363070487976074,0.008480674,0.0003,340,0.10654296875,-0.009097872013808229,0.2,-1.0472380645573138,44.04449231028557
