time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl
2302,2048,1,92.4090909090909,0,-166.94415518181822,,,,,,,,,,
1747,4096,2,91.06818181818181,2,-166.45206570454545,10,1552.1830919265747,-0.006571859198447783,-1.3825697861611843,0.0003,0.2,0.00042361021041870117,0.036474609375,770.3423461914062,0.0057649873
1626,6144,3,93.41538461538461,3,-161.06854672307693,20,1011.1510132789612,-0.005133411846327362,-1.3749542098492384,0.0003,0.2,-0.014661550521850586,0.03388671875,340.5921325683594,0.0061721657
1570,8192,4,96.6547619047619,5,-160.94164179761907,30,991.0036504745483,-0.011326907220063732,-1.3546153206378222,0.0003,0.2,-0.004754900932312012,0.07529296875,673.0291748046875,0.010750134
1538,10240,5,100.0,6,-156.11139709,40,591.5939709186554,-0.007944959390442818,-1.3358687225729227,0.0003,0.2,-0.0004996061325073242,0.11162109375,148.53074645996094,0.008644894
1515,12288,6,103.05,8,-157.45041352,50,541.8918950557709,-0.007084501240751706,-1.301022232696414,0.0003,0.2,-0.013458728790283203,0.1228515625,247.97557067871094,0.00892785
1487,14336,7,110.01,9,-151.20700051999998,60,571.6591621398926,-0.007166081153263804,-1.2709796532988549,0.0003,0.2,-0.001702427864074707,0.14931640625,501.60308837890625,0.0125881005
1468,16384,8,118.69,11,-151.72214535999998,70,571.3255120277405,-0.009133046798524447,-1.2235572773963213,0.0003,0.2,-3.516674041748047e-05,0.097705078125,289.4312744140625,0.010581089
1450,18432,9,125.94,12,-146.2965258,80,603.9929868698121,-0.0047167262047878465,-1.1970290817320346,0.0003,0.2,-2.872943878173828e-05,0.090625,383.08123779296875,0.010385545
1438,20480,10,131.93,14,-145.16054578,90,426.61267924308777,-0.005351827164849965,-1.1818923883140087,0.0003,0.2,-6.914138793945312e-05,0.05966796875,181.79425048828125,0.005895802
1348,22528,11,138.28,16,-143.29717737,100,575.2875390529632,-0.009221460478147491,-1.1296422883868218,0.0003,0.2,-0.00011968612670898438,0.074658203125,120.93351745605469,0.012958482
1306,24576,12,154.61,18,-139.00352679000002,110,454.162682557106,-0.005704162468464347,-1.1902873434126378,0.0003,0.2,0.003816962242126465,0.036572265625,226.0314483642578,0.009650445
1288,26624,13,165.05,20,-137.48439047,120,689.77833943367,-0.0031914919505652505,-1.173791742697358,0.0003,0.2,0.040550947189331055,0.001220703125,988.2210083007812,0.0016138084
