time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate
2265,92.52631578947368,1,2048,0,-157.6016862105263,,,,,,,,,,
1345,115.45714285714286,2,4096,3,-157.47064514285717,643.9127197265625,-0.003539530654234113,0.0082514305,1622.7402292251586,0.0154296875,0.00018274784088134766,-1.3826297841966153,10,0.2,0.0003
1374,106.82456140350877,3,6144,4,-152.82787028070177,303.564453125,-0.005192134443495889,0.0043129083,1150.004529094696,0.0130859375,0.06888455152511597,-1.3760941978543997,20,0.2,0.0003
1372,109.22972972972973,4,8192,5,-147.44329263513512,815.7122802734375,-0.007184596237493679,0.0135313375,1166.0493640899658,0.08076171875,-0.0010164976119995117,-1.3622483868151902,30,0.2,0.0003
1374,106.03125,5,10240,7,-147.67481882291668,339.57452392578125,-0.007002333270793315,0.007951012,573.2866806507111,0.074267578125,-0.13791203498840332,-1.3265200931578875,40,0.2,0.0003
1377,106.84,6,12288,8,-147.27950371999998,1128.139892578125,-0.006078636708843987,0.0074839485,2582.726649093628,0.0056640625,-0.005343914031982422,-1.3292644400149585,50,0.2,0.0003
1380,98.99,7,14336,10,-144.14647918,746.812744140625,-0.0009285664418712258,0.00051479146,1091.3521278381347,0.0,-0.0006366968154907227,-1.3439164474606513,60,0.2,0.0003
1382,100.93,8,16384,11,-142.4250839,1253.6201171875,-0.009246015555982012,0.010455355,687.0243702888489,0.134033203125,-0.0003973245620727539,-1.3507154945284128,70,0.2,0.0003
1383,98.57,9,18432,13,-142.57222564,233.6300048828125,-0.007600647455547005,0.008225882,499.6080605983734,0.08583984375,-0.046555280685424805,-1.3265860166400671,80,0.2,0.0003
1372,100.19,10,20480,14,-141.80250359,110.8574447631836,-0.0064619976779795255,0.0065701827,349.6455482721329,0.0900390625,-0.000657200813293457,-1.310045664012432,90,0.2,0.0003
1333,111.93,11,22528,16,-139.10590030999998,244.2307586669922,-0.006027489039115608,0.005165459,485.94270811080935,0.036767578125,0.0010325312614440918,-1.3055333960801363,100,0.2,0.0003
1339,115.22,12,24576,18,-143.51495664,127.73713684082031,-0.0018164769344366505,0.0031769453,404.57560896873474,0.00048828125,-0.07433605194091797,-1.3146133977919816,110,0.2,0.0003
1343,116.86,13,26624,19,-137.55543752999998,403.6010437011719,-0.007838365611678454,0.009089157,546.9482666492462,0.0626953125,-0.03963792324066162,-1.2726272076368332,120,0.2,0.0003
1346,121.72,14,28672,21,-140.14593681999997,272.3485107421875,-0.006987299739557784,0.007311959,500.1075399398804,0.03291015625,-0.03305625915527344,-1.2405846826732159,130,0.2,0.0003
1348,126.5,15,30720,22,-142.26043995999999,149.72023010253906,-0.003129665560845751,0.0069598434,815.1503914356232,0.037646484375,-0.0013918876647949219,-1.2269242461770773,140,0.2,0.0003
1348,132.4,16,32768,24,-137.16377487,1203.838134765625,-0.0034159046786953694,0.00568212,1392.165954875946,0.113720703125,-0.008342385292053223,-1.1610240019857883,150,0.2,0.0003
1346,129.98,17,34816,25,-141.68326184999998,226.80056762695312,-0.006923854637716431,0.013776526,520.6994204521179,0.11328125,-4.76837158203125e-06,-1.1474131669849157,160,0.2,0.0003
1302,140.73,18,36864,28,-136.85325093,450.1228942871094,-0.007310805108863861,0.0053513097,1040.5346926689149,0.05087890625,-4.76837158203125e-06,-1.133582942187786,170,0.2,0.0003
1277,153.9,19,38912,30,-132.48669225,223.4923095703125,-0.004873422595119336,0.009331662,342.38989863395693,0.030224609375,0.0013194680213928223,-1.1983068130910397,180,0.2,0.0003
1230,164.95,20,40960,33,-127.71955592999998,175.0388946533203,-0.00499535878552706,0.0046834312,388.5820344209671,0.014990234375,0.02270638942718506,-1.1909112095832826,190,0.2,0.0003
1205,180.89,21,43008,35,-129.66741447,94.17318725585938,-0.0041201382475264834,0.0070102024,181.00467994213105,0.048291015625,0.11711490154266357,-1.231634544581175,200,0.2,0.0003
1198,189.03,22,45056,37,-125.15027126000001,209.3045654296875,-0.002192724108317634,0.0019335232,361.65445976257325,0.00048828125,0.09147357940673828,-1.1671371281147003,210,0.2,0.0003
1167,209.47,23,47104,40,-122.90196694999999,135.91290283203125,-0.0024723293165152425,0.0029974182,375.4095805644989,0.000341796875,0.26748156547546387,-1.1268641486763955,220,0.2,0.0003
1155,215.71,24,49152,42,-119.76016944000001,65.35238647460938,-0.004996838513034163,0.0062729726,166.98343396782874,0.040966796875,0.2840346693992615,-1.2226247150450944,230,0.2,0.0003
1142,233.99,25,51200,44,-118.77044622000001,255.3092041015625,-0.003209445105676423,0.0022047008,488.24116759300233,0.00283203125,0.18364310264587402,-1.0813045930117369,240,0.2,0.0003
1144,242.9,26,53248,46,-119.09185173000002,95.59388732910156,-0.004669363331049681,0.004843234,361.6447481393814,0.035888671875,0.18833285570144653,-1.1341304384171962,250,0.2,0.0003
1127,256.11,27,55296,49,-116.83884288000002,117.62025451660156,-0.00640243411398842,0.0060064527,278.46956317424775,0.042236328125,0.3987129330635071,-1.0801761846989393,260,0.2,0.0003
1112,268.61,28,57344,51,-113.08707133999998,57.27545166015625,-0.007078416894364637,0.008261524,278.65461976528167,0.034912109375,0.4801099896430969,-1.1728634621948004,270,0.2,0.0003
1098,280.49,29,59392,54,-107.79725696999999,38.63481521606445,-0.005197360224701697,0.0067993933,205.8827871322632,0.042822265625,0.43559354543685913,-1.1604558054357768,280,0.2,0.0003
1098,294.55,30,61440,55,-108.34813858,73.59878540039062,-0.006708892964525148,0.009231808,201.61149353981017,0.077197265625,0.44731152057647705,-1.207255831360817,290,0.2,0.0003
1075,311.37,31,63488,59,-104.42089728,85.7363052368164,-0.008054000740230549,0.012859954,263.10962612628936,0.143408203125,0.4754282832145691,-1.0540628185495735,300,0.2,0.0003
1067,325.84,32,65536,61,-103.69611326,34.501953125,-0.007462549456977286,0.008663439,99.72720818519592,0.0693359375,0.6298405826091766,-1.2289632055908442,310,0.2,0.0003
1042,341.53,33,67584,64,-98.81882073000001,184.93128967285156,-0.006057770133156737,0.008682398,159.44959934949875,0.0650390625,0.5696943998336792,-1.0128246271982788,320,0.2,0.0003
1025,354.98,34,69632,67,-96.92731753,21.51651382446289,-0.008429534154129215,0.01105421,63.94445487856865,0.080224609375,0.8134770393371582,-1.1549359187483788,330,0.2,0.0003
1009,376.29,35,71680,70,-95.29493527999999,58.1880989074707,-0.007909457998903236,0.009655916,95.44871283769608,0.11083984375,0.5715902149677277,-1.1123266939073801,340,0.2,0.0003
1010,385.66,36,73728,72,-90.96084463999998,19.80929183959961,-0.008589298834704096,0.0117103495,94.67764912843704,0.1412109375,0.7491598427295685,-1.1755742479115725,350,0.2,0.0003
995,401.88,37,75776,76,-90.59815299,53.591522216796875,-0.002988603325502481,0.0064367484,195.61712290048598,0.023046875,0.5113137066364288,-0.965076763369143,360,0.2,0.0003
984,418.18,38,77824,79,-88.82153373999999,30.84891700744629,-0.005752441444928991,0.007824364,105.88972038030624,0.056982421875,0.6575602889060974,-1.148380759730935,370,0.2,0.0003
971,424.86,39,79872,82,-87.52734610000002,15.920267105102539,-0.011617173635022482,0.019658389,80.1687665104866,0.166162109375,0.7648619413375854,-1.0059875901788473,380,0.2,0.0003
964,441.73,40,81920,84,-85.79732337999998,14.385168075561523,-0.008348747764102882,0.006644604,114.37144392728806,0.04697265625,0.7096006274223328,-0.9384761463850737,390,0.2,0.0003
