time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range
2048,0,2380,90.95454545454545,1,-169.6301338181818,,,,,,,,,,
4096,2,1783,90.27272727272727,2,-174.75816038636364,0.0003,-0.004689699360460509,10,0.007964341,0.006103515625,677.449951171875,-0.006174564361572266,1636.6108688354493,-1.3830768194049596,0.2
6144,3,1646,97.0,3,-166.48072655555552,0.0003,-0.006802060866903048,20,0.009394135,0.036474609375,635.5286865234375,-0.018416881561279297,1939.6993892669677,-1.3717539202421904,0.2
8192,5,1586,101.2375,4,-163.27265455,0.0003,-0.008158064474991988,30,0.006406229,0.035595703125,299.8818664550781,-0.002555251121520996,884.4471537590027,-1.3556040674448013,0.2
10240,6,1545,105.29896907216495,5,-166.05782382474226,0.0003,-0.0073803438164759426,40,0.005469999,0.028466796875,249.29803466796875,-0.012909650802612305,638.6763534545898,-1.3356524165719748,0.2
12288,8,1374,119.15,6,-162.67313672,0.0003,-0.010066167716286146,50,0.012702062,0.144384765625,194.70326232910156,0.00014477968215942383,551.9887632369995,-1.3050749152898788,0.2
14336,10,1376,123.79,7,-158.82376564,0.0003,-0.009266038267378462,60,0.0072021587,0.05634765625,91.74047088623047,0.06788110733032227,324.99384145736695,-1.320962768048048,0.2
16384,11,1380,129.75,8,-162.43381703,0.0003,-0.0079743408387003,70,0.011164083,0.098876953125,173.822509765625,-0.3972134590148926,437.7957870006561,-1.2824253123253584,0.2
18432,13,1377,138.77,9,-158.71281360000003,0.0003,-0.012911065548541956,80,0.010820872,0.15546875,273.981201171875,-0.004750609397888184,489.4958808898926,-1.241420740261674,0.2
20480,14,1374,143.21,10,-156.68050617000003,0.0003,-0.006712432684435043,90,0.00843819,0.095654296875,158.31600952148438,-0.0007015466690063477,356.8753583431244,-1.1852433659136294,0.2
22528,16,1368,148.31,11,-154.66887452,0.0003,-0.0046695373857801314,100,0.0051117963,0.015625,187.81393432617188,3.9577484130859375e-05,422.8436942577362,-1.1584456529468299,0.2
24576,18,1361,155.97,12,-149.62168951,0.0003,-0.004976616821659263,110,0.008993018,0.043212890625,165.3626251220703,0.00021594762802124023,397.4443326473236,-1.1938100405037404,0.2
26624,19,1352,163.84,13,-144.67740679,0.0003,-0.0055418566946173085,120,0.0050361985,0.034326171875,101.36026000976562,-0.0004426240921020508,373.7383273601532,-1.1403085887432098,0.2
28672,21,1343,161.87,14,-143.86003624,0.0003,-0.008328842095215805,130,0.0067834286,0.0537109375,186.53884887695312,-0.0007973909378051758,404.85674290657045,-1.1391917698085308,0.2
30720,24,1253,178.89,15,-139.68605347000002,0.0003,-0.008726653691701359,140,0.009784522,0.071435546875,180.4144744873047,-0.00013327598571777344,360.7390905857086,-1.0834502082318067,0.2
32768,26,1246,191.3,16,-135.04414201999998,0.0003,-0.007011766982759582,150,0.008715676,0.042529296875,58.48798751831055,0.0008188486099243164,142.90723168849945,-1.1865937180817128,0.2
34816,28,1233,204.89,17,-131.32620646,0.0003,-0.005262223983299919,160,0.005475931,0.023779296875,200.42527770996094,-1.704692840576172e-05,349.8170219182968,-1.0943580251187086,0.2
36864,30,1222,213.06,18,-130.86100262,0.0003,-0.004811604879796505,170,0.0065573514,0.053662109375,266.5625305175781,-0.00040090084075927734,342.1182426929474,-1.1194584421813487,0.2
38912,34,1126,231.63,19,-128.60004273,0.0003,-0.006711162910505664,180,0.01165707,0.11416015625,70.43711853027344,-6.401538848876953e-05,402.1706765174866,-1.0505055801942944,0.2
40960,36,1117,244.42,20,-125.62011093000001,0.0003,-0.009176591173309134,190,0.008229783,0.10166015625,422.1502990722656,0.0001652836799621582,346.2504532337189,-1.1533786352723836,0.2
43008,39,1099,255.47,21,-124.01837317000002,0.0003,-0.004662993959209416,200,0.003162899,0.010986328125,109.51500701904297,-0.0011148452758789062,284.3731721401215,-1.0450193440541624,0.2
45056,42,1057,272.95,22,-119.89514471000003,0.0003,-0.0044661103485850616,210,0.00659741,0.02197265625,81.07862854003906,0.08670514822006226,215.3260589957237,-1.0351409854367375,0.2
47104,45,1035,285.28,23,-117.00275848000001,0.0003,-0.005403162741276901,220,0.008669959,0.050341796875,26.94025993347168,0.22178196907043457,100.17235949635506,-1.12875804156065,0.2
49152,49,997,301.58,24,-114.62573687999999,0.0003,-0.00636522061395226,230,0.007465574,0.0625,62.88788604736328,0.195733904838562,190.31723670959474,-1.077929900959134,0.2
51200,51,990,317.75,25,-112.93065768999999,0.0003,-0.005808997308486141,240,0.0066036973,0.0451171875,32.33552932739258,0.4879869222640991,86.98710098862648,-1.0785783048719169,0.2
53248,53,991,328.15,26,-112.60308792,0.0003,-0.006336807989282533,250,0.004900407,0.037451171875,192.60560607910156,0.17892533540725708,202.185942196846,-1.002106330357492,0.2
55296,56,982,342.85,27,-108.00269704999997,0.0003,-0.004150184954050928,260,0.008877002,0.038623046875,80.28643798828125,0.11909985542297363,449.80692887306213,-0.9873881978914142,0.2
57344,59,964,356.15,28,-105.29075551999999,0.0003,-0.0052871826312184565,270,0.0057845023,0.041162109375,235.95803833007812,0.41130656003952026,144.85860149860383,-1.108217303827405,0.2
59392,63,932,376.88,29,-101.45222201,0.0003,-0.006447193508938654,280,0.010238908,0.07998046875,97.77822875976562,0.39387500286102295,145.68185774087905,-0.9918746149167419,0.2
61440,66,924,391.61,30,-100.45937494,0.0003,-0.005106959327531513,290,0.0071528703,0.04677734375,21.590402603149414,0.428444504737854,91.64659101963043,-0.8706277377903462,0.2
63488,70,902,399.9,31,-98.38829958999999,0.0003,-0.012979410000843928,300,0.011796641,0.166015625,72.6766357421875,0.24581068754196167,228.13045263290405,-1.0365424806252121,0.2
65536,73,886,424.16,32,-93.87565699999999,0.0003,-0.007122760669881245,310,0.007410221,0.057470703125,28.39194679260254,0.5877992808818817,94.17850252389908,-0.9430571816861629,0.2
67584,77,870,440.61,33,-90.17547794999999,0.0003,-0.005625304498971672,320,0.010123962,0.09150390625,86.85918426513672,0.33695727586746216,162.06517062187194,-0.9839781878516078,0.2
69632,81,859,455.62,34,-87.80948234999998,0.0003,-0.004503401735564694,330,0.008202158,0.07587890625,15.725439071655273,0.6626545488834381,69.4927624553442,-1.0061410853639245,0.2
71680,84,845,472.23,35,-85.17509074999997,0.0003,-0.008674013876589014,340,0.008694738,0.098388671875,13.131319046020508,0.7197307050228119,51.22514060437679,-0.9664949774742126,0.2
73728,88,834,484.52,36,-83.6126956,0.0003,-0.008010048774303868,350,0.012891121,0.113916015625,6.108548641204834,0.8003537952899933,38.206022183597085,-1.0226004978641867,0.2
75776,91,828,503.64,37,-78.45998954000001,0.0003,-0.00197527363197878,360,0.0032721255,0.032666015625,94.99763488769531,0.550993949174881,96.18996720314026,-0.998186856508255,0.2
77824,95,817,520.72,38,-76.53654334000002,0.0003,-0.009740764180241968,370,0.015089545,0.078759765625,116.076416015625,0.4739781618118286,95.40089352428913,-0.9121768707409501,0.2
79872,98,808,536.87,39,-73.93254122,0.0003,-0.004701539807138033,380,0.013554867,0.123876953125,15.255766868591309,0.7435382902622223,60.04221040010452,-0.972893132455647,0.2
81920,102,802,551.26,40,-71.44891971999999,0.0003,-0.006984510038455483,390,0.009423023,0.1126953125,11.401861190795898,0.5725139081478119,67.56049727201462,-1.0093628026545047,0.2
83968,104,803,564.82,41,-69.67343439,0.0003,-0.0058451851997233465,400,0.013566684,0.1361328125,9.00177001953125,0.3118683695793152,124.27370319962502,-1.0239295450970531,0.2
86016,107,796,581.19,42,-65.69978799,0.0003,-0.0030765055387746544,410,0.006635249,0.0427734375,12.719574928283691,0.49494487047195435,139.22709897756576,-0.9798312492668628,0.2
88064,111,788,594.62,43,-62.37340218,0.0003,-0.0053182943403953685,420,0.007136246,0.063037109375,10.112183570861816,0.6029245853424072,79.4274768859148,-0.9594617275521159,0.2
90112,115,780,609.52,44,-59.611384949999994,0.0003,-0.00284770669095451,430,0.0055781174,0.054833984375,14.89859390258789,0.6317493915557861,67.01926615387201,-0.9776263844221831,0.2
92160,119,773,617.57,45,-60.05453873,0.0003,-0.003647955543419812,440,0.0059441244,0.060791015625,11.140083312988281,0.7533675730228424,39.249207857251164,-0.9155147382989526,0.2
94208,122,768,624.78,46,-58.06462998,0.0003,-0.0045669419967453,450,0.010361113,0.159326171875,5.682628631591797,0.6766582727432251,42.504468792676924,-1.0142713325098156,0.2
96256,126,758,639.65,47,-53.446226190000004,0.0003,-0.0017269542775466106,460,0.0037836405,0.0064453125,50.35981369018555,0.5539019703865051,168.86265519857406,-0.9468408893793822,0.2
98304,130,753,654.5,48,-51.816217699999996,0.0003,-0.0014358922198880464,470,0.005437502,0.08994140625,3.8182692527770996,0.9327992796897888,31.230447138100864,-1.0111698806285858,0.2
100352,133,749,669.2,49,-50.87095871,0.0003,-0.0016454762590001337,480,0.0076762415,0.0384765625,1.8882269859313965,0.9022599533200264,44.296114256232975,-1.037530006840825,0.2
102400,136,748,675.87,50,-49.62223109999999,0.0003,-0.006308890265063383,490,0.011777738,0.11279296875,5.313262462615967,0.8518069535493851,39.085437989234926,-1.0507519962266088,0.2
104448,139,747,692.91,51,-48.12461250999999,0.0003,-0.0049319737299811095,500,0.005841545,0.030078125,23.810998916625977,0.7909735888242722,70.31162854284048,-0.981838539429009,0.2
106496,143,743,702.55,52,-44.895237120000004,0.0003,-0.002938488911604509,510,0.0039085974,0.030712890625,44.00746154785156,0.8799528852105141,118.68295664787293,-0.9406931901350617,0.2
108544,146,739,719.63,53,-40.03747746,0.0003,-0.0027272951207123696,520,0.009439856,0.047216796875,61.59166717529297,0.8858735486865044,62.254872989654544,-1.0000404875725508,0.2
110592,149,739,719.74,54,-35.00162597,0.0003,-0.0016515080053068232,530,0.0035402244,0.02587890625,45.96495056152344,0.763527512550354,102.14207522273064,-0.9566692052409053,0.2
112640,152,738,730.28,55,-36.23328855,0.0003,-0.011468972010334255,540,0.07342219,0.085205078125,64.46887969970703,0.6718832552433014,205.92297519445418,-0.642155618686229,0.2
114688,156,734,736.99,56,-30.145637609999998,0.0003,-0.0024299934830196435,550,0.007997684,0.035205078125,8.645153999328613,0.8002690523862839,82.968399079144,-0.8930346954613924,0.2
116736,159,731,749.77,57,-24.4684377,0.0003,-0.003676906047621742,560,0.009335749,0.10517578125,48.173919677734375,0.5925991833209991,235.59549363851548,-0.8540845861658454,0.2
118784,163,728,759.56,58,-20.960005349999996,0.0003,-0.0028383675798977492,570,0.004932885,0.053515625,23.724138259887695,0.6435081958770752,142.36550669819115,-0.8637262640520931,0.2
120832,166,726,754.34,59,-20.217091739999997,0.0003,-0.0024422986818535717,580,0.009492938,0.0771484375,67.16424560546875,0.6811463832855225,131.21346746683122,-0.7810046594589949,0.2
122880,170,721,759.09,60,-20.166770919999998,0.0003,-0.0029084880618029272,590,0.009160526,0.085791015625,23.561969757080078,0.5101153254508972,79.5859448209405,-0.9454646797850728,0.2
124928,174,717,769.71,61,-19.57163666,0.0003,-0.0007718690780166071,600,0.0051132124,0.05537109375,113.95338439941406,0.594406247138977,81.00498609691859,-0.9203815292567015,0.2
126976,176,717,768.92,62,-17.99659728,0.0003,-0.0015815874328836798,610,0.004711777,0.0732421875,6.601128578186035,0.6784176826477051,94.77685078084468,-0.9503928394988179,0.2
129024,179,718,781.69,63,-13.53959903,0.0003,-0.004925768286921084,620,0.005030122,0.041845703125,72.12837219238281,0.5123184621334076,64.77738711833953,-0.9491413079202176,0.2
131072,183,714,788.13,64,-11.546129769999999,0.0003,-0.0057884342066245155,630,0.008942744,0.081298828125,35.81078338623047,0.5196283757686615,143.6078270047903,-0.8583968177437782,0.2
133120,186,713,800.93,65,-7.424160170000001,0.0003,-0.000979789550183341,640,0.008030532,0.056396484375,20.626514434814453,0.536267876625061,62.31679478436708,-0.8227769196033478,0.2
135168,190,709,814.82,66,-4.1942331799999995,0.0003,-0.004714623024483444,650,0.005842962,0.04990234375,88.26030731201172,0.703756183385849,101.99730669558048,-0.8391132682561875,0.2
137216,194,706,822.11,67,-5.378961369999998,0.0003,-0.0031976648322597613,660,0.005038945,0.0869140625,6.832230567932129,0.601256787776947,60.31907417625189,-0.766471590846777,0.2
139264,196,707,823.01,68,-3.857690939999999,0.0003,-0.0010834026928932873,670,0.0058150324,0.09423828125,30.827110290527344,0.409095823764801,116.72816911190748,-0.8505903260782361,0.2
141312,200,703,830.83,69,-3.821566939999999,0.0003,-0.0037252852700476067,680,0.012544518,0.147607421875,1.995421051979065,0.6701001226902008,48.85039793103933,-0.8939779229462147,0.2
143360,204,701,828.81,70,1.7009047900000018,0.0003,-0.0036092220019781963,690,0.01003591,0.1001953125,35.909339904785156,0.5549584329128265,78.78057372570038,-0.8763256274163723,0.2
145408,208,697,834.13,71,3.2776516700000013,0.0003,-0.00354866742673039,700,0.011287216,0.08251953125,6.069283962249756,0.37957334518432617,94.31300262063742,-0.8085419960319996,0.2
147456,212,693,840.34,72,3.21318643,0.0003,-0.0052111327451711984,710,0.008217817,0.091748046875,4.904666900634766,0.5068954229354858,63.941240809857845,-0.7972380373626947,0.2
149504,215,692,839.62,73,2.732785420000001,0.0003,-0.0037668877572286873,720,0.00788175,0.1154296875,2.978280782699585,0.7270803153514862,32.66455683708191,-0.8756063601002098,0.2
151552,219,691,832.53,74,1.4307867400000003,0.0003,-0.0020276280210964615,730,0.006389243,0.108544921875,3.4911437034606934,0.5223444402217865,76.18630441427231,-0.8337729398161173,0.2
153600,222,689,825.44,75,3.9028851800000006,0.0003,-0.0035410944881732577,740,0.00424181,0.043994140625,3.7562501430511475,0.35279589891433716,141.55585894733667,-0.9164521161466836,0.2
155648,226,688,830.17,76,5.170621219999999,0.0003,-0.0046241423671744995,750,0.009588235,0.110302734375,110.40419006347656,0.2760617733001709,114.99102078974246,-0.886295342631638,0.2
157696,229,685,830.17,77,5.914110250000001,0.0003,-0.0021046019523055294,760,0.006311347,0.086962890625,1.9387599229812622,0.49770277738571167,45.28038450628519,-0.7760480266064406,0.2
159744,233,682,829.75,78,5.454113900000002,0.0003,-0.0011409898666897788,770,0.010346694,0.133056640625,1.82820463180542,0.6367150247097015,34.69306980744004,-0.8470901470631361,0.2
161792,237,680,829.75,79,5.180244850000001,0.0003,-0.0028109764083637857,780,0.007825648,0.12333984375,362.63006591796875,0.42748308181762695,82.17490191161633,-0.8304056992754341,0.2
163840,240,680,830.27,80,7.871803360000004,0.0003,-0.0023863495182013137,790,0.011464242,0.12412109375,1.0185611248016357,0.7812057137489319,28.575672478228807,-0.8654451310634613,0.2
165888,244,679,830.43,81,7.164988880000001,0.0003,-0.0012833449933168594,800,0.0038671917,0.037060546875,14.67431354522705,0.5401113331317902,68.55830076858402,-0.7112627198919654,0.2
167936,246,680,838.02,82,9.59710205,0.0003,-0.002213986963033676,810,0.011169064,0.067041015625,1.408124566078186,0.7013483643531799,42.440210338309406,-0.7575305273756385,0.2
169984,249,680,838.25,83,8.83451264,0.0003,-0.002552971675322624,820,0.0050796084,0.041748046875,47.319698333740234,0.5809549987316132,64.54615659341216,-0.8052707999944687,0.2
172032,252,681,831.4,84,7.029535150000003,0.0003,-0.006202412994753104,830,0.009401148,0.113427734375,1.108573079109192,0.7795633673667908,38.185923780500886,-0.8916398536413908,0.2
174080,255,680,826.15,85,10.136351200000002,0.0003,-0.002288615565339569,840,0.0051722,0.03935546875,67.43729400634766,0.4828241467475891,157.02725506424903,-0.6963939301669597,0.2
176128,258,680,829.32,86,9.009349580000002,0.0003,-0.002385505780330277,850,0.0077915005,0.08134765625,111.4218978881836,0.53798508644104,93.6471538707614,-0.7540528198704124,0.2
178176,262,679,830.96,87,11.937855339999999,0.0003,-0.002537329252663767,860,0.0035773562,0.049951171875,66.93567657470703,0.534834235906601,108.02125894203782,-0.8387272467836737,0.2
180224,265,678,821.13,88,9.74359056,0.0003,-0.0005958589768852107,870,0.0034067612,0.04345703125,28.442928314208984,0.5630672574043274,99.87937841117382,-0.7742904506623745,0.2
182272,268,677,815.21,89,12.502463320000002,0.0003,-0.003318269988085376,880,0.009636249,0.064990234375,13.427011489868164,0.6297519207000732,143.03904744684695,-0.7427021771669388,0.2
184320,271,679,801.83,90,9.460819980000002,0.0003,-0.0021555713396082866,890,0.004295364,0.07568359375,13.75285816192627,0.6538940966129303,89.27615407854319,-0.7406506612896919,0.2
186368,274,677,808.48,91,10.456184050000001,0.0003,-0.0015588904003379866,900,0.0036278616,0.0208984375,53.51341247558594,0.6065771579742432,196.56426115632058,-0.7052883718162775,0.2
188416,277,678,807.6,92,11.17325248,0.0003,-0.0005230744336586213,910,0.008451764,0.106396484375,379.90594482421875,0.8756649941205978,34.59878773316741,-0.8582695763558149,0.2
190464,281,677,805.51,93,11.13790063,0.0003,-0.003182398382341489,920,0.0054682633,0.05712890625,54.07711410522461,0.6867161095142365,105.88310738503932,-0.8007795022800565,0.2
192512,285,675,812.72,94,12.371263580000003,0.0003,-0.001320392496563727,930,0.0021652393,0.028662109375,7.317058086395264,0.6931429505348206,58.245610783994195,-0.748279290087521,0.2
194560,288,674,818.88,95,12.272059780000005,0.0003,-0.0034124138648621736,940,0.0118331425,0.150390625,1.4951777458190918,0.7724528610706329,55.401488080620766,-0.8726687891408801,0.2
196608,291,674,827.33,96,12.81312319,0.0003,-0.0035186091932700946,950,0.009217498,0.089501953125,2.051419258117676,0.8583966940641403,23.03728634491563,-0.8461622452363372,0.2
198656,295,672,833.83,97,11.97302815,0.0003,-0.0017732006173901028,960,0.0038680867,0.0658203125,1.9657926559448242,0.7913026958703995,61.545198476314546,-0.7978379921987653,0.2
200704,297,673,834.56,98,9.792459620000002,0.0003,-0.004258080014551524,970,0.034945942,0.108349609375,4.9289398193359375,0.5970645844936371,55.27571248412132,-0.7719961181282997,0.2
202752,302,670,839.1,99,9.324174140000002,0.0003,-0.0008764918784436304,980,0.005037961,0.044140625,151.97698974609375,0.37784749269485474,158.17199873924255,-0.8280214536935091,0.2
204800,305,669,841.75,100,5.935068570000002,0.0003,-0.006135622554575093,990,0.015904285,0.105517578125,220.36148071289062,0.6088663339614868,36.48538697734475,-0.7909703945741058,0.2
206848,309,668,835.66,101,6.860346570000001,0.0003,-0.003049867684603669,1000,0.010899563,0.079541015625,21.544170379638672,0.6728094518184662,76.28585980832577,-0.8015536848455668,0.2
208896,312,668,836.21,102,9.13603695,0.0003,-0.0035082986192719544,1010,0.004890924,0.062744140625,45.47705841064453,0.5516500771045685,78.85963165014982,-0.7322427304461598,0.2
210944,316,665,837.26,103,10.847743679999999,0.0003,-0.002899264602092444,1020,0.011518747,0.075,27.669095993041992,0.7247875928878784,71.27171468585729,-0.7473547341302037,0.2
212992,319,666,838.46,104,8.27077024,0.0003,-0.0038743513036024525,1030,0.013517536,0.168017578125,3.811889171600342,0.7967264652252197,75.61721113622188,-0.7989553764462471,0.2
215040,322,666,835.14,105,7.499704130000001,0.0003,-0.002451639002902084,1040,0.0085844165,0.08251953125,6.4171953201293945,0.7205750644207001,64.78746246993542,-0.8191548209637404,0.2
217088,327,663,843.73,106,9.598290350000001,0.0003,-0.0028309127786997124,1050,0.006131136,0.046826171875,44.438777923583984,0.75932177901268,100.29152233451605,-0.7422866560518742,0.2
219136,330,662,839.63,107,8.2823897,0.0003,-0.005649620656913612,1060,0.0084856255,0.128955078125,4.11590576171875,0.7196044921875,47.721695562452076,-0.8773907277733087,0.2
221184,334,661,837.13,108,9.573669140000002,0.0003,-0.0021568109339568766,1070,0.0034716656,0.04150390625,33.69431686401367,0.6457666158676147,103.15253593921662,-0.7625661702826619,0.2
223232,337,661,838.07,109,8.38674184,0.0003,-0.000778741260728566,1080,0.00676269,0.051953125,82.90687561035156,0.5222035348415375,144.19591312408448,-0.7577611334621907,0.2
225280,340,661,840.83,110,10.36014058,0.0003,-0.0011420076509239153,1090,0.0026537832,0.05283203125,54.61992645263672,0.46262770891189575,106.23711099475622,-0.7851190380752087,0.2
227328,343,661,845.94,111,8.816752829999999,0.0003,-0.0015892552146397065,1100,0.006305691,0.06591796875,41.82978820800781,0.7007611393928528,40.56342880278826,-0.7545306978747248,0.2
229376,347,659,843.85,112,6.8170690600000015,0.0003,0.00019409407686907799,1110,0.008848004,0.09482421875,1.9430285692214966,0.776071310043335,39.39192780442536,-0.8308055805042386,0.2
231424,351,659,831.54,113,3.792505370000002,0.0003,-5.170011791051365e-05,1120,0.005932507,0.05322265625,3.302889347076416,0.622426837682724,73.20231926739216,-0.8191880227997899,0.2
233472,354,658,824.21,114,6.291941080000003,0.0003,-0.0005597523693722905,1130,0.004471109,0.029296875,119.30528259277344,0.6461374461650848,125.75513182729483,-0.7323114758357405,0.2
235520,357,658,825.32,115,4.12929974,0.0003,-0.0025067133203265255,1140,0.0037159508,0.029541015625,16.920068740844727,0.4397258162498474,150.6355413079262,-0.6736739771440625,0.2
237568,361,657,816.53,116,1.8699918800000006,0.0003,-0.0007426174117426854,1150,0.0057788556,0.05263671875,21.62677574157715,0.9041435495018959,39.40753562748432,-0.7187361266463995,0.2
239616,364,657,807.53,117,0.6840003799999994,0.0003,-0.00041032096341950817,1160,0.005143462,0.0375,19.13085174560547,0.4175766706466675,129.4818653613329,-0.7381898362189532,0.2
241664,368,655,808.98,118,1.0701587400000012,0.0003,-0.0014115548743575345,1170,0.0048385756,0.051171875,152.4907989501953,0.4583953619003296,156.94426973462106,-0.7363969165831804,0.2
243712,371,655,810.23,119,0.04300975999999963,0.0003,-0.002255950531252893,1180,0.003717878,0.044140625,3.8731491565704346,0.7230802476406097,68.18151741474867,-0.7381625020876527,0.2
245760,376,653,810.23,120,-0.2492566500000008,0.0003,-0.0015206997024506564,1190,0.0069792406,0.09306640625,16.641416549682617,0.7283470928668976,38.2046414911747,-0.785025511495769,0.2
247808,379,653,808.11,121,-0.9443232499999997,0.0003,-0.0022528734909428747,1200,0.0043506436,0.070068359375,1.818927526473999,0.5956659317016602,40.87277037352324,-0.7844775311648846,0.2
249856,382,653,809.88,122,-3.607212730000001,0.0003,-0.0021017991879489274,1210,0.0067441594,0.05546875,3.482875347137451,0.5127821862697601,79.84339636638761,-0.8157749189063906,0.2
251904,385,653,811.7,123,-3.3288465399999985,0.0003,-0.004238863566570217,1220,0.012713641,0.1208984375,3.265467405319214,0.6680194735527039,50.15253251343965,-0.7732058458030224,0.2
2048,3,616,761.5,1,-712.294755,0.0003,-0.0023631839649169706,1230,0.0056363954,0.06015625,2.9100284576416016,0.8863706886768341,48.466153748333454,-0.7708210555836559,0.2
4096,6,641,782.6,2,-763.2969126,0.0003,0.00041711577650858087,1240,0.010117592,0.0677734375,12.281046867370605,0.8835540786385536,78.25450809150934,-0.8043780867010355,0.2
6144,10,589,833.7142857142857,3,-732.4605955714286,0.0003,-0.00025701715421746487,1250,0.008076149,0.06142578125,8.222700119018555,0.9250374361872673,46.60895302444696,-0.8199417753145098,0.2
8192,12,631,813.6,4,-749.2143035,0.0003,-0.00033845309335447384,1260,0.0045345444,0.0171875,53.91905975341797,0.2117021679878235,244.09931380152702,-0.7648260682821274,0.2
10240,15,651,769.6923076923077,5,-694.9951522307692,0.0003,-0.004124670768214855,1270,0.01124862,0.103564453125,7.192026138305664,0.9088296592235565,33.16844843178988,-0.8496849717572331,0.2
12288,18,656,786.7333333333333,6,-692.1426090666666,0.0003,-0.00034705680300248785,1280,0.0027897963,0.040771484375,47.16695785522461,0.8169049322605133,84.93512541353702,-0.748889802210033,0.2
14336,22,624,801.0,7,-701.7479298235294,0.0003,-0.0006887326562718954,1290,0.003756566,0.020849609375,8.59994888305664,0.6391920745372772,82.88237273991108,-0.7434792535379529,0.2
16384,26,620,771.35,8,-680.7629246,0.0003,-0.0007165286915551405,1300,0.0029952857,0.036181640625,6.427109241485596,0.8412086218595505,90.2201744750142,-0.8357644118368626,0.2
18432,29,630,794.695652173913,9,-689.6583850869565,0.0003,-0.0008550887805540697,1310,0.0027424856,0.013818359375,49.50023651123047,0.47353553771972656,155.4890381127596,-0.7542946215718984,0.2
20480,32,622,787.84,10,-694.59309252,0.0003,-0.0010537829606619199,1320,0.0022259583,0.037158203125,45.2713737487793,0.7085590064525604,112.63907782137395,-0.7858202567324042,0.2
22528,37,605,803.5555555555555,11,-699.5544284444446,0.0003,-0.00367649933687062,1330,0.0064352253,0.0716796875,2.594242811203003,0.5910930931568146,42.18661867827177,-0.8178886575624347,0.2
