time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss
2270,2048,87.78260869565217,-152.02911121739132,1,0,,,,,,,,,,
1709,4096,89.62222222222222,-158.73953817777777,2,2,-1.382298494502902,0.0076415893,0.032421875,10,1855.3678827285767,0.0003,0.0028388500213623047,0.2,-0.008632830949500203,953.2639770507812
1608,6144,89.95522388059702,-165.4038438955224,3,3,-1.371136001124978,0.0060084937,0.030615234375,20,897.0503461837768,0.0003,-0.0013648271560668945,0.2,-0.007163042376487283,1244.9853515625
1549,8192,92.54545454545455,-167.01289629545454,4,5,-1.3576046727597713,0.014394862,0.115771484375,30,812.82125415802,0.0003,-0.003482341766357422,0.2,-0.010251423255249392,385.2889404296875
1521,10240,96.05,-168.81082973000005,5,6,-1.3519046567380428,0.0101148635,0.04755859375,40,1126.5795601844789,0.0003,-0.09630358219146729,0.2,-0.008270212267234456,462.59246826171875
1501,12288,99.14,-166.08000777,6,8,-1.3200760323554277,0.011489546,0.133935546875,50,982.9854484558106,0.0003,-0.0037429332733154297,0.2,-0.0084241585660493,461.07244873046875
1486,14336,102.73,-161.87208271,7,9,-1.2856252711266278,0.009131307,0.1146484375,60,653.2846681594849,0.0003,-0.044314026832580566,0.2,-0.006581318291136995,198.35885620117188
1470,16384,106.81,-156.98643857999997,8,11,-1.2777731362730265,0.012885656,0.096337890625,70,668.6857977390289,0.0003,-0.007055759429931641,0.2,-0.0024047183789662084,521.5382080078125
1457,18432,110.4,-153.66444733999998,9,12,-1.2469431150704622,0.008846555,0.14150390625,80,599.3943496227264,0.0003,-0.0011484622955322266,0.2,-0.009213325145537965,267.6968688964844
1444,20480,115.7,-153.76028151999998,10,14,-1.223489424958825,0.009661392,0.060546875,90,401.9995163917541,0.0003,-0.001397848129272461,0.2,-0.0063071579046663825,244.10377502441406
1435,22528,122.46,-147.70986258000002,11,15,-1.2021732937544585,0.008360463,0.0759765625,100,638.6580282688141,0.0003,-0.00024712085723876953,0.2,-0.004742180192261003,274.916748046875
1429,24576,126.65,-149.89324917000002,12,17,-1.1978538688272238,0.008641999,0.043212890625,110,333.0378584384918,0.0003,-3.981590270996094e-05,0.2,-0.006246197814471088,195.28143310546875
1417,26624,132.81,-150.77485188,13,18,-1.1526344064623117,0.009498491,0.03642578125,120,405.92270064353943,0.0003,-1.049041748046875e-05,0.2,-0.007853277785761748,200.87069702148438
1375,28672,138.67,-149.96446528,14,20,-1.1244862772524358,0.01505547,0.106640625,130,399.8685389995575,0.0003,-8.344650268554688e-06,0.2,-0.010301148708094843,454.1615905761719
1345,30720,155.69,-144.88153782,15,22,-1.1444983035326004,0.0053154863,0.031494140625,140,1057.1796073913574,0.0003,0.00012320280075073242,0.2,-0.009002180270908867,428.81573486328125
1337,32768,166.23,-143.25393852000002,16,24,-1.1036968011409045,0.007495681,0.05302734375,150,243.17056500911713,0.0003,0.031669557094573975,0.2,-0.0055669962719548495,92.90544128417969
1311,34816,180.88,-142.78120404,17,26,-1.0496720280498266,0.013402605,0.080712890625,160,369.27148551940917,0.0003,0.13978451490402222,0.2,-0.010392832607612945,326.8791198730469
1301,36864,190.77,-142.69922939999998,18,28,-1.0495234301313758,0.0053049233,0.028271484375,170,364.3427728891373,0.0003,0.2994365096092224,0.2,-0.0029831018749973738,73.50255584716797
1291,38912,202.33,-137.41273721000002,19,30,-1.0266991965472698,0.007833978,0.04326171875,180,264.8190164089203,0.0003,0.08262819051742554,0.2,-0.006746137989102863,214.82696533203125
1278,40960,209.85,-136.01978402999998,20,32,-1.0505130667239428,0.004170542,0.0009765625,190,426.77494807243346,0.0003,0.23050135374069214,0.2,-0.0029661122294783126,205.0739288330078
1257,43008,219.52,-134.11245506,21,34,-1.0251212006434798,0.010986698,0.096923828125,200,270.03311982154844,0.0003,0.4040054678916931,0.2,-0.010636464416165836,146.53565979003906
1217,45056,232.09,-130.80934647,22,37,-1.0187318712472915,0.0076058395,0.0177734375,210,263.84654488563535,0.0003,0.45310884714126587,0.2,-0.004080097826954443,65.62373352050781
1179,47104,247.84,-131.08819808,23,39,-1.1018827620893716,0.0075294534,0.07431640625,220,155.52854009866715,0.0003,0.6515348255634308,0.2,-0.009896390960057034,49.46599578857422
1150,49152,263.39,-127.01803829,24,42,-1.0859053812921047,0.00601011,0.043603515625,230,193.53157449960707,0.0003,0.5474862456321716,0.2,-0.005136904459504876,46.20892333984375
1128,51200,274.49,-126.76084771,25,45,-1.0456945478916169,0.005416137,0.065234375,240,183.9088406085968,0.0003,0.5463854968547821,0.2,-0.007893697104009334,131.2553253173828
1092,53248,295.39,-119.95546162999999,26,48,-1.079565392434597,0.007549861,0.05224609375,250,128.64538947343826,0.0003,0.5844694972038269,0.2,-0.007089197237655753,60.163787841796875
1082,55296,299.46,-119.62840107999999,27,51,-1.1080437202006579,0.008635235,0.0455078125,260,162.1510246038437,0.0003,0.7089895308017731,0.2,-0.0049701983618433586,52.265159606933594
1062,57344,318.2,-116.01906195000001,28,53,-1.0703300520777703,0.009058366,0.101806640625,270,196.91455957889556,0.0003,0.6454693973064423,0.2,-0.0068828162744466685,87.96639251708984
1062,59392,331.61,-112.31736812,29,55,-1.0454289259389042,0.013508128,0.167236328125,280,76.98773772120475,0.0003,0.8015639930963516,0.2,-0.007808729224780109,8.987706184387207
1037,61440,342.27,-110.1930602,30,59,-0.9668102478608489,0.0070442427,0.051806640625,290,284.965664601326,0.0003,0.5076803267002106,0.2,-0.007800449983915314,56.62532043457031
1028,63488,355.88,-102.93454925999998,31,61,-1.0386943330988287,0.011345493,0.055419921875,300,65.4379911750555,0.0003,0.8681227564811707,0.2,-0.006116558667417849,119.86614990234375
1006,65536,372.57,-105.82418731,32,65,-0.9715763932093978,0.003594866,0.0107421875,310,238.38207079172133,0.0003,0.6707240343093872,0.2,-0.005539528773442726,39.79698181152344
980,67584,388.52,-104.16816447,33,68,-1.01180630736053,0.011915876,0.13955078125,320,72.0620317608118,0.0003,0.8146634846925735,0.2,-0.009538178710499778,11.892908096313477
968,69632,398.52,-104.25944383,34,71,-0.9204194447025656,0.00547933,0.070263671875,330,45.3863288551569,0.0003,0.8644907772541046,0.2,-0.005827636566391447,8.423591613769531
948,71680,407.89,-100.13758513,35,75,-0.9732520723715424,0.0089354245,0.08623046875,340,114.66116938591003,0.0003,0.6819958090782166,0.2,-0.003873099081101827,39.69723892211914
931,73728,429.4,-96.10106861999999,36,79,-0.945198155194521,0.007576593,0.073095703125,350,68.84249319434166,0.0003,0.7532660812139511,0.2,-0.007623242399131413,24.68557357788086
919,75776,445.4,-95.64785370000001,37,82,-0.929619463533163,0.005754575,0.066943359375,360,59.841168376803395,0.0003,0.7267220318317413,0.2,-0.005681057971742121,8.153239250183105
894,77824,462.31,-91.85766743,38,86,-0.8556668596342206,0.0044859573,0.0458984375,370,53.428081184625626,0.0003,0.7968490272760391,0.2,-0.0059101181454025205,9.471231460571289
890,79872,473.87,-90.90885524000001,39,89,-0.8917763505131007,0.011394821,0.107470703125,380,52.79326298385858,0.0003,0.812428891658783,0.2,-0.006620420515537262,6.77665376663208
883,81920,494.38,-86.29092168999999,40,92,-0.9149183206260204,0.005065265,0.02666015625,390,128.0633047133684,0.0003,0.5797400176525116,0.2,-0.002656917309650453,64.54044342041016
872,83968,508.69,-83.26708657,41,96,-0.9087622502818704,0.018855099,0.10068359375,400,98.2623150460422,0.0003,0.6976730525493622,0.2,-0.0061427637963788586,68.39606475830078
872,86016,519.62,-79.40154414,42,98,-0.6955718023702502,0.016829913,0.07373046875,410,99.9079098597169,0.0003,0.7077252566814423,0.2,-0.004389656007333542,92.01942443847656
866,88064,528.5,-73.50268424,43,101,-0.8819818193092942,0.01108967,0.100146484375,420,101.58672547936439,0.0003,0.6300320327281952,0.2,-0.004010169753019,49.81321716308594
862,90112,539.82,-66.85356865,44,104,-0.8222892928868533,0.0069311294,0.03212890625,430,129.49947711527346,0.0003,0.5184513330459595,0.2,-0.0037753216951387004,11.685609817504883
