time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range
2316,88.91304347826087,0,2048,-144.5343476521739,1,,,,,,,,,,
1743,92.25,2,4096,-150.70282554545454,2,655.979736328125,-0.005255411476537119,0.01162109375,0.004668691,2021.0728219985963,0.0003,10,-1.3839537266641855,0.0038346052169799805,0.2
1618,95.1875,3,6144,-157.94885418750002,3,376.005859375,-0.009825682884547859,0.059521484375,0.011479624,1331.9701197624206,0.0003,20,-1.376438183709979,-0.002251267433166504,0.2
1553,97.87951807228916,5,8192,-152.1825590481928,4,805.1787109375,-0.006071012780012097,0.0626953125,0.011137776,686.1319300174713,0.0003,30,-1.3511587664484979,-0.009586811065673828,0.2
1519,100.47,6,10240,-149.28481182,5,484.20269775390625,-0.006920657167211175,0.0140625,0.0058996645,946.1462772369384,0.0003,40,-1.3301892708986998,-0.030565500259399414,0.2
1499,102.15,8,12288,-151.4473209,6,336.5545959472656,-0.007199007712188177,0.068359375,0.0067032045,687.2237100601196,0.0003,50,-1.3368269007652998,0.001483321189880371,0.2
1483,103.14,9,14336,-146.13559227,7,308.23809814453125,-0.006274908754858188,0.0564453125,0.007363497,511.521381855011,0.0003,60,-1.3169159274548292,-0.00012052059173583984,0.2
1473,105.02,11,16384,-152.18001016,8,253.3875732421875,-0.002300295359600568,0.052294921875,0.0054415176,686.4832550525665,0.0003,70,-1.3147134065628052,-0.0003751516342163086,0.2
1460,105.4,12,18432,-146.51806769,9,327.59417724609375,-0.006394612225267338,0.068896484375,0.007946487,597.8077875614166,0.0003,80,-1.3011639405041933,-0.004867911338806152,0.2
1394,113.68,14,20480,-148.88665973,10,152.40269470214844,-0.006993201092700474,0.082666015625,0.008380145,464.31928367614745,0.0003,90,-1.245785240828991,-0.09339594841003418,0.2
1388,119.35,16,22528,-145.04653018000002,11,156.8004913330078,-0.005093835150910308,0.011474609375,0.006115005,392.9412518262863,0.0003,100,-1.2886863198131322,0.021649420261383057,0.2
1378,126.54,17,24576,-145.34349362,12,350.7483825683594,-0.005479463964002207,0.0091796875,0.0062261177,702.231014251709,0.0003,110,-1.1889930736273526,-0.06608057022094727,0.2
1362,139.33,19,26624,-145.17674482999996,13,145.65884399414062,-0.0075820212659891695,0.039990234375,0.0078122453,389.9192135334015,0.0003,120,-1.1671164512634278,0.01430445909500122,0.2
1336,144.98,21,28672,-141.35002967,14,272.2438659667969,-0.0066877551565994505,0.047900390625,0.0103924405,470.26767563819885,0.0003,130,-1.191291281953454,-0.06039106845855713,0.2
1307,158.96,23,30720,-136.79515797,15,126.57765197753906,-0.004955385367065901,0.01357421875,0.0053834934,337.17392044067384,0.0003,140,-1.2082136265933514,0.03222852945327759,0.2
1299,167.15,25,32768,-135.98063214,16,222.6512908935547,-0.013676774903433397,0.102734375,0.009562991,500.2205849647522,0.0003,150,-1.1827874697744847,0.0819886326789856,0.2
