time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/value_loss,train/approx_kl
1,-186.69420222727274,90.31818181818181,0,2048,2364,,,,,,,,,,
2,-171.43637267391304,87.3913043478261,2,4096,1779,0.0003,-1.3823904991149902,-0.005331873893737793,10,-0.008361764854635112,0.025048828125,0.2,679.3141479492188,1470.9431381225586,0.007126493
3,-178.30799041428568,86.84285714285714,3,6144,1656,0.0003,-1.376610505208373,-0.04239547252655029,20,-0.00631379127225955,0.037646484375,0.2,748.2007446289062,1581.701659297943,0.007761903
4,-173.7077485531915,86.46808510638297,5,8192,1597,0.0003,-1.3713559355586766,0.0010158419609069824,30,-0.005338887530524516,0.026904296875,0.2,372.1885681152344,980.2694193840027,0.007447808
5,-172.22765742000004,87.69,6,10240,1561,0.0003,-1.3586704820394515,-0.029001235961914062,40,-0.009321406357776141,0.0857421875,0.2,398.72857666015625,678.8498309612274,0.009172745
6,-173.62753845,89.18,8,12288,1526,0.0003,-1.3287052862346171,-0.0006878376007080078,50,-0.008389581791561795,0.083203125,0.2,287.382080078125,473.856263589859,0.012673235
7,-169.35879426999998,92.04,9,14336,1495,0.0003,-1.305739925801754,-0.004706382751464844,60,-0.007066732702514855,0.102392578125,0.2,193.9613494873047,523.8841701745987,0.0072516818
8,-163.79841727000002,96.97,11,16384,1484,0.0003,-1.294899134710431,-0.006905078887939453,70,-0.010322715008805971,0.09990234375,0.2,293.0308837890625,678.3540884017945,0.008983769
9,-158.53913559,102.72,12,18432,1469,0.0003,-1.2843669906258584,-0.00011181831359863281,80,-0.011283022921998054,0.100634765625,0.2,242.17518615722656,456.8427658557892,0.013702968
10,-152.81848926,108.74,14,20480,1452,0.0003,-1.2289789799600839,-0.00010323524475097656,90,-0.012364763887308072,0.1005859375,0.2,194.0463104248047,483.6892289638519,0.01229192
11,-147.16063343999997,115.11,15,22528,1443,0.0003,-1.1728768903762101,-9.417533874511719e-05,100,-0.008922232621989679,0.163134765625,0.2,149.43792724609375,316.67965641021726,0.00895428
12,-142.09276632,122.44,17,24576,1433,0.0003,-1.1709511455148458,-4.851818084716797e-05,110,-0.003121162456955062,0.07138671875,0.2,343.8671569824219,388.56340675354005,0.0056782262
13,-137.76541534999998,131.61,18,26624,1423,0.0003,-1.1475507784634829,-0.00019872188568115234,120,-0.005988601545686834,0.107958984375,0.2,247.24072265625,469.91550216674807,0.00890902
14,-131.36965623999998,137.33,20,28672,1407,0.0003,-1.1628046363592148,-8.702278137207031e-06,130,-0.006562284343817737,0.034912109375,0.2,244.72213745117188,553.4872032642364,0.007302598
15,-128.87116692,156.13,23,30720,1327,0.0003,-1.1449272252619267,-8.344650268554688e-06,140,-0.003363789101422299,0.006005859375,0.2,175.58212280273438,422.3711889266968,0.0062053357
16,-126.73886955,168.16,25,32768,1263,0.0003,-1.256068892031908,0.00029349327087402344,150,-0.007292780140414834,0.05205078125,0.2,113.08328247070312,269.44815585613253,0.008990705
17,-123.31820726,183.48,28,34816,1201,0.0003,-1.1683709360659122,0.03852957487106323,160,-0.008136218583968003,0.05478515625,0.2,99.29653930664062,234.20781407356262,0.009241496
18,-121.02129804999997,197.13,31,36864,1167,0.0003,-1.1846172481775283,0.20589208602905273,170,-0.003874087553413119,0.00498046875,0.2,173.93255615234375,234.65880130529405,0.0036290144
19,-121.24526251000002,210.29,35,38912,1106,0.0003,-1.1709574304521084,0.32229477167129517,180,-0.005269235193554778,0.04638671875,0.2,171.72669982910156,234.70200190544128,0.01039643
20,-115.73296186999998,229.38,38,40960,1072,0.0003,-1.2165795773267747,0.33569931983947754,190,-0.01251802206825232,0.05634765625,0.2,107.95060729980469,186.98727768659592,0.007189841
21,-114.32570903000001,242.61,41,43008,1047,0.0003,-1.2314719777554273,0.4839676022529602,200,-0.00520468323957175,0.03076171875,0.2,37.61384201049805,107.96661558151246,0.005837933
22,-110.59781439,263.12,43,45056,1025,0.0003,-1.1935795113444327,0.4672713279724121,210,-0.010367600151948864,0.156640625,0.2,49.57309341430664,114.63242861628532,0.011956265
23,-107.6561004,284.12,47,47104,992,0.0003,-1.1649240259081126,0.5252841413021088,220,-0.009033146475849208,0.06435546875,0.2,37.68809127807617,131.9297991335392,0.007903461
