time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates
2200,0,-166.5591740454545,2048,1,89.72727272727273,,,,,,,,,,
1694,2,-155.98994452380953,4096,2,94.69047619047619,-1.3806560769677163,0.0003,0.047802734375,0.005300402641296387,0.2,1206.3425243377685,0.010627119,-0.007744885954889469,337.8791809082031,10
1587,3,-156.506351703125,6144,3,95.984375,-1.3761135630309582,0.0003,0.008544921875,-0.0425877571105957,0.2,1688.197925376892,0.004236971,-0.003302920525311492,564.2098999023438,20
1546,5,-158.84144980232557,8192,4,95.24418604651163,-1.3706563148647546,0.0003,0.03095703125,0.0006539821624755859,0.2,741.2017450332642,0.008310182,-0.0043157478081411686,186.19534301757812,30
1512,6,-163.08355352,10240,5,97.48,-1.3632417552173137,0.0003,0.047509765625,-0.003411412239074707,0.2,780.4485846042633,0.0076220883,-0.004153494444472017,266.7396240234375,40
1494,8,-155.53877953,12288,6,101.11,-1.3368538714945317,0.0003,0.090625,-0.012341022491455078,0.2,654.7081136226655,0.008381946,-0.009009824176609981,400.6549072265625,50
1467,9,-159.86754091,14336,7,106.32,-1.306346946209669,0.0003,0.089306640625,-0.07492446899414062,0.2,659.6191275596618,0.007409597,-0.006178503351839027,412.484375,60
1453,11,-158.63019432000002,16384,8,111.83,-1.2790973369032144,0.0003,0.0302734375,-0.0022573471069335938,0.2,782.1266713142395,0.00836768,-0.007386217334715184,252.30137634277344,70
1444,12,-153.68846673,18432,9,117.44,-1.2870183568447828,0.0003,0.118115234375,-0.00027239322662353516,0.2,526.3590343952179,0.010075685,-0.008072761548828567,173.42575073242188,80
1431,14,-150.85224926000004,20480,10,127.6,-1.217941526696086,0.0003,0.0755859375,-0.0023860931396484375,0.2,534.5526620864869,0.013808466,-0.006808654468477471,120.33442687988281,90
1424,15,-149.46566569,22528,11,134.7,-1.1597447473555804,0.0003,0.03759765625,4.607439041137695e-05,0.2,541.3728122711182,0.008522652,-0.005848724725365173,199.35220336914062,100
1354,18,-144.45798125,24576,12,150.39,-1.1414950612932444,0.0003,0.07861328125,1.6689300537109375e-06,0.2,446.40168566703795,0.012918728,-0.005342915770597756,214.94473266601562,110
1350,19,-141.47357619000002,26624,13,157.35,-1.2535739187151194,0.0003,0.0,0.0019505620002746582,0.2,246.46432383060454,0.0021839235,-0.0015202821610728278,48.305110931396484,120
1316,21,-141.69150706,28672,14,163.94,-1.1474608223885299,0.0003,0.015966796875,-0.041620612144470215,0.2,503.238171005249,0.006813381,-0.004217584773141425,252.33950805664062,130
1291,23,-136.88949454999997,30720,15,177.62,-1.2394190039485693,0.0003,0.001708984375,0.06349015235900879,0.2,325.0429239988327,0.0030380406,-0.0035240600191173144,104.26049041748047,140
1282,25,-135.82931904999998,32768,16,184.6,-1.1764701876789332,0.0003,0.005126953125,0.1327662467956543,0.2,323.4132636547089,0.006035787,-0.003935451429424574,454.1505126953125,150
1281,27,-130.59330373,34816,17,191.9,-1.1619331195950509,0.0003,0.00390625,0.05694413185119629,0.2,480.08030877113345,0.0072805486,-0.003803548462019535,139.6563262939453,160
