time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
1,0,2284,2048,-167.86952887500001,80.41666666666667,,,,,,,,,,
2,2,1729,4096,-169.51285071739133,87.56521739130434,1804.4957662582397,613.9234619140625,10,0.2,0.008138266,0.0003,0.011279296875,0.002574324607849121,-1.3828419100493192,-0.0039054941313224844
3,3,1589,6144,-160.254404367647,89.98529411764706,2745.845526123047,1061.7298583984375,20,0.2,0.0057981815,0.0003,0.01142578125,-0.004342317581176758,-1.3816279403865337,-0.0033040046168025584
4,5,1525,8192,-159.73176060465116,94.02325581395348,988.6191657066345,234.5316925048828,30,0.2,0.009964832,0.0003,0.0818359375,-0.03764700889587402,-1.3688031140714885,-0.007960027895751409
5,6,1501,10240,-162.63925181000002,96.75,835.8350220203399,407.06182861328125,40,0.2,0.003948043,0.0003,0.00107421875,-0.012519359588623047,-1.3614412926137447,-0.003237958384852391
6,8,1487,12288,-154.2405196,101.25,915.6916459083557,368.2999572753906,50,0.2,0.009126827,0.0003,0.043017578125,0.0002860426902770996,-1.345655895769596,-0.007002954273775686
7,9,1480,14336,-146.27962515,103.08,635.3293776035309,201.12985229492188,60,0.2,0.008790331,0.0003,0.02919921875,-0.00012123584747314453,-1.3339190840721131,-0.0033702684377203695
8,11,1467,16384,-154.30276453,105.65,609.8233803272248,432.685791015625,70,0.2,0.011173339,0.0003,0.094775390625,0.0003999471664428711,-1.3130065135657787,-0.00689099378651008
9,13,1398,18432,-145.88816943,106.71,611.6519436359406,222.3802032470703,80,0.2,0.010036153,0.0003,0.056689453125,-0.004244685173034668,-1.3013980332762003,-0.007442532977438532
10,14,1391,20480,-142.44885126000003,116.46,429.44812705516813,139.90505981445312,90,0.2,0.004214086,0.0003,0.010498046875,0.04685097932815552,-1.3217789135873317,-0.0036105172817769925
11,16,1388,22528,-141.8539763,121.51,417.3330957889557,231.2677001953125,100,0.2,0.011960726,0.0003,0.08125,0.011860191822052002,-1.2360171552747488,-0.007508148433407769
12,17,1385,24576,-142.47271350999998,126.69,538.6115850448608,174.45115661621094,110,0.2,0.005768862,0.0003,0.04921875,0.001857161521911621,-1.2157285936176776,-0.005507184974703705
13,19,1380,26624,-138.6289142,131.82,310.50463967323304,110.69634246826172,120,0.2,0.007955701,0.0003,0.057080078125,0.06894433498382568,-1.1998900093138218,-0.008818515900202328
14,20,1376,28672,-134.04596342000002,140.4,250.68117854595184,139.91026306152344,130,0.2,0.010084464,0.0003,0.0783203125,0.1736452579498291,-1.1574471164494753,-0.00982145103480434
15,23,1323,30720,-132.25146970000003,153.05,386.8061022758484,247.55792236328125,140,0.2,0.015753921,0.0003,0.119921875,0.08547675609588623,-1.0943386483937503,-0.006965533014590619
16,25,1306,32768,-132.89041384,165.97,262.90820586681366,108.7220687866211,150,0.2,0.0071371123,0.0003,0.078857421875,0.09525030851364136,-1.2187340080738067,-0.007169271780003328
17,26,1292,34816,-127.74543339,178.21,714.328742647171,240.51649475097656,160,0.2,0.0066752722,0.0003,0.053515625,0.07619678974151611,-1.0955979578197002,-0.007325094092811924
18,28,1283,36864,-128.19924916,180.34,301.83977341651917,257.4327697753906,170,0.2,0.006503746,0.0003,0.04638671875,0.091991126537323,-1.1054536748677493,-0.004654993213625858
19,31,1243,38912,-127.95854220999998,187.35,284.473544716835,114.54733276367188,180,0.2,0.009566017,0.0003,0.073095703125,0.2693830728530884,-1.047187964990735,-0.007852813428326045
20,33,1228,40960,-123.27245072999999,205.53,192.5319690465927,47.48209762573242,190,0.2,0.007820873,0.0003,0.056103515625,0.4222180247306824,-1.1006631787866354,-0.007921260843068012
21,36,1180,43008,-119.5070092,220.65,287.8747748374939,159.7499542236328,200,0.2,0.006653228,0.0003,0.0625,0.31982189416885376,-1.094940537214279,-0.00537077177214087
22,39,1138,45056,-116.75895377,236.81,143.22229644060135,47.972801208496094,210,0.2,0.00835966,0.0003,0.087158203125,0.409822940826416,-1.1210979402065278,-0.00655494412931148
23,41,1121,47104,-117.21183462,250.81,193.6037246108055,105.54293060302734,220,0.2,0.0062823733,0.0003,0.0580078125,0.2211974859237671,-1.119826390221715,-0.007621096372167813
24,44,1100,49152,-113.15048020999998,263.99,236.08161404132844,33.8057746887207,230,0.2,0.007912715,0.0003,0.076220703125,0.32174474000930786,-1.0168469538912177,-0.008526527607318712
25,47,1077,51200,-114.44320876,280.65,104.5571374297142,67.52777099609375,240,0.2,0.010033171,0.0003,0.075830078125,0.6903460919857025,-1.0798345923423767,-0.009076341120817233
26,50,1056,53248,-112.46426463999998,298.81,98.61200750470161,20.253740310668945,250,0.2,0.0059887804,0.0003,0.055517578125,0.5406216979026794,-1.1245018638670445,-0.00658382786787115
27,53,1042,55296,-110.13059362,312.3,117.12003358602524,17.083009719848633,260,0.2,0.009217007,0.0003,0.0935546875,0.6283615827560425,-0.985292810574174,-0.008040376479766565
28,56,1011,57344,-109.39681562,327.99,107.41645873785019,30.060203552246094,270,0.2,0.014078462,0.0003,0.09619140625,0.7100038826465607,-0.9905871355906128,-0.0031548984305118212
29,60,985,59392,-104.86736387,346.06,79.43409664034843,33.49834060668945,280,0.2,0.012635743,0.0003,0.16298828125,0.6060796678066254,-1.093556272238493,-0.014120801199169364
30,63,973,61440,-103.32489107,363.21,71.49417236447334,25.856618881225586,290,0.2,0.013070792,0.0003,0.153466796875,0.6608498096466064,-1.0423520172014833,-0.011388043056649621
31,66,960,63488,-100.43683481000002,385.45,69.46627737879753,15.971122741699219,300,0.2,0.016145231,0.0003,0.125341796875,0.7452174723148346,-1.1182176992297173,-0.0068684163634316064
32,69,946,65536,-97.44372407000003,402.99,71.35866074860095,32.86369705200195,310,0.2,0.00693439,0.0003,0.0771484375,0.6769296228885651,-1.0723257869482041,-0.00545937364877318
33,72,928,67584,-94.17404264000002,420.63,79.92868675589561,15.378105163574219,320,0.2,0.014916439,0.0003,0.110498046875,0.7977538406848907,-0.8660481628030539,-0.009707070014701457
34,76,912,69632,-92.88630525,432.03,48.28412866592407,7.825448036193848,330,0.2,0.005529736,0.0003,0.0724609375,0.7994549572467804,-0.983834145218134,-0.006804156680300366
35,79,904,71680,-89.99430535999998,452.79,75.73471233546734,30.859655380249023,340,0.2,0.0065968162,0.0003,0.038330078125,0.7663957178592682,-1.0013639628887177,-0.0040429554566799196
36,82,894,73728,-87.21171267999998,469.38,95.5529763519764,77.78482055664062,350,0.2,0.00789554,0.0003,0.04697265625,0.7004701793193817,-0.9869811680167914,-0.0029878414228733164
37,85,881,75776,-85.20939329,484.01,56.23427827358246,11.08184814453125,360,0.2,0.0040422063,0.0003,0.025048828125,0.8012652397155762,-0.9495730414986611,-0.00266528618594748
38,88,879,77824,-85.77784322000001,504.16,84.60158051848411,67.20787048339844,370,0.2,0.008138316,0.0003,0.133740234375,0.6760468482971191,-1.089701527915895,-0.006807166356884409
39,92,862,79872,-82.14635720000003,519.8,150.34014247357845,68.4036865234375,380,0.2,0.0034225096,0.0003,0.00703125,0.6166737377643585,-0.9937630077823997,-0.0014655309423687868
40,95,856,81920,-77.85374442,536.4,56.216442070901394,5.793358325958252,390,0.2,0.009763502,0.0003,0.075439453125,0.828355073928833,-1.0198265757411717,-0.005460537607723382
41,99,843,83968,-77.5326288,553.15,41.70500600636005,10.4423189163208,400,0.2,0.00998258,0.0003,0.11845703125,0.850486546754837,-1.0424842836335302,-0.006788143707672134
42,103,831,86016,-75.53902746,568.74,45.227074234187604,318.8688659667969,410,0.2,0.0094824815,0.0003,0.12783203125,0.8008920401334763,-1.014840424619615,-0.009215882867283653
43,106,826,88064,-74.73548433,587.5,65.89445626735687,45.48987579345703,420,0.2,0.004923286,0.0003,0.05048828125,0.6905045211315155,-0.9679169593378901,-0.0026778799285239073
44,109,819,90112,-74.84910590999999,592.06,89.76221171617507,38.577877044677734,430,0.2,0.008857653,0.0003,0.063623046875,0.71461421251297,-0.9561723809689283,-0.006690594761312241
45,114,803,92160,-68.70892646,605.73,87.41857201606035,38.04732131958008,440,0.2,0.005514267,0.0003,0.047509765625,0.5782907009124756,-1.0278987225145102,-0.0024495583973475734
46,118,793,94208,-68.20590050000001,618.13,38.364543449878695,2.295407772064209,450,0.2,0.007941763,0.0003,0.086376953125,0.8217745423316956,-0.9596321253105998,-0.002927835629088804
47,121,790,96256,-68.68214734000001,634.49,64.32679449766874,76.97686767578125,460,0.2,0.007197961,0.0003,0.079833984375,0.7156986892223358,-0.990235954336822,-0.0029267506397445686
48,125,783,98304,-66.50851171,647.88,99.37043060958385,17.749921798706055,470,0.2,0.00587348,0.0003,0.045703125,0.7206389009952545,-0.9690023824572563,-0.0020675736839621097
49,127,785,100352,-63.29870929,666.42,72.1217233017087,3.6257717609405518,480,0.2,0.008033054,0.0003,0.072802734375,0.7136124074459076,-0.9710797550156712,-0.003724619476997759
50,130,784,102400,-59.502707920000006,678.62,91.11735183149577,65.65864562988281,490,0.2,0.0054213866,0.0003,0.09267578125,0.7214111685752869,-0.9185769459232688,-0.001985179113398772
51,133,783,104448,-54.30019021000001,691.7,43.07428850196302,1.475784420967102,500,0.2,0.008694976,0.0003,0.089013671875,0.8526262044906616,-0.8820381660014391,-0.0032765919480880258
