time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates
0,1,-146.24830658333335,84.08333333333333,2048,2256,,,,,,,,,,
2,2,-162.86391164583333,83.35416666666667,4096,1686,-0.006716953358409228,-0.0019615888595581055,0.008344939,0.037646484375,0.0003,784.4449462890625,-1.3824503276497127,0.2,2175.3696849823,10
4,3,-152.67634177049177,100.09836065573771,6144,1305,-0.007620928583492059,-0.007866859436035156,0.008130235,0.047265625,0.0003,549.4942016601562,-1.3716768000274897,0.2,1137.2684931755066,20
6,4,-160.63829249411768,95.81176470588235,8192,1311,-0.008609826963947853,0.0555649995803833,0.008186892,0.0392578125,0.0003,201.77078247070312,-1.3707973759621381,0.2,876.5925465583801,30
7,5,-159.58045084000003,96.04,10240,1310,-0.004571259212389123,-0.01057898998260498,0.008440904,0.047119140625,0.0003,531.4274291992188,-1.3657766927033663,0.2,917.6417869567871,40
9,6,-160.79127560999999,101.32,12288,1314,-0.004306922829709947,-0.011280059814453125,0.007891003,0.02431640625,0.0003,462.73040771484375,-1.3537178557366132,0.2,646.0316407203675,50
10,7,-153.84898962,104.4,14336,1318,-0.005703545567666879,0.0006561875343322754,0.011453663,0.06181640625,0.0003,248.0325164794922,-1.3381086602807044,0.2,613.9764576435089,60
12,8,-157.94338245,99.09,16384,1319,-0.007112104183761403,-0.0012933015823364258,0.0057668937,0.055712890625,0.0003,284.435546875,-1.3395142257213593,0.2,804.8751557350158,70
13,9,-157.29760776999998,106.06,18432,1319,-0.007049760633526603,-0.000545501708984375,0.008496251,0.052001953125,0.0003,211.92819213867188,-1.3137136179953814,0.2,485.65915570259097,80
15,10,-148.53787956000005,110.93,20480,1317,-0.005014127882895991,-0.004884481430053711,0.009025233,0.0759765625,0.0003,288.63397216796875,-1.245770539715886,0.2,619.7065582275391,90
17,11,-144.26387703,118.7,22528,1318,-0.002581093192929984,-0.00010371208190917969,0.013977518,0.1,0.0003,169.35421752929688,-1.2304909605532885,0.2,643.1421680927276,100
18,12,-145.40718914,122.49,24576,1320,-0.009612894171004882,-0.0010777711868286133,0.00881709,0.074365234375,0.0003,650.2491455078125,-1.2040458828210832,0.2,834.62082695961,110
20,13,-136.70852169,135.73,26624,1285,-0.009072329693299252,-2.384185791015625e-06,0.01219064,0.108447265625,0.0003,290.1415710449219,-1.1611302316188812,0.2,829.3351885795594,120
23,14,-138.17078145000002,149.96,28672,1235,-0.0026464278664207084,0.002192378044128418,0.005067488,0.000390625,0.0003,130.6556854248047,-1.2141827907413245,0.2,279.5254061937332,130
24,15,-132.87579311,160.72,30720,1233,-0.004948290199536132,0.08292943239212036,0.005322129,0.038623046875,0.0003,68.73638916015625,-1.2032932903617621,0.2,178.00813891887665,140
27,16,-127.98734622999999,174.08,32768,1178,-0.004092439005034976,-0.035619497299194336,0.007780093,0.019091796875,0.0003,178.11331176757812,-1.0728879522532224,0.2,375.6269191503525,150
29,17,-125.4904341,185.66,34816,1176,-0.003067962585191708,0.06256461143493652,0.004041912,0.0109375,0.0003,240.6693878173828,-1.1654750015586615,0.2,264.7105335712433,160
