time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
0,-170.54662681818184,90.36363636363636,2048,1,2377,,,,,,,,,,
2,-167.97722338636362,92.02272727272727,4096,2,1789,0.0003,-0.0026503801345825195,0.2,813.12255859375,0.0055414434,2163.505261993408,10,-1.3830853626132011,0.01962890625,-0.006500072420749348
3,-160.52533016666666,92.06060606060606,6144,3,1640,0.0003,-0.014642000198364258,0.2,504.1855163574219,0.01040124,1637.8889297485352,20,-1.3758143402636052,0.073095703125,-0.010006678622448816
5,-162.22451062352943,95.62352941176471,8192,4,1571,0.0003,-0.003553628921508789,0.2,282.727294921875,0.007752332,739.1410410881042,30,-1.3634209915995599,0.026318359375,-0.00536186398967402
6,-158.96190189,98.18,10240,5,1533,0.0003,-0.030957937240600586,0.2,166.38438415527344,0.007077677,558.5211322784423,40,-1.3406349059194327,0.082421875,-0.006888562742096838
8,-160.88396948000002,101.63,12288,6,1512,0.0003,-0.011721014976501465,0.2,423.05828857421875,0.0071259085,866.81597032547,50,-1.3297611482441425,0.038232421875,-0.006073700148408534
9,-159.64134563,107.17,14336,7,1488,0.0003,-0.004772663116455078,0.2,327.2656555175781,0.0059491144,641.2360196590423,60,-1.3001128297299147,0.065771484375,-0.005019805487245321
11,-158.70654980999998,115.39,16384,8,1465,0.0003,-0.007167458534240723,0.2,224.11448669433594,0.006908812,728.9323406219482,70,-1.2598729532212019,0.022607421875,-0.002747314068983542
12,-151.27000823000003,121.74,18432,9,1451,0.0003,-0.0002409219741821289,0.2,480.3104248046875,0.009240102,610.0782151222229,80,-1.2599947154521942,0.081494140625,-0.003514165582600981
14,-148.70712272,129.41,20480,10,1433,0.0003,0.0013732314109802246,0.2,288.5975341796875,0.00653103,540.5774961471558,90,-1.227787308767438,0.0197265625,-0.003145234743715264
15,-145.69018418000002,136.79,22528,11,1420,0.0003,-0.0006445646286010742,0.2,164.3769989013672,0.009786656,389.57898745536806,100,-1.2228405110538005,0.10625,-0.011348243388783884
17,-143.49140778,143.7,24576,12,1410,0.0003,-0.00014400482177734375,0.2,142.99644470214844,0.0066294307,283.5729124546051,110,-1.1830164037644864,0.048974609375,-0.007298083360365126
19,-140.43661018,152.85,26624,13,1396,0.0003,-5.137920379638672e-05,0.2,101.49633026123047,0.013930336,302.48958444595337,120,-1.139991617947817,0.13095703125,-0.009442888233752455
20,-137.11139029000003,160.52,28672,14,1384,0.0003,-0.004456520080566406,0.2,859.430419921875,0.0042317025,629.87862033844,130,-1.1466486766934394,0.02568359375,-0.0030823490953480357
22,-134.17175828999999,166.83,30720,15,1378,0.0003,-0.0007290840148925781,0.2,519.3571166992188,0.009115137,458.63976831436156,140,-1.111152510717511,0.060009765625,-0.00665972213173518
23,-130.25575880999997,174.55,32768,16,1367,0.0003,-1.049041748046875e-05,0.2,175.9254608154297,0.007877626,380.41209959983826,150,-1.0365871308371424,0.06201171875,-0.0057033189848880285
26,-130.03488019999998,188.2,34816,17,1306,0.0003,-6.330013275146484e-05,0.2,169.6735076904297,0.004397926,421.3267662525177,160,-1.086969518661499,0.026708984375,-0.0024202096261433325
28,-126.75140873999999,200.5,36864,18,1290,0.0003,0.00030052661895751953,0.2,55.51862716674805,0.0060605695,204.5679532289505,170,-1.1851522982120515,0.0490234375,-0.009113175048696576
30,-125.54346087000002,212.19,38912,19,1270,0.0003,-0.028589725494384766,0.2,256.1016845703125,0.0061222804,562.405297422409,180,-1.1057782180607318,0.024560546875,-0.003946483362960862
33,-123.10600483000002,227.21,40960,20,1231,0.0003,0.028193235397338867,0.2,83.28491973876953,0.007525101,258.99804654121397,190,-1.1381090790033341,0.025146484375,-0.0059047082919278186
35,-121.49040565000001,238.93,43008,21,1200,0.0003,0.17119967937469482,0.2,38.04215621948242,0.009743527,210.68543639183045,200,-1.1167873505502939,0.039990234375,-0.004954951629770221
38,-118.07213962,251.37,45056,22,1170,0.0003,0.21869778633117676,0.2,93.62800598144531,0.00593895,218.17192907333373,210,-1.1048643831163645,0.025634765625,-0.005163499259651871
40,-118.84289417,266.14,47104,23,1155,0.0003,0.2611399292945862,0.2,144.84613037109375,0.0099635795,239.00729005336763,220,-1.0827270451933146,0.07080078125,-0.0071001053001964465
42,-117.29628321,276.72,49152,24,1149,0.0003,0.15217941999435425,0.2,117.60221862792969,0.008224744,292.1478245854378,230,-1.040848610550165,0.084130859375,-0.007977901974300039
45,-113.64701532,292.98,51200,25,1121,0.0003,0.2148379683494568,0.2,110.65982055664062,0.0041591534,359.1463810920715,240,-1.0143852438777685,0.026611328125,-0.005399925816891482
48,-110.52960171,310.99,53248,26,1093,0.0003,0.5055875778198242,0.2,85.39087677001953,0.0043331822,179.3214844107628,250,-1.0734766168519854,0.02412109375,-0.005838706266513327
51,-109.33601974000001,320.78,55296,27,1075,0.0003,0.546125590801239,0.2,32.544193267822266,0.005052099,119.27519822120667,260,-0.9250600492581725,0.03603515625,-0.006880199628358241
54,-107.41706507999999,338.07,57344,28,1057,0.0003,0.6754026412963867,0.2,22.941131591796875,0.012585986,115.3092309653759,270,-1.1048090249300002,0.090771484375,-0.009948346451710676
57,-104.10060389999998,349.28,59392,29,1040,0.0003,0.3003885746002197,0.2,27.119155883789062,0.0069303764,244.8872263431549,280,-1.0870918270200491,0.0958984375,-0.007678615913027898
59,-104.20845363999997,367.09,61440,30,1034,0.0003,0.36579620838165283,0.2,38.89463424682617,0.008162845,122.84419112205505,290,-1.0867303676903248,0.060009765625,-0.0049777819869632365
62,-103.48526131,381.7,63488,31,1018,0.0003,0.31607872247695923,0.2,132.1087646484375,0.0069235386,350.5624196767807,300,-0.9698075219988823,0.050732421875,-0.005703032435849309
66,-99.21900802999998,396.8,65536,32,991,0.0003,0.5035364031791687,0.2,23.32296371459961,0.009546343,113.07288532853127,310,-1.0642789641395212,0.0923828125,-0.008104755588283297
70,-98.48531478000001,413.18,67584,33,961,0.0003,0.5956017971038818,0.2,20.622512817382812,0.008048131,61.07070142030716,320,-1.0201948085799812,0.0841796875,-0.006094021310855169
73,-96.25532017000002,424.99,69632,34,941,0.0003,0.6312744319438934,0.2,33.87311553955078,0.008008882,69.78090991973878,330,-0.9869434025138617,0.08974609375,-0.005831298368866556
76,-95.24530625,443.79,71680,35,936,0.0003,0.3829838037490845,0.2,12.688029289245605,0.006329528,81.85960142314434,340,-1.0006626406684518,0.040478515625,-0.005308627185877412
79,-91.41851687,458.48,73728,36,922,0.0003,0.40798747539520264,0.2,64.55821228027344,0.0057901335,178.76090462207793,350,-0.9766182078048586,0.037841796875,-0.006469399925845209
83,-88.07277166,475.49,75776,37,906,0.0003,0.5327111780643463,0.2,10.386964797973633,0.010179259,33.46626280248165,360,-1.0771543595939874,0.08193359375,-0.006541000300785527
87,-83.91967932,490.53,77824,38,891,0.0003,0.3201442360877991,0.2,15.13853931427002,0.010893324,38.30149880349636,370,-1.0520211759954692,0.131591796875,-0.010480479121179087
90,-81.34283640999999,505.92,79872,39,881,0.0003,0.5670464634895325,0.2,6.3779754638671875,0.008367565,42.88556437045336,380,-1.0643384562805296,0.077685546875,-0.006435397537279642
94,-78.32963452999999,521.17,81920,40,863,0.0003,0.7842373996973038,0.2,2.600541830062866,0.013947177,28.292334228008986,390,-1.0349308436736464,0.16396484375,-0.014060628758852545
98,-78.68984832999999,537.76,83968,41,851,0.0003,0.8367004245519638,0.2,13.715020179748535,0.009008922,56.23015416264534,400,-0.9891651371493936,0.061376953125,-0.004978075114195235
101,-74.95307272999999,558.85,86016,42,843,0.0003,0.831331804394722,0.2,6.299313545227051,0.013016575,26.22888112142682,410,-1.0613679504022002,0.093359375,-0.006966660702892114
104,-72.50083462999999,574.88,88064,43,840,0.0003,0.42729729413986206,0.2,34.6026725769043,0.0019454623,118.73046738356352,420,-0.9343448037281632,0.008740234375,-0.0021177462433115577
107,-69.63487809000002,590.42,90112,44,836,0.0003,0.34844309091567993,0.2,3.742717981338501,0.007325523,42.78501976877451,430,-1.0451748581603169,0.105712890625,-0.008877779743488644
111,-67.40305594000002,605.84,92160,45,825,0.0003,0.6833904385566711,0.2,21.766300201416016,0.007269237,53.6278117954731,440,-0.9564867679029703,0.0611328125,-0.0039069845992344195
115,-63.407785720000014,624.42,94208,46,814,0.0003,0.7220790684223175,0.2,2.4510066509246826,0.0063769207,39.315344566851856,450,-1.0306372579187155,0.112451171875,-0.00823843259277055
118,-60.504618760000014,638.62,96256,47,812,0.0003,0.6004828810691833,0.2,4.489084243774414,0.0035964574,114.08145519196987,460,-0.8715665515512228,0.0412109375,-0.0017564915906405076
121,-57.15829326000001,655.11,98304,48,808,0.0003,0.6464155614376068,0.2,3.4437551498413086,0.0033434888,30.621615689992904,470,-0.9883127769455313,0.04326171875,-0.0013921061603468844
125,-53.53587508,659.96,100352,49,802,0.0003,0.8384112864732742,0.2,1.2382073402404785,0.0075042946,23.531063739582898,480,-0.8987775912508369,0.0568359375,-0.006521878852800001
128,-52.11019631999999,672.96,102400,50,799,0.0003,0.8049597591161728,0.2,3.291412115097046,0.0120164035,27.604333186149596,490,-1.006503257714212,0.161865234375,-0.009706360602285713
131,-52.52042665999999,684.86,104448,51,796,0.0003,0.8144006431102753,0.2,1.9830042123794556,0.00622763,36.77665110304952,500,-0.9157505238428711,0.043408203125,-0.002611429740500171
134,-50.98606598000001,691.21,106496,52,790,0.0003,0.42016100883483887,0.2,7.673328399658203,0.004662863,116.52498699128628,510,-0.9006899252533913,0.01845703125,-0.004417932965588988
138,-47.897329439999986,705.9,108544,53,781,0.0003,0.5174727141857147,0.2,17.62538719177246,0.0033791494,65.4257453724742,520,-0.9165179565548897,0.038916015625,-0.00198935778462328
142,-46.53671418,721.31,110592,54,777,0.0003,0.9146663919091225,0.2,2.6248974800109863,0.005102664,26.826245186477898,530,-0.8755257289856673,0.05234375,-0.003250433829089161
144,-43.83479499999999,731.63,112640,55,778,0.0003,0.9246161878108978,0.2,1.776094913482666,0.009013145,28.05784283336252,540,-0.9003368655219675,0.086376953125,-0.003755171523516765
