rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_range
-156.06473133333333,2048,1,2274,0,96.95238095238095,,,,,,,,,,
-157.78452809302323,4096,2,1722,2,93.16279069767442,-1.3823818277567625,0.026953125,0.0067372425,-0.006441343724145554,10,1895.660057449341,0.006596386432647705,773.2285766601562,0.0003,0.2
-162.63707952307692,6144,3,1606,3,93.15384615384616,-1.370558989048004,0.0279296875,0.007678286,-0.006306537730415585,20,1033.6083206176759,0.005325198173522949,478.2496032714844,0.0003,0.2
-160.23379716666665,8192,4,1538,5,97.35714285714286,-1.3541187822818757,0.039501953125,0.008192055,-0.006016090790217277,30,1043.9689048290252,-0.00401616096496582,486.074951171875,0.0003,0.2
-155.78324145,10240,5,1499,6,99.77,-1.3314029417932034,0.075244140625,0.012900315,-0.004526120449008885,40,876.7924679756164,-0.03583645820617676,455.825927734375,0.0003,0.2
-157.01814833000003,12288,6,1477,8,101.0,-1.322632945328951,0.051416015625,0.010713773,-0.003734702411748003,50,1009.5328965187073,-0.0005735158920288086,645.3594970703125,0.0003,0.2
-156.81386761,14336,7,1462,9,103.18,-1.3358717951923609,0.040380859375,0.0071880827,-0.004094292483932805,60,846.5149103164673,0.0005315542221069336,703.4642333984375,0.0003,0.2
-152.4859587,16384,8,1454,11,108.14,-1.3052901048213243,0.119140625,0.013064348,-0.010497962035879027,70,480.51583261489867,-0.042323946952819824,303.75689697265625,0.0003,0.2
-152.30757723,18432,9,1443,12,111.52,-1.2818248953670264,0.0685546875,0.0085277315,-0.0068328175992064645,80,671.2367171764374,-0.03307068347930908,410.50787353515625,0.0003,0.2
-148.96585912,20480,10,1421,14,118.97,-1.2372565280646086,0.05009765625,0.010530423,-0.007203623381792567,90,613.0866131782532,-0.14147567749023438,253.25486755371094,0.0003,0.2
-150.32616407999998,22528,11,1409,15,127.76,-1.175762488692999,0.0849609375,0.011629736,-0.008212483456009067,100,341.5211734294891,0.02251291275024414,195.74281311035156,0.0003,0.2
-147.87534343000002,24576,12,1400,17,134.61,-1.1752603989094497,0.05869140625,0.00810066,-0.008291816858400126,110,927.2640939712525,-0.015906691551208496,375.76019287109375,0.0003,0.2
