time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
2048,1,81.79166666666667,-171.69822183333335,2371,0,,,,,,,,,,
4096,2,84.45833333333333,-169.034065625,1770,2,0.0031058788299560547,10,0.2,-0.002364714417490177,906.8964233398438,0.0003,-1.3855730544775724,1793.4569543838502,0.001816083,0.00107421875
6144,3,87.72857142857143,-165.30636704285718,1616,3,-0.01285254955291748,20,0.2,-0.006237691646674648,655.7020263671875,0.0003,-1.3798755157738924,1578.347669029236,0.0070870155,0.01533203125
8192,4,90.9,-162.91017321111113,1546,5,-0.0046536922454833984,30,0.2,-0.008556770958239212,444.2394104003906,0.0003,-1.3646724183112382,970.4983681678772,0.011283477,0.072705078125
10240,5,93.36,-163.14852998000003,1506,6,-0.005036592483520508,40,0.2,-0.0069524818594800305,756.0020751953125,0.0003,-1.357618498802185,1714.3560419082642,0.012791479,0.069970703125
12288,6,96.84,-158.42600344000002,1484,8,-0.00443267822265625,50,0.2,-0.005148164548154454,384.5326232910156,0.0003,-1.3376372553408147,747.8775948524475,0.017586134,0.10234375
14336,7,103.61,-153.49759925,1455,9,0.0005162358283996582,60,0.2,-0.01052058479108382,756.0391235351562,0.0003,-1.3025731768459081,1194.7393655776978,0.013117443,0.082763671875
16384,8,107.95,-151.50749736000003,1434,11,-0.0009069442749023438,70,0.2,-0.004466975408286089,678.1377563476562,0.0003,-1.3045421734452247,1098.8821793556212,0.005337773,0.084619140625
18432,9,114.25,-144.26197238,1424,12,0.00011396408081054688,80,0.2,-0.001845175317430403,288.7475280761719,0.0003,-1.2682270765304566,668.2040088653564,0.006996833,0.02060546875
20480,10,119.74,-142.6926848,1416,14,0.0006441473960876465,90,0.2,-0.007678070091060363,219.4034423828125,0.0003,-1.2248034823685885,661.4539473056793,0.011323084,0.064208984375
22528,11,132.44,-141.31496299,1345,16,-0.09873497486114502,100,0.2,-0.00276582913211314,274.99322509765625,0.0003,-1.2242421798408032,380.0279181480408,0.003377569,0.00146484375
24576,12,138.62,-134.24593481,1342,18,0.050084710121154785,110,0.2,-0.006784394612623146,112.83511352539062,0.0003,-1.2544954869896174,260.9202785015106,0.0070481687,0.042236328125
26624,13,150.08,-129.09848483,1331,19,0.35983556509017944,120,0.2,-0.006293410283979029,521.2557373046875,0.0003,-1.1573677700012923,399.00818214416506,0.010985446,0.04521484375
28672,14,157.37,-127.07959368,1326,21,-0.3344777822494507,130,0.2,-0.005723254062468186,126.57266998291016,0.0003,-1.1745079282671214,493.8968722820282,0.00716303,0.07353515625
30720,15,161.53,-124.95083577,1323,23,0.3089359402656555,140,0.2,-0.008361237437929958,245.23834228515625,0.0003,-1.1234173994511365,588.35567984581,0.008138355,0.05966796875
32768,16,175.72,-122.30249206,1256,26,-0.005267500877380371,150,0.2,-0.007290626068424899,110.93978118896484,0.0003,-1.134042738005519,386.71878509521486,0.009503324,0.062451171875
34816,17,184.01,-118.26781944,1249,27,0.2014932632446289,160,0.2,-0.008284172946150647,151.90357971191406,0.0003,-1.1498329926282167,266.4007154464722,0.010138303,0.075927734375
36864,18,196.8,-116.7991689,1202,30,0.09548521041870117,170,0.2,-0.005510785237129312,142.26614379882812,0.0003,-1.0696006294339895,245.5357902765274,0.008296575,0.066162109375
38912,19,216.15,-114.24248343999997,1167,33,0.3547990322113037,180,0.2,-0.004084423780295765,111.17984771728516,0.0003,-1.147621501237154,235.40639526844024,0.0060639125,0.038818359375
40960,20,228.87,-112.93676883999997,1124,36,0.2978553771972656,190,0.2,-0.00799752614548197,28.539236068725586,0.0003,-1.2050288118422032,146.38315058946608,0.007850836,0.07236328125
43008,21,242.96,-112.72584131000002,1109,38,0.26274752616882324,200,0.2,-0.00946666370218736,98.15064239501953,0.0003,-1.1352814380079508,198.69248621463777,0.008853672,0.0767578125
45056,22,258.44,-111.29051787,1084,41,0.2888239622116089,210,0.2,-0.007407840729138115,66.86302185058594,0.0003,-1.0166436003521084,167.8539686322212,0.008356975,0.079052734375
47104,23,275.03,-107.47690759,1069,44,0.5170410573482513,220,0.2,-0.010315025314048399,29.260332107543945,0.0003,-1.2105402078479528,113.79559700489044,0.0092946775,0.075537109375
49152,24,293.89,-103.77370445999999,1042,47,0.24054265022277832,230,0.2,-0.006558677015709691,106.72541046142578,0.0003,-1.1243179563432932,196.876579785347,0.008455625,0.050537109375
51200,25,308.38,-106.19478106999999,1025,49,0.4995843768119812,240,0.2,-0.004781128574177273,25.86357307434082,0.0003,-1.0755165949463845,87.88591521978378,0.008675088,0.08505859375
53248,26,319.37,-104.07495852,1007,52,-0.3117300271987915,250,0.2,-0.004453613970690639,96.0769271850586,0.0003,-1.0796509400010108,279.36749197244643,0.0074093267,0.046630859375
55296,27,330.66,-98.40346659999999,988,55,0.2812144160270691,260,0.2,-0.006278691257466562,39.963565826416016,0.0003,-0.9976499274373054,199.6006270289421,0.0062863366,0.04248046875
