time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
1,83.91666666666667,2048,2289,-159.45355683333335,0,,,,,,,,,,
2,87.56521739130434,4096,1756,-156.38140597826086,2,0.007427549,-1.382989341020584,0.0019294023513793945,0.2,10,1408.1409912109375,0.0003,-0.005739160328812431,1642.2515020370483,0.020703125
3,90.27941176470588,6144,1629,-155.82507964705886,3,0.008661389,-1.3725412998348474,-0.012749791145324707,0.2,20,561.76220703125,0.0003,-0.005587749990081647,1089.246702003479,0.034130859375
4,93.88505747126437,8192,1540,-152.36603857471263,5,0.013874353,-1.3466464955359698,-0.015164971351623535,0.2,30,856.9887084960938,0.0003,-0.007846902165329083,1853.4383305549622,0.04814453125
5,97.47,10240,1504,-143.66085092,6,0.012495663,-1.316914639621973,-0.004137158393859863,0.2,40,1108.047119140625,0.0003,-0.007187990612146677,1251.3756113052368,0.072119140625
6,100.82,12288,1481,-143.18571048,8,0.01067806,-1.3063953131437303,-8.440017700195312e-05,0.2,50,1430.2396240234375,0.0003,-0.004594019052456133,1305.557437133789,0.049267578125
7,103.7,14336,1467,-141.07027748000002,9,0.014143847,-1.3224153146147728,-0.0009517669677734375,0.2,60,245.35841369628906,0.0003,-0.013885051429679152,654.0249824523926,0.14892578125
8,105.73,16384,1459,-136.69702933,11,0.008474782,-1.2831485763192176,-0.0013810396194458008,0.2,70,204.8217010498047,0.0003,-0.006475764168862952,599.6622227191925,0.15888671875
9,110.9,18432,1450,-139.51765619,12,0.012484146,-1.2345726881176233,-0.005268096923828125,0.2,80,192.1107177734375,0.0003,-0.013931042158947093,445.95459785461424,0.175927734375
10,113.99,20480,1439,-136.03059908,14,0.009032484,-1.232231742143631,-3.9577484130859375e-05,0.2,90,283.4777526855469,0.0003,-0.009149478485051077,633.4803216457367,0.12412109375
11,120.12,22528,1430,-140.9286015,15,0.012417078,-1.195062467828393,8.58306884765625e-06,0.2,100,145.4048614501953,0.0003,-0.009353973412362392,471.1876094341278,0.15087890625
12,126.1,24576,1418,-137.79953941,17,0.009501159,-1.1863827779889107,-2.0384788513183594e-05,0.2,110,187.46360778808594,0.0003,-0.0038125814506202007,376.3725150585175,0.045556640625
13,138.22,26624,1350,-134.80580306,19,0.008289879,-1.1736898507922888,-0.0011191368103027344,0.2,120,136.92225646972656,0.0003,-0.007165772690495942,590.1287520885468,0.02412109375
14,152.89,28672,1300,-132.66413761,22,0.0061195362,-1.2263669285923242,0.0009055733680725098,0.2,130,116.43756103515625,0.0003,-0.005333455229992979,317.21330258846285,0.01796875
15,159.95,30720,1297,-129.81362407999998,23,0.0025915827,-1.2309577755630017,0.05403965711593628,0.2,140,61.600738525390625,0.0003,-0.003030751643018448,270.9201159954071,0.00107421875
16,169.51,32768,1293,-127.79124462999997,25,0.010527754,-1.0552719715982675,0.08899688720703125,0.2,150,58.26454162597656,0.0003,-0.007538258934800979,336.72703647613525,0.03837890625
17,179.58,34816,1289,-122.31330535000001,27,0.005848268,-1.092879693582654,0.11926066875457764,0.2,160,266.58306884765625,0.0003,-0.008068772150727455,397.7311511039734,0.02080078125
18,191.23,36864,1260,-124.76212138,29,0.0094309915,-1.0457776483148336,0.2626829147338867,0.2,170,300.21533203125,0.0003,-0.0038033726523281075,521.833391714096,0.011474609375
19,206.93,38912,1218,-123.78388297,31,0.0061592264,-1.129935009777546,0.2967057228088379,0.2,180,121.15990447998047,0.0003,-0.005409883867469034,287.03551921844485,0.02734375
20,216.14,40960,1211,-122.51869669,33,0.007199105,-1.1210193827748298,0.2881750464439392,0.2,190,209.8566131591797,0.0003,-0.008910241799458162,386.625372338295,0.0630859375
21,229.65,43008,1187,-122.22999238999999,36,0.00869063,-0.986347335204482,0.3203974962234497,0.2,200,137.09181213378906,0.0003,-0.006277442691498436,331.6682291269302,0.0234375
