time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/approx_kl,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction
2048,1,0,-149.91220913043477,84.82608695652173,2348,,,,,,,,,,
4096,2,2,-154.52903953333333,91.0,1755,0.0120797,0.0003,-1.3796040561050176,596.8963623046875,1908.21799659729,10,-0.008000627684305072,0.0019272565841674805,0.2,0.056787109375
6144,3,3,-153.9199373548387,98.38709677419355,1605,0.007393073,0.0003,-1.3602849863469602,516.3157348632812,1510.9095666885376,20,-0.008041034676716663,-0.0027723312377929688,0.2,0.064599609375
8192,4,5,-155.53614250617284,100.37037037037037,1552,0.0142451525,0.0003,-1.3522956538945436,475.4078369140625,1003.1845903396606,30,-0.008681955275824294,-0.0015212297439575195,0.2,0.079150390625
10240,5,6,-148.24778941000002,101.94,1522,0.014433941,0.0003,-1.3493007499724627,362.4068908691406,904.7180715560913,40,-0.015427839607582428,-0.003052353858947754,0.2,0.13828125
12288,6,8,-153.43330687000002,104.98,1505,0.00947552,0.0003,-1.3342664938420057,337.633544921875,795.6042254447937,50,-0.00488673936779378,-0.026964426040649414,0.2,0.092236328125
14336,7,9,-149.46176985,107.31,1490,0.01006695,0.0003,-1.316338086500764,229.4705047607422,894.4967777252198,60,-0.00515783546725288,-0.00014197826385498047,0.2,0.122607421875
16384,8,11,-147.89511603000003,107.25,1472,0.011125663,0.0003,-1.2832228388637303,236.3228759765625,636.9977961540222,70,-0.008032186653872486,-0.0330585241317749,0.2,0.070068359375
18432,9,12,-145.26624366,111.79,1460,0.014183977,0.0003,-1.2483413945883512,271.6036682128906,579.7495452404022,80,-0.0076110141271783505,-0.0009893178939819336,0.2,0.1208984375
20480,10,14,-146.40660422000002,121.05,1390,0.009247202,0.0003,-1.2317938409745692,520.4965209960938,461.19801301956176,90,-0.006929942113492871,4.178285598754883e-05,0.2,0.04775390625
22528,11,16,-146.55101831000002,126.15,1387,0.0065075625,0.0003,-1.2809717431664467,116.31104278564453,405.37718319892883,100,-0.005005039417301305,0.0032253265380859375,0.2,0.0255859375
24576,12,18,-143.3740767,139.01,1315,0.008917738,0.0003,-1.192083965614438,171.02679443359375,450.1700300693512,110,-0.0052292485604994,-0.0025216341018676758,0.2,0.05
26624,13,20,-141.94722464,150.41,1311,0.009834724,0.0003,-1.2590681608766316,104.5401382446289,282.62263879776003,120,-0.005278674960572971,0.00903010368347168,0.2,0.033447265625
28672,14,21,-134.81895873,157.63,1308,0.0047777407,0.0003,-1.095571305602789,118.25633239746094,502.4943222999573,130,-0.0032560986299358776,-0.08611023426055908,0.2,0.012255859375
30720,15,23,-134.64938052,163.52,1308,0.006102785,0.0003,-1.1264375053346156,345.8748474121094,661.5607460021972,140,-0.004486966248077806,0.11927801370620728,0.2,0.0236328125
32768,16,25,-131.75965083,171.45,1306,0.004818758,0.0003,-1.123354423046112,227.87391662597656,456.25240716934206,150,-0.004980390502896626,0.2674822211265564,0.2,0.0240234375
34816,17,26,-127.78678472000001,180.07,1305,0.008405137,0.0003,-1.1424460884183645,173.89483642578125,379.60407223701475,160,-0.00892222012989805,0.2828928232192993,0.2,0.06943359375
36864,18,28,-126.17320247000002,183.24,1285,0.009948877,0.0003,-1.1208970375359057,105.71449279785156,454.83602395057676,170,-0.006453277781838551,0.2836620807647705,0.2,0.04609375
38912,19,30,-121.29410318000001,197.37,1280,0.0059248954,0.0003,-1.1868356551975012,150.92872619628906,366.314971613884,180,-0.006022201076848433,0.007000982761383057,0.2,0.036376953125
40960,20,33,-119.83410527,200.93,1239,0.00753806,0.0003,-1.1268836826086044,134.0689697265625,421.31933279037474,190,-0.008309517841553316,0.24695056676864624,0.2,0.050439453125
43008,21,35,-117.16808323,212.72,1207,0.0057832585,0.0003,-1.1462140303105115,95.52885437011719,257.6300738334656,200,-0.0063731149086379444,0.42191165685653687,0.2,0.03759765625
45056,22,37,-114.06512937000004,224.85,1188,0.005942463,0.0003,-1.1378123063594103,94.08541107177734,243.36014146804808,210,-0.00525559157722455,0.2649350166320801,0.2,0.04140625
47104,23,39,-115.53264951,221.57,1178,0.0051063187,0.0003,-1.1486829482018948,67.64044189453125,217.6284142971039,220,-0.0033233386915526354,0.396518349647522,0.2,0.031982421875
49152,24,43,-109.90960692,239.13,1128,0.010396393,0.0003,-1.009017436951399,168.49464416503906,337.10905742645264,230,-0.007460378266114276,0.08574575185775757,0.2,0.081396484375
51200,25,45,-108.22271448999999,245.84,1124,0.0048178704,0.0003,-1.0907518286257982,64.7413558959961,137.68363416194916,240,-0.004983938227815088,0.42856013774871826,0.2,0.0287109375
53248,26,48,-108.30652196000001,251.42,1100,0.004444178,0.0003,-0.9395143119618297,135.10081481933594,393.4518427848816,250,-0.007493938786501531,0.31726616621017456,0.2,0.03935546875
55296,27,51,-107.02944538,275.14,1075,0.010704052,0.0003,-1.0059693844988942,33.710872650146484,140.67145017385482,260,-0.007210124770062975,0.6217323839664459,0.2,0.0900390625
57344,28,53,-107.76194538,288.41,1064,0.0073000253,0.0003,-0.9816061405465006,70.66584777832031,142.01298117637634,270,-0.005731616078992374,0.5439198017120361,0.2,0.048974609375
59392,29,57,-104.64437085999998,303.11,1027,0.010832423,0.0003,-0.9839810203760863,68.99142456054688,179.34890440702438,280,-0.012610128449159675,0.49679362773895264,0.2,0.119091796875
61440,30,60,-104.63702733,316.64,1013,0.007261153,0.0003,-1.0020517341792583,60.21477508544922,119.07956949472427,290,-0.006414075419161236,0.6636228859424591,0.2,0.04169921875
63488,31,63,-100.02475229,328.66,996,0.01128784,0.0003,-0.9415815502405167,134.24191284179688,68.24573667049408,300,-0.00874747941743408,0.6396216452121735,0.2,0.102783203125
65536,32,66,-100.54732313000001,349.08,985,0.008382475,0.0003,-1.0639166664332151,17.774492263793945,85.50384603142739,310,-0.005638824483321514,0.6785142123699188,0.2,0.095263671875
