time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss
1,0,91.86363636363636,2330,2048,-153.63518372727273,,,,,,,,,,
2,2,88.95652173913044,1763,4096,-168.65958347826088,0.0003,-1.3835613276809453,10,0.007470703125,0.0070282044,2009.3960256576538,0.2,0.004210710525512695,-0.003848273170297034,932.0623779296875
3,3,88.94117647058823,1637,6144,-170.86426469117646,0.0003,-1.3734842669218779,20,0.027197265625,0.009466619,1114.7059755325317,0.2,0.0053713321685791016,-0.005681465019006282,384.6250915527344
4,5,89.53846153846153,1581,8192,-170.22232697802195,0.0003,-1.3626766625791789,30,0.039306640625,0.007853705,959.6521923065186,0.2,-0.0033011436462402344,-0.007168754038139014,326.0075988769531
5,6,91.24,1544,10240,-167.99850361,0.0003,-1.3429479710757732,40,0.06552734375,0.0090404535,733.9468191623688,0.2,-0.010768413543701172,-0.011470349128649105,333.13604736328125
6,8,95.93,1522,12288,-169.18606369,0.0003,-1.3182661067694426,50,0.154296875,0.012868463,791.9353589057922,0.2,-0.0006257295608520508,-0.013245938389445655,466.9901123046875
7,9,100.51,1506,14336,-161.83557835,0.0003,-1.3310211304575206,60,0.107421875,0.0166339,723.922225522995,0.2,-0.0013897418975830078,-0.008917233481042786,521.0479125976562
8,11,104.85,1488,16384,-157.20683885,0.0003,-1.292306885495782,70,0.122412109375,0.008660698,572.2838205814362,0.2,-0.22297155857086182,-0.008704106451477855,790.520751953125
9,12,109.94,1472,18432,-156.6468002,0.0003,-1.2565429519861937,80,0.150048828125,0.005382357,416.68782138824463,0.2,-0.0009919404983520508,-0.01077444007532904,492.755126953125
10,13,115.03,1463,20480,-153.27646956,0.0003,-1.2520573619753121,90,0.12861328125,0.008646522,346.64924070835116,0.2,-0.0016237497329711914,-0.005405941130084102,165.4369659423828
11,15,122.32,1453,22528,-152.01922964999997,0.0003,-1.2203904781490564,100,0.06484375,0.00786381,310.9167461633682,0.2,-8.153915405273438e-05,-0.00676404898185865,139.70872497558594
12,17,129.42,1413,24576,-150.18391749,0.0003,-1.1765970725566148,110,0.0482421875,0.008045583,409.3962614059448,0.2,-0.00036156177520751953,-0.008944745867847815,176.40480041503906
13,19,150.86,1338,26624,-145.1466266,0.0003,-1.1827111467719078,120,0.0509765625,0.011284275,351.99095664024355,0.2,0.0014035701751708984,-0.009710976436326745,118.88162231445312
14,22,163.26,1300,28672,-140.86072149,0.0003,-1.2259732156991958,130,0.065185546875,0.008180816,292.7051434755325,0.2,0.054055094718933105,-0.010065238069364569,60.60386657714844
15,24,177.89,1267,30720,-138.26222779,0.0003,-1.1662074629217387,140,0.020361328125,0.00570477,252.92130224704744,0.2,-0.1209336519241333,-0.004850617791817058,53.01624298095703
16,26,191.11,1246,32768,-139.44526924,0.0003,-1.102707128971815,150,0.023193359375,0.004805796,305.24430854320525,0.2,0.18389391899108887,-0.004712930924142711,54.2846794128418
17,28,202.69,1231,34816,-134.68268891000002,0.0003,-1.0672165907919406,160,0.039892578125,0.005156016,236.31044709682465,0.2,0.20594346523284912,-0.006578467290091794,77.60145568847656
18,30,217.18,1210,36864,-131.74109702,0.0003,-1.0640016105026007,170,0.01162109375,0.00543107,303.45320346355436,0.2,0.08096981048583984,-0.0037799226127390286,95.50759887695312
19,33,228.69,1177,38912,-128.91011112,0.0003,-0.9262172486633062,180,0.050390625,0.008798152,246.47897789478301,0.2,0.34351474046707153,-0.007449739773437614,56.207271575927734
20,36,248.82,1130,40960,-123.30220097,0.0003,-1.1078022882342338,190,0.081103515625,0.009568757,188.10553140640258,0.2,0.4410213828086853,-0.007179359707515686,59.85818862915039
21,38,265.43,1106,43008,-123.26388195000001,0.0003,-0.9898029228672385,200,0.0615234375,0.009652803,113.69396067261695,0.2,0.5685824751853943,-0.007510252197971567,63.25161361694336
