time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range
2284,1,0,2048,-154.7893573181818,89.81818181818181,,,,,,,,,,
1714,2,2,4096,-156.96258183720929,94.67441860465117,0.015576171875,578.4554443359375,0.00653161,-0.0014157295227050781,0.0003,2047.2992372512817,10,-1.3829034205526114,-0.006642543310590554,0.2
1589,3,3,6144,-167.1705458208955,91.68656716417911,0.071728515625,591.6819458007812,0.010119211,-0.004803776741027832,0.0003,1266.6814264297486,20,-1.3743644267320634,-0.007111427633208223,0.2
1543,4,5,8192,-171.30627548888887,90.47777777777777,0.028173828125,463.3579406738281,0.006524815,-0.03236973285675049,0.0003,1080.5936751365662,30,-1.3704586122184992,-0.005563339594664285,0.2
1513,5,6,10240,-176.25346682,91.22,0.03740234375,552.1296997070312,0.0100973025,-0.010136008262634277,0.0003,1196.8206894874572,40,-1.3626334477216004,-0.005483500096306671,0.2
1488,6,8,12288,-172.60919700999995,93.34,0.10615234375,252.8292999267578,0.011456132,-0.0007388591766357422,0.0003,948.1615217208862,50,-1.3602167226374149,-0.011638255079742522,0.2
1469,7,9,14336,-170.1684619,96.54,0.081884765625,177.55752563476562,0.011738373,-0.009532570838928223,0.0003,605.9111398696899,60,-1.3302336264401675,-0.005982701187895146,0.2
1449,8,11,16384,-158.78177180999998,103.27,0.170703125,194.55001831054688,0.009704727,-0.0003616809844970703,0.0003,336.4357906341553,70,-1.2940637327730655,-0.011126250718371011,0.2
1438,9,12,18432,-150.01512184,107.21,0.097119140625,425.2153015136719,0.009175863,0.00010567903518676758,0.0003,444.34480028152467,80,-1.2801293276250363,-0.007667615164245944,0.2
1426,10,14,20480,-146.27013096000002,115.35,0.03408203125,237.0435333251953,0.007002492,-0.08251059055328369,0.0003,498.9155381202698,90,-1.2307778000831604,-0.004738903745601419,0.2
1416,11,15,22528,-141.29551827,120.72,0.050244140625,277.6583557128906,0.008071054,-0.00019884109497070312,0.0003,479.56832213401793,100,-1.228909258544445,-0.007751297855429584,0.2
1409,12,17,24576,-139.59392086999998,125.82,0.021435546875,134.91896057128906,0.00619288,-1.823902130126953e-05,0.0003,403.8983194351196,110,-1.250554072111845,-0.0030716927445610053,0.2
1403,13,18,26624,-138.47034539999999,130.87,0.008056640625,176.93629455566406,0.0053443676,-0.0014892816543579102,0.0003,402.72423815727234,120,-1.2251488029956819,-0.0025655594799900427,0.2
1398,14,20,28672,-134.33971849,132.59,0.06982421875,217.79110717773438,0.011480253,-0.00032007694244384766,0.0003,484.11182713508606,130,-1.1900548681616783,-0.007146384940278949,0.2
1345,15,22,30720,-132.30075530000002,144.0,0.095068359375,211.00624084472656,0.008190192,-0.0003643035888671875,0.0003,671.4933674812316,140,-1.1440681241452695,-0.005408309970516711,0.2
