time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/loss,train/approx_kl
1,2048,0,84.625,-179.288683375,2202,,,,,,,,,,
2,4096,2,85.04166666666667,-163.01522010416667,1676,-0.005606294629978947,-1.3827993672341108,0.0003,0.004128515720367432,0.01875,0.2,1379.8946319580077,10,514.1122436523438,0.0075497674
3,6144,3,89.0,-164.53781653623187,1550,-0.004802073824976105,-1.371407873183489,0.0003,0.003209054470062256,0.009619140625,0.2,1089.2389320373536,20,387.06146240234375,0.00848306
4,8192,5,91.84269662921348,-164.49714487640452,1505,-0.005670185231429059,-1.3484661426395177,0.0003,0.00027877092361450195,0.02216796875,0.2,604.7383895874024,30,252.63389587402344,0.006442888
5,10240,6,94.02,-161.40190642,1469,-0.009133375088276807,-1.3220848493278026,0.0003,-0.0043631792068481445,0.087939453125,0.2,512.1528898715973,40,259.2022705078125,0.008889246
6,12288,9,105.67,-160.77723721,1364,-0.007397331205720547,-1.281053814291954,0.0003,-0.0031818151473999023,0.099267578125,0.2,747.5297825813293,50,454.1206970214844,0.007614922
7,14336,10,113.57,-155.21235428,1359,-0.008636779718653998,-1.3035250712186097,0.0003,-0.011704206466674805,0.06787109375,0.2,463.7367844104767,60,144.9921875,0.009488407
8,16384,12,121.43,-150.28567906,1356,-0.009183473934535868,-1.2190325956791639,0.0003,-0.17338693141937256,0.050244140625,0.2,535.9722140073776,70,219.47401428222656,0.010216452
9,18432,13,128.53,-149.49752288,1349,-0.007326967203698587,-1.2015660986304284,0.0003,0.037151873111724854,0.03564453125,0.2,666.1815747261047,80,325.3211669921875,0.0065432633
10,20480,15,134.91,-141.69421989999998,1343,-0.007712155635817908,-1.2213802505284548,0.0003,0.09661197662353516,0.041162109375,0.2,509.5567857265472,90,358.4736328125,0.0063072275
11,22528,16,145.49,-136.24851374999997,1326,-0.008826321315427776,-1.1512206580489874,0.0003,0.2427595853805542,0.090625,0.2,431.3620701789856,100,190.9489288330078,0.013026699
12,24576,18,153.58,-133.94861509000003,1317,-0.007044542286894284,-1.1598395954817533,0.0003,0.3412560224533081,0.03271484375,0.2,312.61208992004396,110,114.78353118896484,0.005581209
13,26624,22,172.09,-132.56377153000003,1195,-0.004186022977955872,-1.1385484747588634,0.0003,0.26937389373779297,0.04365234375,0.2,286.91937708854675,120,112.11245727539062,0.00994861
14,28672,23,182.15,-128.5961695,1200,-0.010290412732865661,-1.2667595773935318,0.0003,0.33495283126831055,0.096923828125,0.2,125.35781761407853,130,48.62854766845703,0.012596775
15,30720,25,182.93,-126.92613233,1191,-0.003919673536438495,-1.1193415939807891,0.0003,0.20061075687408447,0.007568359375,0.2,334.8968245029449,140,128.80943298339844,0.0036631972
16,32768,27,187.73,-128.29971016,1192,-0.004174057960335631,-1.1388961803168058,0.0003,0.49797940254211426,0.012548828125,0.2,358.29124000072477,150,153.66360473632812,0.004332995
17,34816,30,197.69,-126.25679269000003,1141,-0.0070024276166805064,-1.1072580445557834,0.0003,0.4593160152435303,0.016943359375,0.2,291.52298538684846,160,212.07980346679688,0.0049415715
18,36864,32,210.01,-122.46820837999998,1127,-0.008348628742533037,-1.1785478089004755,0.0003,0.7401005625724792,0.042919921875,0.2,151.21627905368806,170,163.3455047607422,0.008060239
19,38912,35,228.26,-119.71427899999998,1081,-0.0042975535689038225,-1.045980940759182,0.0003,0.6184632182121277,0.06015625,0.2,207.75207775831223,180,39.734535217285156,0.008126736
20,40960,38,240.91,-116.96519346000001,1071,-0.006771706002473366,-1.1902317613363267,0.0003,0.7079408466815948,0.0736328125,0.2,61.30200915038586,190,16.753984451293945,0.007908076
21,43008,39,248.36,-112.58044483000002,1076,-0.005341102309466805,-1.1575693130493163,0.0003,0.72764453291893,0.061767578125,0.2,143.5929298043251,200,55.42570495605469,0.005961835
