time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction
1,86.47826086956522,2349,2048,-185.76186643478258,0,,,,,,,,,,
2,94.04651162790698,1754,4096,-162.0594466744186,2,-1.3821836810559034,-0.007808315962029156,1332.9650829315185,10,418.9938659667969,0.2,0.0003,0.006672929,-0.006256818771362305,0.03193359375
3,93.76923076923077,1625,6144,-159.10054915384615,3,-1.3721673134714365,-0.0037419250184029806,1405.8808723449706,20,865.7150268554688,0.2,0.0003,0.0053924024,-0.012189745903015137,0.011376953125
4,96.02352941176471,1565,8192,-155.14603856470586,5,-1.356519114598632,-0.00642443631295464,972.3486914634705,30,317.5674133300781,0.2,0.0003,0.008736611,-0.026363611221313477,0.04208984375
5,98.25,1529,10240,-151.94898780999998,6,-1.33446841314435,-0.004786343353043776,788.5356184005738,40,566.0984497070312,0.2,0.0003,0.0072962646,-0.0008540153503417969,0.032373046875
6,111.08,1394,12288,-148.83000441000002,8,-1.3201527997851372,-0.009649620953859994,1053.3274344444276,50,505.32696533203125,0.2,0.0003,0.011358053,-0.03431224822998047,0.05302734375
7,112.52,1395,14336,-148.737033,10,-1.323627906665206,-0.009954852671944537,623.2723564624787,60,637.384521484375,0.2,0.0003,0.008165091,0.017917215824127197,0.047802734375
8,114.58,1393,16384,-152.34237323000002,11,-1.2501303806900979,-0.006314817514794413,570.8434206008911,70,304.52374267578125,0.2,0.0003,0.0144278,-0.002155900001525879,0.16826171875
9,121.79,1388,18432,-147.11643984000003,13,-1.2354999236762523,-0.010997522406978533,548.6561726570129,80,387.1907653808594,0.2,0.0003,0.010281026,-0.00926828384399414,0.097900390625
10,129.44,1379,20480,-146.21574722000003,14,-1.197191458195448,-0.015403557327226735,425.1305441379547,90,178.38536071777344,0.2,0.0003,0.0108920755,-0.0017980337142944336,0.145361328125
11,139.69,1363,22528,-143.30414427,16,-1.138687762618065,-0.010641969996868283,376.93444027900694,100,121.44074249267578,0.2,0.0003,0.015043031,-0.016200661659240723,0.08349609375
12,154.68,1299,24576,-139.24258889,18,-1.1077757637947798,-0.007962319982470944,396.88254902362826,110,285.8433532714844,0.2,0.0003,0.0072829947,0.027647674083709717,0.037255859375
13,164.04,1294,26624,-136.72609751,20,-1.219542422890663,-0.007541332297842018,219.89913144111634,120,65.01236724853516,0.2,0.0003,0.008449073,0.03342700004577637,0.056298828125
14,175.95,1265,28672,-133.70970053000002,22,-1.0650891736149788,-0.008444412468816154,611.8412848472595,130,301.86083984375,0.2,0.0003,0.0057304567,0.043389856815338135,0.062646484375
15,176.21,1230,30720,-134.12201192,24,-1.1605291679501533,-0.006129416021576617,394.66780481338503,140,157.1116485595703,0.2,0.0003,0.00731108,0.13362979888916016,0.040185546875
16,192.27,1197,32768,-132.45071802,27,-1.1757803410291672,-0.007998561628483003,233.48241341114044,150,80.21803283691406,0.2,0.0003,0.008639846,0.2129841446876526,0.0482421875
17,211.72,1192,34816,-127.35139413,29,-1.1321272294968368,-0.006655366372433491,253.33843097686767,160,50.95336151123047,0.2,0.0003,0.0089731235,0.20177382230758667,0.074267578125
18,226.46,1160,36864,-122.59541147,31,-1.056933843716979,-0.010678204965370242,397.38790225982666,170,213.99131774902344,0.2,0.0003,0.008669531,0.04159492254257202,0.133349609375
19,239.54,1159,38912,-116.81398096999999,33,-1.134128950536251,-0.006678379698132631,263.4266647577286,180,61.63140106201172,0.2,0.0003,0.006123923,0.2955549359321594,0.030322265625
20,250.3,1127,40960,-117.18408613,36,-1.0524351239204406,-0.010125154677371028,297.3488536834717,190,172.52891540527344,0.2,0.0003,0.0075124726,0.20662921667099,0.061474609375
21,271.43,1099,43008,-112.28317738000001,39,-1.247233821824193,-0.007138116967689711,143.74946224093438,200,80.49974060058594,0.2,0.0003,0.0085533615,0.4821537733078003,0.0650390625
22,291.04,1072,45056,-111.07598628,42,-1.2084926523268222,-0.0043020028017053845,178.93130841255189,210,28.674694061279297,0.2,0.0003,0.0077114427,0.44524484872817993,0.028125
23,303.96,1052,47104,-106.85081409,44,-1.180973281338811,-0.010709207136096665,97.21448949575424,220,24.525419235229492,0.2,0.0003,0.012966014,0.6283948421478271,0.1515625
24,323.39,1029,49152,-103.21305521999999,47,-1.1779951386153698,-0.006701955632161116,126.37128065824508,230,29.093299865722656,0.2,0.0003,0.011513045,0.5592725574970245,0.0763671875
25,341.36,1012,51200,-99.66743100000002,50,-1.1276958271861077,-0.007770524324223515,129.94081543684007,240,36.115631103515625,0.2,0.0003,0.006614592,0.5360108315944672,0.068701171875
26,357.63,987,53248,-101.95688694,53,-1.0982059229165315,-0.004133989309775643,106.67950654625892,250,17.059314727783203,0.2,0.0003,0.009160632,0.5334049165248871,0.063916015625
27,377.24,953,55296,-99.42565074999999,57,-1.051032684929669,-0.007602253564982675,179.72454682588577,260,48.34765625,0.2,0.0003,0.0083479155,0.1978192925453186,0.09638671875
28,394.4,926,57344,-95.03900644,61,-1.0849272385239601,-0.008910236100200563,67.69357832074165,270,27.707056045532227,0.2,0.0003,0.006697056,0.3191426992416382,0.0935546875
29,407.16,907,59392,-94.14403203000002,65,-1.007576378621161,-0.01323079550784314,56.923773714900015,280,10.966089248657227,0.2,0.0003,0.010257318,0.694885790348053,0.17607421875
30,424.27,880,61440,-91.42152644000002,69,-1.0681441057473422,-0.007377646282111528,63.24090555310249,290,44.390628814697266,0.2,0.0003,0.0063311784,0.43873077630996704,0.068896484375
31,441.81,872,63488,-89.20490785999999,72,-1.0496468804776669,-0.011107319788425229,33.406496685743335,300,7.7320709228515625,0.2,0.0003,0.009922992,0.36241865158081055,0.136474609375
32,456.5,861,65536,-87.21791649999999,76,-1.0722595293074846,-0.0073115657549351456,29.57978924959898,310,6.896814346313477,0.2,0.0003,0.009662982,0.6701776087284088,0.076416015625
33,472.4,851,67584,-83.63802573999999,79,-1.0348610449582338,-0.006510886416799621,67.94124870300293,320,51.91676330566406,0.2,0.0003,0.006974249,0.5785174071788788,0.03974609375
34,489.3,833,69632,-80.87258637000002,83,-1.0230234552174806,-0.005728903030103538,71.81568556427956,330,28.701873779296875,0.2,0.0003,0.0048988825,0.7636812776327133,0.043603515625
35,505.83,812,71680,-76.13105619000001,88,-1.0128777036443353,-0.0044387518675648606,45.53576838374138,340,7.8801398277282715,0.2,0.0003,0.008067956,0.4591313600540161,0.0962890625
36,529.68,802,73728,-75.44959583,91,-1.0267898755148053,-0.005242152484424878,53.02829000651836,350,6.021108627319336,0.2,0.0003,0.007651332,0.7175383269786835,0.0720703125
37,545.99,801,75776,-71.18008573,94,-1.0141585860401392,-0.006259306758875027,105.23124410510063,360,318.3192138671875,0.2,0.0003,0.007343525,0.5774638950824738,0.08486328125
38,559.51,791,77824,-69.64479605000001,98,-1.009032814949751,-0.003125080600148067,55.98464879542589,370,6.977493762969971,0.2,0.0003,0.008384587,0.8145906925201416,0.0892578125
39,569.69,785,79872,-70.71618642,101,-0.975701142847538,-0.0024217721300374253,100.80419467389584,380,56.531715393066406,0.2,0.0003,0.0037918482,0.622130274772644,0.0294921875
40,590.62,773,81920,-68.22149859,105,-1.0412255944684148,-0.002128744497167645,68.62054291516543,390,4.9956536293029785,0.2,0.0003,0.005167124,0.5823255181312561,0.046826171875
41,604.85,768,83968,-62.79694546999999,109,-0.9575366638600826,-0.003442518752126489,97.36035739481449,400,44.29767608642578,0.2,0.0003,0.010039903,0.6558133065700531,0.065576171875
42,618.4,761,86016,-61.80483316,113,-0.8825019923970103,-0.0049797992163803425,75.08358839005231,410,11.436439514160156,0.2,0.0003,0.008983157,0.5564695596694946,0.05771484375
43,629.0,759,88064,-57.96577461000001,115,-0.8316113026812673,-0.008601298090070486,91.1387139827013,420,4.7024736404418945,0.2,0.0003,0.019059014,0.623602032661438,0.136376953125
44,642.0,761,90112,-56.92919785,118,-0.7555957989767194,-0.004869192522164667,156.4447659343481,430,8.151372909545898,0.2,0.0003,0.003653261,0.5435691177845001,0.026416015625
45,655.94,761,92160,-53.456131240000005,121,-0.9164341008290648,-0.0042776388385391325,174.15353260040283,440,132.4001007080078,0.2,0.0003,0.005260759,0.4778252840042114,0.044921875
46,673.41,760,94208,-47.67157566000001,123,-0.8522692654281855,-0.004211911641323241,125.50180836319923,450,8.956843376159668,0.2,0.0003,0.0115188565,0.4377822279930115,0.081591796875
47,684.88,757,96256,-44.97827456,127,-0.7498921778053045,-0.0013078734082228038,138.1542026400566,460,341.509033203125,0.2,0.0003,0.0031138374,0.5797001421451569,0.0376953125
48,696.65,84,98304,-38.81439717999999,1163,-0.9169983766973019,-0.002089365365100093,108.60099394917488,470,21.61164093017578,0.2,0.0003,0.0064747836,0.5147552490234375,0.042822265625
49,706.04,63,100352,-40.16619014,1578,-0.9487977402284742,-0.003218796299552196,121.08918595016003,480,45.6522331237793,0.2,0.0003,0.007337662,0.6004133224487305,0.087158203125
50,724.62,64,102400,-35.35176117,1582,-0.8760398909449577,-0.004256123705999926,96.25555843412876,490,82.27621459960938,0.2,0.0003,0.005682278,0.5417999029159546,0.110791015625
51,728.28,65,104448,-30.53336695,1585,-0.967343070730567,-0.0032636394054861738,136.44591767191886,500,39.371063232421875,0.2,0.0003,0.004911774,0.3227471709251404,0.091064453125
52,738.42,67,106496,-27.576800530000003,1588,-0.9032476110383868,-0.0019878062106727158,100.46799699217081,510,7.8466997146606445,0.2,0.0003,0.006429882,0.4295840263366699,0.0400390625
53,750.97,68,108544,-26.296359030000005,1591,-0.884771079570055,-0.0053430198749993,81.58565136790276,520,32.91399002075195,0.2,0.0003,0.00599264,0.386069118976593,0.092724609375
54,758.33,69,110592,-20.040324860000002,1594,-0.8932874079793691,-0.003770162745786365,83.82097573131323,530,185.89109802246094,0.2,0.0003,0.009271093,0.5853685140609741,0.090380859375
55,775.51,70,112640,-19.93147149,1597,-0.9199816210195422,-0.00303229174533044,84.838155066967,540,5.600864410400391,0.2,0.0003,0.009864806,0.5731374621391296,0.05556640625
56,783.45,71,114688,-18.62572772,1601,-0.9280454654246568,-0.00826101387865492,198.73505023121834,550,141.67147827148438,0.2,0.0003,0.004974126,0.4008305072784424,0.058544921875
57,793.97,72,116736,-18.1078337,1604,-0.9203164851292968,-0.003202454425627366,114.36128216683865,560,49.343318939208984,0.2,0.0003,0.004559274,0.5621378421783447,0.053173828125
58,806.19,73,118784,-17.02196127,1607,-0.890803475677967,-0.0036060286314750557,58.01885911822319,570,14.189433097839355,0.2,0.0003,0.0063947467,0.7320398092269897,0.05361328125
59,821.43,74,120832,-10.0799501,1611,-0.8688376266509295,-0.0023983619124919643,118.38564710468054,580,52.5982551574707,0.2,0.0003,0.0023727426,0.6283079087734222,0.039453125
60,826.46,76,122880,-7.857886629999999,1613,-0.8536370383575559,-0.00374654893821571,128.82138658761977,590,12.856609344482422,0.2,0.0003,0.0050097406,0.669751763343811,0.040869140625
61,831.46,77,124928,-5.29118938,1617,-0.8887379683554173,-0.000754689221503213,102.49601375162601,600,6.845961570739746,0.2,0.0003,0.0043131076,0.6812007129192352,0.045703125
62,831.43,78,126976,-5.738672359999998,1619,-0.8059602616354823,-0.0010681510080758016,128.6126206085086,610,57.52068328857422,0.2,0.0003,0.0038561502,0.5705229341983795,0.0505859375
63,826.36,79,129024,-4.527434029999998,1622,-0.8794625565409661,-0.00258252938692749,115.8783083319664,620,39.780643463134766,0.2,0.0003,0.0076849824,0.777935802936554,0.05927734375
64,833.59,80,131072,-2.3871274999999987,1625,-0.8859117645770311,-0.0011583898565731942,56.909690980613235,630,10.16683578491211,0.2,0.0003,0.0075094774,0.8312413394451141,0.06357421875
65,830.91,81,133120,0.8665085200000007,1628,-0.8214216845110058,-0.002109981085959589,177.6433310419321,640,36.87880325317383,0.2,0.0003,0.005836548,0.5333574116230011,0.03955078125
66,825.15,82,135168,7.719918450000002,1631,-0.8750864129513503,-0.0037875642177823466,89.50941827893257,650,29.044761657714844,0.2,0.0003,0.005400341,0.7391053438186646,0.063916015625
67,834.39,83,137216,8.889161990000002,1635,-0.8262264512479305,-0.002309243213676382,122.01548139154912,660,24.36410140991211,0.2,0.0003,0.0037506572,0.6017451882362366,0.04443359375
68,826.45,84,139264,11.399202310000003,1639,-0.8623399017378688,-0.003029307842371054,47.590803341567515,670,29.200950622558594,0.2,0.0003,0.0037595318,0.8045477420091629,0.04189453125
69,825.6,85,141312,12.822605050000002,1643,-0.7359205992892385,-0.0026877895536017602,103.81583742201329,680,16.19688606262207,0.2,0.0003,0.0031485988,0.6109955608844757,0.047216796875
70,827.32,87,143360,14.085977840000004,1646,-0.778218506462872,-0.004124958535976475,48.53744678199291,690,17.695262908935547,0.2,0.0003,0.006276666,0.7893403917551041,0.0947265625
71,826.51,88,145408,15.988167750000002,1649,-0.8498733697459102,-0.001134484824433457,51.70181462615729,700,4.1464762687683105,0.2,0.0003,0.004658264,0.6831362247467041,0.06435546875
72,815.67,89,147456,17.73139044,1652,-0.8595764767378569,-0.003483359325764468,47.54547716230154,710,9.465107917785645,0.2,0.0003,0.0073596644,0.7848377823829651,0.07958984375
73,804.93,90,149504,20.75862623,1655,-0.7713500618934631,-0.0014349852310260758,175.66858141720294,720,53.106292724609375,0.2,0.0003,0.0039436487,0.5491404235363007,0.03046875
74,804.93,91,151552,19.75989348,1658,-0.7978233955800533,-0.0018453416298143566,116.66884934902191,730,29.809673309326172,0.2,0.0003,0.004284054,0.6545220911502838,0.034130859375
75,806.33,92,153600,22.321447559999996,1661,-0.8831899110227823,-0.0023601264932949562,28.39414331316948,740,104.10276794433594,0.2,0.0003,0.0047673928,0.7719694823026657,0.03896484375
76,797.77,93,155648,24.62697438,1663,-0.8660340711474419,-0.0010021152404078749,24.13605467751622,750,2.07792592048645,0.2,0.0003,0.0045312983,0.8747048527002335,0.05166015625
77,796.8,94,157696,26.19171998,1666,-0.837815486639738,-0.003724363323271973,105.19894589781761,760,29.99994468688965,0.2,0.0003,0.005704676,0.6702868044376373,0.05478515625
78,786.53,95,159744,29.893654339999998,1669,-0.86703798789531,-0.0015147653999520116,89.67540207207203,770,40.890464782714844,0.2,0.0003,0.008837692,0.6884700357913971,0.07431640625
79,792.48,96,161792,29.97490898,1672,-0.7711201140657067,-0.004298266990372212,104.5697082027793,780,51.49994659423828,0.2,0.0003,0.005573324,0.45238226652145386,0.049853515625
80,792.48,97,163840,29.49390515,1675,-0.7190705427899957,-0.0009169606972136534,42.28825046718121,790,10.576071739196777,0.2,0.0003,0.01106078,0.7260236740112305,0.093408203125
81,787.83,98,165888,31.744566660000004,1678,-0.7762395225465297,-0.005649331002496183,27.630154311656952,800,3.332789897918701,0.2,0.0003,0.010422452,0.7026662230491638,0.12392578125
82,780.76,99,167936,31.320702470000004,1681,-0.6956722980365158,-0.0007851063233829336,83.91347825825214,810,23.9619197845459,0.2,0.0003,0.0035698235,0.4106055498123169,0.03095703125
83,785.18,100,169984,32.623175970000005,1684,-0.791082177683711,-0.0035289088256831745,155.44092040359973,820,10.1761474609375,0.2,0.0003,0.0033868959,0.48003292083740234,0.025537109375
84,776.36,101,172032,32.59808463,1687,-0.720006562769413,-0.00174406741571147,67.12478452771902,830,10.694397926330566,0.2,0.0003,0.004937681,0.7293986976146698,0.041552734375
85,777.73,102,174080,30.73267288,1690,-0.7152318730950356,-0.0013203556569351348,224.69231224805117,840,105.76490783691406,0.2,0.0003,0.0025242153,0.23046958446502686,0.014990234375
86,777.78,104,176128,32.997673600000006,1693,-0.7593633601441979,-0.004500195120635908,50.09925624728203,850,32.692710876464844,0.2,0.0003,0.021756165,0.8105196803808212,0.076123046875
87,771.99,105,178176,34.98338714,1696,-0.8031645903363824,-0.004753845443337923,96.15593580007553,860,37.873870849609375,0.2,0.0003,0.010141798,0.5882700383663177,0.093603515625
88,762.24,106,180224,33.93660613,1699,-0.7683286113664508,-0.0028982844731217485,66.78812654465438,870,32.18452072143555,0.2,0.0003,0.006395526,0.6812505125999451,0.060107421875
89,750.94,107,182272,36.74095313,1701,-0.793440867960453,-0.001222552153558354,146.56137987524272,880,96.55632781982422,0.2,0.0003,0.0049960776,0.6417402923107147,0.0419921875
90,744.65,108,184320,31.0135715,1704,-0.7845207815989852,-0.0017641868085775058,84.35480973273516,890,8.75466251373291,0.2,0.0003,0.0055313455,0.5460548400878906,0.0322265625
91,739.48,109,186368,33.5787525,1707,-0.7792320162057876,-0.00038191709099919533,242.06508296132088,900,173.6265869140625,0.2,0.0003,0.004676716,0.42140817642211914,0.0640625
92,736.08,110,188416,37.38138360000001,1711,-0.7708980534225702,-0.0038687832100549715,166.56849206760526,910,75.1203842163086,0.2,0.0003,0.004500917,0.5242608487606049,0.105859375
93,726.3,111,190464,38.82119737,1713,-0.6532840067520738,-0.0024991099271574058,134.80862864851952,920,22.619701385498047,0.2,0.0003,0.004298267,0.5497384667396545,0.028173828125
94,727.22,112,192512,44.378021090000004,1716,-0.7293978590518236,-0.0008318076310388278,95.935407333076,930,5.992462635040283,0.2,0.0003,0.0069934456,0.46036475896835327,0.043115234375
95,725.21,113,194560,44.20661542,1719,-0.7361765338107944,-0.0016326199111063033,127.7506516188383,940,162.04409790039062,0.2,0.0003,0.0036650463,0.33128446340560913,0.0505859375
96,722.39,114,196608,46.24231336999999,1721,-0.8065065450966358,0.00032021538572735153,66.52822727859021,950,24.953664779663086,0.2,0.0003,0.0037080925,0.7647046446800232,0.050732421875
97,716.91,115,198656,49.36328560000001,1724,-0.7841438688337803,-0.002062218217906775,153.98785386532546,960,9.613496780395508,0.2,0.0003,0.006456749,0.56288281083107,0.06474609375
98,711.63,116,200704,47.60929666000001,1727,-0.7273084318265319,-0.003074163709243294,113.1519892513752,970,35.11919021606445,0.2,0.0003,0.005536442,0.6414352059364319,0.046728515625
99,713.44,117,202752,49.449394530000006,1730,-0.7418002029880881,-0.0022791290772147476,110.64079613983631,980,188.45933532714844,0.2,0.0003,0.005362547,0.6494001746177673,0.0705078125
100,708.69,118,204800,50.000453560000004,1732,-0.7145763471722603,-0.001008049919619225,57.26084768548608,990,13.747902870178223,0.2,0.0003,0.004645153,0.6698436439037323,0.071484375
101,697.28,119,206848,46.21768991,1735,-0.7820955216884613,-0.0022294396621873602,75.44160954058171,1000,11.885034561157227,0.2,0.0003,0.005563686,0.6763840019702911,0.07607421875
102,697.75,120,208896,42.251974,1738,-0.7376333817839622,-0.0018092894551955396,253.65152939409018,1010,38.028568267822266,0.2,0.0003,0.0060268836,0.2994728088378906,0.0796875
103,688.61,121,210944,41.93690199999999,1741,-0.7052153954282403,-0.0006321655953797744,153.34584184885026,1020,16.55716896057129,0.2,0.0003,0.0063805324,0.4116395115852356,0.049658203125
104,673.94,122,212992,44.74035873,1743,-0.766245311498642,-0.0072999761534447314,122.5902463644743,1030,70.42023468017578,0.2,0.0003,0.008675801,0.571074515581131,0.0958984375
105,671.39,123,215040,43.735217320000004,1746,-0.7293023006990552,-0.005019516633910826,118.9736176520586,1040,8.383610725402832,0.2,0.0003,0.005940051,0.6798228919506073,0.06396484375
106,673.97,124,217088,44.22678546000001,1749,-0.6808262230828405,-0.0004994773298676591,124.47718335092068,1050,28.878398895263672,0.2,0.0003,0.0058975834,0.6959150731563568,0.047314453125
107,665.05,125,219136,44.05189752000001,1751,-0.6513954060152173,-0.002475850677728886,43.72403820306063,1060,13.86922836303711,0.2,0.0003,0.004516417,0.7675457298755646,0.0384765625
108,659.4,126,221184,45.01651330000001,1753,-0.8108757192268967,-0.002618793627334526,151.09349181056024,1070,70.91421508789062,0.2,0.0003,0.006868178,0.6578894257545471,0.070361328125
109,655.31,127,223232,42.795098360000004,1756,-0.6722940016537905,-0.0005782263717264869,95.52645768672228,1080,10.034933090209961,0.2,0.0003,0.0026557595,0.6746950745582581,0.024365234375
110,656.46,128,225280,41.63281306000001,1759,-0.6958627140149474,-0.0013141152179741767,88.107129997015,1090,6.292859077453613,0.2,0.0003,0.005408794,0.8321030884981155,0.05390625
111,643.26,128,227328,45.09637428999999,1762,-0.6975048908963799,-0.001766616317036096,228.74193252027035,1100,113.61116027832031,0.2,0.0003,0.0021941764,0.3004303574562073,0.02861328125
112,634.53,129,229376,44.97494727999999,1765,-0.7376772694289684,-0.0009327570784080308,67.9655983403325,1110,11.792516708374023,0.2,0.0003,0.0077681732,0.6796789765357971,0.073779296875
113,638.99,130,231424,41.69083904,1767,-0.7067160127684474,2.9911934689152986e-06,151.85343745350838,1120,76.12155151367188,0.2,0.0003,0.0077240192,0.5271590948104858,0.051513671875
114,632.26,131,233472,43.17020771000001,1770,-0.7133808471262455,-0.005696802994498285,192.462062035501,1130,189.31295776367188,0.2,0.0003,0.008633902,0.5388926863670349,0.081689453125
115,639.36,132,235520,43.26212426999999,1773,-0.7165437076240778,-0.0010421869774290826,96.61425444483757,1140,51.16936111450195,0.2,0.0003,0.005453787,0.7040151059627533,0.046435546875
