time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
1,2048,2007,-163.52283247826085,87.43478260869566,1,,,,,,,,,,
2,4096,1514,-161.08030393023256,93.6046511627907,2,-0.007181573813431897,0.001058042049407959,0.2,0.0065078074,0.0003,10,-1.3829609639942646,0.026904296875,2117.4355491638185,683.936279296875
3,6144,1430,-152.25701073015875,94.60317460317461,4,-0.005967243187478743,-0.0016342401504516602,0.2,0.008423787,0.0003,20,-1.3685651585459708,0.02470703125,1786.5979299545288,1371.1337890625
4,8192,1413,-153.48968543373493,98.24096385542168,5,-0.008808405893796589,-0.003605365753173828,0.2,0.010792797,0.0003,30,-1.3608614012598992,0.074755859375,1724.1645544052124,1213.897216796875
5,10240,1404,-153.86894679,99.66,7,-0.006731255633349064,-0.016602516174316406,0.2,0.008846412,0.0003,40,-1.3524987496435643,0.08359375,592.9314965248108,168.68492126464844
6,12288,1391,-155.35270021999997,106.65,8,-0.0015799124084878713,-0.0426865816116333,0.2,0.0012771661,0.0003,50,-1.345803151279688,0.0,1065.0748044013976,551.4891967773438
7,14336,1385,-159.06543981000002,107.56,10,-0.00514190270769177,6.216764450073242e-05,0.2,0.010588981,0.0003,60,-1.3419846631586552,0.03232421875,789.0460346221923,303.5106201171875
8,16384,1377,-160.43677857000003,108.73,11,-0.009430335714569082,-0.0005878210067749023,0.2,0.011227952,0.0003,70,-1.3479374978691339,0.19912109375,517.9416007518769,398.9654846191406
9,18432,1372,-163.72316543,111.57,13,-0.009315593932115007,-5.435943603515625e-05,0.2,0.012895511,0.0003,80,-1.3213288694620133,0.12158203125,363.63572201728823,130.1361083984375
10,20480,1365,-166.87078488999998,116.93,15,-0.008401162963127717,-0.0013844966888427734,0.2,0.0101818405,0.0003,90,-1.2842269476503134,0.130322265625,541.7437748908997,147.31845092773438
11,22528,1358,-159.4254525,122.95,16,-0.009703537397581386,0.0006068944931030273,0.2,0.0067784498,0.0003,100,-1.2746556263417006,0.066845703125,642.6691473960876,167.37225341796875
12,24576,1354,-158.4613817,124.13,18,-0.005478392013174016,0.06773000955581665,0.2,0.0030834468,0.0003,110,-1.251691097393632,0.00859375,380.33983306884767,96.29932403564453
13,26624,1348,-156.77079137,131.35,19,-0.011991696073891944,0.09749454259872437,0.2,0.01281648,0.0003,120,-1.2191428750753404,0.11845703125,297.77464327812197,121.65530395507812
14,28672,1281,-150.66016749999997,146.16,22,-0.006600643572164699,0.16849875450134277,0.2,0.011954859,0.0003,130,-1.181226658076048,0.05205078125,258.8962575435638,108.78079223632812
15,30720,1274,-144.87934219,152.96,24,-0.00714496955042705,0.17338025569915771,0.2,0.008520838,0.0003,140,-1.2742910590022802,0.066748046875,171.01082249879838,93.32809448242188
16,32768,1272,-141.72087380000002,163.3,25,-0.0043204893321671985,0.0615466833114624,0.2,0.0026736604,0.0003,150,-1.1330110471695662,0.013720703125,499.51197681427004,197.37115478515625
17,34816,1258,-138.69121361999998,173.14,27,-0.007157772437494714,-0.21105730533599854,0.2,0.016295709,0.0003,160,-1.088985687866807,0.109814453125,314.3183394193649,139.96017456054688
