time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl
2048,1,-152.03950154545456,91.5909090909091,2304,0,,,,,,,,,,
4096,2,-149.10873874999996,92.68181818181819,1730,2,0.2,-0.003058791160583496,763.22216796875,0.0003,-0.008525663054024335,0.05732421875,-1.3811633609235288,10,2644.3940502166747,0.008249249
6144,3,-160.09979695384615,94.1076923076923,1613,3,0.2,-0.0360109806060791,454.9988098144531,0.0003,-0.005575236140430206,0.015283203125,-1.3750646896660328,20,1329.185222530365,0.006843082
8192,4,-157.34103639240507,95.35443037974683,1482,5,0.2,-0.0002561807632446289,278.3477783203125,0.0003,-0.007815328608558048,0.0509765625,-1.3624042477458715,30,903.8847294807434,0.0068443874
10240,5,-156.07669965624999,106.57291666666667,1399,7,0.2,0.03615766763687134,582.5330810546875,0.0003,-0.010671937221195549,0.097265625,-1.3512819871306418,40,625.1787332057953,0.0101677645
12288,6,-156.0595528,108.9,1402,8,0.2,0.07490932941436768,316.69073486328125,0.0003,-0.009745991741510807,0.162744140625,-1.334834675118327,50,587.6981168746948,0.014898086
14336,7,-155.11532281,115.25,1401,10,0.2,-0.06022846698760986,192.45773315429688,0.0003,-0.006988077634014189,0.134912109375,-1.3004003152251244,60,493.9640123844147,0.010601509
16384,8,-155.14720957,119.58,1403,11,0.2,-0.00243377685546875,316.2804870605469,0.0003,-0.004682473895081784,0.046533203125,-1.3193131238222122,70,548.9439407348633,0.010021648
18432,9,-149.30395749000002,122.58,1402,13,0.2,0.002463400363922119,227.29180908203125,0.0003,-0.008729402846074662,0.112939453125,-1.2620249420404435,80,426.52924118041994,0.0112077985
20480,10,-145.92370131,129.83,1392,14,0.2,-0.010079383850097656,480.8526611328125,0.0003,-0.00673964833986247,0.102294921875,-1.2487227085977792,90,447.9987253904343,0.010303316
22528,11,-143.53631547,126.64,1389,16,0.2,-0.01000523567199707,213.91099548339844,0.0003,-0.005355785001302138,0.09765625,-1.2087604150176048,100,588.0525000572204,0.011618681
24576,12,-142.31730603,132.06,1387,17,0.2,-0.00017023086547851562,200.72714233398438,0.0003,-0.006018252251669765,0.116015625,-1.2022296119481326,110,635.3598258972168,0.011787634
26624,13,-142.71767942999998,139.64,1378,19,0.2,-2.6226043701171875e-05,272.8475341796875,0.0003,-0.006295090616913512,0.054296875,-1.1940292924642564,120,480.67598328590395,0.013645149
28672,14,-138.65603456999997,143.74,1372,20,0.2,-0.11828732490539551,442.6199035644531,0.0003,-0.0038682113896356895,0.019775390625,-1.1596237655729056,130,592.9221302986145,0.0055334875
30720,15,-137.24611233000002,150.2,1370,22,0.2,-0.02706730365753174,461.1565246582031,0.0003,-0.004030058052012464,0.078466796875,-1.173273526504636,140,761.2358418464661,0.008203328
32768,16,-135.41233922,155.6,1367,23,0.2,-5.6624412536621094e-05,98.44410705566406,0.0003,-0.007569991784839658,0.09453125,-1.1786684744060039,150,361.7062438488007,0.011907474
34816,17,-131.43491443000002,161.76,1362,25,0.2,-0.001395106315612793,207.25927734375,0.0003,-0.007041488679533359,0.07548828125,-1.1461018115282058,160,441.7180219650269,0.011985214
36864,18,-131.87042243,165.17,1357,27,0.2,-9.226799011230469e-05,386.05120849609375,0.0003,-0.0068085839491686785,0.07470703125,-1.1146345626562835,170,586.4249338626862,0.008257124
38912,19,-127.56709961,174.26,1315,29,0.2,-5.125999450683594e-06,152.51422119140625,0.0003,-0.003809792277752422,0.0431640625,-1.1525743551552297,180,440.1026535987854,0.008691707
40960,20,-124.65004234999998,185.81,1293,31,0.2,0.00043338537216186523,95.4023666381836,0.0003,-0.003788581245316891,0.016552734375,-1.2281706530600787,190,267.15642154216766,0.0048299236
43008,21,-124.40480447999998,191.23,1285,33,0.2,0.0001354217529296875,64.23799896240234,0.0003,-0.00684783295255329,0.054833984375,-1.1756201345473527,200,427.4953824043274,0.007472712
45056,22,-120.49277165000001,200.28,1234,36,0.2,-0.003223896026611328,294.32720947265625,0.0003,-0.009368569175421726,0.04912109375,-1.1682315465062856,210,624.0097396850585,0.008269488
47104,23,-118.25359003999998,219.04,1210,38,0.2,0.00020772218704223633,189.2598419189453,0.0003,-0.005617995198554127,0.033642578125,-1.2440283481031655,220,277.7577248096466,0.0058244783
