time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
1,-158.4063153809524,96.33333333333333,0,2350,2048,,,,,,,,,,
2,-156.4588173023256,94.62790697674419,2,1761,4096,0.0177734375,745.6411743164062,-0.005204143263108562,-1.3822664216160774,0.2,0.004010975360870361,0.008159686,1757.612717819214,10,0.0003
3,-156.24086984615386,94.27692307692308,3,1636,6144,0.035888671875,965.9410400390625,-0.006419011350953951,-1.3793684858828783,0.2,-0.008759140968322754,0.006247552,1853.570013809204,20,0.0003
4,-158.60075112048196,98.3132530120482,5,1569,8192,0.08603515625,624.5313110351562,-0.01051272584591061,-1.3650923263281585,0.2,-0.048239946365356445,0.011537503,943.3295817375183,30,0.0003
5,-158.55746727000002,98.28,6,1531,10240,0.17470703125,266.8086242675781,-0.014564774748214404,-1.329798349738121,0.2,-0.013927221298217773,0.013937665,748.3272695064545,40,0.0003
6,-155.94764439,104.55,8,1502,12288,0.158935546875,206.33554077148438,-0.009951666135748383,-1.303733215853572,0.2,-0.03334057331085205,0.012243165,721.4142876625061,50,0.0003
7,-155.05813021999998,110.7,9,1481,14336,0.0845703125,248.08619689941406,-0.007999370820471086,-1.247505833953619,0.2,-0.00012946128845214844,0.009258882,649.5057330131531,60,0.0003
8,-151.80545358999998,120.57,11,1445,16384,0.065771484375,164.4673309326172,-0.004281377386359963,-1.2200761262327433,0.2,-0.0005211830139160156,0.0071517876,569.744913482666,70,0.0003
9,-150.60007217999998,129.3,12,1432,18432,0.1251953125,235.5018768310547,-0.007337289722636342,-1.2346144821494818,0.2,4.029273986816406e-05,0.012719344,519.8018837928772,80,0.0003
10,-143.81070033000003,137.11,14,1424,20480,0.097119140625,359.7389221191406,-0.010485873763536801,-1.2119350221008063,0.2,-0.00022792816162109375,0.006554423,363.4348550319672,90,0.0003
11,-140.74458933,143.09,16,1407,22528,0.044921875,128.54469299316406,-0.005385357693012338,-1.1995053362101316,0.2,-0.0002855062484741211,0.010151735,373.4137781620026,100,0.0003
12,-141.51915309,150.9,17,1398,24576,0.10029296875,142.33987426757812,-0.006956202533910982,-1.1652312733232975,0.2,-0.00020515918731689453,0.0063000903,541.8108404159545,110,0.0003
13,-136.64528151,159.41,19,1356,26624,0.073291015625,210.1520233154297,-0.009691028124507284,-1.13500386364758,0.2,-4.792213439941406e-05,0.00448623,373.93689036369324,120,0.0003
14,-130.33179024,172.77,21,1312,28672,0.0177734375,120.01660919189453,-0.003387153203584603,-1.2036117289215327,0.2,0.0006669163703918457,0.0055433395,348.7890695333481,130,0.0003
15,-130.94003092,185.98,23,1289,30720,0.009375,65.11865997314453,-0.005016676404193276,-1.177589277550578,0.2,0.009320676326751709,0.005475489,292.64293830394746,140,0.0003
16,-126.00052683,193.65,25,1283,32768,0.02060546875,60.73662567138672,-0.004863253782241372,-1.161060580983758,0.2,-0.0038864612579345703,0.0072555104,259.22493962049487,150,0.0003
17,-124.00242518,201.0,27,1277,34816,0.01728515625,190.97354125976562,-0.005635372984397691,-1.0733352176845075,0.2,0.14045500755310059,0.006696858,337.25455989837644,160,0.0003
18,-120.45878735000001,215.6,30,1215,36864,0.006298828125,114.66045379638672,-0.0034592059411806984,-1.0468979982659221,0.2,0.19438260793685913,0.006439402,283.0934526205063,170,0.0003
19,-121.52655016,220.27,32,1208,38912,0.03291015625,419.5520324707031,-0.0055205065596965145,-1.0995027594268323,0.2,0.24819821119308472,0.00684849,225.4526228785515,180,0.0003
20,-118.18485224,230.53,34,1203,40960,0.0490234375,108.95413208007812,-0.00805346032284433,-1.0510129051283001,0.2,0.3242890238761902,0.0061827647,318.4119853019714,190,0.0003
21,-115.47012917000002,242.5,36,1181,43008,0.03818359375,64.95960235595703,-0.005939174527156865,-1.0265518249943852,0.2,0.4150012731552124,0.007406118,246.45484869480134,200,0.0003
22,-114.33137097000001,254.82,38,1156,45056,0.051513671875,103.7336654663086,-0.008111540058598621,-1.0276691272854805,0.2,0.43161892890930176,0.007468406,208.29261031150818,210,0.0003
23,-110.87428042000002,272.02,41,1128,47104,0.049072265625,45.46208953857422,-0.005532001960818889,-1.0631309341639281,0.2,0.4753926396369934,0.005682597,184.67337800264357,220,0.0003
24,-108.60979925,280.98,44,1101,49152,0.031640625,92.76795196533203,-0.002225200247994508,-1.0214931953698396,0.2,0.186833918094635,0.0063497517,249.66430127620697,230,0.0003
25,-106.13706794,301.24,47,1072,51200,0.044921875,32.976417541503906,-0.004482755430217367,-1.0253258282318711,0.2,0.1341906189918518,0.006254294,164.86575014591216,240,0.0003
26,-100.43346826000003,319.54,50,1048,53248,0.0982421875,36.50259017944336,-0.01087445025186753,-1.0684823039919138,0.2,0.40612298250198364,0.009268887,144.06068046092986,250,0.0003
27,-100.13984248000003,336.09,55,1003,55296,0.07041015625,46.585689544677734,-0.006870274488028372,-0.9206990722566843,0.2,0.3446637988090515,0.008848166,168.0884585261345,260,0.0003
28,-95.06697921000001,352.82,58,986,57344,0.1734375,14.036399841308594,-0.009900192177155986,-1.0356263145804405,0.2,0.5675727427005768,0.016933111,73.07136046290398,270,0.0003
29,-97.02138360999999,365.34,60,975,59392,0.0455078125,78.21004486083984,-0.006289955146348803,-0.9494353275746107,0.2,0.17110610008239746,0.006918581,170.35005108118057,280,0.0003
30,-92.33784119,383.0,64,954,61440,0.164013671875,21.511693954467773,-0.007070543520967476,-1.0707858534529806,0.2,0.13011997938156128,0.013350977,107.65095966458321,290,0.0003
31,-90.90347306000001,402.89,67,941,63488,0.047265625,34.36917495727539,-0.004283088642114308,-0.945547397993505,0.2,0.4249878525733948,0.005446408,81.26928055286407,300,0.0003
32,-85.50777083000001,419.17,70,929,65536,0.1205078125,15.926435470581055,-0.009451474761590362,-0.9923788405954838,0.2,0.42195403575897217,0.011792509,92.62965597510338,310,0.0003
33,-83.47721983999998,436.12,73,914,67584,0.102490234375,6.859340667724609,-0.009168793637945783,-1.0491685308516026,0.2,0.5846896469593048,0.007203879,26.7351362913847,320,0.0003
34,-82.74243165,453.86,77,903,69632,0.063232421875,5.148324489593506,-0.004343757607784937,-1.0344207806512713,0.2,0.48930007219314575,0.008106992,52.21786687374115,330,0.0003
35,-79.67924061000001,466.38,79,898,71680,0.077685546875,11.281311988830566,-0.006138683340395801,-1.0093319650739432,0.2,0.5358809530735016,0.009014527,62.8567493095994,340,0.0003
36,-75.41972249999999,482.05,82,892,73728,0.02919921875,65.74866485595703,-0.003489363178232452,-0.8880621396005154,0.2,0.18465262651443481,0.005570354,177.64316508173943,350,0.0003
37,-73.92293218,498.96,85,882,75776,0.14072265625,31.343894958496094,-0.00837428651357186,-0.8981498477980494,0.2,0.4987691640853882,0.0116979005,102.36388309895992,360,0.0003
38,-71.43593272999999,507.24,89,866,77824,0.0056640625,81.32137298583984,-0.0014179100375258714,-0.874666340276599,0.2,0.1455400586128235,0.002978322,182.87869940400122,370,0.0003
39,-67.59980232,524.25,93,857,79872,0.08359375,19.44733238220215,-0.003397075890097767,-0.9459754157811403,0.2,0.28601741790771484,0.010756472,84.12699068486691,380,0.0003
40,-65.83351603,540.44,96,846,81920,0.084716796875,8.450705528259277,-0.002586266356956912,-0.8404644038528204,0.2,0.5207428336143494,0.008220935,34.685182210803035,390,0.0003
41,-62.04379505,557.06,100,839,83968,0.125048828125,4.635976314544678,-0.00764056028710911,-1.0189537771046162,0.2,0.42712265253067017,0.00925574,39.86453369408846,400,0.0003
42,-59.722168069999995,572.14,103,834,86016,0.10107421875,4.671754837036133,-0.002991976668999996,-0.9474468346685171,0.2,0.4905206561088562,0.008073472,37.49029234349727,410,0.0003
43,-53.05360938999999,590.5,105,831,88064,0.084326171875,35.659996032714844,-0.004190497655508807,-0.9382084192708134,0.2,0.4052428603172302,0.0066876425,63.087566116452216,420,0.0003
44,-53.546441179999995,595.14,109,825,90112,0.028173828125,30.659006118774414,-0.002518626819073688,-0.8552871149033308,0.2,0.23080909252166748,0.0036972838,100.58003232777119,430,0.0003
45,-50.53947826999999,611.55,113,812,92160,0.045947265625,8.090118408203125,-0.003017806800198741,-0.9534610623493791,0.2,0.30168527364730835,0.0075684665,91.52315452694893,440,0.0003
46,-47.37196617999999,625.3,116,811,94208,0.1025390625,1.5364197492599487,-0.010602667940111133,-0.9717985082417726,0.2,0.4828454852104187,0.019945167,40.26539783999324,450,0.0003
47,-43.90204664,639.63,119,805,96256,0.063134765625,27.140169143676758,-0.004165419435594231,-0.8807625474408269,0.2,0.40051788091659546,0.005004626,90.75160914957523,460,0.0003
48,-42.056488179999995,659.17,123,798,98304,0.090771484375,121.97061157226562,-0.0013974018205772155,-0.8338391499593854,0.2,0.31499820947647095,0.01250371,29.730507449060678,470,0.0003
49,-40.09801606999999,674.58,127,788,100352,0.043359375,52.909095764160156,-0.0013047305284999311,-0.8481339393183589,0.2,0.22849082946777344,0.0041577695,104.71320256143808,480,0.0003
50,-38.016446529999996,688.88,131,779,102400,0.111279296875,4.306675910949707,-0.004930934534058906,-0.9317302765324712,0.2,0.43231379985809326,0.007161054,49.432525700330736,490,0.0003
51,-33.30930599,703.83,134,776,104448,0.04453125,6.2281317710876465,-0.004150121846032561,-0.9492288880050183,0.2,0.5190424025058746,0.006915416,45.078271725028756,500,0.0003
52,-28.612105959999997,719.23,137,772,106496,0.07763671875,36.15203094482422,-0.002851145317981718,-0.9360110769048333,0.2,0.34587717056274414,0.009201357,123.82457736730575,510,0.0003
53,-30.408585910000003,723.75,141,768,108544,0.082421875,14.336225509643555,-0.004163171301479451,-0.9206458486616611,0.2,0.35358136892318726,0.008241848,60.27950523719191,520,0.0003
54,-29.49301177,734.2,143,768,110592,0.082861328125,72.3391342163086,-0.005455134046496823,-0.9140939295291901,0.2,0.3041970729827881,0.0071453787,166.60472842901945,530,0.0003
55,-25.4648131,747.59,147,764,112640,0.039306640625,72.43411254882812,-0.004215037538961042,-0.8881783876568079,0.2,0.46828746795654297,0.0034529984,95.74573673456908,540,0.0003
56,-21.031231239999997,766.31,150,762,114688,0.0775390625,3.872856855392456,-0.002630531460454222,-0.9461372073739767,0.2,0.5306170880794525,0.009832948,47.14780504256487,550,0.0003
57,-19.03423265,779.99,154,755,116736,0.052734375,4.346196174621582,-0.001431807127664797,-0.8867769213393331,0.2,0.47094500064849854,0.011482149,81.17077986076474,560,0.0003
58,-16.99792298,788.13,157,752,118784,0.066943359375,2.0906949043273926,-0.0015714129614934791,-0.91843795273453,0.2,0.654401421546936,0.008808042,44.30621964335442,570,0.0003
59,-14.169769409999999,803.39,160,751,120832,0.07431640625,6.975592613220215,-0.004237510805251077,-0.8287388389930129,0.2,0.4586107134819031,0.0072335517,63.616710762679574,580,0.0003
60,-12.03913982,813.92,163,750,122880,0.047314453125,7.300837516784668,-0.0006076362391468137,-0.9350510166957975,0.2,0.47354382276535034,0.00814482,97.38354403078556,590,0.0003
