time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range
2048,-161.5835675714286,2173,94.42857142857143,0,1,,,,,,,,,,
4096,-164.70483113636362,1697,90.86363636363636,2,2,0.0003,-0.006507645138481166,0.004893600940704346,10,-1.382996030151844,1938.342013168335,0.0404296875,509.11639404296875,0.0064886734,0.2
6144,-160.37275362121213,1576,92.78787878787878,3,3,0.0003,-0.009418590777204371,-0.023955941200256348,20,-1.3815861530601978,1339.4090768814087,0.05615234375,494.2268371582031,0.0077515403,0.2
8192,-160.94215001234568,1467,95.0,5,4,0.0003,-0.008204061543801799,-0.004264473915100098,30,-1.3736175436526536,1191.1049908638001,0.023291015625,409.8493347167969,0.0064541902,0.2
10240,-156.77459940206182,1279,105.43298969072166,8,5,0.0003,-0.004803257172170561,-0.01771259307861328,40,-1.3679293856024741,888.5829849243164,0.02626953125,492.1984558105469,0.0066333693,0.2
12288,-161.70876749,1279,108.56,9,6,0.0003,-0.011428529236582108,0.14607656002044678,50,-1.3543839607387782,630.7429410219193,0.072265625,215.59713745117188,0.010424389,0.2
14336,-152.52508862,1277,112.26,11,7,0.0003,-0.00991233064851258,-0.008835673332214355,60,-1.315404574200511,1626.016026878357,0.08828125,487.7053527832031,0.009486379,0.2
16384,-153.82255736000002,1290,116.06,12,8,0.0003,-0.008919866487849504,-0.0009902715682983398,70,-1.3220982879400254,527.1449594020844,0.12734375,368.0560302734375,0.01036727,0.2
18432,-156.23078519,1298,119.43,14,9,0.0003,-0.0058719042055599855,-0.0420379638671875,80,-1.3012517359107734,444.3038336515427,0.089892578125,219.52635192871094,0.010889383,0.2
20480,-150.81962899,1305,113.2,15,10,0.0003,-0.007758971051953267,-0.007285952568054199,90,-1.241362291947007,451.98697245121,0.13603515625,167.6295928955078,0.009829027,0.2
22528,-148.33144575999998,1304,117.91,17,11,0.0003,-0.0036382473350386134,-0.00112152099609375,100,-1.2376514829695224,507.3364195346832,0.04111328125,113.80850982666016,0.0075634243,0.2
24576,-144.98717510999998,1294,123.67,18,12,0.0003,-0.00479919380377396,-0.010009169578552246,110,-1.1718099925667047,759.8443618297576,0.033447265625,220.804443359375,0.0060846964,0.2
26624,-140.26007080000002,1279,131.17,20,13,0.0003,-0.009969428258773404,-0.00021851062774658203,120,-1.1369732234627008,654.5292394638061,0.1580078125,332.8768310546875,0.011670144,0.2
28672,-140.88581935,1279,138.15,22,14,0.0003,-0.006367167446296662,-0.00087738037109375,130,-1.1239844918251038,513.5416179180145,0.051611328125,139.5756072998047,0.006202352,0.2
30720,-134.99354784,1252,151.89,24,15,0.0003,-0.004056177886377554,-2.9802322387695312e-06,140,-1.1634161837399006,427.17573103904726,0.05771484375,204.2669677734375,0.0072214985,0.2
32768,-133.99614845999997,1223,160.96,26,16,0.0003,-0.0028528684269986115,0.0019817352294921875,150,-1.2199038643389941,429.80288500785826,0.006982421875,66.56621551513672,0.0028775283,0.2
34816,-133.51247264,1206,176.33,28,17,0.0003,-0.009294546375895153,-0.026864171028137207,160,-1.204040791466832,424.85137062072755,0.04375,136.8014373779297,0.008455365,0.2
36864,-126.78818750999999,1178,190.31,31,18,0.0003,-0.006608624786895234,0.00011867284774780273,170,-1.1452070478349925,691.0475795745849,0.065185546875,258.7991638183594,0.009968897,0.2
38912,-125.69889992999998,1182,197.96,32,19,0.0003,-0.0031640123066608793,0.0019062161445617676,180,-1.1789691094309092,386.1605660200119,0.006201171875,271.8808288574219,0.00429511,0.2
40960,-124.28118670999999,1158,210.54,35,20,0.0003,-0.0077339050141745245,0.0035143494606018066,190,-1.0710672054439783,582.9906610012055,0.0537109375,127.48794555664062,0.009482626,0.2
43008,-121.2955172,1158,221.43,37,21,0.0003,-0.006245378996391082,0.011568605899810791,200,-1.1555274840444327,587.2309883117675,0.015576171875,927.3273315429688,0.005401287,0.2
45056,-120.04450289999998,1139,233.11,39,22,0.0003,-0.00594370794860879,0.004173398017883301,210,-1.0659511111676694,414.90505719184875,0.035302734375,157.454833984375,0.007459634,0.2
47104,-120.00835966999999,1126,241.96,41,23,0.0003,-0.0019115281465929002,0.17561906576156616,220,-1.1266130946576596,165.84700391292571,0.0109375,53.983123779296875,0.0061658807,0.2
49152,-113.64180495999999,1107,262.83,44,24,0.0003,-0.007515677328046877,0.07278138399124146,230,-1.098422161862254,334.0563658475876,0.037060546875,251.6472625732422,0.0051044356,0.2
51200,-111.99936889000003,1103,271.86,46,25,0.0003,-0.005133028821728658,0.33350110054016113,240,-1.153983610123396,205.79037995934488,0.037158203125,69.44173431396484,0.0046923524,0.2
53248,-115.53430968999997,1096,282.16,48,26,0.0003,-0.005341336742276326,0.2133270502090454,250,-1.0375604337081312,251.2682160615921,0.0314453125,350.0865173339844,0.0075225895,0.2
55296,-112.42228521999998,1075,295.22,51,27,0.0003,-0.004829446756048128,0.30821651220321655,260,-1.0305600633844734,448.6674916267395,0.013330078125,183.22901916503906,0.004747695,0.2
57344,-110.73106145000001,1058,307.81,54,28,0.0003,-0.004530746312229894,0.5592509508132935,270,-1.0642472174018622,176.32548488378524,0.03994140625,59.64024353027344,0.010722289,0.2
59392,-108.42913328000003,1046,321.09,56,29,0.0003,-0.0025756927527254446,0.3367893099784851,280,-1.0870431404560805,198.74994586110114,0.019921875,74.55109405517578,0.004011688,0.2
61440,-108.55550992999999,1017,335.87,60,30,0.0003,-0.007737828102108324,0.38221532106399536,290,-1.0387855673208832,253.85241119861604,0.100439453125,48.911739349365234,0.011714258,0.2
63488,-106.37488281999998,1013,343.92,62,31,0.0003,-0.004248277373699238,0.360041081905365,300,-0.9183136213570833,263.55475478172303,0.0564453125,37.73347473144531,0.00980761,0.2
65536,-105.88979518000001,1002,354.97,65,32,0.0003,-0.00996598619967699,0.2198278307914734,310,-0.9322022972628474,342.34661707878115,0.109765625,145.08351135253906,0.009490851,0.2
67584,-104.60138531000001,966,370.8,69,33,0.0003,-0.0038483632604766173,0.2237924337387085,320,-1.0369717387482524,205.00105209350585,0.055224609375,96.3481674194336,0.0069929743,0.2
69632,-101.35471164,953,382.04,73,34,0.0003,-0.007489550348691409,0.7690832316875458,330,-1.0763096950948239,65.40320347547531,0.098876953125,11.584341049194336,0.0085013695,0.2
71680,-99.18937546,942,399.43,76,35,0.0003,-0.010018820808181773,0.3237878084182739,340,-1.005681992508471,167.77074122428894,0.161376953125,35.9989128112793,0.0142134465,0.2
73728,-98.18247666999997,929,410.98,79,36,0.0003,-0.00777615633996902,0.6246438026428223,350,-0.990195081755519,104.78981014490128,0.0826171875,42.415260314941406,0.010378847,0.2
75776,-95.99253245,908,416.86,83,37,0.0003,-0.005560653304564766,0.4632619619369507,360,-1.0318951316177845,98.67403864264489,0.030126953125,22.22481918334961,0.0054477556,0.2
77824,-93.43864914,898,439.38,86,38,0.0003,-0.005623395966540557,0.7864610105752945,370,-0.955999617651105,74.6272787630558,0.075634765625,36.88652038574219,0.008971597,0.2
79872,-89.11850321,884,455.3,90,39,0.0003,-0.007689218134328257,0.8016494959592819,380,-0.9961925756186247,69.2648560345173,0.0802734375,4.765768527984619,0.008128775,0.2
81920,-88.32060860000001,869,469.43,94,40,0.0003,-0.003371344403421972,0.8837431371212006,390,-0.949990053102374,39.083509700000285,0.084228515625,3.341068744659424,0.016689897,0.2
83968,-90.40777853000002,866,485.61,96,41,0.0003,-0.007134370884887176,0.6866345405578613,400,-0.920882873982191,83.37440385222435,0.063330078125,30.243295669555664,0.007286439,0.2
86016,-90.62003732,865,487.48,99,42,0.0003,-0.002969794801902026,0.6288944482803345,410,-0.9381388653069734,164.4707838654518,0.011767578125,95.29768371582031,0.00329372,0.2
88064,-87.93175154999999,852,503.08,103,43,0.0003,-0.003556014066998614,0.7640893161296844,420,-0.9120277866721154,89.29445043504238,0.052099609375,22.60701560974121,0.0073988615,0.2
90112,-82.39211619000001,831,519.21,108,44,0.0003,-0.008589931206370239,0.8523299694061279,430,-0.9611845448613167,25.49488392174244,0.135302734375,7.279862403869629,0.0095379595,0.2
92160,-81.68369813999999,813,536.35,113,45,0.0003,-0.004907300063496223,0.6355821788311005,440,-0.9579227330163121,29.801838636398315,0.090283203125,3.965920925140381,0.009885166,0.2
94208,-80.96478877,808,552.27,116,46,0.0003,-0.007856183534022421,0.7784469872713089,450,-0.9471672927960754,36.963999500870706,0.11767578125,8.783802032470703,0.010273805,0.2
96256,-78.03752967000001,800,568.38,120,47,0.0003,-0.003892452637956012,0.7393516004085541,460,-0.966675016283989,42.10618543922901,0.077294921875,4.879421234130859,0.007584113,0.2
98304,-72.43962174,791,584.26,124,48,0.0003,-0.0034235356957651674,0.8819984942674637,470,-0.9543522411957384,38.00881450399756,0.0451171875,3.384336471557617,0.0056146197,0.2
100352,-72.29912165,789,596.87,127,49,0.0003,-0.006601527873863233,0.8215610831975937,480,-0.9680055344477296,28.82279351875186,0.135546875,2.5379669666290283,0.008394541,0.2
102400,-70.65808448,783,611.79,130,50,0.0003,-0.0021138900134246796,0.8121807277202606,490,-0.9285594034940005,58.5724219918251,0.025439453125,25.7910213470459,0.0044798944,0.2
104448,-67.53539991,775,628.07,134,51,0.0003,-0.004314725828589871,0.6842423975467682,500,-0.9320683458819985,24.43808695077896,0.060498046875,1.345894455909729,0.0060239313,0.2
106496,-66.02299889,765,643.51,139,52,0.0003,-0.0025048208990483545,0.7348141074180603,510,-0.9223498228937388,21.38632609434426,0.056494140625,2.0395607948303223,0.0030351286,0.2
108544,-65.11091225999999,752,658.14,144,53,0.0003,-0.004500263819136307,0.7372782528400421,520,-0.9331942414864898,16.377518079057335,0.10146484375,1.442891240119934,0.0098943105,0.2
110592,-61.22739436999999,745,672.54,148,54,0.0003,-0.004033553569752257,0.6756244003772736,530,-0.9498958745971322,23.08234355337918,0.060205078125,0.9870423674583435,0.0048715863,0.2
