time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl
1,2048,2317,-145.05040885714288,0,97.47619047619048,,,,,,,,,,
2,4096,1762,-157.81676479545453,2,92.9090909090909,0.002171754837036133,838.3292236328125,-0.003365574677445693,0.000244140625,0.0003,10,-1.3848888497799634,0.2,2279.0972650527956,0.003992878
3,6144,1639,-157.66155236923078,3,94.50769230769231,-0.03299391269683838,280.3370666503906,-0.008667792058258784,0.104296875,0.0003,20,-1.3820404671132565,0.2,1239.7220708847046,0.010916205
4,8192,1573,-155.03984623529414,5,95.85882352941177,-0.023925065994262695,984.1837158203125,-0.007166546357620973,0.048046875,0.0003,30,-1.3637169409543275,0.2,2088.41891078949,0.011078271
5,10240,1532,-155.16808186,6,97.26,-0.0009083747863769531,832.8526611328125,-0.009734696753730532,0.0494140625,0.0003,40,-1.3601757679134607,0.2,1721.7495130538941,0.009285341
6,12288,1496,-157.61923355000002,8,99.6,-0.006491661071777344,417.7314147949219,-0.009592926732148043,0.117138671875,0.0003,50,-1.3274053897708655,0.2,787.630426979065,0.013656223
7,14336,1469,-156.08863193,9,106.83,-0.003275632858276367,261.74609375,-0.01002870763259125,0.1607421875,0.0003,60,-1.2901442680507897,0.2,659.1862234592438,0.018091306
8,16384,1452,-148.70486706,11,110.26,-0.00036656856536865234,252.10000610351562,-0.00814512796641793,0.091455078125,0.0003,70,-1.286646669358015,0.2,475.183566570282,0.0097209895
9,18432,1438,-148.25779507,12,112.17,-0.0010790824890136719,274.8723449707031,-0.01154374790712609,0.22216796875,0.0003,80,-1.2561892937868833,0.2,533.5422622203827,0.0076028835
10,20480,1424,-146.0512016,14,118.17,-0.01685309410095215,129.4801483154297,-0.005775470701337326,0.027099609375,0.0003,90,-1.2425187304615974,0.2,543.671759557724,0.006844152
11,22528,1403,-145.38914222,16,123.73,-1.4781951904296875e-05,249.6171112060547,-0.007383005615702131,0.11787109375,0.0003,100,-1.1730574399232865,0.2,472.6370565891266,0.010490131
12,24576,1337,-138.06483312,18,137.2,-0.0002446174621582031,258.72125244140625,-0.006874152804812184,0.0564453125,0.0003,110,-1.1691071726381779,0.2,771.5077764511109,0.0067388956
13,26624,1331,-138.04527779000003,19,144.28,0.0007441043853759766,182.0694580078125,-0.003367649375286419,0.00478515625,0.0003,120,-1.1858552508056164,0.2,527.7035745620727,0.0020756861
14,28672,1332,-135.22758434000002,21,148.53,0.03470796346664429,142.22007751464844,-0.002605126732669305,0.00546875,0.0003,130,-1.1468055583536625,0.2,409.94946031570436,0.0027219746
15,30720,1330,-129.28681984,23,155.52,0.05634266138076782,212.04827880859375,-0.0061885231174528595,0.009521484375,0.0003,140,-1.1390362981706859,0.2,665.8491738319397,0.0050348253
16,32768,1319,-127.07010985999999,24,167.53,0.05378812551498413,149.22117614746094,-0.004256243185227504,0.015087890625,0.0003,150,-1.0972155168652535,0.2,382.85256667137145,0.006609559
17,34816,1281,-127.75277702999998,27,179.98,0.08164107799530029,185.43267822265625,-0.006908821473189164,0.0572265625,0.0003,160,-1.1052519500255584,0.2,487.7571638584137,0.010258044
18,36864,1278,-126.01687493,28,186.89,0.21275097131729126,194.8936004638672,-0.0035355791114852764,0.0111328125,0.0003,170,-1.1514515440911055,0.2,274.9825868368149,0.0070885113
19,38912,1273,-122.31581958999999,30,196.67,0.324593186378479,195.73007202148438,-0.005496915401454317,0.02490234375,0.0003,180,-1.0480976965278388,0.2,408.03858132362365,0.0055174595
20,40960,1237,-117.64170671999999,33,215.3,0.1678217053413391,321.4489440917969,-0.0016053989937063306,4.8828125e-05,0.0003,190,-1.0600002359598875,0.2,805.3221265792847,0.00084630935
21,43008,1229,-119.42696864,34,224.09,0.31041377782821655,129.65347290039062,-0.00438010627294716,0.051123046875,0.0003,200,-1.1346376050263642,0.2,245.50615619421006,0.0066793514
22,45056,1202,-115.52833918000002,37,233.65,0.2766665816307068,79.37811279296875,-0.0074163870172924366,0.042333984375,0.0003,210,-1.0471501648426056,0.2,277.3111134529114,0.00864774
23,47104,1159,-113.35505348000002,40,245.45,0.15559720993041992,54.708961486816406,-0.00463218200893607,0.029931640625,0.0003,220,-1.0779451578855515,0.2,252.41844205856324,0.006448866
24,49152,1144,-112.3551789,42,256.41,0.34141838550567627,53.66395568847656,-0.010155601090809796,0.081201171875,0.0003,230,-1.1464507088065148,0.2,177.97643094062806,0.008112926
25,51200,1132,-112.29834299,45,266.54,0.2678573727607727,571.436279296875,-0.0038206153891223948,0.024072265625,0.0003,240,-1.0875702492892743,0.2,240.01884559392929,0.0047568292
26,53248,1106,-109.66480969000003,48,282.25,0.2989102005958557,135.1946258544922,-0.007109529100125656,0.04130859375,0.0003,250,-1.092420059815049,0.2,276.8964108467102,0.008012893
27,55296,1109,-108.88048497000001,49,284.95,0.41966116428375244,35.6732063293457,-0.008074117475189269,0.05087890625,0.0003,260,-1.0465037973597646,0.2,190.37104271054267,0.0087944735
28,57344,1097,-107.651278,52,293.83,0.3374907970428467,138.50921630859375,-0.008449546530027875,0.061279296875,0.0003,270,-0.9888780666515231,0.2,356.6142142534256,0.0065190643
29,59392,1074,-105.07313802,55,309.25,0.6313794553279877,86.96769714355469,-0.00946622200863203,0.104638671875,0.0003,280,-0.8929299643263221,0.2,188.406314098835,0.01015741
30,61440,1069,-103.22302081,57,328.22,0.7160974144935608,11.329567909240723,-0.008310597037780098,0.08720703125,0.0003,290,-0.8488500678911806,0.2,99.8689455986023,0.009688427
31,63488,1046,-100.54311237999998,60,337.16,0.41155701875686646,133.2496795654297,-0.00833427680117893,0.0814453125,0.0003,300,-0.7908283147960902,0.2,240.04260487556456,0.0065682814
32,65536,1032,-97.34578168,63,360.59,0.7268565595149994,51.806617736816406,-0.004909850808326155,0.051806640625,0.0003,310,-0.957835697196424,0.2,127.76935589909553,0.007778131
33,67584,1023,-95.59570915999998,66,364.7,0.5187846720218658,61.821571350097656,-0.004255652616848238,0.034619140625,0.0003,320,-0.7623076668009162,0.2,226.82134234905243,0.0051835924
34,69632,1021,-91.01503852,68,383.28,0.5953166484832764,41.9334602355957,-0.01094818247729563,0.106689453125,0.0003,330,-0.91712765712291,0.2,171.9380773425102,0.009489609
35,71680,1014,-88.09077190000002,70,399.59,0.5510704815387726,321.3603515625,-0.005464036057674093,0.071533203125,0.0003,340,-0.8656352145597339,0.2,157.76962783932686,0.00866848
36,73728,1007,-85.86767458,73,406.71,0.48304957151412964,30.66185188293457,-0.004935856927477289,0.024365234375,0.0003,350,-1.0094854386523366,0.2,195.0141700029373,0.0036179284
37,75776,993,-84.88979428,76,420.97,0.7288959324359894,14.480652809143066,-0.005612801030656556,0.07822265625,0.0003,360,-1.0596902910619974,0.2,53.02832056879997,0.008075602
