time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance
1,2255,-169.52310256521739,87.73913043478261,0,2048,,,,,,,,,,
2,1741,-160.5916137826087,88.82608695652173,2,4096,0.2,-0.004266048409044742,0.00859375,0.0032198126,10,955.6956176757812,-1.3847175095230342,0.0003,2375.5326192855837,-0.0027027130126953125
3,1604,-160.69134056716416,91.13432835820896,3,6144,0.2,-0.007893292514199856,0.04384765625,0.010199111,20,687.2728881835938,-1.3743393748998642,0.0003,989.0173656463624,-0.0038504600524902344
4,1534,-165.50199209090908,92.57954545454545,5,8192,0.2,-0.004407650593202561,0.03359375,0.008907033,30,333.31829833984375,-1.3608484212309122,0.0003,854.1936303138733,-0.025525808334350586
5,1476,-167.94772701999997,96.95,6,10240,0.2,-0.005112847578129731,0.037109375,0.008378971,40,175.7567596435547,-1.3316374734044074,0.0003,629.1256868362427,-0.0026149749755859375
6,1451,-160.13525558,102.33,8,12288,0.2,-0.006456118734786287,0.090869140625,0.009776674,50,1725.6619873046875,-1.2898975383490323,0.0003,1119.130945777893,-0.007955074310302734
7,1431,-162.69227466,107.66,10,14336,0.2,-0.003645898262038827,0.04111328125,0.0056495965,60,313.24102783203125,-1.2766692094504832,0.0003,725.9433882236481,0.0002238154411315918
8,1403,-154.7809671,112.62,11,16384,0.2,-0.00984896024747286,0.0994140625,0.008841848,70,408.66864013671875,-1.255245840921998,0.0003,445.44985737800596,0.00024396181106567383
9,1341,-154.85868388000003,127.13,13,18432,0.2,-0.0062764705173322,0.035107421875,0.010614043,80,256.73065185546875,-1.2163867983967065,0.0003,508.95558457374574,0.01035851240158081
10,1261,-148.29243409,140.8,16,20480,0.2,-0.011347971876966767,0.054931640625,0.009049564,90,138.9440155029297,-1.2518144126981496,0.0003,392.2797413349152,0.10983812808990479
11,1256,-141.63456862,150.21,17,22528,0.2,-0.00850464020477375,0.0861328125,0.012575879,100,224.7151336669922,-1.2021575190126896,0.0003,251.0023334503174,0.043574392795562744
12,1190,-138.65806143,165.98,20,24576,0.2,-0.008299705768877175,0.0607421875,0.009339283,110,194.2277069091797,-1.1429506585001945,0.0003,579.9954710006714,0.0549694299697876
13,1165,-133.18033796999995,172.59,22,26624,0.2,-0.00836643403454218,0.058251953125,0.007974189,120,160.63339233398438,-1.1508864134550094,0.0003,412.859747171402,0.07001352310180664
14,1160,-131.15095816,192.89,24,28672,0.2,-0.004118926379305776,0.01611328125,0.004270195,130,296.5699462890625,-1.0990258060395717,0.0003,314.9677982330322,0.12973535060882568
15,1162,-127.69599278000001,201.82,26,30720,0.2,-0.0059739216114394365,0.080712890625,0.010688635,140,230.47512817382812,-1.1134618911892176,0.0003,596.6624994277954,0.12217199802398682
16,1120,-126.56046617,215.53,29,32768,0.2,-0.006652277821558528,0.060400390625,0.007608178,150,142.68605041503906,-1.072598133608699,0.0003,431.4263671398163,0.26790720224380493
17,1122,-121.28079479000002,224.19,31,34816,0.2,-0.004801518654858228,0.026416015625,0.006467763,160,43.38583755493164,-1.0982311863452197,0.0003,192.8368774533272,0.30110281705856323
18,1089,-118.65367959999999,240.64,33,36864,0.2,-0.005952012589841615,0.03681640625,0.005205382,170,146.3377227783203,-1.071636127308011,0.0003,256.0131718635559,0.2021406888961792
19,1075,-119.73042057999999,259.0,36,38912,0.2,-0.004705922068387736,0.056640625,0.009742105,180,56.20994567871094,-1.0103918015956879,0.0003,149.31416562795638,0.6136504113674164
20,1037,-117.92899573000001,268.02,39,40960,0.2,-0.004333023348590359,0.031884765625,0.0065320972,190,102.27886199951172,-1.0496840909123422,0.0003,190.30590244531632,0.5775766968727112
21,1028,-115.07927529999999,289.42,41,43008,0.2,-0.006205764931655722,0.03828125,0.0076952865,200,69.044677734375,-1.007423230446875,0.0003,152.11710593104362,0.6409744620323181
