rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_fraction
93.42857142857143,0,1,2048,2339,-167.43893252380954,,,,,,,,,,
96.97619047619048,2,2,4096,1679,-161.0973078095238,0.2,0.0003,0.006324009,10,1469.9343193054199,-0.0017750263214111328,-1.3834334794431924,732.5865478515625,-0.006339628232672112,0.0140625
113.38888888888889,4,3,6144,1407,-159.9726122222222,0.2,0.0003,0.006393491,20,1115.3786500930787,-0.03959321975708008,-1.3756763111799954,467.87457275390625,-0.006852691827225499,0.02822265625
111.6986301369863,5,4,8192,1413,-156.84271665753425,0.2,0.0003,0.009741543,30,510.37584075927737,0.025819361209869385,-1.3608025606721639,235.2865753173828,-0.011604550550691784,0.096142578125
112.76666666666667,7,5,10240,1404,-151.42635296666666,0.2,0.0003,0.0114550665,40,1116.4268405914306,0.008566141128540039,-1.316839288920164,325.3767395019531,-0.008493869517405984,0.066748046875
121.43,9,6,12288,1300,-152.52709564,0.2,0.0003,0.009246608,50,965.5746145248413,-0.10591459274291992,-1.3303637087345124,260.8368835449219,-0.00429415509061073,0.033984375
130.06,11,7,14336,1279,-148.38344602,0.2,0.0003,0.0074349106,60,508.48679015636446,0.07245302200317383,-1.3553376272320747,181.841552734375,-0.010309481361036887,0.05146484375
133.13,12,8,16384,1293,-148.93020434,0.2,0.0003,0.015111358,70,351.0220776796341,0.16792386770248413,-1.3317098505795002,42.343544006347656,-0.013429689113399946,0.1333984375
128.34,14,9,18432,1303,-147.81288332999998,0.2,0.0003,0.0062577445,80,467.2380621433258,-0.019099950790405273,-1.3196946252137423,246.89808654785156,-0.006766954768681899,0.0265625
131.94,15,10,20480,1311,-145.94133068,0.2,0.0003,0.012542104,90,290.09023966789243,0.10097002983093262,-1.2769113630056381,107.32919311523438,-0.014855838187213522,0.15400390625
134.7,17,11,22528,1317,-145.90955518,0.2,0.0003,0.011006365,100,372.59513461589813,0.0880325436592102,-1.2081381980329753,105.26911926269531,-0.00772653659369098,0.08359375
130.45,18,12,24576,1321,-146.57087049999998,0.2,0.0003,0.009303873,110,329.38665668964387,0.24313539266586304,-1.1867873020470143,80.68496704101562,-0.007337008423201041,0.068017578125
139.68,20,13,26624,1312,-146.17178988,0.2,0.0003,0.013537647,120,318.92084941864016,0.31188493967056274,-1.0963009223341942,413.8179931640625,-0.006638339858909603,0.1296875
140.21,21,14,28672,1312,-142.69200555,0.2,0.0003,0.0074947346,130,424.3757151126862,-0.15637516975402832,-1.1431292410939933,273.85845947265625,-0.0044574723418918435,0.034375
152.66,23,15,30720,1283,-134.42065823999997,0.2,0.0003,0.0070444047,140,522.4845833301545,0.19501012563705444,-1.101443973556161,221.06060791015625,-0.004469288584368769,0.02490234375
157.22,25,16,32768,1260,-131.76205699,0.2,0.0003,0.010611565,150,271.34506075382234,0.4335787892341614,-1.129334245249629,38.510887145996094,-0.007468071267066989,0.048388671875
173.05,27,17,34816,1254,-129.69844198999996,0.2,0.0003,0.0057588546,160,161.072694003582,0.6070587337017059,-1.0390997182577848,28.254287719726562,-0.007118902446381981,0.064599609375
190.86,29,18,36864,1238,-127.68281535000001,0.2,0.0003,0.010741822,170,248.99133157730103,0.48619580268859863,-1.0139489537104964,80.62222290039062,-0.007976542822143528,0.080810546875
202.94,31,19,38912,1225,-125.29628982000004,0.2,0.0003,0.008730599,180,170.77793564796448,0.5628372728824615,-1.0583085160702468,199.2692413330078,-0.00598393638356356,0.05126953125
211.81,34,20,40960,1195,-123.95751817,0.2,0.0003,0.007139775,190,157.14814670085906,0.6076468229293823,-1.0315174104645848,67.7778091430664,-0.00874556182679953,0.080224609375
229.02,36,21,43008,1180,-121.59469665,0.2,0.0003,0.005132663,200,188.9430342912674,0.6183827817440033,-1.0406956631690263,47.04707717895508,-0.006418510653020348,0.051513671875
248.13,39,22,45056,1132,-117.26745664999999,0.2,0.0003,0.0060513867,210,215.47485225200654,0.5930982828140259,-1.0314672578126192,63.64079284667969,-0.0036478060279478085,0.027783203125
261.16,41,23,47104,1126,-117.30917926999999,0.2,0.0003,0.008036239,220,97.19420536756516,0.7171736061573029,-1.0891308855265378,28.68498420715332,-0.008807440761302132,0.07958984375
274.29,44,24,49152,1112,-114.24821114000002,0.2,0.0003,0.008013993,230,175.73274074792863,0.5571128129959106,-1.0488788798451423,122.16163635253906,-0.006689848729001824,0.085595703125
288.45,47,25,51200,1086,-112.38167253000002,0.2,0.0003,0.008357745,240,231.11913979053497,0.5808922052383423,-0.9734682027250529,37.17829513549805,-0.0061990133224753665,0.044677734375
305.15,49,26,53248,1082,-110.87848732,0.2,0.0003,0.011046529,250,145.6953340470791,0.6685971617698669,-1.009711406752467,66.65843963623047,-0.0069689828611444685,0.0640625
316.79,51,27,55296,1074,-108.99578367,0.2,0.0003,0.006026754,260,163.5087614774704,0.6831716895103455,-1.0171021105721594,86.92192840576172,-0.007112095437332755,0.043310546875
333.84,54,28,57344,1048,-106.74097904999999,0.2,0.0003,0.008455311,270,102.23659518361092,0.7592497318983078,-0.9192564887925982,22.096065521240234,-0.006556544470367953,0.06396484375
349.6,57,29,59392,1032,-102.19033732000001,0.2,0.0003,0.006541325,280,78.65034928917885,0.7702205777168274,-0.9167349593713879,19.436256408691406,-0.004065707625704818,0.039013671875
368.91,60,30,61440,1013,-99.66351479999999,0.2,0.0003,0.008915623,290,157.50033501982688,0.6331574618816376,-0.9141072798520327,399.79779052734375,-0.007232956697407644,0.104833984375
386.47,64,31,63488,981,-97.75899281999999,0.2,0.0003,0.005814169,300,154.81959217190743,0.6785338521003723,-0.9916256215423346,51.40831756591797,-0.005472730118344771,0.0388671875
401.56,68,32,65536,959,-94.11488675999999,0.2,0.0003,0.0071256002,310,39.97222191765904,0.8495187163352966,-0.8742916401475668,7.474483489990234,-0.005139594864886021,0.082275390625
411.09,71,33,67584,940,-94.71964057999999,0.2,0.0003,0.0058960766,320,94.63488361537456,0.7090284526348114,-0.9344809997826815,43.94158935546875,-0.004987491001520539,0.038720703125
426.91,75,34,69632,928,-91.56687475000001,0.2,0.0003,0.010658901,330,85.7554496884346,0.7012407779693604,-1.040364385396242,12.962230682373047,-0.006699157084221951,0.089306640625
450.21,79,35,71680,905,-88.50149227,0.2,0.0003,0.009655299,340,49.85923976302147,0.8154423087835312,-0.8899776747450232,215.26466369628906,-0.006712263704685029,0.088134765625
463.31,82,36,73728,897,-88.5407169,0.2,0.0003,0.011472992,350,54.99867986291647,0.8303175121545792,-0.8914259996265173,7.021417617797852,-0.0054334349479177035,0.089111328125
478.77,85,37,75776,884,-84.91315139000002,0.2,0.0003,0.003167605,360,107.30408332943917,0.6223126947879791,-1.0513754112645983,28.07341957092285,-0.006364158087671967,0.010498046875
492.51,89,38,77824,872,-82.94014156000001,0.2,0.0003,0.012466848,370,38.78962381482124,0.8739733844995499,-0.9087603712454438,11.964909553527832,-0.005041721953602973,0.097412109375
508.52,93,39,79872,856,-80.77750859000001,0.2,0.0003,0.006145425,380,72.03597881793976,0.7519614696502686,-1.0084160227328538,11.927327156066895,-0.008508437969430816,0.09482421875
529.29,95,40,81920,855,-77.06914845000001,0.2,0.0003,0.012499963,390,53.54995345473289,0.8104002475738525,-0.9186225881800055,6.659170627593994,-0.005362463989149547,0.13310546875
544.26,98,41,83968,855,-75.83340285,0.2,0.0003,0.009021102,400,84.85977391451597,0.746868759393692,-0.8829867167398333,7.025174140930176,-0.00574132819310762,0.084912109375
560.1,100,42,86016,853,-66.68232275,0.2,0.0003,0.0034677982,410,141.3811115950346,0.6225460767745972,-0.8368609264492989,26.033447265625,-0.0021978662989567965,0.027490234375
568.25,103,43,88064,851,-62.79681061999999,0.2,0.0003,0.01652594,420,206.79445776939392,0.39689451456069946,-0.8677393659949303,17.011119842529297,-0.005857655042200349,0.030517578125
580.46,106,44,90112,847,-56.676141529999995,0.2,0.0003,0.0058734184,430,251.59148907065392,0.3459002375602722,-0.8134003974497318,68.514892578125,-0.004031607566139428,0.0154296875
584.05,109,45,92160,845,-51.09515182000001,0.2,0.0003,0.0065455027,440,175.7150059044361,0.19099611043930054,-0.982155391201377,87.45207214355469,-0.002625027771864552,0.068359375
593.72,111,46,94208,845,-51.27920034999999,0.2,0.0003,0.0062667304,450,249.51190767288207,0.3693661689758301,-0.9417668895795941,75.18295288085938,-0.002624023499811301,0.030810546875
595.34,113,47,96256,845,-43.696022889999995,0.2,0.0003,0.005535344,460,290.47395876049995,0.4343148469924927,-0.9083265561610461,105.26960754394531,-0.0045800915715517474,0.043798828125
602.8,116,48,98304,840,-33.65795854,0.2,0.0003,0.0077886274,470,228.55804790854455,0.2028244137763977,-0.7592714266851545,36.92417907714844,-0.005170320608158363,0.03984375
615.89,120,49,100352,834,-33.76555677,0.2,0.0003,0.005189739,480,194.92771356403827,0.33663028478622437,-0.7423819383606315,7.412531852722168,-0.0041829315516224595,0.035546875
626.79,124,50,102400,820,-28.990904450000002,0.2,0.0003,0.003830019,490,136.69362315535545,0.31920385360717773,-0.8181280197575689,24.6291561126709,-0.0025257527573558035,0.029638671875
641.2,128,51,104448,812,-28.42462888,0.2,0.0003,0.0106984405,500,69.70099110007286,0.48929619789123535,-0.976313023455441,11.953352928161621,-0.006107250040804502,0.13720703125
648.53,131,52,106496,810,-27.52398335,0.2,0.0003,0.011323823,510,79.64240528643131,0.5322515368461609,-0.9668636651709676,14.875489234924316,-0.005025323447625851,0.085595703125
660.17,134,53,108544,807,-23.324725820000005,0.2,0.0003,0.009481106,520,150.9107344791293,0.5026536881923676,-0.9553768552839756,211.59585571289062,-0.004712950281827943,0.081884765625
664.38,137,54,110592,802,-17.576849350000003,0.2,0.0003,0.0032204795,530,169.6313245281577,0.09214180707931519,-0.9760046729817986,56.42961120605469,-0.0036821607642195885,0.0267578125
665.34,140,55,112640,802,-17.476808629999997,0.2,0.0003,0.007811083,540,126.65023791193963,0.27911269664764404,-0.9528685178607702,23.169815063476562,-0.0019607768408604898,0.078515625
672.8,143,56,114688,800,-13.16860698,0.2,0.0003,0.0026328734,550,217.3468096077442,0.548446387052536,-0.8959738664329052,128.05564880371094,-0.0025675938468339154,0.012744140625
678.44,146,57,116736,794,-8.8998956,0.2,0.0003,0.0055255517,560,177.30430866777897,0.5763862729072571,-0.8301229756325483,196.8373565673828,-0.005784909606154543,0.0470703125
677.99,150,58,118784,791,-7.916598810000002,0.2,0.0003,0.005388329,570,205.02786350995302,0.4741424322128296,-0.8983728852123022,205.5559539794922,-0.003845277611981146,0.052490234375
678.5,154,59,120832,784,-1.7115907300000013,0.2,0.0003,0.004657041,580,153.00306850671768,0.6226734519004822,-0.9235120624303818,57.01060104370117,-0.0029185726525611244,0.03623046875
688.53,157,60,122880,781,3.437723709999999,0.2,0.0003,0.0075839567,590,145.90016744434834,0.3560810685157776,-0.8408928956836462,48.29388427734375,-0.002119827549176989,0.058251953125
674.75,159,61,124928,782,3.0185538600000017,0.2,0.0003,0.0072105825,600,187.71780879497527,0.5507319867610931,-0.9348368357867003,38.04490280151367,-0.0037794882984599097,0.092333984375
676.71,162,62,126976,779,5.438015899999999,0.2,0.0003,0.0046783616,610,205.85331483334303,0.4146367907524109,-0.9265134776011109,22.00010871887207,-0.005231496418855386,0.032275390625
679.01,166,63,129024,775,10.719485940000002,0.2,0.0003,0.0058104084,620,119.69396673738956,0.5907644927501678,-0.8126960972324013,503.0205383300781,-0.003134953360859072,0.0505859375
674.36,169,64,131072,771,11.496894300000003,0.2,0.0003,0.010835714,630,178.03996042609214,0.5693801045417786,-0.8362454272806644,41.46145248413086,-0.002633699519356014,0.080419921875
674.41,173,65,133120,765,15.249556970000004,0.2,0.0003,0.008266146,640,65.53726441115141,0.7367151975631714,-0.8262970447540283,5.812702178955078,-0.0021277578292938416,0.064501953125
