time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/learning_rate
2048,92.13636363636364,0,-155.57430113636363,2175,1,,,,,,,,,,
4096,91.20454545454545,2,-159.05552134090908,1666,2,-1.3846808083355426,0.002849979,10,-0.0047925297898473215,0.2,-0.00042569637298583984,1597.8147233963014,0.01611328125,573.9072875976562,0.0003
6144,92.18181818181819,3,-156.711833,1536,3,-1.3811208631843328,0.0048218137,20,-0.005870364334987244,0.2,-0.021811366081237793,1919.7441156387329,0.01474609375,723.2199096679688,0.0003
8192,91.57303370786516,5,-162.66057578651686,1505,4,-1.3758075065910815,0.0065570176,30,-0.006446170819981489,0.2,-0.016538381576538086,1307.6491415023804,0.023681640625,841.7332153320312,0.0003
10240,93.12,6,-162.94767065,1489,5,-1.3666473690420389,0.009852931,40,-0.009560110584425274,0.2,-0.01135563850402832,720.4733351707458,0.051611328125,486.6087951660156,0.0003
12288,97.15,8,-160.68421843,1474,6,-1.3432216245681048,0.0109392535,50,-0.009013608143141028,0.2,-0.00144195556640625,436.3907772541046,0.074853515625,134.49693298339844,0.0003
14336,100.21,9,-156.26024971999996,1464,7,-1.3361391987651587,0.006596701,60,-0.007457561223418452,0.2,-0.0007808208465576172,467.6480340003967,0.084814453125,211.4674835205078,0.0003
16384,102.66,11,-156.35723943000002,1455,8,-1.2812161475419999,0.011274729,70,-0.009832515881862491,0.2,-0.0005830526351928711,463.9459896326065,0.18837890625,266.5133361816406,0.0003
18432,110.03,12,-149.76032183,1438,9,-1.259448614344001,0.016672943,80,-0.011858957317599561,0.2,-0.0002446174621582031,410.6727289199829,0.142578125,328.6423034667969,0.0003
20480,118.46,14,-141.87080000999998,1409,10,-1.2205294724553823,0.012275793,90,-0.009362923650769517,0.2,8.881092071533203e-06,375.3896113872528,0.11494140625,227.59774780273438,0.0003
22528,127.13,16,-139.41562703,1390,11,-1.1494424112141133,0.016085364,100,-0.0076005104565410875,0.2,-0.000493168830871582,392.80818951129913,0.117529296875,206.8731689453125,0.0003
24576,141.41,18,-130.63841261,1311,12,-1.1664193611592055,0.006714425,110,-0.004434189847961534,0.2,-7.641315460205078e-05,1157.5027643203734,0.04931640625,427.0417175292969,0.0003
26624,148.8,20,-129.58969084999998,1306,13,-1.2229694038629533,0.0043351273,120,-0.003640059106692206,0.2,0.00035834312438964844,716.3466025352478,0.03203125,408.10186767578125,0.0003
28672,161.57,22,-123.44931677999999,1290,14,-1.104176761955023,0.0070369486,130,-0.0048778318807308095,0.2,0.06441527605056763,424.20171024799345,0.00751953125,206.60914611816406,0.0003
30720,171.16,23,-121.80008689000002,1286,15,-1.1575563736259937,0.0037782737,140,-0.005616855219705031,0.2,0.2607535719871521,500.5508167743683,0.013232421875,556.929443359375,0.0003
32768,178.95,25,-124.05640531,1273,16,-1.1153441596776248,0.0020123199,150,-0.002648299797147047,0.2,0.3145363926887512,269.54591343402865,0.0,120.14506530761719,0.0003
34816,198.49,28,-118.73736735,1231,17,-1.1011306285858153,0.005547626,160,-0.002815115464181872,0.2,0.47930198907852173,350.09342339038847,0.002978515625,151.71078491210938,0.0003
36864,210.33,30,-120.50202718999999,1222,18,-1.166498252004385,0.010939059,170,-0.009363207239221082,0.2,0.4879985451698303,169.29573712348937,0.109716796875,41.7607421875,0.0003
38912,226.61,32,-115.00802354000001,1180,19,-1.0376438366249203,0.011541754,180,-0.00497870941835572,0.2,0.40496307611465454,365.43121473789216,0.035107421875,201.0189971923828,0.0003
40960,239.2,36,-111.86784577000002,1133,20,-1.1698185984045266,0.008607805,190,-0.004551826279202942,0.2,0.44795119762420654,354.78720232248304,0.040869140625,139.80296325683594,0.0003
43008,260.6,38,-110.58398989999999,1113,21,-1.1694757889956235,0.010081103,200,-0.00799644581929897,0.2,0.5730977952480316,104.43964260816574,0.0462890625,27.877079010009766,0.0003
45056,280.22,41,-104.25956593000001,1081,22,-1.1295372989028691,0.006355039,210,-0.0025472705870924982,0.2,0.34537816047668457,192.42417452931403,0.020654296875,89.67178344726562,0.0003
47104,294.41,44,-103.59459869,1058,23,-1.101555559784174,0.0048721246,220,-0.004018154954246711,0.2,0.14991289377212524,327.1988456577063,0.037451171875,369.4093933105469,0.0003
49152,307.97,47,-100.61786287999999,1042,24,-1.090205592662096,0.0033192015,230,-0.0032947661329671973,0.2,0.3838456869125366,162.6312357723713,0.006201171875,19.809078216552734,0.0003
51200,324.71,49,-100.23381444,1035,25,-1.0882366195321083,0.0034236624,240,-0.0028896373994939497,0.2,0.5562727153301239,148.26107537150384,0.020166015625,45.81266403198242,0.0003
53248,334.28,51,-99.44184017000002,1030,26,-1.1184654049575329,0.006215629,250,-0.0044987058041442655,0.2,0.33114349842071533,180.1187685549259,0.06025390625,26.73796272277832,0.0003
55296,355.93,54,-96.03436003,1017,27,-1.021179485321045,0.010784109,260,-0.007437155362276826,0.2,0.5786787569522858,180.50135459899903,0.0814453125,107.3856430053711,0.0003
57344,368.9,56,-89.97090082000001,1010,28,-1.0251886744052172,0.007653732,270,-0.006889907109143678,0.2,0.6069296896457672,135.07245263457298,0.06708984375,29.131038665771484,0.0003
59392,385.99,59,-89.98928115999999,992,29,-0.9397468257695436,0.014116541,280,-0.00949120752629824,0.2,0.38129162788391113,224.1671710729599,0.129443359375,180.1104736328125,0.0003
61440,401.93,63,-86.14971340999999,960,30,-0.9207009602338075,0.010008544,290,-0.008646925385983195,0.2,0.6527568101882935,116.51532844305038,0.12060546875,12.746132850646973,0.0003
63488,417.91,67,-82.19888135,947,31,-0.997966194152832,0.011052347,300,-0.008783021249837476,0.2,0.696679562330246,63.22200607955456,0.14423828125,7.970386505126953,0.0003
65536,433.99,69,-81.59959809,938,32,-0.8876209860667587,0.0076628895,310,-0.006687969488848466,0.2,0.7402992844581604,67.19013198316097,0.087060546875,12.161659240722656,0.0003
67584,450.58,73,-75.28640832,918,33,-0.9558469761162997,0.011883943,320,-0.011697180125338491,0.2,0.6194819211959839,188.21605038642883,0.0736328125,46.312835693359375,0.0003
69632,466.92,76,-72.94380054,906,34,-0.8813280029222369,0.0066958377,330,-0.007595547891833121,0.2,0.6660877466201782,62.217070227861406,0.075927734375,8.581160545349121,0.0003
71680,477.51,79,-73.87119910999999,901,35,-1.0244171801954507,0.008163698,340,-0.006131416298012482,0.2,0.3417728543281555,196.6532953619957,0.044873046875,240.26275634765625,0.0003
73728,485.24,82,-71.77759358,893,36,-0.9073889387771488,0.005457483,350,-0.007072435669033439,0.2,0.2645546793937683,217.09930559396744,0.0388671875,295.13299560546875,0.0003
75776,501.34,85,-67.51765488999999,886,37,-0.9558505397289991,0.0071077514,360,-0.004432455791538814,0.2,0.3480414152145386,168.8453055590391,0.034033203125,51.36264419555664,0.0003
77824,519.03,88,-62.289452430000004,877,38,-0.9528586553409696,0.009032831,370,-0.005428437708178535,0.2,0.4167090058326721,165.63846654593945,0.065234375,86.51506042480469,0.0003
79872,530.18,91,-54.679693930000006,873,39,-0.8331387054175139,0.0049827183,380,-0.00117546990441042,0.2,0.6015271544456482,117.95440469384194,0.041455078125,24.106847763061523,0.0003
