time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss
2048,2319,0,97.38095238095238,1,-154.84877161904762,,,,,,,,,,
4096,1760,2,92.43181818181819,2,-155.03207245454544,0.2,10,0.037939453125,1851.1498020172119,0.00860141,-0.008960574315278792,0.00017338991165161133,0.0003,1724.8048095703125,-1.3816777240484952
6144,1640,3,92.15151515151516,3,-161.00814257575757,0.2,20,0.009716796875,1390.332138633728,0.00563334,-0.004675176863383967,-0.01348721981048584,0.0003,446.1787414550781,-1.3736031964421271
8192,1587,5,91.51685393258427,4,-165.2990524494382,0.2,30,0.059033203125,1470.4325736999513,0.01255824,-0.007187909237109125,0.003279447555541992,0.0003,676.5208740234375,-1.3683028545230627
10240,1553,6,92.2,5,-166.18344066999998,0.2,40,0.05146484375,664.1051842212677,0.007368751,-0.005698376078362344,-0.005612730979919434,0.0003,359.2948303222656,-1.3553375784307717
12288,1530,8,94.36,6,-167.28321701000002,0.2,50,0.057421875,932.159927558899,0.007990633,-0.004596143447270151,-0.0021179914474487305,0.0003,188.08042907714844,-1.3379806265234948
14336,1506,9,99.06,7,-166.88897377,0.2,60,0.096630859375,493.0118306159973,0.010243412,-0.007303894983488135,-0.0008012056350708008,0.0003,294.62847900390625,-1.3210272308439017
16384,1486,11,102.86,8,-163.58780136999997,0.2,70,0.021484375,481.0578276634216,0.0050358586,-0.005983206028759014,-0.0009909868240356445,0.0003,113.2292251586914,-1.325443320348859
18432,1430,12,105.36,9,-159.52268691,0.2,80,0.1451171875,353.57406368255613,0.011943303,-0.013809526789555094,0.0587543249130249,0.0003,109.61339569091797,-1.2798707883805036
20480,1416,14,119.99,10,-149.79199182,0.2,90,0.081005859375,352.0606424331665,0.007122472,-0.00803003573892056,0.022213459014892578,0.0003,211.65972900390625,-1.3032184369862079
22528,1402,16,126.82,11,-150.06388042999998,0.2,100,0.05869140625,472.3523409605026,0.009366818,-0.006304230251407717,-0.0024412870407104492,0.0003,296.2442321777344,-1.233046866208315
24576,1392,17,134.63,12,-143.42768277,0.2,110,0.076513671875,553.3891583919525,0.0101875905,-0.010862041091604624,-0.06958019733428955,0.0003,228.2787322998047,-1.219677359983325
26624,1384,19,142.6,13,-140.58593523000002,0.2,120,0.0611328125,472.33443665504456,0.0092607355,-0.007574816718988586,0.11577486991882324,0.0003,96.30853271484375,-1.1456395205110312
28672,1291,22,156.54,14,-135.86843521999998,0.2,130,0.12021484375,397.6781399726868,0.009337906,-0.011556917567213531,0.19270098209381104,0.0003,172.8932647705078,-1.1801609110087157
30720,1241,24,169.12,15,-131.69598184,0.2,140,0.085791015625,189.0174636363983,0.01206518,-0.009389108359755483,0.40649843215942383,0.0003,73.73270416259766,-1.2096410389989614
32768,1208,27,183.87,16,-127.229007,0.2,150,0.075,292.31109569072726,0.00867678,-0.006231109956570435,0.14991140365600586,0.0003,437.0892333984375,-1.2065255217254163
34816,1193,29,191.98,17,-124.62451631000002,0.2,160,0.0650390625,181.7112706899643,0.00883551,-0.006275301556161139,0.4025923013687134,0.0003,64.85414123535156,-1.188715384528041
36864,1132,32,213.9,18,-122.67831208,0.2,170,0.038232421875,313.49740908145907,0.006885728,-0.005442889707046561,0.35773396492004395,0.0003,211.0098876953125,-1.0751462645828724
